Wavelength (nm)	Intensity
515.550453	19.808759
516.485453	60.942036
517.420453	98.583457
518.355453	88.684227
519.290453	35.014339
586.610453	13.376932
587.545453	54.309508
588.480453	88.258695
589.415453	107.472529
590.350453	97.519258
591.285453	55.946457
592.220453	5.170054
597.830453	2.927268
614.660453	14.487249
615.595453	31.855276
616.530453	19.812564
631.490453	14.780442
637.100453	31.256903
638.035453	48.255987
638.970453	36.734501
639.905453	21.717577
640.840453	7.533826
641.775453	32.972759
642.710453	61.842639
643.645453	77.127005
644.580453	73.165144
645.515453	68.902151
646.450453	52.317911
647.385453	58.511813
648.320453	68.707684
649.255453	58.918678
650.190453	39.367989
651.125453	25.115541
652.060453	50.814523
652.995453	35.858478
653.930453	33.455785
654.865453	38.886919
655.800453	32.545944
656.735453	16.520510
657.670453	41.513199
658.605453	57.019516
659.540453	37.000829
660.475453	40.592010
661.410453	35.710374
662.345453	42.984625
663.280453	47.431092
664.215453	21.183074
665.150453	17.415838
666.085453	36.014538
667.020453	55.368950
667.955453	38.729485
668.890453	16.795238
669.825453	20.902387
670.760453	28.574885
671.695453	33.583826
672.630453	31.037554
673.565453	8.868065
674.500453	11.086304
675.435453	20.658968
676.370453	26.322919
677.305453	47.081056
678.240453	17.831664
739.015453	11.049209
739.950453	0.576812
741.820453	10.519412
742.755453	30.528488
743.690453	27.640102
744.625453	63.272250
745.560453	85.160362
746.495453	84.298537
747.430453	69.622538
748.365453	7.843191
771.740453	1.484431
773.610453	40.083719
774.545453	124.044524
775.480453	286.464152
776.415453	596.853010
777.350453	655.711203
778.285453	513.281875
779.220453	240.159474
819.425453	6.576354
820.360453	12.794708
821.295453	8.599335
822.230453	14.465192
823.165453	8.562363
