G0V star - 0.93 max
wl,Response
100.0,0.0
350.0,0.003343
351.0,0.003343
352.0,0.003343
353.0,0.003343
354.0,0.003343
355.0,0.003343
356.0,0.003343
357.0,0.003343
358.0,0.003343
359.0,0.003343
360.0,0.003343
361.0,0.003343
362.0,0.003343
363.0,0.003343
364.0,0.003343
365.0,0.003343
366.0,0.003344
367.0,0.003343
368.0,0.003323
369.0,0.004259
370.0,0.004186
371.0,0.004180
372.0,0.004181
373.0,0.004202
374.0,0.004900
375.0,0.005013
376.0,0.005018
377.0,0.005138
378.0,0.005824
379.0,0.005770
380.0,0.006673
381.0,0.007493
382.0,0.008319
383.0,0.009164
384.0,0.01003
385.0,0.01173
386.0,0.01282
387.0,0.01391
388.0,0.01482
389.0,0.01666
390.0,0.01832
391.0,0.01998
392.0,0.02171
393.0,0.02429
394.0,0.02619
395.0,0.02861
396.0,0.03170
397.0,0.03381
398.0,0.03714
399.0,0.03971
400.0,0.04328
401.0,0.04683
402.0,0.04950
403.0,0.05215
404.0,0.05577
405.0,0.05929
406.0,0.06232
407.0,0.06495
408.0,0.06827
409.0,0.07181
410.0,0.07535
411.0,0.07888
412.0,0.08220
413.0,0.08516
414.0,0.08867
415.0,0.09221
416.0,0.09575
417.0,0.09929
418.0,0.1028
419.0,0.1064
420.0,0.1099
421.0,0.1135
422.0,0.1178
423.0,0.1222
424.0,0.1257
425.0,0.1293
426.0,0.1328
427.0,0.1372
428.0,0.1409
429.0,0.1451
430.0,0.1490
431.0,0.1535
432.0,0.1574
433.0,0.1610
434.0,0.1652
435.0,0.1697
436.0,0.1741
437.0,0.1776
438.0,0.1820
439.0,0.1865
440.0,0.1905
441.0,0.1949
442.0,0.1986
443.0,0.2039
444.0,0.2074
445.0,0.2128
446.0,0.2161
447.0,0.2210
448.0,0.2250
449.0,0.2296
450.0,0.2336
451.0,0.2388
452.0,0.2424
453.0,0.2477
454.0,0.2513
455.0,0.2565
456.0,0.2603
457.0,0.2652
