G0V star - 0.93 max
wl,Response
100.0,0.0
320.0,0.002439
321.0,0.002439
322.0,0.002439
323.0,0.002439
324.0,0.002441
325.0,0.001908
326.0,0.001951
327.0,0.001951
328.0,0.001951
329.0,0.001951
330.0,0.001951
331.0,0.001951
332.0,0.001947
333.0,0.002490
334.0,0.002439
335.0,0.002440
336.0,0.002657
337.0,0.002930
338.0,0.003423
339.0,0.003940
340.0,0.004451
341.0,0.004883
342.0,0.006625
343.0,0.008023
344.0,0.01027
345.0,0.01210
346.0,0.01440
347.0,0.01735
348.0,0.02052
349.0,0.02411
350.0,0.02851
351.0,0.03390
352.0,0.03934
353.0,0.04561
354.0,0.05341
355.0,0.06107
356.0,0.06923
357.0,0.07747
358.0,0.08584
359.0,0.09348
360.0,0.1016
361.0,0.1093
362.0,0.1162
363.0,0.1235
364.0,0.1305
365.0,0.1375
366.0,0.1438
367.0,0.1507
368.0,0.1568
369.0,0.1635
370.0,0.1694
371.0,0.1759
372.0,0.1817
373.0,0.1877
374.0,0.1931
375.0,0.1988
376.0,0.2040
377.0,0.2096
378.0,0.2149
379.0,0.2199
380.0,0.2253
381.0,0.2303
382.0,0.2348
383.0,0.2392
384.0,0.2445
385.0,0.2486
386.0,0.2530
387.0,0.2575
388.0,0.2621
389.0,0.2659
390.0,0.2708
391.0,0.2749
392.0,0.2785
393.0,0.2821
394.0,0.2863
395.0,0.2899
396.0,0.2936
397.0,0.2967
398.0,0.2999
399.0,0.3034
400.0,0.3071
401.0,0.3097
402.0,0.3133
403.0,0.3162
404.0,0.3196
405.0,0.3228
406.0,0.3259
407.0,0.3289
408.0,0.3322
409.0,0.3349
410.0,0.3382
411.0,0.3410
412.0,0.3442
413.0,0.3474
414.0,0.3504
415.0,0.3531
416.0,0.3563
417.0,0.3592
418.0,0.3621
419.0,0.3652
420.0,0.3678
421.0,0.3710
422.0,0.3736
423.0,0.3768
424.0,0.3797
425.0,0.3826
426.0,0.3853
427.0,0.3884
428.0,0.3913
429.0,0.3941
430.0,0.3967
431.0,0.3997
432.0,0.4025
433.0,0.4057
434.0,0.4083
435.0,0.4110
436.0,0.4141
437.0,0.4169
438.0,0.4200
439.0,0.4226
440.0,0.4252
441.0,0.4280
442.0,0.4308
443.0,0.4341
444.0,0.4368
445.0,0.4394
446.0,0.4421
447.0,0.4448
448.0,0.4481
449.0,0.4509
450.0,0.4537
451.0,0.4563
452.0,0.4590
453.0,0.4616
454.0,0.4643
455.0,0.4672
456.0,0.4704
457.0,0.4732
458.0,0.4759
459.0,0.4785
460.0,0.4812
461.0,0.4838
462.0,0.4866
463.0,0.4893
464.0,0.4926
465.0,0.4954
466.0,0.4981
467.0,0.5007
468.0,0.5033
469.0,0.5059
470.0,0.5086
471.0,0.5112
472.0,0.5140
473.0,0.5170
474.0,0.5200
475.0,0.5228
476.0,0.5256
477.0,0.5282
478.0,0.5308
479.0,0.5334
480.0,0.5361
481.0,0.5388
482.0,0.5414
483.0,0.5441
484.0,0.5469
485.0,0.5497
486.0,0.5530
487.0,0.5554
488.0,0.5582
489.0,0.5609
490.0,0.5636
491.0,0.5662
492.0,0.5689
493.0,0.5715
494.0,0.5741
495.0,0.5768
496.0,0.5794
497.0,0.5822
498.0,0.5850
499.0,0.5882
500.0,0.5901
501.0,0.5934
502.0,0.5960
503.0,0.5989
504.0,0.6017
505.0,0.6044
506.0,0.6069
507.0,0.6096
508.0,0.6122
509.0,0.6149
510.0,0.6175
511.0,0.6201
512.0,0.6227
513.0,0.6254
514.0,0.6281
515.0,0.6313
516.0,0.6341
517.0,0.6370
518.0,0.6398
519.0,0.6421
520.0,0.6449
521.0,0.6477
522.0,0.6504
523.0,0.6530
524.0,0.6556
525.0,0.6583
526.0,0.6609
527.0,0.6635
528.0,0.6662
529.0,0.6688
530.0,0.6714
531.0,0.6741
532.0,0.6769
533.0,0.6799
534.0,0.6829
535.0,0.6857
536.0,0.6881
537.0,0.6907
538.0,0.6936
539.0,0.6964
540.0,0.6990
541.0,0.7016
542.0,0.7042
543.0,0.7069
544.0,0.7095
545.0,0.7122
546.0,0.7148
547.0,0.7174
548.0,0.7200
549.0,0.7228
550.0,0.7257
551.0,0.7287
552.0,0.7316
553.0,0.7344
554.0,0.7371
555.0,0.7397
556.0,0.7423
557.0,0.7449
558.0,0.7475
559.0,0.7507
560.0,0.7535
561.0,0.7563
562.0,0.7592
563.0,0.7618
564.0,0.7644
565.0,0.7671
566.0,0.7698
567.0,0.7725
568.0,0.7758
569.0,0.7782
570.0,0.7814
571.0,0.7840
572.0,0.7867
573.0,0.7893
574.0,0.7920
575.0,0.7948
576.0,0.7976
577.0,0.8004
578.0,0.8032
579.0,0.8060
580.0,0.8088
581.0,0.8115
582.0,0.8142
583.0,0.8168
584.0,0.8194
585.0,0.8220
586.0,0.8246
587.0,0.8274
588.0,0.8300
589.0,0.8327
590.0,0.8354
591.0,0.8380
592.0,0.8407
593.0,0.8431
594.0,0.8453
595.0,0.8476
596.0,0.8502
597.0,0.8528
598.0,0.8550
599.0,0.8573
600.0,0.8597
601.0,0.8620
602.0,0.8637
603.0,0.8664
604.0,0.8679
605.0,0.8701
606.0,0.8724
607.0,0.8745
608.0,0.8767
609.0,0.8784
610.0,0.8804
611.0,0.8827
612.0,0.8843
613.0,0.8871
614.0,0.8884
615.0,0.8903
616.0,0.8920
617.0,0.8940
618.0,0.8960
619.0,0.8980
620.0,0.8997
621.0,0.9016
622.0,0.9029
623.0,0.9047
624.0,0.9061
625.0,0.9075
626.0,0.9092
627.0,0.9105
628.0,0.9122
629.0,0.9132
630.0,0.9150
631.0,0.9159
632.0,0.9169
633.0,0.9180
634.0,0.9193
635.0,0.9207
636.0,0.9215
637.0,0.9223
638.0,0.9233
639.0,0.9243
640.0,0.9248
641.0,0.9258
642.0,0.9265
643.0,0.9272
644.0,0.9277
645.0,0.9282
646.0,0.9286
647.0,0.9291
648.0,0.9291
649.0,0.9296
650.0,0.9296
651.0,0.9301
652.0,0.9301
653.0,0.9301
654.0,0.9301
655.0,0.9301
656.0,0.9296
657.0,0.9295
658.0,0.9291
659.0,0.9286
660.0,0.9282
661.0,0.9277
662.0,0.9267
663.0,0.9259
664.0,0.9251
665.0,0.9242
666.0,0.9230
667.0,0.9217
