Del UMi
wl,Response x10^-10 erg/(s*cm^2*A)
100,0.
350,0.5
352,0.5
354,0.5
356,0.5
358,0.5
360,0.5
362,0.5
364,0.5
366,0.5
368,0.5
370,0.5
372,0.5
374,0.5
376,0.5
378,0.5
380,0.462274176
382,0.405797101
384,0.357898162
386,0.329444063
388,0.304651163
390,0.27234369
392,0.238815475
394,0.210242588
396,0.181922197
398,0.155023738
400,0.131400649
402,0.112123336
404,0.096052194
406,0.082813565
408,0.071988925
410,0.063646884
412,0.056969379
414,0.051533021
416,0.047688564
418,0.044291038
420,0.041368936
422,0.038676761
424,0.03610671
426,0.033804624
428,0.031890821
430,0.029937444
432,0.028212965
434,0.026617254
436,0.025187926
438,0.023895316
440,0.022676566
442,0.021783984
444,0.020768967
446,0.020037403
448,0.019243471
450,0.018611606
452,0.017896047
454,0.017375797
456,0.016876125
458,0.016430479
460,0.015801533
462,0.015389611
464,0.014965185
466,0.01445816
468,0.014112239
470,0.013786247
472,0.013470567
474,0.013043871
476,0.012756404
478,0.012487465
480,0.012246403
482,0.011867382
484,0.011632606
486,0.011403062
488,0.011180303
490,0.010863791
492,0.010656058
494,0.010459329
496,0.010274552
498,0.009974773
500,0.009793642
502,0.009611204
504,0.009447116
506,0.009291048
508,0.009138396
510,0.008997003
512,0.008856353
514,0.008718591
516,0.008587855
518,0.008449138
520,0.008328059
522,0.008197629
524,0.008178784
526,0.008069018
528,0.007940359
530,0.007829947
532,0.007720006
534,0.007600877
536,0.007600835
538,0.007499972
540,0.007388823
542,0.007278422
544,0.007294873
546,0.007201259
548,0.00710594
550,0.007121596
552,0.00702631
554,0.006935239
556,0.006958864
558,0.00686589
560,0.006776292
562,0.006798097
564,0.006705384
566,0.006615529
568,0.006642159
570,0.006556924
572,0.006468044
574,0.006498857
576,0.006411602
578,0.006448096
580,0.006357803
582,0.006382111
584,0.006305095
586,0.006215635
588,0.006252442
590,0.006163291
592,0.00620487
594,0.006110565
596,0.006153846
598,0.006068487
600,0.006104778
602,0.006017601
604,0.006060759
606,0.005970946
608,0.006012498
610,0.005924171
612,0.005840439
614,0.005877666
616,0.005782246
618,0.005822416
620,0.005733333
622,0.005777279
624,0.005685664
626,0.005725854
628,0.00563539
630,0.005680283
632,0.005725577
634,0.005629561
636,0.005674041
638,0.005576607
640,0.005640362
642,0.005540489
644,0.005584622
646,0.005491896
648,0.00554706
650,0.005603174
652,0.005506355
654,0.005555213
656,0.005621223
658,0.005512809
660,0.005581959
662,0.005640612
664,0.005539173
666,0.005600626
668,0.00566492
670,0.00556713
672,0.005629334
674,0.00570426
676,0.00559646
678,0.005661262
680,0.005739807
682,0.005808413
684,0.005695284
686,0.005770502
688,0.005849608
690,0.005744265
692,0.005818746
694,0.005894083
696,0.005970862
698,0.005863028
700,0.00594244
702,0.006026851
704,0.006109379
706,0.005980797
708,0.006067764
710,0.006171955
712,0.006247281
714,0.0061142
716,0.006209823
718,0.00630738
720,0.006404554
722,0.006493194
724,0.006348664
726,0.006458263
728,0.006551841
730,0.006642142
732,0.006494772
734,0.006576438
736,0.006680919
738,0.006798651
740,0.006893889
742,0.006727777
744,0.006820992
746,0.00693291
748,0.007033173
750,0.007142432
752,0.006961891
754,0.007065835
756,0.007170694
758,0.00728609
760,0.007371677
762,0.007161458
764,0.00722757
766,0.007313587
768,0.007385772
770,0.007460788
772,0.007189196
774,0.007273987
776,0.007348567
778,0.007431524
780,0.007504556
782,0.007583144
784,0.007292084
786,0.007373
788,0.007450316
790,0.007527286
792,0.007612812
794,0.007686395
796,0.007774992
798,0.007470903
800,0.00753012
