Del UMi
wl,Response x10^-10 erg/(s*cm^2*A)
﻿100,0
350,0
352,0
354,0
356,0
358,0
360,0
362,0
364,0
366,0
368,0
370,0
372,0
374,0
376,8.442696884
378,2.1424161
380,0.765032426
382,0.928820397
384,0.365579185
386,0.574461504
388,0.344066692
390,0.267329313
392,0.305579014
394,0.23800971
396,0.149478532
398,0.113101003
400,0.140550245
402,0.121479383
404,0.103740421
406,0.086115537
408,0.067760131
410,0.028209333
412,0.049605085
414,0.053107794
416,0.049669803
418,0.045249135
420,0.043024353
422,0.040178157
424,0.037596001
426,0.035113428
428,0.032776828
430,0.029266109
432,0.025561163
434,0.011682071
436,0.022179003
438,0.024318339
440,0.023317595
442,0.022562166
444,0.021789083
446,0.020883883
448,0.019548564
450,0.019435054
452,0.018659139
454,0.01821767
456,0.017290376
458,0.016938571
460,0.016598848
462,0.015876744
464,0.015589916
466,0.015133648
468,0.01483324
470,0.014421911
472,0.014103259
474,0.013591775
476,0.013283809
478,0.012939779
480,0.012615973
482,0.012039722
484,0.010780531
486,0.00582613
488,0.009591481
490,0.010990119
492,0.010905233
494,0.010996003
496,0.010731614
498,0.010607912
500,0.010365571
502,0.009940315
504,0.009948253
506,0.00983798
508,0.009746052
510,0.009558603
512,0.009479256
514,0.009275933
516,0.00915542
518,0.008952373
520,0.008850709
522,0.00877348
524,0.008657885
526,0.00858258
528,0.008375751
530,0.008434803
532,0.008176643
534,0.00814943
536,0.008136541
538,0.008027451
540,0.007888452
542,0.00787502
544,0.007804937
546,0.00766071
548,0.007622346
550,0.007628901
552,0.007515244
554,0.007439326
556,0.007428525
558,0.007358908
560,0.007295729
562,0.00720894
564,0.007199587
566,0.007156545
568,0.007118675
570,0.007053899
572,0.007045309
574,0.007022159
576,0.006950722
578,0.006989453
580,0.006888243
582,0.0068524
584,0.00679861
586,0.006733515
588,0.006732243
590,0.006674805
592,0.006704405
594,0.006700549
596,0.00662454
598,0.006607268
600,0.006601734
602,0.006542991
604,0.00652557
606,0.00650875
608,0.006527022
610,0.006475333
612,0.006455722
614,0.006463865
616,0.006322698
618,0.006444319
620,0.006417314
622,0.006360964
624,0.006351747
626,0.006405519
628,0.006364678
630,0.006377193
632,0.006285398
634,0.00626534
636,0.006301877
638,0.006265919
640,0.006353345
642,0.006278232
644,0.00624074
646,0.006206405
648,0.006265836
650,0.006236643
652,0.006143101
654,0.005821998
656,0.004426956
658,0.00534547
660,0.006073804
662,0.006330258
664,0.006312123
666,0.006379216
668,0.006391989
670,0.006436886
672,0.00645739
674,0.006482249
676,0.006509168
678,0.006528622
680,0.006567602
682,0.006561694
684,0.006605742
686,0.006574788
688,0.006693392
690,0.006724633
692,0.006729416
694,0.00675765
696,0.006798981
698,0.00683959
700,0.006863507
702,0.006914307
704,0.006957537
706,0.007037039
708,0.007037124
710,0.007099637
712,0.007073046
714,0.007173333
716,0.007213483
718,0.007290823
720,0.007341812
722,0.00738637
724,0.007432976
726,0.007475567
728,0.007537703
730,0.007569654
732,0.007675865
734,0.007706215
736,0.007800998
738,0.007798537
740,0.007896906
742,0.007947185
744,0.007990888
746,0.008025247
748,0.00808625
750,0.008169037
752,0.008271062
754,0.008316082
756,0.008393216
758,0.008441781
760,0.008521619
762,0.008518951
764,0.0085624
766,0.008600785
768,0.00861319
770,0.008668391
772,0.008672471
774,0.0086848
776,0.008710993
778,0.008443316
780,0.008782582
782,0.008845748
784,0.008788258
786,0.00890986
788,0.008827157
790,0.008843827
792,0.008933978
794,0.008982663
796,0.008993223
798,0.0090558
800,0.009117362
802,0.009113833
804,0.009075247
806,0.009139515
808,0.009139834
810,0.009235736
812,0.009281315
814,0.009271103
816,0.009439368
818,0.009362028
820,0.009289441
822,0.009332276
824,0.009412882
826,0.009507472
828,0.009642564
830,0.009706257
832,0.009735981
834,0.00971237
836,0.009853603
838,0.009916425
840,0.010102655
842,0.010122538
844,0.010080693
846,0.010203575
848,0.010476177
850,0.010276302
852,0.010827486
854,0.010549968
856,0.010969031
858,0.011508294
860,0.010684369
862,0.011974724
864,0.012110746
866,0.011039572
868,0.011756036
870,0.013224071
872,0.013589179
874,0.012437983
876,0.012200184
878,0.014180341
880,0.015307744
882,0.015434271
884,0.014985142
886,0.012836098
888,0.01450893
890,0.016576373
892,0.017661813
894,0.018394377
896,0.018870334
898,0.018690049
900,0.016883625
902,0.015504763
904,0.019116529
906,0.020576804
908,0.021998396
910,0.022509749
912,0.023661646
914,0.024663673
916,0.025689947
918,0.025160999
920,0.025603506
922,0.022587441
924,0.022714026
926,0.026833272
928,0.030475289
930,0.033019437
932,0.033941128
934,0.036177042
936,0.037798864
938,0.038627335
940,0.039873407
942,0.040344116
944,0.042562584
946,0.044534095
948,0.047207092
950,0.048719786
952,0.045712875
954,0.041071879
956,0.04547606
958,0.052526234
960,0.057557909
962,0.064656592
