Wavelength (nm)	Intensity
424.435553	13.100000
429.110553	6.900000
430.045553	12.600000
430.980553	29.400000
435.655553	19.500000
436.590553	66.700000
437.525553	70.600000
438.460553	25.300000
442.200553	12.600000
444.070553	0.400000
446.875553	19.500000
447.810553	46.400000
457.160553	7.100000
471.185553	48.000000
474.925553	1.200000
481.470553	50.800000
489.885553	16.100000
490.820553	31.300000
491.755553	48.400000
493.625553	22.000000
494.560553	50.300000
495.495553	58.700000
496.430553	39.800000
497.365553	50.100000
498.300553	16.100000
500.170553	14.800000
502.040553	45.500000
502.975553	59.300000
503.910553	69.400000
504.845553	6.600000
505.780553	55.100000
507.650553	68.600000
508.585553	55.400000
509.520553	41.500000
510.455553	79.100000
511.390553	52.500000
512.325553	70.500000
513.260553	132.500000
514.195553	123.600000
515.130553	319.700000
516.065553	676.000000
517.000553	643.900000
517.935553	713.700000
518.870553	606.700000
519.805553	594.800000
520.740553	408.100000
521.675553	192.100000
522.610553	258.900000
523.545553	164.000000
524.480553	137.000000
525.415553	183.300000
526.350553	188.700000
527.285553	179.100000
528.220553	53.400000
529.155553	144.500000
530.090553	73.900000
531.025553	68.000000
531.960553	144.200000
532.895553	162.700000
533.830553	182.600000
534.765553	152.500000
535.700553	165.900000
536.635553	155.400000
537.570553	140.100000
538.505553	108.500000
539.440553	192.600000
540.375553	230.400000
541.310553	185.600000
542.245553	225.600000
543.180553	107.200000
544.115553	98.600000
545.050553	205.100000
545.985553	82.900000
546.920553	67.100000
547.855553	34.700000
548.790553	16.500000
549.725553	38.100000
550.660553	153.600000
551.595553	183.100000
552.530553	149.000000
553.465553	67.100000
554.400553	122.500000
555.335553	39.400000
556.270553	144.000000
557.205553	85.200000
558.140553	94.900000
559.075553	50.900000
560.010553	68.700000
560.945553	110.100000
561.880553	56.300000
562.815553	87.400000
563.750553	78.400000
564.685553	62.900000
565.620553	61.800000
566.555553	85.500000
567.490553	33.000000
568.425553	50.900000
569.360553	105.000000
570.295553	22.500000
571.230553	139.600000
572.165553	101.500000
573.100553	169.900000
574.035553	109.200000
574.970553	134.000000
575.905553	109.400000
576.840553	107.600000
577.775553	102.500000
578.710553	120.800000
579.645553	123.000000
580.580553	129.000000
581.515553	159.500000
582.450553	122.500000
583.385553	172.500000
584.320553	154.300000
585.255553	156.000000
586.190553	138.500000
587.125553	183.900000
588.060553	141.500000
588.995553	173.500000
589.930553	120.000000
590.865553	215.700000
591.800553	71.400000
592.735553	104.400000
593.670553	130.000000
594.605553	57.200000
595.540553	138.000000
596.475553	90.200000
597.410553	136.500000
598.345553	100.000000
599.280553	88.500000
600.215553	184.400000
601.150553	142.700000
602.085553	166.300000
603.020553	157.300000
603.955553	107.200000
604.890553	91.700000
605.825553	85.200000
606.760553	98.000000
607.695553	129.500000
608.630553	106.500000
609.565553	121.800000
610.500553	111.600000
611.435553	112.500000
612.370553	130.600000
613.305553	116.800000
614.240553	279.400000
615.175553	226.300000
616.110553	235.500000
617.045553	107.000000
617.980553	81.600000
618.915553	211.000000
619.850553	184.700000
620.785553	175.300000
621.720553	125.400000
622.655553	224.000000
623.590553	166.200000
624.525553	117.400000
625.460553	168.700000
626.395553	216.100000
627.330553	191.400000
628.265553	139.400000
629.200553	268.800000
630.135553	184.600000
631.070553	205.900000
632.005553	229.200000
632.940553	107.100000
633.875553	211.800000
634.810553	146.500000
635.745553	245.500000
636.680553	226.300000
637.615553	292.900000
638.550553	287.700000
639.485553	258.600000
640.420553	266.700000
641.355553	238.500000
642.290553	245.400000
643.225553	279.800000
644.160553	264.700000
645.095553	271.300000
646.030553	304.200000
646.965553	247.200000
647.900553	222.500000
648.835553	268.300000
649.770553	357.600000
650.705553	358.500000
651.640553	375.800000
652.575553	307.200000
653.510553	246.400000
654.445553	305.400000
655.380553	336.700000
656.315553	248.200000
657.250553	227.600000
658.185553	249.000000
659.120553	334.200000
660.055553	307.400000
660.990553	203.900000
661.925553	246.600000
662.860553	211.700000
663.795553	209.700000
664.730553	280.200000
665.665553	172.200000
666.600553	224.800000
667.535553	222.700000
668.470553	261.100000
669.405553	243.600000
670.340553	285.500000
671.275553	232.200000
672.210553	175.000000
673.145553	158.500000
674.080553	184.800000
675.015553	190.400000
675.950553	166.700000
676.885553	126.600000
677.820553	146.000000
678.755553	229.700000
679.690553	161.700000
680.625553	180.400000
681.560553	116.500000
682.495553	117.100000
683.430553	93.100000
684.365553	111.700000
685.300553	63.800000
686.235553	89.200000
687.170553	62.300000
688.105553	70.700000
689.040553	62.500000
689.975553	73.200000
690.910553	37.300000
691.845553	67.200000
692.780553	116.800000
693.715553	53.600000
694.650553	72.400000
695.585553	107.600000
696.520553	81.400000
697.455553	126.600000
698.390553	92.100000
699.325553	97.500000
700.260553	96.500000
701.195553	200.000000
702.130553	103.800000
703.065553	125.300000
704.000553	124.500000
704.935553	45.000000
705.870553	142.800000
706.805553	84.700000
707.740553	117.300000
708.675553	64.600000
709.610553	59.800000
710.545553	86.500000
711.480553	36.100000
712.415553	112.500000
713.350553	162.000000
714.285553	113.600000
715.220553	100.500000
716.155553	147.300000
717.090553	56.600000
718.025553	90.900000
718.960553	72.200000
719.895553	59.100000
720.830553	129.100000
721.765553	49.000000
722.700553	128.700000
723.635553	135.900000
724.570553	133.200000
725.505553	78.300000
726.440553	132.600000
727.375553	160.600000
728.310553	99.000000
729.245553	102.200000
730.180553	89.000000
731.115553	192.000000
732.050553	96.500000
732.985553	156.000000
733.920553	123.400000
734.855553	248.500000
735.790553	146.500000
736.725553	148.600000
737.660553	196.100000
