Number of lines in output : 1912
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.8013    200.7364    6.175266  -2.860 7.612e+05  13.01    11.822765   0.0    17.997652   1.0 KP   
   201.5720    201.5069    6.151657  -3.060 2.860e+05  13.01    11.847417   3.0    17.998697   2.0 KP   
   201.5764    201.5113    6.151523  -3.810 5.085e+04  13.01    11.847552   2.0    17.998697   2.0 KP   
   201.5802    201.5151    6.151407  -4.980 3.438e+03  13.01    11.847668   1.0    17.998697   2.0 KP   
   201.6107    201.5456    6.150476  -3.420 2.080e+05  13.01    11.847552   2.0    17.997652   1.0 KP   
   201.6145    201.5494    6.150360  -3.900 6.886e+04  13.01    11.847668   1.0    17.997652   1.0 KP   
   201.6357    201.5706    6.149714  -3.680 3.428e+05  13.01    11.847668   1.0    17.997004   0.0 KP   
   201.6515    201.5864    6.149232  -2.210 3.371e+06  13.01    11.822765   0.0    17.971618   1.0 KP   
   201.6703    201.6052    6.148658  -0.850 2.574e+07  13.01    11.847417   3.0    17.995699   4.0 KP   
   201.6840    201.6189    6.148241  -2.280 1.229e+06  13.01    11.847417   3.0    17.995280   3.0 KP   
   201.6885    201.6234    6.148103  -1.370 9.992e+06  13.01    11.847552   2.0    17.995280   3.0 KP   
   201.6939    201.6288    6.147939  -3.450 1.164e+05  13.01    11.847417   3.0    17.994980   2.0 KP   
   201.6983    201.6332    6.147805  -1.910 4.034e+06  13.01    11.847552   2.0    17.994980   2.0 KP   
   201.7021    201.6370    6.147689  -1.180 2.166e+07  13.01    11.847668   1.0    17.994980   2.0 KP   
   202.4677    202.4025    6.124441  -4.070 4.616e+04  13.01    11.847552   2.0    17.971618   1.0 KP   
   202.4715    202.4063    6.124326  -4.550 1.529e+04  13.01    11.847668   1.0    17.971618   1.0 KP   
   203.1075    203.0421    6.105151  -2.160 1.598e+06  13.01    11.847417   3.0    17.952195   3.0 KP   
   203.1120    203.0466    6.105016  -1.250 1.299e+07  13.01    11.847552   2.0    17.952195   3.0 KP   
   204.8291    204.7634    6.053837  -4.790 5.157e+03  13.01    11.317359   1.0    17.370825   2.0 KP   
   209.1343    209.0678    5.929213  -2.880 6.701e+05  13.01    11.822765   0.0    17.751613   1.0 KP   
   209.4929    209.4263    5.919065   0.242 2.948e+08  13.01    11.847417   3.0    17.766119   4.0 WEI  
   209.5407    209.4741    5.917714  -0.808 3.377e+07  13.01    11.847417   3.0    17.764769   3.0 WEI  
   209.5455    209.4789    5.917578   0.082 2.621e+08  13.01    11.847552   2.0    17.764769   3.0 WEI  
   209.5715    209.5049    5.916844  -2.438 1.108e+06  13.01    11.847417   3.0    17.763897   2.0 WEI  
   209.5763    209.5097    5.916709  -0.808 4.726e+07  13.01    11.847552   2.0    17.763897   2.0 WEI  
   209.5804    209.5138    5.916593  -0.088 2.480e+08  13.01    11.847668   1.0    17.763897   2.0 WEI  
   209.9931    209.9264    5.904966  -2.860 4.176e+05  13.01    11.847417   3.0    17.752020   2.0 KP   
   209.9979    209.9312    5.904831  -3.600 7.598e+04  13.01    11.847552   2.0    17.752020   2.0 KP   
   210.0020    209.9353    5.904715  -4.780 5.020e+03  13.01    11.847668   1.0    17.752020   2.0 KP   
   210.0124    209.9457    5.904423  -3.210 3.108e+05  13.01    11.847552   2.0    17.751613   1.0 KP   
   210.0165    209.9498    5.904307  -3.690 1.029e+05  13.01    11.847668   1.0    17.751613   1.0 KP   
   210.0225    209.9558    5.904139  -3.480 5.007e+05  13.01    11.847668   1.0    17.751445   0.0 KP   
   210.0373    209.9706    5.903723  -2.230 2.968e+06  13.01    11.822765   0.0    17.726125   1.0 KP   
   210.9229    210.8561    5.878933  -3.870 6.742e+04  13.01    11.847552   2.0    17.726125   1.0 KP   
   210.9270    210.8602    5.878818  -4.350 2.232e+04  13.01    11.847668   1.0    17.726125   1.0 KP   
   212.5190    212.4518    5.834782  -1.970 2.261e+06  13.01    11.847417   3.0    17.681841   3.0 KP   
   212.5239    212.4567    5.834647  -1.060 1.837e+07  13.01    11.847552   2.0    17.681841   3.0 KP   
   219.3286    219.2601    5.653624   0.233 2.634e+08  13.01    11.847417   3.0    17.500694   4.0 WEI  
   219.4875    219.4189    5.649533  -0.817 3.014e+07  13.01    11.847417   3.0    17.496603   3.0 WEI  
   219.4928    219.4242    5.649397   0.073 2.340e+08  13.01    11.847552   2.0    17.496603   3.0 WEI  
   219.6090    219.5404    5.646407  -2.447 9.882e+05  13.01    11.847417   3.0    17.493478   2.0 WEI  
   219.6142    219.5456    5.646273  -0.817 4.215e+07  13.01    11.847552   2.0    17.493478   2.0 WEI  
   219.6187    219.5501    5.646157  -0.097 2.212e+08  13.01    11.847668   1.0    17.493478   2.0 WEI  
   223.5071    223.4377    5.547929  -2.880 5.867e+05  13.01    11.822765   0.0    17.370353   1.0 KP   
   224.3743    224.3047    5.526487  -2.230 2.601e+06  13.01    11.822765   0.0    17.348913   1.0 KP   
   224.4856    224.4160    5.523747  -2.590 6.804e+05  13.01    11.847417   3.0    17.370825   2.0 KP   
   224.4911    224.4215    5.523611  -3.340 1.210e+05  13.01    11.847552   2.0    17.370825   2.0 KP   
   224.4958    224.4262    5.523496  -4.520 7.994e+03  13.01    11.847668   1.0    17.370825   2.0 KP   
   224.5103    224.4407    5.523139  -2.950 4.949e+05  13.01    11.847552   2.0    17.370353   1.0 KP   
   224.5149    224.4453    5.523026  -3.430 1.639e+05  13.01    11.847668   1.0    17.370353   1.0 KP   
   224.5245    224.4549    5.522789  -3.220 7.973e+05  13.01    11.847668   1.0    17.370118   0.0 KP   
   225.3853    225.3155    5.501697  -3.610 1.074e+05  13.01    11.847552   2.0    17.348913   1.0 KP   
   225.3900    225.3202    5.501582  -4.080 3.640e+04  13.01    11.847668   1.0    17.348913   1.0 KP   
   228.5838    228.5133    5.424714  -3.410 9.933e+04  13.01    11.317359   1.0    16.741739   2.0 KP   
   228.6174    228.5469    5.423916  -4.110 3.302e+04  13.01    11.317359   1.0    16.740942   1.0 KP   
   228.6352    228.5647    5.423494  -4.110 9.905e+04  13.01    11.317359   1.0    16.740519   0.0 KP   
   228.8543    228.7837    5.418303  -4.850 2.570e+03  13.01    11.847417   3.0    17.265387   3.0 KP   
   228.8600    228.7894    5.418168  -3.950 2.041e+04  13.01    11.847552   2.0    17.265387   3.0 KP   
   229.1218    229.0512    5.411976  -3.810 6.560e+04  13.01    11.317359   1.0    16.729002   1.0 KP   
   231.2156    231.1445    5.362968  -2.170 2.812e+06  13.01    13.072228   0.0    18.434867   1.0 KP   
   231.2903    231.2192    5.361235  -1.690 8.486e+06  13.01    13.073962   1.0    18.434867   1.0 KP   
   231.4479    231.3768    5.357584  -1.470 1.406e+07  13.01    13.077611   2.0    18.434867   1.0 KP   
   232.4912    232.4198    5.333543  -0.513 4.208e+07  13.01    11.847417   3.0    17.180632   4.0 WEI  
   232.6151    232.5437    5.330702  -1.563 4.817e+06  13.01    11.847417   3.0    17.177793   3.0 WEI  
   232.6210    232.5496    5.330567  -0.673 3.739e+07  13.01    11.847552   2.0    17.177793   3.0 WEI  
   232.7098    232.6384    5.328532  -3.193 1.580e+05  13.01    11.847417   3.0    17.175623   2.0 WEI  
   232.7157    232.6443    5.328397  -1.563 6.738e+06  13.01    11.847552   2.0    17.175623   2.0 WEI  
   232.7207    232.6493    5.328282  -0.843 3.536e+07  13.01    11.847668   1.0    17.175623   2.0 WEI  
   234.5844    234.5126    5.285951  -3.080 3.361e+05  13.01    13.072228   0.0    18.357855   1.0 KP   
   234.6191    234.5473    5.285169  -2.230 1.019e+06  13.01    13.077611   2.0    18.362455   3.0 KP   
   234.6614    234.5895    5.284218  -2.600 1.014e+06  13.01    13.073962   1.0    18.357855   1.0 KP   
   234.8235    234.7516    5.280569  -2.380 1.681e+06  13.01    13.077611   2.0    18.357855   1.0 KP   
   238.9760    238.9032    5.188812  -2.330 1.093e+06  13.01    13.073962   1.0    18.262455   2.0 KP   
   239.1420    239.0691    5.185212  -2.050 1.485e+06  13.01    13.077611   2.0    18.262505   3.0 KP   
   239.1443    239.0714    5.185162  -2.800 3.697e+05  13.01    13.077611   2.0    18.262455   2.0 KP   
   239.2005    239.1276    5.183944  -2.940 4.461e+05  13.01    13.072228   0.0    18.255852   1.0 KP   
   239.2805    239.2076    5.182210  -2.460 1.346e+06  13.01    13.073962   1.0    18.255852   1.0 KP   
   239.2961    239.2232    5.181872  -1.660 2.548e+07  13.01    13.257354   1.0    18.438909   0.0 KP   
   239.4491    239.3762    5.178560  -2.240 2.231e+06  13.01    13.077611   2.0    18.255852   1.0 KP   
   242.6327    242.5590    5.110614  -2.300 1.136e+06  13.01    13.257354   1.0    18.367654   2.0 KP   
   242.8479    242.7742    5.106084  -2.590 2.907e+06  13.01    13.257354   1.0    18.363125   0.0 KP   
   245.3327    245.2584    5.054369  -2.480 1.223e+06  13.01    13.072228   0.0    18.126286   1.0 KP   
   245.4169    245.3426    5.052634  -2.130 1.642e+06  13.01    13.073962   1.0    18.126286   2.0 KP   
   245.4169    245.3426    5.052634  -2.600 9.272e+05  13.01    13.073962   1.0    18.126286   1.0 KP   
   245.5918    245.5175    5.049035  -1.860 2.181e+06  13.01    13.077611   2.0    18.126336   3.0 KP   
   245.5942    245.5199    5.048986  -2.600 5.555e+05  13.01    13.077611   2.0    18.126286   2.0 KP   
