Number of lines in output :  4883
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.0650    200.0002    6.197257  -1.320 1.329e+07  18.01    19.763603   1.5    25.961217   2.5 KP   
   200.1407    200.0759    6.194912  -2.580 1.095e+06  18.01    19.681376   2.5    25.876644   1.5 KP   
   200.2278    200.1630    6.192217  -2.720 5.284e+05  18.01    19.681376   2.5    25.873948   2.5 KP   
   200.3968    200.3319    6.186998  -2.450 2.947e+06  18.01    19.643907   0.5    25.831260   0.5 KP   
   200.4336    200.3687    6.185863  -3.700 1.656e+05  18.01    19.262383   1.5    25.448601   0.5 KP   
   200.4371    200.3722    6.185753  -2.180 2.742e+06  18.01    19.802422   0.5    25.988530   1.5 KP   
   200.4559    200.3910    6.185175  -1.630 6.485e+06  18.01    19.868497   1.5    26.054027   2.5 KP   
   200.5019    200.4370    6.183755  -2.050 3.697e+06  18.01    19.763603   1.5    25.947714   1.5 KP   
   200.5567    200.4918    6.182064  -1.200 1.744e+07  18.01    19.495848   3.5    25.678268   2.5 KP   
   200.6259    200.5610    6.179932  -1.930 4.867e+06  18.01    19.611630   1.5    25.791917   1.5 KP   
   200.7158    200.6509    6.177164  -3.160 2.864e+05  18.01    19.643907   0.5    25.821425   1.5 KP   
   200.7821    200.7172    6.175123  -1.310 1.351e+07  18.01    19.763603   1.5    25.939081   2.5 KP   
   201.1790    201.1140    6.162942  -3.210 2.540e+05  18.01    19.802422   0.5    25.965718   1.5 KP   
   201.5772    201.5121    6.150768  -1.750 7.298e+06  18.01    18.064338   1.5    24.215459   1.5 KP   
   201.5968    201.5317    6.150171  -1.720 7.818e+06  18.01    19.550330   2.5    25.700854   1.5 KP   
   201.6430    201.5779    6.148761  -4.900 1.033e+04  18.01    18.064338   1.5    24.213451   0.5 KP   
   201.6792    201.6141    6.147657  -2.740 7.460e+05  18.01    19.643907   0.5    25.791917   1.5 KP   
   201.7000    201.6349    6.147022  -2.910 3.362e+05  18.01    19.611630   1.5    25.759006   2.5 KP   
   201.7684    201.7033    6.144939  -1.870 5.525e+06  18.01    19.802422   0.5    25.947714   1.5 KP   
   201.8780    201.8129    6.141602  -4.150 5.793e+04  18.01    19.306647   0.5    25.448601   0.5 KP   
   201.9406    201.8755    6.139697  -1.800 6.481e+06  18.01    19.681376   2.5    25.821425   1.5 KP   
   201.9656    201.9005    6.138936  -4.180 2.701e+04  18.01    19.306647   0.5    25.445936   1.5 KP   
   202.3398    202.2746    6.127586  -2.090 2.207e+06  18.01    19.550330   2.5    25.678268   2.5 KP   
   202.3768    202.3116    6.126465  -0.950 2.284e+07  18.01    19.681376   2.5    25.808193   3.5 KP   
   202.5425    202.4772    6.121456  -2.410 3.163e+06  18.01    19.763603   1.5    25.885411   0.5 KP   
   202.6012    202.5359    6.119682  -2.330 1.900e+06  18.01    19.868497   1.5    25.988530   1.5 KP   
   202.6658    202.6005    6.117729  -1.530 7.988e+06  18.01    18.064338   1.5    24.182418   2.5 KP   
