Number of lines in output : 135
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   216.1995    216.1316    5.735452  -2.029 6.674e+06   4.01    10.940100   0.5    16.675200   0.5 BIE  
   216.1995    216.1316    5.735452  -1.729 6.658e+06   4.01    10.940100   0.5    16.675200   1.5 BIE  
   241.4069    241.3335    5.136564  -1.244 1.631e+07   4.01    11.964707   0.5    17.100955   1.5 BIE  
   241.4181    241.3447    5.136325  -1.944 3.255e+06   4.01    11.964945   1.5    17.100955   1.5 BIE  
   241.4181    241.3447    5.136325  -0.984 1.979e+07   4.01    11.964945   1.5    17.100955   2.5 BIE  
   245.4584    245.3841    5.051780  -1.439 1.007e+07   4.01    10.940100   0.5    15.991571   1.5 BIE  
   245.4610    245.3867    5.051726  -1.739 1.010e+07   4.01    10.940100   0.5    15.991516   0.5 BIE  
   250.8167    250.7412    4.943856  -0.991 1.804e+07   4.01    12.158037   1.5    17.101589   2.5 BIE  
   250.8202    250.7447    4.943787  -2.131 1.307e+06   4.01    12.158105   2.5    17.101589   2.5 BIE  
   250.8202    250.7447    4.943787  -0.831 1.956e+07   4.01    12.158105   2.5    17.101589   3.5 BIE  
   261.8774    261.7993    4.735046  -0.965 2.636e+07   4.01    11.964707   0.5    16.699461   1.5 BIE  
   261.8906    261.8125    4.734807  -0.705 3.197e+07   4.01    11.964945   1.5    16.699461   2.5 BIE  
   261.8906    261.8125    4.734807  -1.665 5.258e+06   4.01    11.964945   1.5    16.699461   1.5 BIE  
   269.8249    269.7449    4.595579  -1.795 7.344e+06   4.01    11.964707   0.5    16.560003   0.5 BIE  
   269.8389    269.7589    4.595340  -1.495 1.465e+07   4.01    11.964945   1.5    16.560003   0.5 BIE  
   272.9656    272.8848    4.542703  -0.668 3.204e+07   4.01    12.158037   1.5    16.700463   2.5 BIE  
   272.9696    272.8888    4.542637  -1.808 2.321e+06   4.01    12.158105   2.5    16.700463   2.5 BIE  
