Number of lines in output :  2327
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   203.5248    203.4594    6.091907  -4.480 1.777e+04   6.00     8.771723   1.0    14.863980   1.0 KP   
   206.0773    206.0114    6.016454  -4.290 2.685e+04   6.00     8.847180   0.0    14.863980   1.0 KP   
   211.5628    211.4958    5.860455  -2.670 1.062e+06   6.00     9.003189   2.0    14.863980   1.0 KP   
   217.8550    217.7868    5.691191  -1.390 1.908e+07   6.00     9.172462   0.0    14.863980   1.0 KP   
   247.9310    247.8561    5.000805  -1.303 1.800e+07   6.00     2.684192   0.0     7.685285   1.0 SW   
   254.3549    254.2785    4.874506  -2.870 4.636e+05   6.00     9.989194   1.0    14.863980   1.0 KP   
   255.7840    255.7073    4.847272  -4.540 9.801e+03   6.00    10.016430   1.0    14.863980   1.0 KP   
   258.3671    258.2898    4.798809  -4.536 9.695e+03   6.00     2.684192   0.0     7.483277   1.0 GOLY 
   259.2891    259.2116    4.781745  -4.160 2.288e+04   6.00    10.081960   0.0    14.863980   1.0 KP   
   262.4106    262.3323    4.724863  -2.930 3.794e+05   6.00    10.138846   2.0    14.863980   1.0 KP   
   265.7716    265.6925    4.665112  -1.400 1.253e+07   6.00    10.198600   0.0    14.863980   1.0 KP   
   285.4984    285.4145    4.342772  -1.160 1.887e+07   6.00    10.520958   1.0    14.863980   1.0 KP   
   286.1831    286.0991    4.332381  -2.200 1.713e+06   6.00    10.531350   1.0    14.863980   1.0 KP   
   288.1148    288.0303    4.303335  -3.540 7.725e+04   6.00    10.560398   0.0    14.863980   1.0 KP   
   288.3975    288.3129    4.299116  -4.410 1.040e+04   6.00    10.564617   2.0    14.863980   1.0 KP   
   290.0384    289.9534    4.274794  -2.460 9.164e+05   6.00    10.588941   2.0    14.863980   1.0 KP   
   290.3078    290.2228    4.270826  -2.595 6.703e+05   6.00     8.847180   0.0    13.118252   1.0 GOLY 
   290.4124    290.3273    4.269290  -2.346 1.188e+06   6.00     8.848717   1.0    13.118252   1.0 GOLY 
   290.5851    290.5000    4.266751  -1.985 2.726e+06   6.00     8.851256   2.0    13.118252   1.0 GOLY 
   291.9468    291.8614    4.246851  -1.280 1.369e+07   6.00    10.616885   0.0    14.863980   1.0 KP   
   303.3508    303.2625    4.087197  -3.630 5.664e+04   6.00    10.776548   1.0    14.863980   1.0 KP   
   303.7497    303.6613    4.081829  -3.910 2.965e+04   6.00    10.781917   1.0    14.863980   1.0 KP   
   304.8721    304.7834    4.066802  -4.280 1.255e+04   6.00    10.796945   0.0    14.863980   1.0 KP   
   306.1874    306.0984    4.049332  -3.890 3.055e+04   6.00    10.814415   2.0    14.863980   1.0 KP   
   307.3428    307.2535    4.034109  -2.530 6.946e+05   6.00    10.829639   0.0    14.863980   1.0 KP   
   314.3002    314.2092    3.944810  -4.380 9.382e+03   6.00    10.918944   1.0    14.863980   1.0 KP   
   314.6040    314.5129    3.941000  -4.430 8.346e+03   6.00    10.922754   1.0    14.863980   1.0 KP   
   315.2771    315.1858    3.932586  -4.530 6.601e+03   6.00    10.931168   0.0    14.863980   1.0 KP   
   316.2792    316.1877    3.920126  -4.460 7.707e+03   6.00    10.943629   2.0    14.863980   1.0 KP   
   317.0173    316.9256    3.910999  -3.090 1.798e+05   6.00    10.952756   0.0    14.863980   1.0 KP   
   321.4295    321.3367    3.857314  -4.690 4.394e+03   6.00    11.006445   1.0    14.863980   1.0 KP   
   321.6763    321.5834    3.854354  -4.890 2.768e+03   6.00    11.009405   1.0    14.863980   1.0 KP   
   322.9511    322.8579    3.839140  -4.810 3.302e+03   6.00    11.024620   2.0    14.863980   1.0 KP   
   323.4429    323.3496    3.833302  -3.450 7.541e+04   6.00    11.030458   0.0    14.863980   1.0 KP   
   327.9077    327.8132    3.781108  -3.760 3.593e+04   6.00    11.082655   0.0    14.863980   1.0 KP   
   344.4833    344.3846    3.599171  -4.610 1.380e+04   6.00     7.483277   1.0    11.082655   0.0 KP   
   344.5701    344.4714    3.598265  -0.940 1.290e+07   6.00     8.537673   1.0    12.136144   2.0 KP   
   345.3401    345.2412    3.590241  -3.530 3.301e+04   6.00     7.488300   2.0    11.078748   2.0 KP   
   345.9494    345.8503    3.583918  -2.570 2.143e+05   6.00     7.488300   2.0    11.072424   3.0 KP   
   346.0330    345.9339    3.583053  -4.240 1.068e+04   6.00     7.480896   0.0    11.064155   1.0 KP   
   346.2630    346.1638    3.580672  -3.790 3.007e+04   6.00     7.483277   1.0    11.064155   1.0 KP   
   346.7494    346.6501    3.575650  -3.370 7.888e+04   6.00     7.488300   2.0    11.064155   1.0 KP   
   350.1287    350.0286    3.541139  -4.280 5.711e+03   6.00     7.483277   1.0    11.024620   2.0 KP   
   350.6149    350.5146    3.536228  -3.070 9.236e+04   6.00     7.483277   1.0    11.019709   2.0 KP   
   350.6260    350.5257    3.536117  -3.610 2.664e+04   6.00     7.488300   2.0    11.024620   2.0 KP   
   351.1136    351.0132    3.531206  -2.650 2.422e+05   6.00     7.488300   2.0    11.019709   2.0 KP   
   351.5806    351.4801    3.526515  -2.800 1.222e+05   6.00     7.488300   2.0    11.015018   3.0 KP   
   351.5968    351.4963    3.526353  -4.590 2.774e+03   6.00     7.483277   1.0    11.009833   2.0 KP   
   352.0983    351.9976    3.521330  -3.690 2.197e+04   6.00     7.488300   2.0    11.009833   2.0 KP   
   352.1411    352.0404    3.520903  -4.030 1.673e+04   6.00     7.488300   2.0    11.009405   1.0 KP   
   354.7543    354.6530    3.494966  -2.980 1.110e+05   6.00     8.640977   1.0    12.136144   2.0 KP   
   355.0211    354.9197    3.492340  -4.430 3.932e+03   6.00     8.643603   2.0    12.136144   2.0 KP   
   358.3235    358.2212    3.460153  -4.350 4.641e+03   6.00     7.483277   1.0    10.943629   2.0 KP   
   358.8444    358.7420    3.455131  -3.730 1.929e+04   6.00     7.488300   2.0    10.943629   2.0 KP   
   358.9521    358.8497    3.454094  -3.420 6.560e+04   6.00     7.480896   0.0    10.935189   1.0 KP   
   359.1233    359.0208    3.452448  -3.070 8.804e+04   6.00     7.483277   1.0    10.935923   2.0 KP   
   359.1997    359.0972    3.451714  -3.730 3.209e+04   6.00     7.483277   1.0    10.935189   1.0 KP   
   359.6186    359.5160    3.447693  -3.530 1.522e+05   6.00     7.483277   1.0    10.931168   0.0 KP   
   359.6465    359.5439    3.447425  -2.610 2.532e+05   6.00     7.488300   2.0    10.935923   2.0 KP   
   359.7231    359.6205    3.446691  -2.970 1.841e+05   6.00     7.488300   2.0    10.935189   1.0 KP   
   360.2490    360.1463    3.441660  -4.110 1.330e+04   6.00     7.480896   0.0    10.922754   1.0 KP   
   360.4461    360.3433    3.439778  -4.480 3.400e+03   6.00     7.483277   1.0    10.923252   2.0 KP   
   360.4556    360.3528    3.439687  -3.110 5.693e+04   6.00     7.488300   2.0    10.928185   3.0 KP   
   360.4983    360.3955    3.439279  -3.930 2.010e+04   6.00     7.483277   1.0    10.922754   1.0 KP   
   360.9732    360.8703    3.434755  -4.020 9.777e+03   6.00     7.488300   2.0    10.923252   2.0 KP   
   364.9663    364.8623    3.397175  -2.870 6.755e+05   6.00     7.685285   1.0    11.082655   0.0 KP   
   365.3865    365.2824    3.393268  -2.420 3.799e+05   6.00     7.685285   1.0    11.078748   2.0 KP   
   366.9645    366.8600    3.378676  -3.840 2.386e+04   6.00     7.685285   1.0    11.064155   1.0 KP   
   368.5406    368.4357    3.364227  -3.850 1.387e+04   6.00     8.771723   1.0    12.136144   2.0 KP   
   370.6611    370.5557    3.344981  -2.760 8.437e+05   6.00     7.685285   1.0    11.030458   0.0 KP   
   371.3091    371.2035    3.339144  -2.370 4.127e+05   6.00     7.685285   1.0    11.024620   2.0 KP   
   371.8560    371.7503    3.334233  -3.610 2.368e+04   6.00     7.685285   1.0    11.019709   2.0 KP   
   372.2228    372.1170    3.330947  -4.620 2.310e+03   6.00     7.483277   1.0    10.814415   2.0 KP   
   372.7849    372.6789    3.325924  -3.890 1.237e+04   6.00     7.488300   2.0    10.814415   2.0 KP   
   372.9607    372.8547    3.324357  -3.510 2.964e+04   6.00     7.685285   1.0    11.009833   2.0 KP   
   373.0086    372.9026    3.323929  -3.570 4.301e+04   6.00     7.685285   1.0    11.009405   1.0 KP   
   373.3411    373.2350    3.320970  -3.360 6.963e+04   6.00     7.685285   1.0    11.006445   1.0 KP   
   373.5568    373.4506    3.319052  -3.200 1.005e+05   6.00     7.480896   0.0    10.800139   1.0 KP   
   373.6840    373.5778    3.317922  -2.930 1.122e+05   6.00     7.483277   1.0    10.801390   2.0 KP   
   373.8249    373.7186    3.316671  -3.430 5.911e+04   6.00     7.483277   1.0    10.800139   1.0 KP   
   374.1853    374.0789    3.313477  -3.270 2.558e+05   6.00     7.483277   1.0    10.796945   0.0 KP   
   374.2505    374.1441    3.312900  -2.490 3.082e+05   6.00     7.488300   2.0    10.801390   2.0 KP   
   374.3919    374.2855    3.311649  -2.900 1.997e+05   6.00     7.488300   2.0    10.800139   1.0 KP   
   375.8110    375.7042    3.299143  -3.550 1.901e+04   6.00     7.488300   2.0    10.787633   3.0 KP   
   375.8900    375.7832    3.298450  -4.250 8.849e+03   6.00     7.483277   1.0    10.781917   1.0 KP   
   376.2308    376.1239    3.295462  -4.740 2.858e+03   6.00     7.480896   0.0    10.776548   1.0 KP   
   376.3316    376.2247    3.294580  -4.250 5.297e+03   6.00     7.488300   2.0    10.783069   2.0 KP   
   377.1720    377.0649    3.287238  -4.550 2.643e+03   6.00     8.848717   1.0    12.136144   2.0 KP   
   377.4636    377.3564    3.284699  -4.220 5.642e+03   6.00     8.851256   2.0    12.136144   2.0 KP   
   379.4755    379.3678    3.267284  -2.620 1.111e+06   6.00     7.685285   1.0    10.952756   0.0 KP   
   380.5385    380.4305    3.258158  -2.300 4.617e+05   6.00     7.685285   1.0    10.943629   2.0 KP   
   381.4406    381.3324    3.250452  -3.570 2.468e+04   6.00     7.685285   1.0    10.935923   2.0 KP   
   381.9994    381.8910    3.245697  -4.090 3.715e+04   6.00     7.685285   1.0    10.931168   0.0 KP   
   382.9333    382.8247    3.237782  -3.800 1.442e+04   6.00     7.685285   1.0    10.923252   2.0 KP   
   382.9922    382.8836    3.237283  -3.240 8.722e+04   6.00     7.685285   1.0    10.922754   1.0 KP   
   383.4435    383.3347    3.233473  -3.200 9.541e+04   6.00     7.685285   1.0    10.918944   1.0 KP   
   394.3339    394.2223    3.144174  -2.420 1.631e+06   6.00     7.685285   1.0    10.829639   0.0 KP   
   395.3857    395.2738    3.135810  -4.200 2.692e+04   6.00     7.946665   1.0    11.082655   0.0 KP   
   395.7688    395.6568    3.132775  -1.500 2.693e+06   6.00     9.003189   2.0    12.136144   2.0 KP   
   395.8330    395.7210    3.132266  -3.490 2.755e+04   6.00     7.946301   3.0    11.078748   2.0 KP   
   395.8789    395.7669    3.131903  -4.770 1.446e+03   6.00     7.946665   1.0    11.078748   2.0 KP   
   395.8961    395.7841    3.131767  -3.800 1.349e+04   6.00     7.946801   2.0    11.078748   2.0 KP   
   396.2524    396.1403    3.128951  -2.140 6.155e+05   6.00     7.685285   1.0    10.814415   2.0 KP   
   396.6337    396.5215    3.125943  -3.040 5.524e+04   6.00     7.946301   3.0    11.072424   3.0 KP   
   396.6971    396.5849    3.125444  -3.950 6.794e+03   6.00     7.946801   2.0    11.072424   3.0 KP   
   397.7320    397.6195    3.117311  -3.390 5.726e+04   6.00     7.946665   1.0    11.064155   1.0 KP   
   397.7494    397.6369    3.117175  -3.760 2.442e+04   6.00     7.946801   2.0    11.064155   1.0 KP   
   397.9088    397.7963    3.115926  -3.630 1.975e+04   6.00     7.685285   1.0    10.801390   2.0 KP   
   398.4772    398.3645    3.111482  -4.220 2.531e+04   6.00     7.685285   1.0    10.796945   0.0 KP   
   399.8933    399.7803    3.100463  -4.140 6.043e+03   6.00     7.488300   2.0    10.588941   2.0 KP   
   400.2621    400.1490    3.097606  -4.260 4.576e+03   6.00     7.685285   1.0    10.783069   2.0 KP   
   400.4110    400.2978    3.096455  -3.060 1.208e+05   6.00     7.685285   1.0    10.781917   1.0 KP   
   401.1064    400.9930    3.091086  -2.780 2.293e+05   6.00     7.685285   1.0    10.776548   1.0 KP   
   402.0781    401.9645    3.083616  -4.310 2.021e+04   6.00     7.946665   1.0    11.030458   0.0 KP   
   402.3251    402.2114    3.081723  -2.770 2.333e+05   6.00     7.480896   0.0    10.562796   1.0 KP   
   402.3981    402.2844    3.081163  -2.650 1.844e+05   6.00     7.483277   1.0    10.564617   2.0 KP   
   402.6361    402.5223    3.079342  -2.870 1.850e+05   6.00     7.483277   1.0    10.562796   1.0 KP   
   402.7931    402.6793    3.078142  -3.380 3.428e+04   6.00     7.946301   3.0    11.024620   2.0 KP   
   402.8407    402.7269    3.077779  -4.740 1.496e+03   6.00     7.946665   1.0    11.024620   2.0 KP   
   402.8585    402.7447    3.077642  -3.750 1.462e+04   6.00     7.946801   2.0    11.024620   2.0 KP   
   402.9499    402.8361    3.076944  -2.870 5.541e+05   6.00     7.483277   1.0    10.560398   0.0 KP   
   403.0552    402.9413    3.076141  -2.190 5.302e+05   6.00     7.488300   2.0    10.564617   2.0 KP   
   403.2939    403.1800    3.074319  -2.790 2.217e+05   6.00     7.488300   2.0    10.562796   1.0 KP   
   403.4368    403.3228    3.073231  -2.280 4.301e+05   6.00     7.946301   3.0    11.019709   2.0 KP   
   403.4845    403.3705    3.072868  -4.730 1.526e+03   6.00     7.946665   1.0    11.019709   2.0 KP   
   403.5024    403.3884    3.072731  -3.300 4.106e+04   6.00     7.946801   2.0    11.019709   2.0 KP   
   404.0535    403.9394    3.068540  -2.870 7.873e+04   6.00     7.946301   3.0    11.015018   3.0 KP   
   404.1193    404.0052    3.068041  -3.780 9.683e+03   6.00     7.946801   2.0    11.015018   3.0 KP   
   404.7374    404.6231    3.063355  -4.070 6.931e+03   6.00     7.946301   3.0    11.009833   2.0 KP   
   404.7854    404.6711    3.062992  -3.860 1.124e+04   6.00     7.946665   1.0    11.009833   2.0 KP   
   404.8034    404.6891    3.062856  -3.090 6.617e+04   6.00     7.946801   2.0    11.009833   2.0 KP   
   404.8419    404.7276    3.062564  -3.320 6.493e+04   6.00     7.946665   1.0    11.009405   1.0 KP   
   404.8599    404.7456    3.062428  -3.930 1.594e+04   6.00     7.946801   2.0    11.009405   1.0 KP   
   405.2335    405.1191    3.059605  -3.930 1.591e+04   6.00     7.946665   1.0    11.006445   1.0 KP   
   405.2516    405.1372    3.059468  -4.060 1.179e+04   6.00     7.946801   2.0    11.006445   1.0 KP   
   406.4725    406.3577    3.050279  -3.782 2.223e+04   6.00     7.480896   0.0    10.531350   1.0 MWRB 
   406.5416    406.4268    3.049760  -3.430 2.999e+04   6.00     7.483277   1.0    10.533213   2.0 MWRB 
   406.6391    406.5243    3.049029  -3.159 3.996e+04   6.00     7.488300   2.0    10.537504   3.0 MWRB 
   406.7899    406.6751    3.047898  -3.907 1.664e+04   6.00     7.483277   1.0    10.531350   1.0 MWRB 
   407.2122    407.0972    3.044738  -3.907 9.966e+03   6.00     7.488300   2.0    10.533213   2.0 MWRB 
   412.4710    412.3547    3.005919  -4.100 3.114e+04   6.00     7.946665   1.0    10.952756   0.0 KP   
   413.6770    413.5604    2.997156  -3.070 6.635e+04   6.00     7.946301   3.0    10.943629   2.0 KP   
   413.7460    413.6293    2.996656  -4.220 4.696e+03   6.00     7.946801   2.0    10.943629   2.0 KP   
   414.7433    414.6264    2.989450  -2.020 7.406e+05   6.00     7.946301   3.0    10.935923   2.0 KP   
   414.7937    414.6768    2.989087  -3.700 1.547e+04   6.00     7.946665   1.0    10.935923   2.0 KP   
   414.8126    414.6957    2.988950  -2.610 1.903e+05   6.00     7.946801   2.0    10.935923   2.0 KP   
   414.8956    414.7786    2.988353  -2.760 2.245e+05   6.00     7.946665   1.0    10.935189   1.0 KP   
   414.9145    414.7975    2.988216  -2.360 5.638e+05   6.00     7.946801   2.0    10.935189   1.0 KP   
   415.4546    415.3375    2.984332  -2.650 8.651e+05   6.00     7.946665   1.0    10.931168   0.0 KP   
   415.8196    415.7024    2.981712  -2.620 1.322e+05   6.00     7.946301   3.0    10.928185   3.0 KP   
   415.8893    415.7721    2.981213  -3.520 1.664e+04   6.00     7.946801   2.0    10.928185   3.0 KP   
   416.5086    416.3912    2.976780  -2.950 8.628e+04   6.00     7.946301   3.0    10.923252   2.0 KP   
   416.5594    416.4420    2.976417  -3.810 1.191e+04   6.00     7.946665   1.0    10.923252   2.0 KP   
   416.5785    416.4611    2.976280  -3.290 3.942e+04   6.00     7.946801   2.0    10.923252   2.0 KP   
   416.6292    416.5118    2.975918  -4.850 1.809e+03   6.00     7.946665   1.0    10.922754   1.0 KP   
   416.6483    416.5309    2.975782  -3.010 1.252e+05   6.00     7.946801   2.0    10.922754   1.0 KP   
   417.1633    417.0457    2.972108  -3.400 5.086e+04   6.00     7.946665   1.0    10.918944   1.0 KP   
   417.1824    417.0648    2.971972  -4.140 9.254e+03   6.00     7.946801   2.0    10.918944   1.0 KP   
   422.9517    422.8326    2.931432  -2.794 5.992e+05   6.00     7.685285   1.0    10.616885   0.0 MWRB 
   427.0221    426.9020    2.903490  -2.542 2.100e+05   6.00     7.685285   1.0    10.588941   2.0 MWRB 
   430.0855    429.9645    2.882809  -3.880 4.754e+04   6.00     7.946665   1.0    10.829639   0.0 KP   
   430.6295    430.5084    2.879168  -3.850 1.016e+04   6.00     7.685285   1.0    10.564617   2.0 KP   
   431.2615    431.1402    2.874948  -4.440 1.302e+04   6.00     7.685285   1.0    10.560398   0.0 KP   
   432.3139    432.1924    2.867949  -2.850 1.008e+05   6.00     7.946301   3.0    10.814415   2.0 KP   
   432.3892    432.2676    2.867450  -3.900 8.983e+03   6.00     7.946801   2.0    10.814415   2.0 KP   
   434.2862    434.1641    2.854925  -1.490 2.289e+06   6.00     7.946301   3.0    10.801390   2.0 KP   
   434.3415    434.2194    2.854561  -3.280 3.711e+04   6.00     7.946665   1.0    10.801390   2.0 KP   
   434.3622    434.2401    2.854425  -2.150 5.006e+05   6.00     7.946801   2.0    10.801390   2.0 KP   
   434.5319    434.4098    2.853310  -2.220 7.095e+05   6.00     7.946665   1.0    10.800139   1.0 KP   
   434.5527    434.4306    2.853174  -1.790 1.909e+06   6.00     7.946801   2.0    10.800139   1.0 KP   
   435.0188    434.8965    2.850117  -2.110 2.736e+06   6.00     7.946665   1.0    10.796945   0.0 KP   
   435.6630    435.5406    2.845902  -3.330 5.479e+04   6.00     7.685285   1.0    10.531350   1.0 KP   
   436.3889    436.2663    2.841169  -2.140 3.625e+05   6.00     7.946301   3.0    10.787633   3.0 KP   
   436.4657    436.3431    2.840669  -3.040 4.562e+04   6.00     7.946801   2.0    10.787633   3.0 KP   
   437.0910    436.9682    2.836605  -2.690 1.426e+05   6.00     7.946301   3.0    10.783069   2.0 KP   
   437.1470    437.0242    2.836241  -3.190 4.507e+04   6.00     7.946665   1.0    10.783069   2.0 KP   
   437.1680    437.0452    2.836105  -2.590 1.794e+05   6.00     7.946801   2.0    10.783069   2.0 KP   
   437.2595    437.1367    2.835511  -2.333 5.402e+05   6.00     7.685285   1.0    10.520958   1.0 MWRB 
   437.3246    437.2017    2.835090  -3.120 8.819e+04   6.00     7.946665   1.0    10.781917   1.0 KP   
   437.3456    437.2227    2.834953  -2.840 1.680e+05   6.00     7.946801   2.0    10.781917   1.0 KP   
   438.1543    438.0312    2.829721  -3.040 1.056e+05   6.00     7.946665   1.0    10.776548   1.0 KP   
   438.1754    438.0523    2.829585  -3.820 1.753e+04   6.00     7.946801   2.0    10.776548   1.0 KP   
   464.3532    464.2232    2.670067  -2.970 3.315e+05   6.00     7.946665   1.0    10.616885   0.0 KP   
   467.8001    467.6692    2.650393  -4.140 4.416e+03   6.00     7.488300   2.0    10.138846   2.0 KP   
   469.1996    469.0683    2.642488  -2.090 4.925e+05   6.00     7.946301   3.0    10.588941   2.0 KP   
   469.2641    469.1328    2.642125  -3.680 1.266e+04   6.00     7.946665   1.0    10.588941   2.0 KP   
   469.2884    469.1571    2.641988  -2.620 1.453e+05   6.00     7.946801   2.0    10.588941   2.0 KP   
   473.5584    473.4260    2.618166  -2.090 4.835e+05   6.00     7.946301   3.0    10.564617   2.0 KP-2 
   473.6241    473.4917    2.617803  -4.100 4.724e+03   6.00     7.946665   1.0    10.564617   2.0 KP-2 
   473.6488    473.5163    2.617666  -2.890 7.660e+04   6.00     7.946801   2.0    10.564617   2.0 KP-2 
   473.7017    473.5692    2.617374  -4.920 7.147e+02   6.00     8.537673   1.0    11.155197   2.0 KP-2 
   473.9539    473.8214    2.615981  -2.870 1.335e+05   6.00     7.946665   1.0    10.562796   1.0 KP-2 
   473.9786    473.8461    2.615845  -2.360 4.320e+05   6.00     7.946801   2.0    10.562796   1.0 KP-2 
   474.3887    474.2561    2.613583  -2.720 5.648e+05   6.00     7.946665   1.0    10.560398   0.0 KP-2 
   476.3645    476.2313    2.602743  -2.530 2.892e+05   6.00     7.480896   0.0    10.083789   1.0 MWRB 
   476.3865    476.2533    2.602623  -2.445 2.110e+05   6.00     7.483277   1.0    10.086050   2.0 MWRB 
   476.8005    476.6672    2.600363  -2.309 4.801e+05   6.00     7.483277   1.0    10.083789   1.0 MWRB 
   477.1361    477.0027    2.598534  -2.722 5.557e+05   6.00     7.483277   1.0    10.081960   0.0 MWRB 
   477.3076    477.1742    2.597600  -2.120 4.442e+05   6.00     7.488300   2.0    10.086050   2.0 MWRB 
   477.7232    477.5897    2.595340  -2.163 6.693e+05   6.00     7.488300   2.0    10.083789   1.0 MWRB 
   478.0905    477.9569    2.593346  -4.960 6.399e+02   6.00     8.537673   1.0    11.131168   2.0 KP   
   478.5135    478.3798    2.591054  -2.560 1.146e+05   6.00     7.946301   3.0    10.537504   3.0 KP-2 
   478.6058    478.4720    2.590554  -3.470 1.410e+04   6.00     7.946801   2.0    10.537504   3.0 KP-2 
