Number of lines in output :  694
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   201.8576    201.7925    6.142223  -1.812 1.262e+07   6.01    16.332842   0.5    22.475417   0.5 MC   
   201.9030    201.8379    6.140840  -1.512 2.517e+07   6.01    16.334224   1.5    22.475417   0.5 MC   
   202.3781    202.3129    6.126426  -3.190 2.629e+05   6.01    20.702682   0.5    26.829459   1.5 KP   
   202.3888    202.3236    6.126101  -3.250 1.526e+05   6.01    20.705608   1.5    26.832061   2.5 KP   
   202.4467    202.3815    6.124349  -3.890 1.048e+05   6.01    20.702682   0.5    26.827383   0.5 KP   
   202.4748    202.4096    6.123500  -3.690 8.305e+04   6.01    20.705608   1.5    26.829459   1.5 KP   
   202.5436    202.4783    6.121423  -3.190 5.249e+05   6.01    20.705608   1.5    26.827383   0.5 KP   
   202.5733    202.5080    6.120524  -2.880 3.571e+05   6.01    20.711185   2.5    26.832061   2.5 KP   
   202.6594    202.5941    6.117923  -3.160 2.809e+05   6.01    20.711185   2.5    26.829459   1.5 KP   
   203.8748    203.8093    6.081451  -1.840 3.866e+06   6.01    22.900308   1.5    28.982108   2.5 KP   
   204.0719    204.0064    6.075574  -2.010 3.913e+06   6.01    22.900308   1.5    28.976231   1.5 KP   
   204.1653    204.0998    6.072797  -2.310 3.919e+06   6.01    22.900308   1.5    28.973453   0.5 KP   
   204.9154    204.8497    6.050569  -2.750 7.062e+05   6.01    20.702682   0.5    26.753598   1.5 KP   
   205.0145    204.9488    6.047643  -2.450 1.408e+06   6.01    20.705608   1.5    26.753598   1.5 KP   
   205.2037    205.1380    6.042066  -2.270 2.127e+06   6.01    20.711185   2.5    26.753598   1.5 KP   
   205.2446    205.1789    6.040861  -1.500 1.252e+07   6.01    22.529034   0.5    28.570242   1.5 GUES 
   205.2462    205.1805    6.040815  -1.000 2.639e+07   6.01    22.530816   1.5    28.571978   2.5 GUES 
