Number of lines in output :  6258
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   202.4809    202.4157    6.123314  -4.176 3.616e+04  20.00     2.709192   2.0     8.832858   1.0 K88  
   202.8655    202.8002    6.111706  -4.490 1.748e+04  20.00     2.523157   2.0     8.635214   1.0 K88  
   203.4531    203.3877    6.094054  -2.104 4.227e+06  20.00     2.709192   2.0     8.803596   1.0 K88  
   204.3429    204.2773    6.067521  -3.375 2.245e+05  20.00     2.709192   2.0     8.777061   1.0 K88  
   204.5084    204.4428    6.062608  -4.270 2.855e+04  20.00     2.523157   2.0     8.586113   1.0 K88  
   205.1011    205.0354    6.045090  -1.155 3.699e+07  20.00     0.000000   0.0     6.045437   1.0 K88  
   205.4661    205.4003    6.034350  -3.075 4.431e+05  20.00     0.000000   0.0     6.034697   1.0 K88  
   205.8561    205.7902    6.022920  -4.129 3.898e+04  20.00     2.521433   1.0     8.544699   1.0 K88  
   205.9150    205.8491    6.021197  -3.820 7.936e+04  20.00     2.523157   2.0     8.544699   1.0 K88  
   205.9262    205.8603    6.020869  -4.326 2.475e+04  20.00     0.000000   0.0     6.021215   1.0 K88  
   206.5173    206.4513    6.003634  -4.584 1.359e+04  20.00     0.000000   0.0     6.003979   1.0 K88  
   207.2945    207.2284    5.981123  -3.547 1.468e+05  20.00     0.000000   0.0     5.981467   1.0 K88  
   208.3442    208.2779    5.950990  -3.017 4.925e+05  20.00     0.000000   0.0     5.951332   1.0 K88  
   209.2341    209.1676    5.925682  -2.551 1.428e+06  20.00     2.709192   2.0     8.635214   1.0 K88  
   209.8103    209.7437    5.909406  -2.592 1.292e+06  20.00     0.000000   0.0     5.909746   1.0 K88  
   210.9821    210.9153    5.876583  -1.957 5.515e+06  20.00     2.709192   2.0     8.586113   1.0 K88  
   211.9346    211.8676    5.850175  -4.954 5.503e+03  20.00     0.000000   0.0     5.850511   1.0 K88  
   212.4795    212.4124    5.835172  -3.532 1.447e+05  20.00     2.709192   2.0     8.544699   1.0 K88  
   215.1472    215.0795    5.762820  -1.900 6.047e+06  20.00     0.000000   0.0     5.763151   1.0 NBS  
   216.3156    216.2477    5.731691  -4.017 4.569e+04  20.00     2.523157   2.0     8.255177   1.0 K88  
   220.1414    220.0727    5.632083  -1.478 1.526e+07  20.00     0.000000   0.0     5.632406   1.0 NBS  
   221.7504    221.6814    5.591215  -4.280 2.373e+04  20.00     2.523157   2.0     8.114693   1.0 K88  
   223.5717    223.5023    5.545666  -2.318 2.139e+06  20.00     2.709192   2.0     8.255177   1.0 K88  
   224.0061    223.9366    5.534913  -3.174 2.968e+05  20.00     2.521433   1.0     8.056665   1.0 K88  
   224.0758    224.0063    5.533190  -2.732 8.208e+05  20.00     2.523157   2.0     8.056665   1.0 K88  
   226.1927    226.1227    5.481409  -2.758 7.587e+05  20.00     1.879467   0.0     7.361190   1.0 K88  
   226.3419    226.2719    5.477793  -2.903 3.256e+05  20.00     1.885935   1.0     7.364042   2.0 K88  
   226.4599    226.3898    5.474941  -2.925 5.153e+05  20.00     1.885935   1.0     7.361190   1.0 K88  
   226.8857    226.8156    5.464665  -2.486 8.463e+05  20.00     1.899063   2.0     7.364042   2.0 K88  
