Number of lines in output :  1809
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   407.7001    407.5850    3.041094  -4.000 1.003e+04  17.00     8.922302   2.5    11.963571   1.5 KP   
   407.7551    407.6400    3.040684  -2.890 8.613e+04  17.00     8.922302   2.5    11.963160   2.5 KP   
   410.5938    410.4780    3.019661  -2.470 3.352e+05  17.00     8.922302   2.5    11.942136   1.5 KP   
   414.8427    414.7257    2.988734  -2.180 1.280e+06  17.00     8.988043   1.5    11.976949   0.5 KP   
   416.7078    416.5904    2.975357  -3.500 3.037e+04  17.00     8.988043   1.5    11.963571   1.5 KP   
   419.7313    419.6131    2.953924  -1.750 1.683e+06  17.00     8.988043   1.5    11.942136   1.5 KP   
   420.7504    420.6319    2.946769  -1.760 3.274e+06  17.00     9.030011   0.5    11.976949   0.5 KP   
   421.0851    420.9665    2.944427  -2.160 6.506e+05  17.00     8.922302   2.5    11.866898   1.5 KP   
   422.7616    422.6426    2.932751  -2.060 8.126e+05  17.00     8.922302   2.5    11.855221   1.5 KP   
   425.7803    425.6605    2.911958  -3.250 5.172e+04  17.00     9.030011   0.5    11.942136   1.5 KP   
   426.5780    426.4580    2.906512  -1.900 7.691e+05  17.00     8.922302   2.5    11.828981   2.5 KP   
   428.1667    428.0463    2.895728  -3.300 4.559e+04  17.00     8.922302   2.5    11.818196   1.5 KP   
   430.6251    430.5040    2.879197  -2.950 5.045e+04  17.00     8.922302   2.5    11.801664   3.5 KP   
   430.7009    430.5798    2.878690  -4.500 2.843e+03  17.00     8.988043   1.5    11.866898   1.5 KP   
   431.2899    431.1686    2.874759  -4.230 3.519e+03  17.00     8.922302   2.5    11.797225   2.5 KP   
   432.4551    432.3335    2.867013  -1.350 3.983e+06  17.00     8.988043   1.5    11.855221   1.5 KP   
   432.7314    432.6097    2.865183  -3.140 1.290e+05  17.00     8.988043   1.5    11.853390   0.5 KP   
   433.9081    433.7861    2.857412  -2.090 1.440e+06  17.00     8.988043   1.5    11.845620   0.5 KP   
   436.4494    436.3268    2.840775  -1.210 3.598e+06  17.00     8.988043   1.5    11.828981   2.5 KP   
   437.0726    436.9498    2.836724  -1.560 2.404e+06  17.00     9.030011   0.5    11.866898   1.5 KP   
   437.2772    437.1544    2.835397  -2.050 5.182e+05  17.00     8.922302   2.5    11.757861   2.5 KP   
   438.1127    437.9896    2.829990  -1.950 9.748e+05  17.00     8.988043   1.5    11.818196   1.5 KP   
   438.8791    438.7558    2.825048  -2.780 1.437e+05  17.00     9.030011   0.5    11.855221   1.5 KP   
   439.0984    438.9751    2.823637  -1.280 2.269e+06  17.00     8.922302   2.5    11.746100   3.5 KP   
   439.1636    439.0403    2.823217  -1.610 4.245e+06  17.00     9.030011   0.5    11.853390   0.5 KP   
   440.3757    440.2520    2.815447  -2.530 5.075e+05  17.00     9.030011   0.5    11.845620   0.5 KP   
   440.4257    440.3020    2.815127  -1.300 4.308e+06  17.00     8.922302   2.5    11.737591   1.5 KP   
   441.3831    441.2592    2.809021  -3.620 1.369e+04  17.00     8.988043   1.5    11.797225   2.5 KP   
   443.9734    443.8488    2.792632  -1.530 1.664e+06  17.00     8.922302   2.5    11.715094   2.5 KP   
   444.7071    444.5823    2.788025  -1.730 1.570e+06  17.00     9.030011   0.5    11.818196   1.5 KP   
   444.7387    444.6139    2.787827  -1.960 1.849e+06  17.00     8.988043   1.5    11.776030   0.5 KP   
   447.0622    446.9368    2.773337  -2.370 7.118e+05  17.00     9.203453   1.5    11.976949   0.5 KP   
   447.3104    447.1849    2.771799  -3.450 2.957e+04  17.00     8.922302   2.5    11.694260   1.5 KP   
   447.6560    447.5304    2.769659  -1.630 1.300e+06  17.00     8.988043   1.5    11.757861   2.5 KP   
   449.2292    449.1032    2.759960  -2.730 1.539e+05  17.00     9.203453   1.5    11.963571   1.5 KP   
   449.2960    449.1700    2.759549  -2.730 1.025e+05  17.00     9.203453   1.5    11.963160   2.5 KP   
   450.9563    450.8298    2.749390  -2.250 4.611e+05  17.00     8.988043   1.5    11.737591   1.5 KP   
   451.5357    451.4091    2.745862  -3.320 7.829e+04  17.00     9.030011   0.5    11.776030   0.5 KP   
   452.7451    452.6182    2.738526  -1.010 7.950e+06  17.00     9.203453   1.5    11.942136   1.5 KP   
   454.6763    454.5489    2.726895  -2.420 2.044e+05  17.00     8.988043   1.5    11.715094   2.5 KP   
   457.9461    457.8178    2.707424  -2.540 2.293e+05  17.00     9.030011   0.5    11.737591   1.5 KP   
   458.1768    458.0484    2.706061  -3.160 5.495e+04  17.00     8.988043   1.5    11.694260   1.5 KP   
   460.2266    460.0977    2.694009  -1.760 2.736e+06  17.00     9.282786   0.5    11.976949   0.5 KP   
   462.0684    461.9390    2.683270  -4.310 7.650e+03  17.00     9.030011   0.5    11.713435   0.5 KP   
   462.5233    462.3938    2.680631  -2.750 1.386e+05  17.00     9.282786   0.5    11.963571   1.5 KP   
   465.3941    465.2638    2.664096  -4.880 1.015e+03  17.00     9.030011   0.5    11.694260   1.5 KP   
   465.5344    465.4041    2.663293  -3.850 1.087e+04  17.00     9.203453   1.5    11.866898   1.5 KP   
   466.2513    466.1208    2.659198  -2.670 1.640e+05  17.00     9.282786   0.5    11.942136   1.5 KP   
   467.5844    467.4536    2.651616  -1.690 1.557e+06  17.00     9.203453   1.5    11.855221   1.5 KP   
   467.9074    467.7765    2.649785  -3.850 2.152e+04  17.00     9.203453   1.5    11.853390   0.5 KP   
   469.2836    469.1523    2.642015  -1.930 1.779e+06  17.00     9.203453   1.5    11.845620   0.5 KP   
   472.2576    472.1255    2.625377  -2.120 3.781e+05  17.00     9.203453   1.5    11.828981   2.5 KP   
   474.2055    474.0729    2.614593  -2.180 4.899e+05  17.00     9.203453   1.5    11.818196   1.5 KP   
   478.0394    477.9058    2.593624  -3.060 4.237e+04  17.00     9.203453   1.5    11.797225   2.5 KP   
   479.8265    479.6924    2.583964  -1.490 2.344e+06  17.00     9.282786   0.5    11.866898   1.5 KP   
   481.9780    481.8433    2.572430  -1.490 4.646e+06  17.00     9.203453   1.5    11.776030   0.5 KP   
   482.0046    481.8699    2.572287  -2.080 5.970e+05  17.00     9.282786   0.5    11.855221   1.5 KP   
   482.3479    482.2131    2.570457  -1.640 3.284e+06  17.00     9.282786   0.5    11.853390   0.5 KP   
   483.8103    483.6752    2.562687  -1.780 2.365e+06  17.00     9.282786   0.5    11.845620   0.5 KP   
   485.4062    485.2706    2.554262  -2.190 3.046e+05  17.00     9.203453   1.5    11.757861   2.5 KP   
   489.0434    488.9069    2.535264  -1.340 3.187e+06  17.00     9.282786   0.5    11.818196   1.5 KP   
   489.2889    489.1523    2.533993  -1.900 8.769e+05  17.00     9.203453   1.5    11.737591   1.5 KP   
   493.6714    493.5336    2.511497  -2.950 5.118e+04  17.00     9.203453   1.5    11.715094   2.5 KP   
   493.9976    493.8598    2.509839  -2.390 5.567e+05  17.00     9.203453   1.5    11.713435   0.5 KP   
   495.4609    495.3227    2.502426  -4.660 1.486e+03  17.00    10.281326   2.5    12.783896   1.5 KP   
   495.4800    495.3418    2.502330  -3.520 1.367e+04  17.00    10.281326   2.5    12.783799   2.5 KP   
   497.3141    497.1754    2.493101  -2.240 7.760e+05  17.00     9.282786   0.5    11.776030   0.5 KP   
   497.8008    497.6619    2.490664  -1.460 2.333e+06  17.00     9.203453   1.5    11.694260   1.5 KP   
   500.7205    500.5809    2.476140  -4.320 3.183e+03  17.00    10.307613   1.5    12.783896   1.5 KP   
   505.1015    504.9607    2.454664  -4.290 3.352e+03  17.00     9.282786   0.5    11.737591   1.5 KP   
   510.1210    509.9789    2.430510  -1.850 1.810e+06  17.00     9.282786   0.5    11.713435   0.5 KP   
   514.1774    514.0342    2.411336  -2.180 4.167e+05  17.00     9.282786   0.5    11.694260   1.5 KP   
   518.6542    518.5098    2.390522  -2.710 2.417e+05  17.00    10.307613   1.5    12.698273   0.5 KP   
   518.9786    518.8341    2.389028  -3.380 1.721e+04  17.00    10.281326   2.5    12.670491   2.5 KP   
   520.6353    520.4904    2.381426  -3.660 8.972e+03  17.00    10.402236   3.5    12.783799   2.5 KP   
   521.1062    520.9611    2.379274  -2.590 1.578e+05  17.00    10.281326   2.5    12.660737   1.5 KP   
   524.0687    523.9229    2.365824  -3.470 2.057e+04  17.00    10.281326   2.5    12.647286   1.5 KP   
   524.4045    524.2586    2.364309  -2.350 1.806e+05  17.00    10.281326   2.5    12.645771   2.5 KP   
   525.0269    524.8808    2.361506  -3.350 5.404e+04  17.00    10.336631   0.5    12.698273   0.5 KP   
   525.5881    525.4418    2.358985  -3.230 3.554e+04  17.00    10.281326   2.5    12.640446   1.5 KP   
   526.1162    525.9698    2.356617  -2.920 1.449e+05  17.00    10.307613   1.5    12.664366   0.5 KP   
   526.9276    526.7810    2.352988  -2.890 7.737e+04  17.00    10.307613   1.5    12.660737   1.5 KP   
   527.1521    527.0054    2.351986  -4.620 1.439e+03  17.00    10.431775   2.5    12.783896   1.5 KP   
   527.1738    527.0271    2.351889  -3.730 7.448e+03  17.00    10.431775   2.5    12.783799   2.5 KP   
   527.9812    527.8343    2.348293  -1.310 1.953e+06  17.00    10.281326   2.5    12.629753   2.5 KP   
   528.3528    528.2058    2.346641  -2.270 3.208e+05  17.00    10.281326   2.5    12.628102   1.5 KP   
   529.5334    529.3861    2.341409  -2.050 3.533e+05  17.00    10.281326   2.5    12.622869   2.5 KP   
   529.9569    529.8095    2.339538  -3.320 2.842e+04  17.00    10.307613   1.5    12.647286   1.5 KP   
   530.3003    530.1528    2.338023  -1.670 8.451e+05  17.00    10.307613   1.5    12.645771   2.5 KP   
   530.9148    530.7671    2.335317  -2.160 2.046e+05  17.00    10.281326   2.5    12.616777   3.5 KP   
   531.5106    531.3628    2.332699  -3.510 1.824e+04  17.00    10.307613   1.5    12.640446   1.5 KP   
   531.5106    531.3628    2.332699  -3.550 3.327e+04  17.00    10.307613   1.5    12.640446   0.5 KP   
   531.7317    531.5838    2.331729  -3.190 3.808e+04  17.00    10.281326   2.5    12.613189   1.5 KP   
   532.6747    532.5266    2.327601  -3.680 2.456e+04  17.00    10.336631   0.5    12.664366   0.5 KP   
   533.5066    533.3582    2.323972  -2.430 2.177e+05  17.00    10.336631   0.5    12.660737   1.5 KP   
   533.9582    533.8097    2.322007  -1.610 9.571e+05  17.00    10.307613   1.5    12.629753   2.5 KP   
   534.3382    534.1896    2.320355  -3.780 9.692e+03  17.00    10.307613   1.5    12.628102   1.5 KP   
   535.5457    535.3968    2.315123  -2.020 3.702e+05  17.00    10.307613   1.5    12.622869   2.5 KP   
   536.6122    536.4630    2.310522  -2.320 2.772e+05  17.00    10.336631   0.5    12.647286   1.5 KP   
   537.1489    536.9996    2.308214  -3.550 1.629e+04  17.00    10.475550   1.5    12.783896   1.5 KP   
   537.1714    537.0221    2.308117  -3.610 9.457e+03  17.00    10.475550   1.5    12.783799   2.5 KP   
   537.7943    537.6448    2.305444  -4.980 6.037e+02  17.00    10.307613   1.5    12.613189   1.5 KP   
   538.2052    538.0556    2.303683  -4.000 5.757e+03  17.00    10.336631   0.5    12.640446   1.5 KP   
   538.2052    538.0556    2.303683  -4.170 7.784e+03  17.00    10.336631   0.5    12.640446   0.5 KP   
   539.3375    539.1876    2.298847  -3.120 4.349e+04  17.00    10.281326   2.5    12.580305   1.5 KP   
   540.3270    540.1768    2.294637  -1.860 5.256e+05  17.00    10.281326   2.5    12.576095   2.5 KP   
   541.1047    540.9543    2.291339  -1.650 1.275e+06  17.00    10.336631   0.5    12.628102   1.5 KP   
   541.5493    541.3988    2.289458  -4.300 5.699e+03  17.00    10.307613   1.5    12.597203   0.5 KP   
   541.6598    541.5093    2.288991  -1.950 1.275e+06  17.00    10.307613   1.5    12.596735   0.5 KP   
   541.9103    541.7597    2.287933  -2.900 4.766e+04  17.00    10.495735   2.5    12.783799   2.5 KP   
   543.0803    542.9294    2.283004  -3.740 1.029e+04  17.00    10.500761   0.5    12.783896   1.5 KP   
   544.6491    544.4978    2.276428  -2.680 1.174e+05  17.00    10.336631   0.5    12.613189   1.5 KP   
   545.5758    545.4242    2.272561  -3.360 2.445e+04  17.00    10.307613   1.5    12.580305   1.5 KP   
   546.0895    545.9378    2.270423  -4.020 2.670e+03  17.00    10.281326   2.5    12.551880   3.5 KP   
   546.3157    546.1639    2.269484  -2.200 2.350e+05  17.00    10.281326   2.5    12.550940   2.5 KP   
   546.5884    546.4365    2.268351  -2.210 2.294e+05  17.00    10.307613   1.5    12.576095   2.5 KP   
   546.6431    546.4912    2.268124  -4.400 1.481e+03  17.00    10.402236   3.5    12.670491   2.5 KP   
   547.8354    547.6832    2.263188  -1.970 5.953e+05  17.00    10.281326   2.5    12.544644   1.5 KP   
   548.5009    548.3485    2.260442  -4.970 1.188e+03  17.00    10.336631   0.5    12.597203   0.5 KP   
   548.6143    548.4619    2.259975  -1.800 1.756e+06  17.00    10.336631   0.5    12.596735   0.5 KP   
   551.4520    551.2988    2.248345  -3.510 1.130e+04  17.00    10.281326   2.5    12.529800   2.5 KP   
   551.6787    551.5255    2.247421  -2.440 1.989e+05  17.00    10.281326   2.5    12.528876   1.5 KP   
   552.0701    551.9168    2.245828  -3.980 5.729e+03  17.00    10.537939   1.5    12.783896   1.5 KP   
   552.0939    551.9406    2.245731  -2.370 1.556e+05  17.00    10.537939   1.5    12.783799   2.5 KP   
