Number of lines in output :  3681
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.1441    200.0793    6.194809  -1.684 6.894e+06  27.01     0.117856   3.0     6.313020   2.0 K88  
   200.1483    200.0835    6.194678  -2.970 3.568e+05  27.01     1.662056   1.0     7.857090   2.0 K88  
   200.1533    200.0885    6.194525  -2.728 2.831e+05  27.01     7.611709   4.0    13.806589   5.0 K88  
   200.2066    200.1418    6.192874  -3.406 5.940e+04  27.01     8.890663   5.0    15.083893   5.0 K88  
   200.2454    200.1806    6.191673  -3.067 1.584e+05  27.01     6.387156   3.0    12.579184   4.0 K88  
   200.2459    200.1811    6.191658  -3.653 7.397e+04  27.01     1.403839   2.0     7.595852   2.0 K88  
   200.3403    200.2754    6.188744  -3.801 3.754e+04  27.01     0.198056   2.0     6.387156   3.0 K88  
   200.3808    200.3159    6.187493  -2.806 2.885e+05  27.01     7.593423   3.0    13.781272   4.0 K88  
   200.8314    200.7665    6.173607  -4.054 4.868e+04  27.01     2.235790   2.0     8.409752   1.0 K88  
   200.8414    200.7764    6.173302  -3.462 8.153e+04  27.01     6.476122   2.0    12.649778   3.0 K88  
   200.8865    200.8215    6.171916  -1.378 5.325e+06  27.01     2.681294   5.0     8.853565   6.0 K88  
   200.9746    200.9096    6.169209  -3.390 7.475e+04  27.01     7.611709   4.0    13.781272   4.0 K88  
   200.9950    200.9300    6.168584  -2.636 5.453e+05  27.01     2.203560   3.0     8.372498   3.0 K88  
   201.2115    201.1465    6.161945  -2.942 6.276e+05  27.01     1.444697   2.0     7.606996   1.0 K88  
   201.2161    201.1511    6.161805  -0.377 7.683e+07  27.01     0.000000   4.0     6.162159   4.0 K88  
   201.2326    201.1676    6.161299  -1.496 4.779e+06  27.01     2.729011   4.0     8.890663   5.0 K88  
   201.3116    201.2466    6.158881  -4.197 1.494e+04  27.01     6.118838   4.0    12.278073   3.0 K88  
   201.3954    201.3304    6.156318  -2.831 2.696e+05  27.01     2.379431   4.0     8.536103   4.0 K88  
   201.4527    201.3876    6.154569  -2.089 1.217e+06  27.01     2.379431   4.0     8.534353   5.0 K88  
   201.4651    201.4000    6.154190  -2.544 1.565e+06  27.01     3.085750   2.0     9.240293   1.0 K88  
   201.5097    201.4446    6.152830  -1.573 3.992e+06  27.01     7.611709   4.0    13.764892   5.0 K88  
   201.5761    201.5110    6.150802  -3.743 5.933e+04  27.01     1.444697   2.0     7.595852   2.0 K88  
   201.6100    201.5449    6.149766  -2.770 5.574e+05  27.01     2.273875   1.0     8.423994   2.0 K88  
   201.6357    201.5706    6.148984  -1.668 3.915e+06  27.01     2.779244   3.0     8.928580   4.0 K88  
   201.6557    201.5906    6.148373  -3.898 2.964e+04  27.01     1.444697   2.0     7.593423   3.0 K88  
   202.0507    201.9855    6.136356  -2.326 1.102e+06  27.01     2.235790   2.0     8.372498   3.0 K88  
   202.0780    202.0128    6.135525  -4.154 3.819e+04  27.01     2.273875   1.0     8.409752   1.0 K88  
   202.2666    202.2014    6.129803  -2.924 1.494e+05  27.01     8.853565   6.0    14.983720   6.0 K88  
