Number of lines in output : 3228
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.1237    200.0589    6.196176  -2.202 2.092e+06  29.01     8.235423   2.0    14.431219   2.0 KP   
   200.3719    200.3070    6.188502  -2.564 6.477e+05  29.01     8.235423   2.0    14.423547   3.0 KP   
   200.9933    200.9283    6.169369  -2.551 6.632e+05  29.01     8.522119   4.0    14.691110   3.0 KP   
   201.0197    200.9547    6.168559  -2.221 3.308e+06  29.01    10.587572   2.0    16.755754   1.0 KP   
   201.1445    201.0795    6.164731  -4.404 1.301e+04  29.01     8.487011   3.0    14.651365   2.0 KP   
   201.3631    201.2981    6.158037   0.083 2.845e+08  29.01     8.235423   2.0    14.393083   3.0 KP   
   201.6234    201.5583    6.150089  -1.515 1.671e+07  29.01     2.975621   1.0     9.125333   1.0 KP   
   201.7549    201.6898    6.146080  -1.416 1.257e+07  29.01     2.719002   3.0     8.864706   2.0 KP   
   201.8105    201.7454    6.144386  -3.494 1.750e+05  29.01    10.956230   2.0    17.100241   1.0 KP   
   201.8261    201.7610    6.143911  -2.565 6.369e+05  29.01     8.869379   3.0    15.012914   3.0 KP   
   202.2844    202.2192    6.129992  -0.938 2.089e+07  29.01     8.487011   3.0    14.616626   4.0 KP   
   202.6141    202.5488    6.120018  -0.586 8.430e+07  29.01     2.975621   1.0     9.095262   2.0 KP   
   202.6570    202.5917    6.118722  -2.305 1.609e+06  29.01     8.869379   3.0    14.987726   2.0 KP   
   202.7787    202.7134    6.115049  -0.398 2.163e+08  29.01     8.421148   1.0    14.535820   1.0 KP   
   202.7825    202.7172    6.114935  -1.758 2.832e+07  29.01     9.064109   1.0    15.178667   0.0 KP   
   202.8054    202.7401    6.114244  -1.849 7.653e+06  29.01    10.986372   1.0    17.100241   1.0 KP   
   202.8414    202.7761    6.113159  -1.512 7.124e+06  29.01     8.487011   3.0    14.599794   3.0 KP   
   202.8941    202.8288    6.111571  -2.560 8.925e+05  29.01    10.956230   2.0    17.067426   2.0 KP   
   202.8943    202.8290    6.111565  -2.961 3.545e+05  29.01    10.587572   2.0    16.698762   2.0 KP   
   202.8948    202.8295    6.111550  -4.352 8.005e+03  29.01     8.642864   4.0    14.754039   4.0 KP   
   203.0116    202.9463    6.108033  -4.107 1.406e+04  29.01     8.869379   3.0    14.977037   4.0 KP   
   203.0126    202.9473    6.108003  -2.178 2.148e+06  29.01     9.017212   2.0    15.124841   2.0 KP   
   203.0602    202.9949    6.106571  -0.645 1.221e+08  29.01     8.235423   2.0    14.341618   1.0 KP   
   203.1690    203.1036    6.103303   0.270 6.018e+08  29.01     8.235423   2.0    14.338350   2.0 KP   
   203.4457    203.3803    6.095000  -2.873 3.084e+05  29.01     8.869379   3.0    14.964006   3.0 KP   
   203.4497    203.3843    6.094881  -1.153 1.259e+07  29.01     8.522119   4.0    14.616626   4.0 KP   
   203.6509    203.5854    6.088861  -0.086 4.398e+08  29.01     2.975621   1.0     9.064109   1.0 KP   
   203.7575    203.6920    6.085675  -0.302 2.672e+08  29.01     8.536920   0.0    14.622221   1.0 KP   
   203.7782    203.7127    6.085057  -0.241 1.317e+08  29.01     2.832874   2.0     8.917558   3.0 KP   
   203.8998    203.8343    6.081427  -1.902 4.021e+06  29.01    10.986372   1.0    17.067426   2.0 KP   
   204.0132    203.9477    6.078046  -2.597 5.790e+05  29.01     8.522119   4.0    14.599794   3.0 KP   
   204.1339    204.0684    6.074452  -1.581 1.400e+07  29.01    11.026162   0.0    17.100241   1.0 KP   
   204.2022    204.1366    6.072422  -2.368 2.285e+06  29.01    10.587572   2.0    16.659621   1.0 KP   
   204.4458    204.3802    6.065186  -0.104 1.794e+08  29.01     2.719002   3.0     8.783815   3.0 KP   
   204.7050    204.6394    6.057504  -1.998 5.330e+06  29.01    10.956230   2.0    17.013362   1.0 KP   
   204.8335    204.7678    6.053707  -0.259 8.756e+08  29.01     9.125333   1.0    15.178667   0.0 KP   
   204.9137    204.8480    6.051337  -3.453 7.996e+04  29.01     9.017212   2.0    15.068178   3.0 KP   
   205.2706    205.2048    6.040816  -3.457 7.895e+04  29.01    10.956230   2.0    16.996675   3.0 KP   
   205.4911    205.4253    6.034333  -0.217 1.917e+08  29.01     8.663110   2.0    14.697073   2.0 KP   
   205.5076    205.4418    6.033849  -0.320 7.559e+08  29.01     8.421148   1.0    14.454627   0.0 KP   
   205.5637    205.4979    6.032202  -0.177 2.100e+08  29.01     2.832874   2.0     8.864706   2.0 KP   
   205.6943    205.6285    6.028371  -1.973 2.397e+06  29.01     8.663110   2.0    14.691110   3.0 KP   
   205.7288    205.6630    6.027360  -2.999 5.265e+05  29.01    10.986372   1.0    17.013362   1.0 KP   
   205.7801    205.7143    6.025857  -2.305 1.115e+06  29.01    10.587572   2.0    16.613059   3.0 KP   
   205.9273    205.8614    6.021552  -3.268 1.697e+05  29.01     8.869379   3.0    14.890561   2.0 KP   
   206.3079    206.2420    6.010441  -0.205 1.955e+08  29.01     8.421148   1.0    14.431219   2.0 KP   
   206.4485    206.3825    6.006350  -2.757 3.912e+05  29.01     8.642864   4.0    14.648846   3.0 KP   
   206.4490    206.3830    6.006335  -2.313 1.522e+06  29.01    10.956230   2.0    16.962198   2.0 KP   
   206.4532    206.3872    6.006213  -2.125 2.347e+06  29.01    10.587572   2.0    16.593418   2.0 KP   
   206.6921    206.6261    5.999270  -0.382 2.160e+08  29.01     8.536920   0.0    14.535820   1.0 KP   
   206.8024    206.7364    5.996069  -2.991 2.275e+05  29.01     9.017212   2.0    15.012914   3.0 KP   
   207.0596    206.9935    5.988623  -1.015 3.006e+07  29.01     8.663110   2.0    14.651365   2.0 KP   
