Number of lines in output :  1110
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   284.1452    284.0617    4.363454  -4.780 1.714e+03   9.00    12.697546   2.5    17.061251   3.5 KP   
   294.3560    294.2700    4.212092  -3.220 7.731e+04   9.00    12.985871   1.5    17.198205   2.5 KP   
   297.2715    297.1847    4.170781  -3.340 8.625e+04   9.00    13.026197   0.5    17.197218   1.5 KP   
   312.6778    312.5872    3.965278  -4.690 1.393e+03   9.00    14.505567   3.5    18.471073   4.5 KP   
   325.0508    324.9571    3.814340  -4.790 5.119e+03   9.00    14.400940   0.5    18.215499   0.5 KP   
   338.7987    338.7015    3.659560  -4.540 8.379e+03   9.00    14.555728   0.5    18.215499   0.5 KP   
   341.4708    341.3729    3.630923  -4.200 1.805e+04   9.00    14.584367   2.5    18.215499   0.5 KP   
   344.4109    344.3122    3.599928  -3.400 1.119e+05   9.00    14.615365   1.5    18.215499   0.5 KP   
   350.8435    350.7432    3.533924  -3.000 2.709e+05   9.00    14.681372   0.5    18.215499   0.5 KP   
   351.1214    351.0210    3.531127  -4.420 1.028e+04   9.00    14.684169   1.5    18.215499   0.5 KP   
   357.5105    357.4085    3.468022  -2.760 4.534e+05   9.00    14.747278   1.5    18.215499   0.5 KP   
   357.5368    357.4348    3.467767  -3.020 1.246e+05   9.00    12.697546   2.5    16.165513   1.5 KP   
   359.3738    359.2713    3.450041  -2.000 2.582e+06   9.00    14.765260   0.5    18.215499   0.5 KP   
   359.5129    359.4103    3.448706  -2.000 1.290e+06   9.00    12.697546   2.5    16.146450   1.5 KP   
   359.5894    359.4868    3.447972  -3.670 5.514e+04   9.00    12.731610   1.5    16.179781   0.5 KP   
   360.5430    360.4402    3.438853  -2.330 6.000e+05   9.00    12.697546   2.5    16.136596   1.5 KP   
   361.0835    360.9805    3.433705  -2.550 3.605e+05   9.00    12.731610   1.5    16.165513   1.5 KP   
   361.6695    361.5664    3.428142  -2.280 1.338e+06   9.00    12.751442   0.5    16.179781   0.5 KP   
   362.1825    362.0793    3.423286  -2.700 1.691e+05   9.00    12.697546   2.5    16.121029   2.5 KP   
   363.0992    362.9957    3.414644  -2.620 3.034e+05   9.00    12.731610   1.5    16.146450   1.5 KP   
   363.1809    363.0774    3.413875  -3.970 1.355e+04   9.00    12.751442   0.5    16.165513   1.5 KP   
   363.2187    363.1152    3.413520  -3.520 3.817e+04   9.00    12.697546   2.5    16.111262   1.5 KP   
