Number of lines in output :  11976
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.0773    200.0125    6.196878  -4.791 5.392e+03  26.00     0.958221   3.0     7.155455   2.0 K88  
   200.3031    200.2382    6.189893  -3.636 5.491e+04  26.00     0.087291   2.0     6.277540   3.0 K88  
   200.4519    200.3870    6.185297  -3.364 7.977e+04  26.00     0.051572   3.0     6.237225   4.0 K88  
   200.5948    200.5299    6.180891  -3.930 3.895e+04  26.00     0.087291   2.0     6.268537   2.0 K88  
   200.7148    200.6499    6.177196  -4.303 9.156e+03  26.00     0.958221   3.0     7.135772   4.0 K88  
   200.7820    200.7171    6.175126  -3.020 2.257e+05  26.00     0.000000   4.0     6.175480   3.0 K88  
   200.9207    200.8557    6.170867  -3.467 1.127e+05  26.00     0.051572   3.0     6.222794   2.0 K88  
   201.0483    200.9833    6.166949  -4.670 1.176e+04  26.00     0.110121   1.0     6.277425   1.0 K88  
   201.0899    201.0249    6.165673  -4.129 1.751e+04  26.00     0.087291   2.0     6.253319   3.0 K88  
   201.3384    201.2734    6.158062  -4.512 1.012e+04  26.00     0.110121   1.0     6.268537   2.0 K88  
   201.3513    201.2863    6.157667  -4.308 8.994e+03  26.00     0.859053   5.0     7.017074   4.0 K88  
   201.3887    201.3237    6.156524  -4.118 1.790e+04  26.00     0.990177   2.0     7.147055   3.0 K88  
   201.5950    201.5299    6.150225  -4.783 2.459e+03  26.00     0.000000   4.0     6.150578   5.0 K88  
   201.6431    201.5780    6.148758  -3.401 1.303e+05  26.00     0.051572   3.0     6.200684   2.0 K88  
   201.7161    201.6510    6.146533  -3.566 4.048e+04  26.00     0.859053   5.0     7.005939   5.0 K88  
   201.7165    201.6514    6.146519  -4.935 2.115e+03  26.00     0.914663   4.0     7.061536   4.0 K88  
   201.7808    201.7157    6.144560  -3.717 3.492e+04  26.00     0.000000   4.0     6.144913   4.0 K88  
   201.7999    201.7348    6.143979  -4.619 7.876e+03  26.00     1.011123   1.0     7.155455   2.0 K88  
   202.0406    201.9754    6.136661  -4.262 9.931e+03  26.00     0.859053   5.0     6.996067   4.0 K88  
   202.0904    202.0252    6.135150  -3.318 1.571e+05  26.00     0.087291   2.0     6.222794   2.0 K88  
   202.2065    202.1413    6.131625  -4.425 5.574e+03  26.00     0.859053   5.0     6.991031   5.0 K88  
   202.2302    202.1650    6.130907  -4.124 4.086e+04  26.00     0.087291   2.0     6.218550   1.0 K88  
   202.4023    202.3371    6.125694  -4.343 1.056e+04  26.00     0.914663   4.0     7.040709   3.0 K88  
   202.4058    202.3406    6.125586  -3.913 1.530e+04  26.00     0.859053   5.0     6.984992   6.0 K88  
   202.6786    202.6133    6.117343  -4.200 3.415e+04  26.00     0.087291   2.0     6.204985   1.0 K88  
   202.7943    202.7290    6.113852  -4.986 1.861e+03  26.00     0.051572   3.0     6.165775   4.0 K88  
   202.8451    202.7798    6.112321  -4.048 2.903e+04  26.00     0.110121   1.0     6.222794   2.0 K88  
   203.0750    203.0097    6.105400  -2.694 4.674e+05  26.00     0.000000   4.0     6.105751   3.0 K88  
   203.1401    203.0747    6.103446  -4.024 2.185e+04  26.00     0.000000   4.0     6.103797   3.0 K88  
   203.1562    203.0908    6.102964  -4.628 4.229e+03  26.00     0.958221   3.0     7.061536   4.0 K88  
   203.4378    203.3724    6.094514  -3.357 2.361e+05  26.00     0.110121   1.0     6.204985   1.0 K88  
   203.5208    203.4554    6.092027  -2.438 8.391e+05  26.00     0.000000   4.0     6.092377   3.0 K88  
   203.5576    203.4922    6.090926  -3.920 1.759e+04  26.00     0.914663   4.0     7.005939   5.0 K88  
   203.6292    203.5637    6.088787  -4.668 3.839e+03  26.00     0.000000   4.0     6.089137   4.0 K88  
   203.8107    203.7452    6.083362  -3.915 6.510e+04  26.00     0.121274   0.0     6.204985   1.0 K88  
   203.8187    203.7532    6.083124  -4.560 4.422e+04  26.00     0.110121   1.0     6.193595   0.0 K88  
   203.8881    203.8226    6.081054  -4.961 1.950e+03  26.00     0.914663   4.0     6.996067   4.0 K88  
   204.0570    203.9915    6.076018  -4.294 7.400e+03  26.00     0.914663   4.0     6.991031   5.0 K88  
   204.1695    204.1040    6.072671  -3.745 2.617e+04  26.00     0.859053   5.0     6.932073   5.0 K88  
   204.1764    204.1108    6.072469  -4.054 1.570e+04  26.00     0.859053   5.0     6.931871   4.0 K88  
   204.6469    204.5813    6.058504  -3.846 2.523e+04  26.00     0.958221   3.0     7.017074   4.0 K88  
   204.7904    204.7247    6.054261  -3.580 5.976e+04  26.00     1.484964   4.0     7.539573   3.0 K88  
   204.8050    204.7393    6.053831  -3.862 3.121e+04  26.00     0.051572   3.0     6.105751   3.0 K88  
   204.8062    204.7405    6.053795  -3.269 1.712e+05  26.00     0.051572   3.0     6.105715   2.0 K88  
   204.8711    204.8054    6.051877  -4.591 5.822e+03  26.00     0.051572   3.0     6.103797   3.0 K88  
   204.9284    204.8627    6.050184  -3.594 5.779e+04  26.00     0.990177   2.0     7.040709   3.0 K88  
   204.9960    204.9303    6.048189  -2.777 2.947e+05  26.00     1.484964   4.0     7.533500   4.0 K88  
   205.0085    204.9428    6.047821  -1.283 9.191e+06  26.00     1.484964   4.0     7.533132   4.0 K88  
   205.2161    205.1504    6.041701  -4.155 2.217e+04  26.00     0.087291   2.0     6.129339   2.0 K88  
   205.2584    205.1926    6.040458  -2.823 3.400e+05  26.00     0.051572   3.0     6.092377   3.0 K88  
   205.3222    205.2564    6.038581  -3.777 5.288e+04  26.00     1.011123   1.0     7.050051   2.0 K88  
   205.3282    205.2624    6.038404  -3.476 5.875e+04  26.00     0.000000   4.0     6.038751   4.0 K88  
   205.3590    205.2932    6.037499  -4.707 3.450e+03  26.00     0.958221   3.0     6.996067   4.0 K88  
   205.3685    205.3027    6.037218  -4.536 5.115e+03  26.00     0.051572   3.0     6.089137   4.0 K88  
   205.7728    205.7070    6.025354  -3.097 1.145e+05  26.00     0.859053   5.0     6.884754   5.0 K88  
   205.8760    205.8101    6.022338  -1.297 7.220e+06  26.00     1.484964   4.0     7.507648   5.0 K88  
   205.9245    205.8586    6.020919  -3.286 6.263e+04  26.00     0.859053   5.0     6.880319   6.0 K88  
   205.9945    205.9286    6.018872  -4.593 8.025e+03  26.00     0.110121   1.0     6.129339   2.0 K88  
   206.0204    205.9545    6.018114  -4.643 5.107e+03  26.00     0.087291   2.0     6.105751   3.0 K88  
   206.0217    205.9558    6.018078  -3.097 2.514e+05  26.00     0.087291   2.0     6.105715   2.0 K88  
   206.0633    205.9974    6.016862  -3.385 7.193e+04  26.00     0.914663   4.0     6.931871   4.0 K88  
   206.1790    206.1131    6.013486  -3.446 5.108e+04  26.00     0.859053   5.0     6.872885   5.0 K88  
   206.4793    206.4133    6.004741  -4.052 1.983e+04  26.00     0.087291   2.0     6.092377   3.0 K88  
