Number of lines in output : 228
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   364.9300    364.8260    3.397917  -4.272 4.462e+03   1.00    10.199517   1.5    13.597226   2.5      
   364.9358    364.8318    3.397863  -4.256 4.630e+03   1.00    10.199517   1.5    13.597172   2.5      
   364.9418    364.8378    3.397807  -4.239 4.814e+03   1.00    10.199517   1.5    13.597116   2.5      
   364.9481    364.8441    3.397749  -4.222 5.006e+03   1.00    10.199517   1.5    13.597057   2.5      
   364.9546    364.8506    3.397688  -4.205 5.206e+03   1.00    10.199517   1.5    13.596996   2.5      
   364.9614    364.8574    3.397625  -4.188 5.414e+03   1.00    10.199517   1.5    13.596933   2.5      
   364.9685    364.8645    3.397559  -4.170 5.642e+03   1.00    10.199517   1.5    13.596867   2.5      
   364.9758    364.8718    3.397491  -4.152 5.881e+03   1.00    10.199517   1.5    13.596799   2.5      
   364.9835    364.8795    3.397419  -4.134 6.130e+03   1.00    10.199517   1.5    13.596727   2.5      
   364.9915    364.8875    3.397344  -4.116 6.389e+03   1.00    10.199517   1.5    13.596653   2.5      
   364.9998    364.8958    3.397267  -4.098 6.659e+03   1.00    10.199517   1.5    13.596575   2.5      
   365.0085    364.9045    3.397186  -4.079 6.956e+03   1.00    10.199517   1.5    13.596494   2.5      
   365.0176    364.9136    3.397101  -4.060 7.267e+03   1.00    10.199517   1.5    13.596410   2.5      
   365.0271    364.9231    3.397013  -4.041 7.591e+03   1.00    10.199517   1.5    13.596321   2.5      
   365.0371    364.9331    3.396920  -4.021 7.949e+03   1.00    10.199517   1.5    13.596229   2.5      
   365.0475    364.9435    3.396823  -4.001 8.323e+03   1.00    10.199517   1.5    13.596132   2.5      
   365.0583    364.9543    3.396723  -3.981 8.715e+03   1.00    10.199517   1.5    13.596031   2.5      
   365.0698    364.9658    3.396616  -3.960 9.146e+03   1.00    10.199517   1.5    13.595924   2.5      
   365.0817    364.9777    3.396505  -3.939 9.598e+03   1.00    10.199517   1.5    13.595813   2.5      
   365.0943    364.9903    3.396388  -3.918 1.007e+04   1.00    10.199517   1.5    13.595696   2.5      
   365.1075    365.0035    3.396265  -3.896 1.060e+04   1.00    10.199517   1.5    13.595573   2.5      
   365.1214    365.0174    3.396135  -3.875 1.112e+04   1.00    10.199517   1.5    13.595444   2.5      
   365.1360    365.0320    3.396000  -3.852 1.172e+04   1.00    10.199517   1.5    13.595308   2.5      
   365.1514    365.0474    3.395856  -3.829 1.236e+04   1.00    10.199517   1.5    13.595165   2.5      
   365.1676    365.0636    3.395706  -3.806 1.303e+04   1.00    10.199517   1.5    13.595014   2.5      
   365.1847    365.0807    3.395547  -3.783 1.374e+04   1.00    10.199517   1.5    13.594855   2.5      
   365.2028    365.0988    3.395378  -3.759 1.452e+04   1.00    10.199517   1.5    13.594687   2.5      
   365.2219    365.1179    3.395201  -3.734 1.538e+04   1.00    10.199517   1.5    13.594509   2.5      
   365.2421    365.1381    3.395013  -3.710 1.625e+04   1.00    10.199517   1.5    13.594322   2.5      
   365.2635    365.1595    3.394814  -3.684 1.725e+04   1.00    10.199517   1.5    13.594122   2.5      
   365.2862    365.1822    3.394603  -3.658 1.831e+04   1.00    10.199517   1.5    13.593911   2.5      
   365.3105    365.2064    3.394378  -3.632 1.944e+04   1.00    10.199517   1.5    13.593687   2.5      
   365.3361    365.2320    3.394140  -3.605 2.068e+04   1.00    10.199517   1.5    13.593448   2.5      
   365.3635    365.2594    3.393885  -3.577 2.206e+04   1.00    10.199517   1.5    13.593195   2.5      
   365.3926    365.2885    3.393615  -3.549 2.352e+04   1.00    10.199517   1.5    13.592924   2.5      
   365.4237    365.3196    3.393326  -3.521 2.508e+04   1.00    10.199517   1.5    13.592635   2.5      
   365.4569    365.3528    3.393018  -3.491 2.687e+04   1.00    10.199517   1.5    13.592326   2.5      
   365.4925    365.3884    3.392687  -3.461 2.879e+04   1.00    10.199517   1.5    13.591996   2.5      
   365.5307    365.4266    3.392333  -3.430 3.091e+04   1.00    10.199517   1.5    13.591642   2.5      
   365.5717    365.4676    3.391952  -3.399 3.319e+04   1.00    10.199517   1.5    13.591261   2.5      
   365.6158    365.5117    3.391543  -3.366 3.580e+04   1.00    10.199517   1.5    13.590851   2.5      
   365.6634    365.5593    3.391101  -3.333 3.862e+04   1.00    10.199517   1.5    13.590410   2.5      
   365.7149    365.6107    3.390624  -3.299 4.175e+04   1.00    10.199517   1.5    13.589933   2.5      
   365.7706    365.6664    3.390108  -3.264 4.524e+04   1.00    10.199517   1.5    13.589417   2.5      
   365.8309    365.7267    3.389549  -3.228 4.914e+04   1.00    10.199517   1.5    13.588858   2.5      
