Number of lines in output :  278
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   294.3519    294.2659    4.212150  -4.920 2.314e+03  19.00     0.000000   0.5     4.212392   1.5 NBS  
   296.4066    296.3200    4.182951  -4.770 3.223e+03  19.00     0.000000   0.5     4.183192   1.5 NBS  
   299.2992    299.2119    4.142526  -4.539 5.381e+03  19.00     0.000000   0.5     4.142764   1.5 NBS  
   299.3095    299.2222    4.142382  -4.839 5.393e+03  19.00     0.000000   0.5     4.142620   0.5 NBS  
   303.5643    303.4760    4.084321  -4.288 9.323e+03  19.00     0.000000   0.5     4.084555   1.5 NBS  
   303.5803    303.4920    4.084106  -4.588 9.344e+03  19.00     0.000000   0.5     4.084341   0.5 NBS  
   310.2689    310.1789    3.996064  -3.980 1.814e+04  19.00     0.000000   0.5     3.996294   1.5 NBS  
   310.2946    310.2046    3.995733  -4.280 1.818e+04  19.00     0.000000   0.5     3.995963   0.5 NBS  
   321.8083    321.7154    3.852773  -3.549 4.549e+04  19.00     0.000000   0.5     3.852994   1.5 NBS  
   321.8549    321.7620    3.852215  -3.849 4.558e+04  19.00     0.000000   0.5     3.852436   0.5 NBS  
   344.7360    344.6372    3.596534  -2.920 1.687e+05  19.00     0.000000   0.5     3.596740   1.5 NBS  
   344.8363    344.7375    3.595487  -3.220 1.690e+05  19.00     0.000000   0.5     3.595694   0.5 NBS  
   404.5285    404.4142    3.064937  -1.920 1.225e+06  19.00     0.000000   0.5     3.065113   1.5 NBS  
   404.8356    404.7213    3.062612  -2.220 1.226e+06  19.00     0.000000   0.5     3.062788   0.5 NBS  
   474.2247    474.0921    2.614487  -3.270 7.964e+04  19.00     1.610064   0.5     4.224702   0.5 NBS  
   474.5672    474.4345    2.612600  -2.880 9.760e+04  19.00     1.610064   0.5     4.222815   1.5 NBS  
   475.5259    475.3930    2.607332  -2.970 1.580e+05  19.00     1.617220   1.5     4.224702   0.5 NBS  
   475.8704    475.7374    2.605445  -3.580 1.937e+04  19.00     1.617220   1.5     4.222815   1.5 NBS  
   475.8717    475.7387    2.605438  -2.620 1.178e+05  19.00     1.617220   1.5     4.222807   2.5 NBS  
   478.7829    478.6491    2.589596  -3.090 1.183e+05  19.00     1.610064   0.5     4.199809   0.5 NBS  
   479.2388    479.1049    2.587132  -2.750 1.291e+05  19.00     1.610064   0.5     4.197345   1.5 NBS  
   480.1095    479.9753    2.582441  -2.790 2.346e+05  19.00     1.617220   1.5     4.199809   0.5 NBS  
   480.5679    480.4336    2.579978  -3.450 2.562e+04  19.00     1.617220   1.5     4.197345   1.5 NBS  
   480.5688    480.4345    2.579973  -2.490 1.558e+05  19.00     1.617220   1.5     4.197340   2.5 NBS  
   485.1220    484.9865    2.555758  -2.990 1.450e+05  19.00     1.610064   0.5     4.165969   0.5 NBS  
   485.7449    485.6092    2.552481  -2.620 1.695e+05  19.00     1.610064   0.5     4.162692   1.5 NBS  
   486.4839    486.3480    2.548603  -2.690 2.877e+05  19.00     1.617220   1.5     4.165969   0.5 NBS  
   487.1102    486.9742    2.545326  -3.320 3.364e+04  19.00     1.617220   1.5     4.162692   1.5 NBS  
   487.1114    486.9754    2.545320  -2.360 2.045e+05  19.00     1.617220   1.5     4.162686   2.5 NBS  
   494.3386    494.2007    2.508107  -2.807 2.128e+05  19.00     1.610064   0.5     4.118316   0.5 NBS  
   495.2196    495.0814    2.503645  -2.500 2.150e+05  19.00     1.610064   0.5     4.113854   1.5 NBS  
   495.7529    495.6146    2.500952  -2.507 4.222e+05  19.00     1.617220   1.5     4.118316   0.5 NBS  
   496.6388    496.5003    2.496491  -3.200 4.266e+04  19.00     1.617220   1.5     4.113854   1.5 NBS  
   496.6416    496.5030    2.496477  -2.240 2.594e+05  19.00     1.617220   1.5     4.113840   2.5 NBS  
   508.5647    508.4230    2.437948  -2.568 3.487e+05  19.00     1.610064   0.5     4.048153   0.5 NBS  
   509.8592    509.7171    2.431759  -2.340 2.932e+05  19.00     1.610064   0.5     4.041963   1.5 NBS  
   510.0616    509.9195    2.430793  -2.268 6.916e+05  19.00     1.617220   1.5     4.048153   0.5 NBS  
   511.3637    511.2212    2.424604  -3.040 5.816e+04  19.00     1.617220   1.5     4.041963   1.5 NBS  
   511.3671    511.2246    2.424588  -2.080 3.536e+05  19.00     1.617220   1.5     4.041947   2.5 NBS  
   532.4757    532.3276    2.328471  -2.270 6.317e+05  19.00     1.610064   0.5     3.938670   0.5 NBS  
   534.1168    533.9683    2.321317  -1.970 1.253e+06  19.00     1.617220   1.5     3.938670   0.5 NBS  
   534.4455    534.2969    2.319889  -2.180 3.857e+05  19.00     1.610064   0.5     3.930087   1.5 NBS  
   536.0989    535.9498    2.312734  -2.880 7.648e+04  19.00     1.617220   1.5     3.930087   1.5 NBS  
   536.1064    535.9573    2.312702  -1.920 4.650e+05  19.00     1.617220   1.5     3.930055   2.5 NBS  
   578.3988    578.2384    2.143598  -1.910 1.226e+06  19.00     1.610064   0.5     3.753785   0.5 NBS  
   580.3358    580.1749    2.136443  -1.610 2.431e+06  19.00     1.617220   1.5     3.753785   0.5 NBS  
   581.3761    581.2149    2.132620  -2.250 2.774e+05  19.00     1.610064   0.5     3.742807   1.5 NBS  
   583.3331    583.1714    2.125466  -2.950 5.498e+04  19.00     1.617220   1.5     3.742807   1.5 NBS  
   583.3501    583.1884    2.125404  -1.990 3.343e+05  19.00     1.617220   1.5     3.742745   2.5 NBS  
   691.2989    691.1082    1.793514  -1.410 2.715e+06  19.00     1.610064   0.5     3.403682   0.5 NBS  
   693.8191    693.6278    1.786999  -3.130 2.568e+04  19.00     1.610064   0.5     3.397166   1.5 NBS  
   694.0677    693.8763    1.786359  -1.110 5.374e+06  19.00     1.617220   1.5     3.403682   0.5 NBS  
   696.6082    696.4161    1.779845  -3.830 5.083e+03  19.00     1.617220   1.5     3.397166   1.5 NBS  
   696.6601    696.4680    1.779712  -2.870 3.090e+04  19.00     1.617220   1.5     3.397034   2.5 NBS  
   732.3169    732.1152    1.693057  -2.540 1.793e+05  19.00     2.607136   0.5     4.300290   0.5 KP   
   732.3169    732.1152    1.693057  -2.240 1.789e+05  19.00     2.607136   0.5     4.300290   1.5 KP   
   734.4177    734.2154    1.688214  -2.640 1.416e+05  19.00     2.607136   0.5     4.295447   0.5 KP   
   734.4177    734.2154    1.688214  -2.340 1.413e+05  19.00     2.607136   0.5     4.295447   1.5 KP   
   736.9350    736.7320    1.682448  -2.740 1.117e+05  19.00     2.607136   0.5     4.289680   0.5 KP   
   736.9350    736.7320    1.682448  -2.440 1.115e+05  19.00     2.607136   0.5     4.289680   1.5 KP   
   739.9794    739.7756    1.675525  -2.540 8.783e+04  19.00     2.607136   0.5     4.282758   1.5 KP   
   739.9909    739.7871    1.675499  -2.840 8.803e+04  19.00     2.607136   0.5     4.282732   0.5 KP   
   743.7223    743.5175    1.667093  -2.610 7.400e+04  19.00     2.607136   0.5     4.274325   1.5 KP   
   743.7361    743.5313    1.667062  -2.910 7.418e+04  19.00     2.607136   0.5     4.274294   0.5 KP   
   748.3960    748.1900    1.656682  -2.660 6.513e+04  19.00     2.607136   0.5     4.263913   1.5 KP   
   748.4128    748.2068    1.656645  -2.960 6.528e+04  19.00     2.607136   0.5     4.263876   0.5 KP   
   754.3412    754.1336    1.643625  -3.780 4.863e+03  19.00     2.607136   0.5     4.250856   1.5 NBS  
   754.3629    754.1552    1.643578  -4.080 4.875e+03  19.00     2.607136   0.5     4.250808   0.5 NBS  
   760.6205    760.4112    1.630056  -1.860 3.979e+05  19.00     2.670140   2.5     4.300290   1.5 KP   
   760.7541    760.5447    1.629770  -2.810 4.462e+04  19.00     2.670426   1.5     4.300290   1.5 KP   
   760.7541    760.5447    1.629770  -2.110 4.473e+05  19.00     2.670426   1.5     4.300290   0.5 KP   
