Number of lines in output :  1458
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   202.6477    202.5824    6.118276  -0.600 1.360e+08  12.00     0.000000   0.0     6.118627   1.0 GUES 
   251.2348    251.1592    4.935042  -3.741 6.395e+04  12.00     2.709288   0.0     7.644613   1.0 K    
   251.2376    251.1620    4.934987  -3.724 6.650e+04  12.00     2.709288   0.0     7.644558   1.0 K    
   251.2405    251.1649    4.934930  -3.708 6.900e+04  12.00     2.709288   0.0     7.644501   1.0 K    
   251.2435    251.1679    4.934872  -3.691 7.175e+04  12.00     2.709288   0.0     7.644443   1.0 K    
   251.2466    251.1710    4.934810  -3.674 7.461e+04  12.00     2.709288   0.0     7.644381   1.0 K    
   251.2498    251.1742    4.934747  -3.657 7.759e+04  12.00     2.709288   0.0     7.644318   1.0 K    
   251.2532    251.1776    4.934680  -3.639 8.087e+04  12.00     2.709288   0.0     7.644251   1.0 K    
   251.2567    251.1811    4.934611  -3.621 8.429e+04  12.00     2.709288   0.0     7.644182   1.0 K    
   251.2604    251.1848    4.934539  -3.604 8.765e+04  12.00     2.709288   0.0     7.644110   1.0 K    
   251.2642    251.1886    4.934465  -3.585 9.157e+04  12.00     2.709288   0.0     7.644036   1.0 K    
   251.2682    251.1926    4.934386  -3.567 9.544e+04  12.00     2.709288   0.0     7.643957   1.0 K    
   251.2723    251.1967    4.934305  -3.548 9.970e+04  12.00     2.709288   0.0     7.643876   1.0 K    
   251.2767    251.2011    4.934219  -3.529 1.042e+05  12.00     2.709288   0.0     7.643790   1.0 K    
   251.2812    251.2056    4.934130  -3.510 1.088e+05  12.00     2.709288   0.0     7.643701   1.0 K    
   251.2860    251.2104    4.934037  -3.490 1.139e+05  12.00     2.709288   0.0     7.643608   1.0 K    
   251.2909    251.2153    4.933939  -3.470 1.193e+05  12.00     2.709288   0.0     7.643510   1.0 K    
   251.2961    251.2205    4.933837  -3.450 1.249e+05  12.00     2.709288   0.0     7.643408   1.0 K    
   251.3017    251.2260    4.933730  -3.430 1.308e+05  12.00     2.709288   0.0     7.643301   1.0 K    
   251.3074    251.2317    4.933617  -3.409 1.373e+05  12.00     2.709288   0.0     7.643188   1.0 K    
   251.3134    251.2377    4.933500  -3.388 1.441e+05  12.00     2.709288   0.0     7.643071   1.0 K    
   251.3197    251.2440    4.933376  -3.366 1.515e+05  12.00     2.709288   0.0     7.642947   1.0 K    
   251.3264    251.2507    4.933245  -3.344 1.594e+05  12.00     2.709288   0.0     7.642816   1.0 K    
   251.3334    251.2577    4.933108  -3.322 1.677e+05  12.00     2.709288   0.0     7.642679   1.0 K    
   251.3407    251.2650    4.932964  -3.299 1.768e+05  12.00     2.709288   0.0     7.642535   1.0 K    
   251.3485    251.2728    4.932811  -3.276 1.864e+05  12.00     2.709288   0.0     7.642382   1.0 K    
   251.3567    251.2810    4.932651  -3.253 1.965e+05  12.00     2.709288   0.0     7.642222   1.0 K    
   251.3616    251.2859    4.932555  -3.560 5.815e+04  12.00     2.711775   1.0     7.644613   2.0 K    
   251.3616    251.2859    4.932555  -3.861 4.846e+04  12.00     2.711775   1.0     7.644613   1.0 K    
   251.3628    251.2871    4.932531  -3.871 2.842e+04  12.00     2.711775   1.0     7.644589   2.0 K    
   251.3643    251.2886    4.932500  -3.544 6.033e+04  12.00     2.711775   1.0     7.644558   2.0 K    
   251.3643    251.2886    4.932500  -3.845 5.028e+04  12.00     2.711775   1.0     7.644558   1.0 K    
   251.3653    251.2896    4.932481  -3.229 2.077e+05  12.00     2.709288   0.0     7.642052   1.0 K    
   251.3656    251.2899    4.932475  -3.855 2.948e+04  12.00     2.711775   1.0     7.644533   2.0 K    
   251.3672    251.2915    4.932443  -3.828 5.229e+04  12.00     2.711775   1.0     7.644501   1.0 K    
   251.3672    251.2915    4.932443  -3.527 6.274e+04  12.00     2.711775   1.0     7.644501   2.0 K    
   251.3685    251.2928    4.932418  -3.838 3.066e+04  12.00     2.711775   1.0     7.644476   2.0 K    
   251.3702    251.2945    4.932385  -3.811 5.437e+04  12.00     2.711775   1.0     7.644443   1.0 K    
   251.3702    251.2945    4.932385  -3.510 6.524e+04  12.00     2.711775   1.0     7.644443   2.0 K    
   251.3716    251.2959    4.932358  -3.821 3.188e+04  12.00     2.711775   1.0     7.644416   2.0 K    
   251.3733    251.2976    4.932323  -3.493 6.784e+04  12.00     2.711775   1.0     7.644381   2.0 K    
   251.3733    251.2976    4.932323  -3.794 5.654e+04  12.00     2.711775   1.0     7.644381   1.0 K    
   251.3744    251.2987    4.932302  -3.204 2.200e+05  12.00     2.709288   0.0     7.641873   1.0 K    
   251.3748    251.2991    4.932296  -3.804 3.315e+04  12.00     2.711775   1.0     7.644354   2.0 K    
   251.3766    251.3009    4.932260  -3.476 7.055e+04  12.00     2.711775   1.0     7.644318   2.0 K    
   251.3766    251.3009    4.932260  -3.777 5.880e+04  12.00     2.711775   1.0     7.644318   1.0 K    
   251.3781    251.3024    4.932231  -3.787 3.447e+04  12.00     2.711775   1.0     7.644289   2.0 K    
   251.3800    251.3043    4.932193  -3.458 7.354e+04  12.00     2.711775   1.0     7.644251   2.0 K    
   251.3800    251.3043    4.932193  -3.760 6.114e+04  12.00     2.711775   1.0     7.644251   1.0 K    
   251.3815    251.3058    4.932163  -3.769 3.593e+04  12.00     2.711775   1.0     7.644221   2.0 K    
   251.3835    251.3078    4.932124  -3.742 6.373e+04  12.00     2.711775   1.0     7.644182   1.0 K    
   251.3835    251.3078    4.932124  -3.441 7.647e+04  12.00     2.711775   1.0     7.644182   2.0 K    
   251.3841    251.3084    4.932112  -3.180 2.324e+05  12.00     2.709288   0.0     7.641683   1.0 K    
   251.3851    251.3094    4.932093  -3.752 3.737e+04  12.00     2.711775   1.0     7.644151   2.0 K    
   251.3871    251.3114    4.932052  -3.423 7.970e+04  12.00     2.711775   1.0     7.644110   2.0 K    
   251.3871    251.3114    4.932052  -3.724 6.642e+04  12.00     2.711775   1.0     7.644110   1.0 K    
   251.3888    251.3131    4.932020  -3.734 3.895e+04  12.00     2.711775   1.0     7.644078   2.0 K    
   251.3910    251.3153    4.931978  -3.706 6.923e+04  12.00     2.711775   1.0     7.644036   1.0 K    
   251.3910    251.3153    4.931978  -3.405 8.307e+04  12.00     2.711775   1.0     7.644036   2.0 K    
   251.3927    251.3170    4.931943  -3.716 4.059e+04  12.00     2.711775   1.0     7.644001   2.0 K    
   251.3944    251.3187    4.931910  -3.154 2.468e+05  12.00     2.709288   0.0     7.641481   1.0 K    
   251.3949    251.3192    4.931899  -3.687 7.233e+04  12.00     2.711775   1.0     7.643957   1.0 K    
   251.3949    251.3192    4.931899  -3.386 8.678e+04  12.00     2.711775   1.0     7.643957   2.0 K    
   251.3968    251.3211    4.931864  -3.697 4.241e+04  12.00     2.711775   1.0     7.643922   2.0 K    
   251.3991    251.3234    4.931818  -3.668 7.556e+04  12.00     2.711775   1.0     7.643876   1.0 K    
   251.3991    251.3234    4.931818  -3.367 9.066e+04  12.00     2.711775   1.0     7.643876   2.0 K    
   251.4010    251.3253    4.931780  -3.678 4.430e+04  12.00     2.711775   1.0     7.643838   2.0 K    
   251.4035    251.3278    4.931732  -3.348 9.471e+04  12.00     2.711775   1.0     7.643790   2.0 K    
   251.4035    251.3278    4.931732  -3.649 7.893e+04  12.00     2.711775   1.0     7.643790   1.0 K    
   251.4053    251.3296    4.931697  -3.128 2.620e+05  12.00     2.709288   0.0     7.641268   1.0 K    
   251.4054    251.3297    4.931693  -3.659 4.628e+04  12.00     2.711775   1.0     7.643752   2.0 K    
   251.4080    251.3323    4.931643  -3.329 9.895e+04  12.00     2.711775   1.0     7.643701   2.0 K    
   251.4080    251.3323    4.931643  -3.630 8.246e+04  12.00     2.711775   1.0     7.643701   1.0 K    
   251.4101    251.3344    4.931602  -3.640 4.835e+04  12.00     2.711775   1.0     7.643661   2.0 K    
   251.4128    251.3371    4.931550  -3.309 1.036e+05  12.00     2.711775   1.0     7.643608   2.0 K    
   251.4128    251.3371    4.931550  -3.610 8.634e+04  12.00     2.711775   1.0     7.643608   1.0 K    
   251.4149    251.3392    4.931507  -3.620 5.063e+04  12.00     2.711775   1.0     7.643565   2.0 K    
   251.4168    251.3411    4.931470  -3.102 2.781e+05  12.00     2.709288   0.0     7.641041   1.0 K    
   251.4177    251.3420    4.931452  -3.290 1.082e+05  12.00     2.711775   1.0     7.643510   2.0 K    
   251.4177    251.3420    4.931452  -3.591 9.020e+04  12.00     2.711775   1.0     7.643510   1.0 K    
   251.4200    251.3443    4.931408  -3.601 5.289e+04  12.00     2.711775   1.0     7.643466   2.0 K    
   251.4229    251.3472    4.931350  -3.570 9.467e+04  12.00     2.711775   1.0     7.643408   1.0 K    
   251.4229    251.3472    4.931350  -3.269 1.136e+05  12.00     2.711775   1.0     7.643408   2.0 K    
   251.4253    251.3496    4.931303  -3.580 5.551e+04  12.00     2.711775   1.0     7.643361   2.0 K    
   251.4284    251.3527    4.931243  -3.249 1.189e+05  12.00     2.711775   1.0     7.643301   2.0 K    
   251.4284    251.3527    4.931243  -3.550 9.912e+04  12.00     2.711775   1.0     7.643301   1.0 K    
   251.4291    251.3534    4.931229  -3.075 2.959e+05  12.00     2.709288   0.0     7.640800   1.0 K    
   251.4309    251.3552    4.931194  -3.560 5.812e+04  12.00     2.711775   1.0     7.643252   2.0 K    
   251.4341    251.3584    4.931130  -3.529 1.040e+05  12.00     2.711775   1.0     7.643188   1.0 K    
   251.4341    251.3584    4.931130  -3.228 1.248e+05  12.00     2.711775   1.0     7.643188   2.0 K    
   251.4367    251.3610    4.931079  -3.539 6.100e+04  12.00     2.711775   1.0     7.643137   2.0 K    
   251.4401    251.3644    4.931013  -3.207 1.310e+05  12.00     2.711775   1.0     7.643071   2.0 K    
   251.4401    251.3644    4.931013  -3.508 1.092e+05  12.00     2.711775   1.0     7.643071   1.0 K    
   251.4422    251.3665    4.930972  -3.048 3.149e+05  12.00     2.709288   0.0     7.640543   1.0 K    
   251.4429    251.3672    4.930959  -3.518 6.401e+04  12.00     2.711775   1.0     7.643017   2.0 K    
   251.4465    251.3708    4.930889  -3.486 1.148e+05  12.00     2.711775   1.0     7.642947   1.0 K    
   251.4465    251.3708    4.930889  -3.185 1.378e+05  12.00     2.711775   1.0     7.642947   2.0 K    
   251.4494    251.3737    4.930832  -3.496 6.734e+04  12.00     2.711775   1.0     7.642890   2.0 K    
   251.4531    251.3774    4.930758  -3.163 1.450e+05  12.00     2.711775   1.0     7.642816   2.0 K    
   251.4531    251.3774    4.930758  -3.464 1.208e+05  12.00     2.711775   1.0     7.642816   1.0 K    
   251.4561    251.3804    4.930699  -3.020 3.358e+05  12.00     2.709288   0.0     7.640270   1.0 K    
   251.4561    251.3804    4.930699  -3.474 7.083e+04  12.00     2.711775   1.0     7.642757   2.0 K    
   251.4601    251.3844    4.930621  -3.141 1.525e+05  12.00     2.711775   1.0     7.642679   2.0 K    
   251.4601    251.3844    4.930621  -3.442 1.271e+05  12.00     2.711775   1.0     7.642679   1.0 K    
   251.4633    251.3876    4.930558  -3.452 7.451e+04  12.00     2.711775   1.0     7.642616   2.0 K    
   251.4675    251.3918    4.930477  -3.118 1.608e+05  12.00     2.711775   1.0     7.642535   2.0 K    
   251.4675    251.3918    4.930477  -3.419 1.340e+05  12.00     2.711775   1.0     7.642535   1.0 K    
   251.4708    251.3951    4.930411  -3.429 7.856e+04  12.00     2.711775   1.0     7.642469   2.0 K    
   251.4710    251.3953    4.930406  -2.991 3.589e+05  12.00     2.709288   0.0     7.639977   1.0 K    
   251.4752    251.3995    4.930324  -3.396 1.413e+05  12.00     2.711775   1.0     7.642382   1.0 K    
   251.4752    251.3995    4.930324  -3.095 1.695e+05  12.00     2.711775   1.0     7.642382   2.0 K    
   251.4788    251.4031    4.930255  -3.406 8.282e+04  12.00     2.711775   1.0     7.642313   2.0 K    
   251.4834    251.4077    4.930164  -3.072 1.787e+05  12.00     2.711775   1.0     7.642222   2.0 K    
   251.4834    251.4077    4.930164  -3.373 1.489e+05  12.00     2.711775   1.0     7.642222   1.0 K    
   251.4870    251.4113    4.930094  -2.962 3.837e+05  12.00     2.709288   0.0     7.639665   1.0 K    
