Number of lines in output :  9281
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.1022    200.0374    6.196105  -3.634 4.299e+04  25.01     5.109032   5.0    11.305493   4.0 K88  
   200.1058    200.0410    6.195994  -3.213 1.133e+05  25.01     4.074047   3.0    10.270397   4.0 K88  
   200.1167    200.0519    6.195658  -0.679 1.163e+08  25.01     3.938146   2.0    10.134160   1.0 K88  
   200.1745    200.1097    6.193866  -3.828 8.245e+04  25.01     4.069229   0.0    10.263451   1.0 K88  
   200.2480    200.1832    6.191594  -3.236 3.220e+05  25.01     4.071502   1.0    10.263451   1.0 K88  
   200.2543    200.1895    6.191399  -0.019 1.769e+08  25.01     7.382195   4.0    13.573949   4.0 K88  
   200.3018    200.2369    6.189933  -3.007 2.337e+05  25.01     4.065452   4.0    10.255741   3.0 K88  
   200.3381    200.2732    6.188813  -3.371 2.358e+05  25.01     4.074283   2.0    10.263451   1.0 K88  
   200.3382    200.2733    6.188808  -3.377 1.395e+05  25.01     4.497778   2.0    10.686941   2.0 K88  
   200.3949    200.3300    6.187056  -4.239 1.916e+04  25.01     6.658239   2.0    12.845650   2.0 K88  
   200.3996    200.3347    6.186913  -2.722 3.500e+05  25.01     1.809525   3.0     7.996794   4.0 K88  
   200.4063    200.3414    6.186704  -2.578 8.777e+05  25.01     4.071502   1.0    10.258560   2.0 K88  
   200.4075    200.3426    6.186669  -2.075 1.996e+06  25.01     3.938146   2.0    10.125170   3.0 K88  
   200.4143    200.3494    6.186457  -3.195 1.514e+05  25.01     5.815655   2.0    12.002467   3.0 K88  
   200.4741    200.4092    6.184611  -2.599 3.214e+05  25.01     4.310243   5.0    10.495209   6.0 K88  
   200.4772    200.4123    6.184518  -3.345 1.071e+05  25.01     7.758487   2.0    13.943360   3.0 K88  
   200.4829    200.4180    6.184340  -3.406 9.308e+04  25.01     1.809525   3.0     7.994221   3.0 K88  
   200.4888    200.4239    6.184158  -2.964 3.606e+05  25.01     4.074047   3.0    10.258560   2.0 K88  
   200.4964    200.4315    6.183923  -2.302 1.656e+06  25.01     4.074283   2.0    10.258560   2.0 K88  
   200.4985    200.4336    6.183861  -4.756 3.233e+03  25.01     7.760384   3.0    13.944600   4.0 K88  
   200.5194    200.4545    6.183216  -0.787 2.463e+07  25.01     4.823534   4.0    11.007105   5.0 K88  
   200.5236    200.4587    6.183084  -1.680 4.951e+06  25.01     4.692893   2.0    10.876332   3.0 K88  
   200.5368    200.4719    6.182677  -3.120 1.797e+05  25.01     4.693301   3.0    10.876332   3.0 K88  
   200.5500    200.4851    6.182270  -4.761 5.751e+03  25.01     1.809525   3.0     7.992150   2.0 K88  
   200.5636    200.4987    6.181852  -3.369 1.418e+05  25.01     7.757557   1.0    13.939764   2.0 K88  
   200.5802    200.5153    6.181339  -1.988 2.435e+06  25.01     4.074047   3.0    10.255741   3.0 K88  
