Number of lines in output :  3812
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   345.3613    345.2624    3.590021  -4.580 3.677e+03   7.00    10.336593   2.5    13.926820   1.5 KP   
   354.3925    354.2913    3.498534  -2.590 3.413e+05   7.00    10.326605   0.5    13.825340   1.5 KP   
   354.8170    354.7157    3.494348  -2.290 6.793e+05   7.00    10.330791   1.5    13.825340   1.5 KP   
   355.4071    355.3056    3.488547  -2.130 9.786e+05   7.00    10.336593   2.5    13.825340   1.5 KP   
   357.0285    356.9266    3.472704  -2.630 2.044e+05   7.00    10.330791   1.5    13.803695   2.5 KP   
   357.1227    357.0208    3.471787  -2.830 1.934e+05   7.00    10.326605   0.5    13.798592   1.5 KP   
   357.3020    357.2000    3.470046  -3.590 6.715e+04   7.00    10.326605   0.5    13.796850   0.5 KP   
   357.5539    357.4518    3.467602  -3.320 6.243e+04   7.00    10.330791   1.5    13.798592   1.5 KP   
   357.6260    357.5239    3.466903  -2.280 4.562e+05   7.00    10.336593   2.5    13.803695   2.5 KP   
   357.7336    357.6315    3.465860  -2.900 3.281e+05   7.00    10.330791   1.5    13.796850   0.5 KP   
   358.1530    358.0508    3.461800  -2.820 1.968e+05   7.00    10.336593   2.5    13.798592   1.5 KP   
   358.4711    358.3688    3.458729  -2.300 3.252e+05   7.00    10.336593   2.5    13.795521   3.5 KP   
   358.6005    358.4982    3.457481  -2.920 1.039e+05   7.00    10.330791   1.5    13.788471   2.5 KP   
   358.6660    358.5637    3.456849  -3.710 2.527e+04   7.00    10.326605   0.5    13.783653   1.5 KP   
   358.9440    358.8416    3.454172  -4.050 2.307e+04   7.00    10.326605   0.5    13.780975   0.5 KP   
   359.1009    358.9984    3.452663  -3.610 3.174e+04   7.00    10.330791   1.5    13.783653   1.5 KP   
   359.2032    359.1007    3.451680  -3.330 4.030e+04   7.00    10.336593   2.5    13.788471   2.5 KP   
   359.3795    359.2770    3.449986  -4.750 4.592e+03   7.00    10.330791   1.5    13.780975   0.5 KP   
   359.7053    359.6027    3.446862  -4.710 2.513e+03   7.00    10.336593   2.5    13.783653   1.5 KP   
