Number of lines in output : 5191
-----------------------------------------
N2 First Positive Band at T=4400 K
Wl_vac(nm)  Emission_Coef(W/m2/nm/ster)           
-----------------------------------------
200.0  2.1177e-16
200.2  2.0556e-16
200.4  1.9799e-16
200.6  1.9080e-16
200.8  1.8420e-16
201.0  1.7891e-16
201.2  1.7535e-16
201.4  1.7276e-16
201.6  1.6936e-16
201.8  1.6520e-16
202.0  1.6031e-16
202.2  1.5538e-16
202.4  1.5015e-16
202.6  1.4543e-16
202.8  1.4146e-16
203.0  1.3925e-16
203.2  1.4042e-16
203.4  1.4108e-16
203.6  1.4108e-16
203.8  1.4076e-16
204.0  1.3943e-16
204.2  1.3702e-16
204.4  1.3344e-16
204.6  1.2917e-16
204.8  1.2444e-16
205.0  1.2009e-16
205.2  1.1693e-16
205.4  1.1481e-16
205.6  1.1276e-16
205.8  1.1028e-16
206.0  1.0740e-16
206.2  1.0500e-16
206.4  1.0289e-16
206.6  1.0113e-16
206.8  9.9938e-17
207.0  1.0042e-16
207.2  1.0271e-16
207.4  1.0536e-16
207.6  1.0728e-16
207.8  1.0842e-16
208.0  1.0899e-16
208.2  1.0909e-16
208.4  1.0897e-16
208.6  1.0835e-16
208.8  1.0777e-16
209.0  1.0733e-16
209.2  1.0780e-16
209.4  1.0832e-16
209.6  1.0834e-16
209.8  1.0804e-16
210.0  1.0701e-16
210.2  1.0521e-16
210.4  1.0285e-16
210.6  9.9913e-17
210.8  9.7415e-17
211.0  9.5607e-17
211.2  9.4917e-17
211.4  9.5455e-17
211.6  9.5760e-17
211.8  9.5769e-17
212.0  9.5663e-17
212.2  9.4820e-17
212.4  9.2976e-17
212.6  8.9820e-17
212.8  8.6583e-17
213.0  8.3658e-17
213.2  8.1293e-17
213.4  7.9511e-17
213.6  7.8353e-17
213.8  7.7491e-17
214.0  7.6963e-17
214.2  7.6553e-17
214.4  7.6015e-17
214.6  7.5200e-17
214.8  7.4480e-17
215.0  7.4081e-17
215.2  7.4060e-17
215.4  7.4422e-17
215.6  7.4629e-17
215.8  7.4617e-17
216.0  7.4356e-17
216.2  7.3597e-17
216.4  7.2412e-17
216.6  7.0951e-17
216.8  6.9501e-17
217.0  6.8516e-17
217.2  6.8417e-17
217.4  6.9452e-17
217.6  7.1021e-17
217.8  7.2258e-17
218.0  7.3087e-17
218.2  7.3558e-17
218.4  7.3682e-17
218.6  7.3661e-17
218.8  7.3379e-17
219.0  7.3044e-17
219.2  7.2613e-17
219.4  7.2910e-17
219.6  7.3496e-17
219.8  7.3669e-17
220.0  7.3663e-17
220.2  7.3351e-17
220.4  7.2865e-17
220.6  7.2588e-17
220.8  7.3160e-17
221.0  7.4733e-17
221.2  7.7483e-17
221.4  8.0730e-17
221.6  8.4112e-17
221.8  8.6641e-17
222.0  8.7864e-17
222.2  8.7964e-17
222.4  8.7560e-17
222.6  8.5578e-17
222.8  8.1584e-17
223.0  7.6890e-17
223.2  7.2417e-17
223.4  6.8540e-17
223.6  6.5552e-17
223.8  6.3441e-17
224.0  6.1972e-17
224.2  6.1048e-17
224.4  6.0451e-17
224.6  5.9708e-17
224.8  5.8559e-17
225.0  5.7197e-17
225.2  5.6183e-17
225.4  5.5588e-17
225.6  5.5908e-17
225.8  5.6625e-17
226.0  5.7302e-17
226.2  5.8045e-17
226.4  5.8598e-17
226.6  5.8823e-17
226.8  5.8824e-17
227.0  5.8636e-17
227.2  5.8837e-17
227.4  5.9285e-17
227.6  5.9770e-17
227.8  6.0041e-17
228.0  6.0047e-17
228.2  5.9896e-17
228.4  5.9331e-17
228.6  5.8063e-17
228.8  5.5891e-17
229.0  5.2648e-17
229.2  4.8909e-17
229.4  4.4883e-17
229.6  4.0774e-17
229.8  3.7119e-17
230.0  3.4129e-17
230.2  3.1856e-17
230.4  3.0573e-17
230.6  3.1246e-17
230.8  3.3439e-17
231.0  3.6402e-17
231.2  3.9734e-17
231.4  4.3355e-17
231.6  4.6976e-17
231.8  5.0454e-17
232.0  5.3395e-17
232.2  5.5422e-17
232.4  5.6524e-17
232.6  5.7163e-17
232.8  5.7290e-17
233.0  5.7254e-17
233.2  5.7092e-17
233.4  5.7013e-17
233.6  5.7042e-17
233.8  5.7218e-17
234.0  5.7299e-17
234.2  5.7274e-17
234.4  5.6939e-17
234.6  5.6149e-17
234.8  5.4880e-17
235.0  5.3215e-17
235.2  5.1245e-17
235.4  4.9440e-17
235.6  4.7911e-17
235.8  4.6820e-17
236.0  4.6198e-17
236.2  4.6030e-17
236.4  4.5895e-17
236.6  4.5929e-17
236.8  4.6051e-17
237.0  4.6216e-17
237.2  4.6773e-17
237.4  4.7719e-17
237.6  4.9078e-17
237.8  5.0516e-17
