Number of lines in output :  1350
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   258.8125    258.7351    4.790551  -4.500 3.149e+04  10.00    16.671951   1.0    21.462777   0.0 KP   
   259.0263    258.9488    4.786596  -3.910 2.446e+04  10.00    16.671951   1.0    21.458822   2.0 KP   
   261.4409    261.3629    4.742389  -4.440 1.181e+04  10.00    16.620191   2.0    21.362852   1.0 KP   
   261.4409    261.3629    4.742389  -3.700 3.894e+04  10.00    16.620191   2.0    21.362852   2.0 KP   
   261.4724    261.3944    4.741818  -4.440 7.084e+03  10.00    16.620191   2.0    21.362281   2.0 KP   
   261.5039    261.4258    4.741248  -3.560 3.838e+04  10.00    16.620191   2.0    21.361711   3.0 KP   
   261.5982    261.5201    4.739537  -3.910 3.997e+04  10.00    16.620191   2.0    21.360000   1.0 KP   
   262.3700    262.2917    4.725595  -4.440 7.036e+03  10.00    16.671951   1.0    21.397818   2.0 KP   
   264.0751    263.9964    4.695082  -4.450 3.394e+04  10.00    16.671951   1.0    21.367303   0.0 KP   
   264.3257    264.2470    4.690631  -4.050 2.836e+04  10.00    16.671951   1.0    21.362852   1.0 KP   
   264.3578    264.2791    4.690061  -3.790 3.096e+04  10.00    16.671951   1.0    21.362281   2.0 KP   
   264.8217    264.7429    4.681846  -3.800 3.015e+04  10.00    16.620191   2.0    21.302306   2.0 KP   
   264.8554    264.7765    4.681251  -4.660 6.934e+03  10.00    16.620191   2.0    21.301711   1.0 KP   
   264.9016    264.8227    4.680433  -4.660 4.159e+03  10.00    16.620191   2.0    21.300893   2.0 KP   
   264.9346    264.8557    4.679850  -3.630 3.182e+04  10.00    16.620191   2.0    21.300310   3.0 KP   
   264.9416    264.8627    4.679726  -4.330 1.482e+04  10.00    16.716508   0.0    21.396503   1.0 KP   
   265.1798    265.1009    4.675523  -4.040 2.884e+04  10.00    16.620191   2.0    21.295983   1.0 KP   
   266.9928    266.9134    4.643775  -4.420 3.557e+04  10.00    16.671951   1.0    21.315993   0.0 KP   
   267.5821    267.5026    4.633548  -4.820 1.410e+04  10.00    16.671951   1.0    21.305766   0.0 KP   
   267.5842    267.5047    4.633511  -4.110 2.410e+04  10.00    16.671951   1.0    21.305728   1.0 KP   
   267.6014    267.5219    4.633214  -3.660 4.075e+04  10.00    16.671951   1.0    21.305431   2.0 KP   
   267.6451    267.5656    4.632457  -4.340 1.419e+04  10.00    16.671951   1.0    21.304675   1.0 KP   
   267.8164    267.7368    4.629494  -4.410 1.206e+04  10.00    16.671951   1.0    21.301711   1.0 KP   
   267.8637    267.7841    4.628676  -4.160 1.286e+04  10.00    16.671951   1.0    21.300893   2.0 KP   
   268.7552    268.6754    4.613323  -4.560 2.543e+04  10.00    16.849190   1.0    21.462777   0.0 KP   
   268.9858    268.9060    4.609367  -3.890 2.375e+04  10.00    16.849190   1.0    21.458822   2.0 KP   
   270.1361    270.0560    4.589740  -3.320 8.750e+04  10.00    16.620191   2.0    21.210195   2.0 KP   
   270.1530    270.0729    4.589452  -4.110 2.365e+04  10.00    16.620191   2.0    21.209907   1.0 KP   
   270.1822    270.1021    4.588957  -3.960 3.340e+04  10.00    16.716508   0.0    21.305728   1.0 KP   
   270.2443    270.1642    4.587903  -3.620 7.303e+04  10.00    16.716508   0.0    21.304675   1.0 KP   
   270.2568    270.1767    4.587691  -3.760 3.174e+04  10.00    16.620191   2.0    21.208145   2.0 KP   
   270.3364    270.2562    4.586339  -3.060 1.136e+05  10.00    16.620191   2.0    21.206794   3.0 KP   
   270.5079    270.4277    4.583432  -3.480 1.006e+05  10.00    16.620191   2.0    21.203886   1.0 KP   
   272.3980    272.3173    4.551627  -4.760 1.562e+04  10.00    16.849190   1.0    21.401079   0.0 KP   
   272.5576    272.4769    4.548963  -4.090 7.298e+04  10.00    16.671951   1.0    21.221175   0.0 KP   
   272.5933    272.5126    4.548367  -4.070 1.528e+04  10.00    16.849190   1.0    21.397818   2.0 KP   
   272.6721    272.5914    4.547052  -4.750 5.318e+03  10.00    16.849190   1.0    21.396503   1.0 KP   
   273.2171    273.1362    4.537983  -4.220 1.077e+04  10.00    16.671951   1.0    21.210195   2.0 KP   
   273.2344    273.1535    4.537695  -3.740 5.419e+04  10.00    16.671951   1.0    21.209907   1.0 KP   
   273.3405    273.2596    4.535933  -3.540 5.149e+04  10.00    16.671951   1.0    21.208145   2.0 KP   
   273.5975    273.5165    4.531674  -4.560 8.181e+03  10.00    16.671951   1.0    21.203886   1.0 KP   
   274.4344    274.3532    4.517854  -4.890 1.141e+04  10.00    16.849190   1.0    21.367303   0.0 KP   
   274.7050    274.6238    4.513403  -4.490 9.534e+03  10.00    16.849190   1.0    21.362852   1.0 KP   
   274.7050    274.6238    4.513403  -4.940 2.030e+03  10.00    16.849190   1.0    21.362852   2.0 KP   
   274.7397    274.6585    4.512832  -4.240 1.017e+04  10.00    16.849190   1.0    21.362281   2.0 KP   
   274.8787    274.7974    4.510551  -4.980 3.081e+03  10.00    16.849190   1.0    21.360000   1.0 KP   
   276.0137    275.9322    4.492003  -4.470 2.967e+04  10.00    16.671951   1.0    21.164212   0.0 KP   
   276.7178    276.6361    4.480574  -3.580 4.582e+04  10.00    16.671951   1.0    21.152782   2.0 KP   
   276.8108    276.7291    4.479067  -3.990 2.969e+04  10.00    16.671951   1.0    21.151276   1.0 KP   
   276.8618    276.7801    4.478243  -4.350 1.296e+04  10.00    16.671951   1.0    21.150451   1.0 KP   
   277.5868    277.5049    4.466546  -4.090 7.036e+04  10.00    16.849190   1.0    21.315993   0.0 KP   
   278.2238    278.1417    4.456320  -4.850 1.217e+04  10.00    16.849190   1.0    21.305766   0.0 KP   
   278.2262    278.1441    4.456283  -3.850 4.057e+04  10.00    16.849190   1.0    21.305728   1.0 KP   
   278.2447    278.1626    4.455985  -3.450 6.114e+04  10.00    16.849190   1.0    21.305431   2.0 KP   
   278.2920    278.2099    4.455229  -4.130 2.128e+04  10.00    16.849190   1.0    21.304675   1.0 KP   
   278.4772    278.3951    4.452265  -4.470 9.715e+03  10.00    16.849190   1.0    21.301711   1.0 KP   
   278.5285    278.4463    4.451447  -4.210 1.060e+04  10.00    16.849190   1.0    21.300893   2.0 KP   
   279.3142    279.2319    4.438924  -3.110 1.327e+05  10.00    16.620191   2.0    21.059370   2.0 KP   
   279.3484    279.2660    4.438382  -3.970 3.053e+04  10.00    16.620191   2.0    21.058828   1.0 KP   
   279.5421    279.4597    4.435305  -3.380 7.116e+04  10.00    16.620191   2.0    21.055751   2.0 KP   
   279.5920    279.5096    4.434513  -3.810 4.405e+04  10.00    16.716508   0.0    21.151276   1.0 KP   
   279.6440    279.5616    4.433688  -3.530 8.391e+04  10.00    16.716508   0.0    21.150451   1.0 KP   
   279.6784    279.5960    4.433143  -2.770 2.069e+05  10.00    16.620191   2.0    21.053588   3.0 KP   
   280.0625    279.9800    4.427063  -3.230 1.669e+05  10.00    16.620191   2.0    21.047508   1.0 KP   
   281.5517    281.4688    4.403647  -3.920 1.012e+05  10.00    16.671951   1.0    21.075851   0.0 KP   
   282.6094    282.5263    4.387167  -3.680 3.490e+04  10.00    16.671951   1.0    21.059370   2.0 KP   
   282.6443    282.5611    4.386625  -3.580 7.320e+04  10.00    16.671951   1.0    21.058828   1.0 KP   
   282.8427    282.7595    4.383548  -3.490 5.396e+04  10.00    16.671951   1.0    21.055751   2.0 KP   
   283.3755    283.2922    4.375305  -4.110 2.149e+04  10.00    16.671951   1.0    21.047508   1.0 KP   
   283.6070    283.5236    4.371734  -4.430 3.081e+04  10.00    16.849190   1.0    21.221175   0.0 KP   
   284.3211    284.2375    4.360754  -4.190 1.065e+04  10.00    16.849190   1.0    21.210195   2.0 KP   
   284.3398    284.2562    4.360467  -3.940 3.157e+04  10.00    16.849190   1.0    21.209907   1.0 KP   
   284.4548    284.3712    4.358705  -3.760 2.865e+04  10.00    16.849190   1.0    21.208145   2.0 KP   
