Number of lines in output :  4437
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.2522    200.1874    6.191465  -1.690 5.660e+06  10.01    31.364357   1.5    37.556177   2.5 KP   
   200.4581    200.3932    6.185105  -3.430 1.028e+05  10.01    31.364357   1.5    37.549818   2.5 KP   
   200.4881    200.4232    6.184178  -3.520 2.506e+05  10.01    31.364357   1.5    37.548890   0.5 KP   
   200.5477    200.4828    6.182341  -1.990 4.243e+06  10.01    31.364357   1.5    37.547053   1.5 KP   
   200.7658    200.7009    6.175625  -1.290 2.122e+07  10.01    31.514570   1.5    37.690551   1.5 KP   
   200.9522    200.8872    6.169899  -4.060 7.193e+04  10.01    31.514570   1.5    37.684823   0.5 KP   
   201.1687    201.1037    6.163258  -4.590 4.236e+03  10.01    34.610988   3.5    40.774600   4.5 KP   
   201.2797    201.2147    6.159857  -2.410 1.601e+06  10.01    31.530340   0.5    37.690551   1.5 KP   
   201.2999    201.2349    6.159241  -2.870 1.110e+06  10.01    31.345131   0.5    37.504725   0.5 KP   
   201.4670    201.4019    6.154130  -3.500 2.598e+05  10.01    31.530340   0.5    37.684823   0.5 KP   
   201.5016    201.4365    6.153074  -2.270 2.206e+06  10.01    31.345131   0.5    37.498558   1.5 KP   
   201.9302    201.8651    6.140016  -2.450 2.902e+06  10.01    31.364357   1.5    37.504725   0.5 KP   
   202.1332    202.0680    6.133849  -2.360 1.782e+06  10.01    31.364357   1.5    37.498558   1.5 KP   
   202.6170    202.5517    6.119203  -2.540 7.809e+05  10.01    31.364357   1.5    37.483912   2.5 KP   
   202.6211    202.5558    6.119078  -2.630 9.521e+05  10.01    31.514570   1.5    37.634000   1.5 KP   
   202.9508    202.8855    6.109136  -4.810 6.270e+03  10.01    34.646360   0.5    40.755846   1.5 KP   
   203.0095    202.9442    6.107372  -3.230 4.765e+05  10.01    31.345131   0.5    37.452853   0.5 KP   
   203.1446    203.0792    6.103310  -3.720 7.699e+04  10.01    31.530340   0.5    37.634000   1.5 KP   
   203.4608    203.3954    6.093825  -3.380 1.679e+05  10.01    31.345131   0.5    37.439306   1.5 KP   
   203.6042    203.5388    6.089532  -4.760 4.660e+03  10.01    31.514570   1.5    37.604453   2.5 KP   
   203.6507    203.5852    6.088146  -3.500 2.543e+05  10.01    31.364357   1.5    37.452853   0.5 KP   
   203.7785    203.7130    6.084325  -2.150 2.843e+06  10.01    31.514570   1.5    37.599245   1.5 KP   
   204.1047    204.0392    6.074600  -2.820 6.058e+05  10.01    31.364357   1.5    37.439306   1.5 KP   
   204.3080    204.2424    6.068557  -1.960 4.380e+06  10.01    31.530340   0.5    37.599245   1.5 KP   
   204.4704    204.4048    6.063735  -2.750 4.728e+05  10.01    31.514570   1.5    37.578653   2.5 KP   
   204.4899    204.4243    6.063157  -2.630 6.232e+05  10.01    31.364357   1.5    37.427862   2.5 KP   
   204.9346    204.8689    6.050001  -2.670 8.489e+05  10.01    31.514570   1.5    37.564919   1.5 KP   
   205.4474    205.3816    6.034901  -2.850 3.720e+05  10.01    31.514570   1.5    37.549818   2.5 KP   
   205.4701    205.4043    6.034233  -3.590 1.015e+05  10.01    31.530340   0.5    37.564919   1.5 KP   
   205.4789    205.4131    6.033973  -2.990 8.083e+05  10.01    31.514570   1.5    37.548890   0.5 KP   
   205.5415    205.4757    6.032136  -3.700 7.875e+04  10.01    31.514570   1.5    37.547053   1.5 KP   
   205.8257    205.7598    6.023810  -4.090 1.280e+04  10.01    34.750444   3.5    40.774600   4.5 KP   
   205.8542    205.7883    6.022976  -4.110 1.527e+04  10.01    34.751266   2.5    40.774588   3.5 KP   
   205.9490    205.8831    6.020202  -4.630 4.608e+03  10.01    34.750444   3.5    40.770992   3.5 KP   
   205.9770    205.9111    6.019383  -4.930 3.078e+03  10.01    34.751266   2.5    40.770994   2.5 KP   
   205.9771    205.9112    6.019380  -2.870 2.651e+05  10.01    34.751266   2.5    40.770992   3.5 KP   
   206.0173    205.9514    6.018205  -3.290 4.030e+05  10.01    31.530340   0.5    37.548890   0.5 KP   
   206.0802    206.0143    6.016367  -3.080 3.266e+05  10.01    31.530340   0.5    37.547053   1.5 KP   
   206.2176    206.1517    6.012359  -4.800 2.072e+03  10.01    34.739369   4.5    40.752073   5.5 KP   
   206.4967    206.4307    6.004235  -4.660 8.555e+03  10.01    34.751266   2.5    40.755846   1.5 KP   
   206.4967    206.4307    6.004233  -3.260 1.433e+05  10.01    34.751266   2.5    40.755844   2.5 KP   
   206.8488    206.7828    5.994013  -3.070 2.211e+05  10.01    34.776637   1.5    40.770994   2.5 KP   
   206.9939    206.9278    5.989811  -3.860 1.074e+05  10.01    31.514570   1.5    37.504725   0.5 KP   
   207.0397    206.9736    5.988487  -4.240 2.239e+04  10.01    34.751266   2.5    40.740097   1.5 KP   
   207.2072    207.1411    5.983644  -2.430 1.443e+06  10.01    31.514570   1.5    37.498558   1.5 KP   
   207.3728    207.3067    5.978866  -3.310 1.899e+05  10.01    34.776637   1.5    40.755846   1.5 KP   
   207.3729    207.3068    5.978863  -4.280 1.357e+04  10.01    34.776637   1.5    40.755844   2.5 KP   
   207.5403    207.4741    5.974043  -4.190 4.999e+04  10.01    31.530340   0.5    37.504725   0.5 KP   
   207.6999    207.6337    5.969450  -4.330 7.232e+03  10.01    34.804807   3.5    40.774600   4.5 KP   
   207.7156    207.6494    5.968999  -2.670 5.509e+05  10.01    31.514570   1.5    37.483912   2.5 KP   
   207.7547    207.6885    5.967875  -4.490 1.250e+04  10.01    31.530340   0.5    37.498558   1.5 KP   
   207.8255    207.7593    5.965842  -4.850 2.727e+03  10.01    34.804807   3.5    40.770992   3.5 KP   
   207.9205    207.8542    5.963118  -4.050 6.875e+04  10.01    34.776637   1.5    40.740098   0.5 KP   
   207.9206    207.8543    5.963117  -4.350 1.723e+04  10.01    34.776637   1.5    40.740097   1.5 KP   
   208.1175    208.0512    5.957474  -4.620 4.618e+03  10.01    34.816771   2.5    40.774588   3.5 KP   
   208.2430    208.1767    5.953881  -4.390 1.044e+04  10.01    34.816771   2.5    40.770994   2.5 KP   
   208.2431    208.1768    5.953879  -2.770 3.265e+05  10.01    34.816771   2.5    40.770992   3.5 KP   
   208.6490    208.5826    5.942297  -4.400 1.525e+04  10.01    34.813208   0.5    40.755846   1.5 KP   
   208.7742    208.7078    5.938734  -4.430 1.421e+04  10.01    34.816771   2.5    40.755846   1.5 KP   
   208.7743    208.7079    5.938731  -3.170 1.724e+05  10.01    34.816771   2.5    40.755844   2.5 KP   
   208.8021    208.7357    5.937942  -4.230 4.504e+04  10.01    31.514570   1.5    37.452853   0.5 KP   
   209.0802    209.0137    5.930043  -2.640 5.826e+05  10.01    34.840611   1.5    40.770994   2.5 KP   
   209.1127    209.0462    5.929121  -4.330 8.918e+03  10.01    34.845126   2.5    40.774588   3.5 KP   
   209.2034    209.1369    5.926550  -4.740 1.387e+04  10.01    34.813208   0.5    40.740098   0.5 KP   
   209.2395    209.1730    5.925528  -4.140 1.839e+04  10.01    34.845126   2.5    40.770994   2.5 KP   
   209.2396    209.1731    5.925526  -3.330 8.907e+04  10.01    34.845126   2.5    40.770992   3.5 KP   
   209.2795    209.2130    5.924395  -3.590 9.786e+04  10.01    31.514570   1.5    37.439306   1.5 KP   
   209.3293    209.2628    5.922985  -4.140 2.757e+04  10.01    34.816771   2.5    40.740097   1.5 KP   
   209.3580    209.2915    5.922173  -4.580 2.001e+04  10.01    31.530340   0.5    37.452853   0.5 KP   
   209.4293    209.3628    5.920156  -4.620 9.120e+03  10.01    34.835350   1.5    40.755846   1.5 KP   
   209.4294    209.3629    5.920153  -4.090 2.060e+04  10.01    34.835350   1.5    40.755844   2.5 KP   
   209.6156    209.5490    5.914895  -2.900 4.778e+05  10.01    34.840611   1.5    40.755846   1.5 KP   
   209.6157    209.5491    5.914893  -4.100 2.010e+04  10.01    34.840611   1.5    40.755844   2.5 KP   
   209.6845    209.6179    5.912952  -4.690 5.162e+03  10.01    31.514570   1.5    37.427862   2.5 KP   
   209.7506    209.6840    5.911089  -4.730 3.529e+03  10.01    34.863159   2.5    40.774588   3.5 KP   
   209.7757    209.7091    5.910381  -4.620 9.090e+03  10.01    34.845126   2.5    40.755846   1.5 KP   
   209.7758    209.7092    5.910378  -3.700 5.040e+04  10.01    34.845126   2.5    40.755844   2.5 KP   
   209.8380    209.7714    5.908627  -4.810 5.865e+03  10.01    31.530340   0.5    37.439306   1.5 KP   
   209.8781    209.8115    5.907496  -3.820 3.820e+04  10.01    34.863159   2.5    40.770994   2.5 KP   
   209.8782    209.8116    5.907493  -2.700 3.777e+05  10.01    34.863159   2.5    40.770992   3.5 KP   
   209.9880    209.9213    5.904407  -4.390 1.541e+04  10.01    34.835350   1.5    40.740097   1.5 KP   
   209.9880    209.9213    5.904409  -4.910 9.305e+03  10.01    34.835350   1.5    40.740098   0.5 KP   
   210.1752    210.1085    5.899147  -4.100 2.998e+04  10.01    34.840611   1.5    40.740097   1.5 KP   
   210.1752    210.1085    5.899148  -3.670 1.614e+05  10.01    34.840611   1.5    40.740098   0.5 KP   
   210.3362    210.2695    5.894632  -4.650 8.438e+03  10.01    34.845126   2.5    40.740097   1.5 KP   
   210.4177    210.3510    5.892349  -4.160 2.606e+04  10.01    34.863159   2.5    40.755846   1.5 KP   
   210.4178    210.3511    5.892346  -3.090 2.041e+05  10.01    34.863159   2.5    40.755844   2.5 KP   
   210.9816    210.9148    5.876600  -4.050 3.339e+04  10.01    34.863159   2.5    40.740097   1.5 KP   
   211.1337    211.0668    5.872366  -2.610 9.182e+05  10.01    34.883143   0.5    40.755846   1.5 KP   
   211.7014    211.6344    5.856618  -3.090 6.049e+05  10.01    34.883143   0.5    40.740098   0.5 KP   
   211.7015    211.6345    5.856617  -3.390 1.516e+05  10.01    34.883143   0.5    40.740097   1.5 KP   
   212.3242    212.2571    5.839440  -3.300 1.236e+05  10.01    34.931219   1.5    40.770994   2.5 KP   
   212.8254    212.7582    5.825689  -4.980 7.710e+03  10.01    36.181262   1.5    42.007286   0.5 KP   
   212.8764    212.8092    5.824293  -4.260 2.022e+04  10.01    34.931219   1.5    40.755846   1.5 KP   
   212.8765    212.8093    5.824290  -2.330 1.147e+06  10.01    34.931219   1.5    40.755844   2.5 KP   
   213.4535    213.3862    5.808544  -2.690 7.472e+05  10.01    34.931219   1.5    40.740097   1.5 KP   
   213.4535    213.3862    5.808546  -3.630 1.716e+05  10.01    34.931219   1.5    40.740098   0.5 KP   
   215.8103    215.7425    5.745111  -4.720 1.364e+04  10.01    36.261845   1.5    42.007286   0.5 KP   
   216.2533    216.1854    5.733342  -4.420 2.711e+04  10.01    36.273614   0.5    42.007286   0.5 KP   
   216.7437    216.6757    5.720371  -4.890 9.145e+03  10.01    36.286586   1.5    42.007286   0.5 KP   
   221.1287    221.0598    5.606935  -3.330 1.063e+05  10.01    34.621037   2.5    40.228294   2.5 KP   
   221.1293    221.0604    5.606920  -2.030 1.591e+06  10.01    34.621037   2.5    40.228279   3.5 KP   
   221.6494    221.5804    5.593764  -2.310 1.108e+06  10.01    34.634208   1.5    40.228294   2.5 KP   
   222.0576    221.9885    5.583482  -4.290 1.156e+04  10.01    34.610988   3.5    40.194791   2.5 KP   
   222.0584    221.9893    5.583460  -2.920 2.033e+05  10.01    34.610988   3.5    40.194769   3.5 KP   
   222.1053    222.0362    5.582282  -3.110 1.312e+05  10.01    34.610988   3.5    40.193591   3.5 KP   
   222.1069    222.0378    5.582241  -1.760 2.350e+06  10.01    34.610988   3.5    40.193550   4.5 KP   
   222.1232    222.0541    5.581832  -3.030 2.103e+05  10.01    34.610988   3.5    40.193141   2.5 KP   
   222.4579    222.3887    5.573434  -3.280 1.179e+05  10.01    34.621037   2.5    40.194791   2.5 KP   
   222.4588    222.3896    5.573412  -3.160 1.166e+05  10.01    34.621037   2.5    40.194769   3.5 KP   
   222.5058    222.4366    5.572234  -2.170 1.139e+06  10.01    34.621037   2.5    40.193591   3.5 KP   
   222.5238    222.4546    5.571784  -1.900 2.826e+06  10.01    34.621037   2.5    40.193141   2.5 KP   
   222.5250    222.4558    5.571753  -4.970 3.608e+03  10.01    34.621037   2.5    40.193110   1.5 KP   
   222.9848    222.9155    5.560263  -1.860 3.086e+06  10.01    34.634208   1.5    40.194791   2.5 KP   
   223.0510    222.9817    5.558613  -1.690 4.562e+06  10.01    34.634208   1.5    40.193141   2.5 KP   
   223.0523    222.9830    5.558582  -2.490 1.085e+06  10.01    34.634208   1.5    40.193110   1.5 KP   
   223.5409    223.4715    5.546432  -1.700 6.658e+06  10.01    34.646360   0.5    40.193110   1.5 KP   
   223.7023    223.6328    5.542431  -2.800 1.056e+06  10.01    36.464537   1.5    42.007286   0.5 KP   
   224.9438    224.8741    5.511840  -3.110 5.116e+05  10.01    36.495130   0.5    42.007286   0.5 KP   
   225.2866    225.2168    5.503455  -4.250 7.390e+03  10.01    34.610988   3.5    40.114759   4.5 KP   
   225.2973    225.2275    5.503192  -2.630 5.134e+05  10.01    34.610988   3.5    40.114496   2.5 KP   
   225.3392    225.2694    5.502170  -1.670 3.510e+06  10.01    34.610988   3.5    40.113474   3.5 KP   
   225.3476    225.2778    5.501963  -2.300 8.229e+05  10.01    34.610988   3.5    40.113267   3.5 KP   
   225.3500    225.2802    5.501905  -1.070 1.118e+07  10.01    34.610988   3.5    40.113209   4.5 KP   
   225.7094    225.6395    5.493144  -1.830 3.228e+06  10.01    34.621037   2.5    40.114496   2.5 KP   
   225.7514    225.6815    5.492122  -1.310 8.013e+06  10.01    34.621037   2.5    40.113474   3.5 KP   
   225.7599    225.6900    5.491915  -2.890 2.107e+05  10.01    34.621037   2.5    40.113267   3.5 KP   
   226.2519    226.1819    5.479973  -2.430 8.068e+05  10.01    34.634208   1.5    40.114496   2.5 KP   
   226.3866    226.3166    5.476713  -4.070 1.846e+04  10.01    34.751266   2.5    40.228294   2.5 KP   
   226.3872    226.3172    5.476698  -2.770 2.763e+05  10.01    34.751266   2.5    40.228279   3.5 KP   
   227.3328    227.2626    5.453917  -2.560 3.555e+05  10.01    37.862868   4.5    43.317099   4.5 KP   
   227.3385    227.2683    5.453781  -0.910 1.588e+07  10.01    37.863004   3.5    43.317099   4.5 KP   
   227.4402    227.3699    5.451343  -2.330 1.005e+06  10.01    34.776637   1.5    40.228294   2.5 KP   
   227.7455    227.6752    5.444035  -4.710 4.179e+03  10.01    34.750444   3.5    40.194791   2.5 KP   
   227.7464    227.6761    5.444012  -3.340 7.347e+04  10.01    34.750444   3.5    40.194769   3.5 KP   
   227.7799    227.7096    5.443213  -4.170 1.449e+04  10.01    34.751266   2.5    40.194791   2.5 KP   
   227.7808    227.7105    5.443190  -1.730 2.992e+06  10.01    34.751266   2.5    40.194769   3.5 KP   
   227.7957    227.7254    5.442834  -3.530 4.742e+04  10.01    34.750444   3.5    40.193591   3.5 KP   
   227.7974    227.7271    5.442793  -2.180 8.492e+05  10.01    34.750444   3.5    40.193550   4.5 KP   
   227.8146    227.7443    5.442384  -2.960 2.349e+05  10.01    34.750444   3.5    40.193141   2.5 KP   
   227.8301    227.7598    5.442012  -2.740 2.923e+05  10.01    34.751266   2.5    40.193591   3.5 KP   
   227.8491    227.7787    5.441562  -2.050 1.908e+06  10.01    34.751266   2.5    40.193141   2.5 KP   
   227.8504    227.7800    5.441531  -4.130 2.381e+04  10.01    34.751266   2.5    40.193110   1.5 KP   
   228.8465    228.7759    5.417843  -3.390 8.647e+04  10.01    34.776637   1.5    40.194791   2.5 KP   
