Number of lines in output :  3351
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.1144    200.0496    6.195727  -2.010 5.426e+06  28.00     0.109090   2.0     6.305173   1.0 FMW  
   200.2482    200.1834    6.191587  -1.510 7.343e+06  28.00     0.025392   3.0     6.217334   3.0 FMW  
   200.6646    200.5997    6.178739  -3.467 1.130e+05  28.00     0.025392   3.0     6.204486   2.0 K88  
   200.7642    200.6993    6.175675  -1.280 1.737e+07  28.00     0.109090   2.0     6.285120   2.0 FMW  
   200.8328    200.7679    6.173563  -1.420 8.982e+06  28.00     0.165177   3.0     6.339095   3.0 FMW  
   201.4882    201.4231    6.153487  -0.550 9.261e+07  28.00     0.212409   1.0     6.366249   2.0 FMW  
   201.7009    201.6358    6.146997  -1.961 5.978e+06  28.00     0.109090   2.0     6.256440   1.0 K88  
   202.1944    202.1292    6.131991  -2.463 6.242e+05  28.00     0.165177   3.0     6.297520   4.0 K88  
   202.6042    202.5389    6.119591  -1.150 2.301e+07  28.00     0.165177   3.0     6.285120   2.0 FMW  
   202.7265    202.6612    6.115899  -0.980 2.428e+07  28.00     0.000000   4.0     6.116250   3.0 FMW  
   202.9921    202.9268    6.107893  -2.010 2.260e+06  28.00     0.109090   2.0     6.217334   3.0 FMW  
   203.4200    203.3546    6.095046  -2.030 3.009e+06  28.00     0.109090   2.0     6.204486   2.0 FMW  
   203.5079    203.4425    6.092414  -1.299 2.697e+07  28.00     0.212409   1.0     6.305173   1.0 K88  
   203.5529    203.4875    6.091068  -1.322 1.534e+07  28.00     0.274832   2.0     6.366249   2.0 K88  
   203.5715    203.5061    6.090509  -0.784 3.781e+07  28.00     0.025392   3.0     6.116250   3.0 K88  
   204.1634    204.0979    6.072851  -2.088 2.613e+06  28.00     0.025392   3.0     6.098592   2.0 K88  
   204.1800    204.1144    6.072362  -2.000 3.200e+06  28.00     0.212409   1.0     6.285120   2.0 FMW  
   204.4644    204.3988    6.063915  -2.358 9.995e+05  28.00     0.274832   2.0     6.339095   3.0 K88  
   204.8014    204.7357    6.053937  -1.240 1.830e+07  28.00     0.025392   3.0     6.079676   2.0 FMW  
