Number of lines in output :  1619
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   201.7287    201.6636    6.146148  -1.520 8.250e+06   8.01    25.839091   1.5    31.985592   2.5 KP   
   202.1037    202.0385    6.134745  -1.090 2.212e+07   8.01    25.850495   2.5    31.985592   2.5 KP   
   202.2174    202.1522    6.131295  -1.510 1.260e+07   8.01    25.833375   0.5    31.965022   1.5 KP   
   202.3607    202.2955    6.126951  -0.990 4.167e+07   8.01    28.359988   2.5    34.487291   1.5 KP   
   202.3607    202.2955    6.126951  -2.220 1.636e+06   8.01    28.359988   2.5    34.487291   2.5 KP   
   202.4061    202.3409    6.125579  -1.890 5.243e+06   8.01    25.839091   1.5    31.965022   1.5 KP   
   202.4574    202.3922    6.124025  -0.840 3.920e+07   8.01    28.362914   3.5    34.487291   2.5 KP   
   202.6444    202.5791    6.118375  -2.260 4.463e+06   8.01    25.833375   0.5    31.952102   0.5 KP   
   202.7836    202.7183    6.114176  -1.550 1.143e+07   8.01    25.850495   2.5    31.965022   1.5 KP   
   202.8339    202.7686    6.112659  -1.530 2.392e+07   8.01    25.839091   1.5    31.952102   0.5 KP   
   206.4759    206.4099    6.004838  -4.390 3.187e+04   8.01    25.633081   0.5    31.638264   0.5 KP   
   206.7130    206.6470    5.997952  -4.510 2.412e+04   8.01    25.639968   1.5    31.638264   0.5 KP   
   206.8057    206.7397    5.995261  -4.830 5.767e+03   8.01    25.639968   1.5    31.635573   1.5 KP   
   207.1981    207.1320    5.983909  -3.870 5.240e+04   8.01    25.651321   2.5    31.635573   1.5 KP   
   207.4973    207.4311    5.975280  -0.990 2.642e+07   8.01    28.511668   2.5    34.487291   2.5 KP   
   207.4973    207.4311    5.975280  -2.220 2.334e+06   8.01    28.511668   2.5    34.487291   1.5 KP   
   207.5903    207.5241    5.972602  -2.100 2.049e+06   8.01    28.514346   1.5    34.487291   2.5 KP   
   207.5903    207.5241    5.972602  -1.190 2.498e+07   8.01    28.514346   1.5    34.487291   1.5 KP   
   207.6222    207.5560    5.971684  -3.990 3.958e+04   8.01    25.633081   0.5    31.605108   1.5 KP   
   207.8619    207.7957    5.964798  -3.710 7.525e+04   8.01    25.639968   1.5    31.605108   1.5 KP   
   207.8619    207.7957    5.964798  -3.920 3.093e+04   8.01    25.639968   1.5    31.605108   2.5 KP   
   207.8912    207.8250    5.963958  -3.740 4.681e+04   8.01    25.666772   3.5    31.631073   2.5 KP   
   208.2583    208.1920    5.953446  -3.540 7.392e+04   8.01    25.651321   2.5    31.605108   2.5 KP   
   208.2583    208.1920    5.953446  -4.310 1.883e+04   8.01    25.651321   2.5    31.605108   1.5 KP   
   209.3582    209.2917    5.922167  -1.340 1.739e+07   8.01    26.227152   1.5    32.149659   1.5 KP   
   209.3617    209.2952    5.922068  -2.270 1.362e+06   8.01    26.227152   1.5    32.149560   2.5 KP   
   210.0681    210.0014    5.902153  -2.850 2.669e+05   8.01    25.651321   2.5    31.553813   3.5 KP   
   210.1362    210.0695    5.900241  -3.190 9.753e+04   8.01    25.666772   3.5    31.567353   4.5 KP   
   210.1973    210.1306    5.898525  -2.360 1.647e+06   8.01    26.250795   2.5    32.149659   1.5 KP   
   210.2009    210.1342    5.898426  -1.140 1.823e+07   8.01    26.250795   2.5    32.149560   2.5 KP   
   210.6195    210.5527    5.886702  -3.540 5.420e+04   8.01    25.666772   3.5    31.553813   3.5 KP   
   212.4057    212.3386    5.837200  -1.960 4.053e+06   8.01    26.227152   1.5    32.064687   1.5 KP   
   212.6415    212.5743    5.830725  -4.420 1.402e+04   8.01    23.000521   2.5    28.831581   1.5 KP   
   213.2695    213.2022    5.813558  -0.980 3.839e+07   8.01    26.250795   2.5    32.064687   1.5 KP   
   213.2805    213.2132    5.813258  -1.220 4.418e+07   8.01    26.227152   1.5    32.040744   0.5 KP   
   213.6002    213.5328    5.804556  -4.460 2.535e+04   8.01    25.833375   0.5    31.638264   0.5 KP   
   213.6993    213.6319    5.801865  -3.740 6.644e+04   8.01    25.833375   0.5    31.635573   1.5 KP   
   213.8108    213.7434    5.798840  -3.710 1.422e+05   8.01    25.839091   1.5    31.638264   0.5 KP   
   213.9100    213.8426    5.796149  -4.330 1.705e+04   8.01    25.839091   1.5    31.635573   1.5 KP   
   214.0762    214.0087    5.791649  -4.070 2.065e+04   8.01    25.839091   1.5    31.631073   2.5 KP   
   214.3317    214.2642    5.784747  -4.020 3.467e+04   8.01    25.850495   2.5    31.635573   1.5 KP   
   214.4986    214.4311    5.780246  -4.640 5.535e+03   8.01    25.850495   2.5    31.631073   2.5 KP   
   215.0403    214.9726    5.765686  -4.060 3.141e+04   8.01    25.839091   1.5    31.605108   1.5 KP   
   215.0403    214.9726    5.765686  -4.190 1.552e+04   8.01    25.839091   1.5    31.605108   2.5 KP   
   215.3327    215.2650    5.757854  -4.440 1.306e+04   8.01    26.306502   1.5    32.064687   1.5 KP   
   215.4663    215.3986    5.754283  -4.480 1.189e+04   8.01    25.850495   2.5    31.605108   1.5 KP   
   215.4663    215.3986    5.754283  -3.820 3.624e+04   8.01    25.850495   2.5    31.605108   2.5 KP   
   216.0951    216.0272    5.737540  -4.670 7.634e+03   8.01    26.227152   1.5    31.965022   1.5 KP   
   216.2109    216.1430    5.734468  -4.600 5.973e+03   8.01    26.250795   2.5    31.985592   2.5 KP   
   216.4657    216.3978    5.727718  -4.470 8.039e+03   8.01    28.359988   2.5    34.088035   2.5 KP   
   216.4657    216.3978    5.727718  -3.740 6.476e+04   8.01    28.359988   2.5    34.088035   1.5 KP   
   216.5763    216.5083    5.724792  -3.560 6.528e+04   8.01    28.362914   3.5    34.088035   2.5 KP   
   216.5828    216.5148    5.724621  -4.660 1.555e+04   8.01    26.227152   1.5    31.952102   0.5 KP   
   216.9893    216.9212    5.713899  -4.140 2.566e+04   8.01    26.250795   2.5    31.965022   1.5 KP   
   217.1124    217.0443    5.710658  -3.530 5.220e+04   8.01    28.359988   2.5    34.070973   3.5 KP   
   217.2237    217.1556    5.707732  -2.440 6.415e+05   8.01    28.362914   3.5    34.070973   3.5 KP   
   217.3162    217.2481    5.705302  -2.500 7.444e+05   8.01    28.359988   2.5    34.065617   2.5 KP   
   217.4277    217.3596    5.702376  -3.790 3.814e+04   8.01    28.362914   3.5    34.065617   2.5 KP   
   218.3317    218.2634    5.678764  -1.360 1.018e+07   8.01    26.306502   1.5    31.985592   2.5 KP   
   218.9890    218.9205    5.661721  -4.500 1.100e+04   8.01    28.511668   2.5    34.173714   1.5 KP   
   219.0106    218.9421    5.661163  -1.410 1.352e+07   8.01    28.825803   0.5    34.487291   1.5 KP   
   219.0926    219.0241    5.659043  -4.860 9.590e+03   8.01    28.514346   1.5    34.173714   0.5 KP   
   219.1254    219.0569    5.658195  -1.580 9.134e+06   8.01    26.306502   1.5    31.965022   1.5 KP   
   219.2343    219.1658    5.655385  -2.080 2.886e+06   8.01    28.831581   1.5    34.487291   1.5 KP   
   219.2343    219.1658    5.655385  -1.160 1.600e+07   8.01    28.831581   1.5    34.487291   2.5 KP   
   219.6269    219.5583    5.645275  -1.910 8.506e+06   8.01    26.306502   1.5    31.952102   0.5 KP   
   221.6447    221.5757    5.593883  -1.540 9.789e+06   8.01    26.555454   0.5    32.149659   1.5 KP   
   221.9385    221.8694    5.586476  -2.140 2.452e+06   8.01    26.562862   1.5    32.149659   1.5 KP   
   221.9425    221.8734    5.586377  -1.280 1.184e+07   8.01    26.562862   1.5    32.149560   2.5 KP   
   222.3537    222.2845    5.576047  -3.280 1.770e+05   8.01    28.511668   2.5    34.088035   1.5 KP   
   222.3537    222.2845    5.576047  -2.140 1.629e+06   8.01    28.511668   2.5    34.088035   2.5 KP   
   222.4605    222.3913    5.573369  -2.320 1.613e+06   8.01    28.514346   1.5    34.088035   1.5 KP   
   222.4605    222.3913    5.573369  -3.370 9.582e+04   8.01    28.514346   1.5    34.088035   2.5 KP   
   223.0361    222.9668    5.558986  -1.750 2.980e+06   8.01    28.511668   2.5    34.070973   3.5 KP   
   223.2512    223.1818    5.553630  -2.970 2.390e+05   8.01    28.511668   2.5    34.065617   2.5 KP   
   223.3589    223.2895    5.550952  -1.860 3.076e+06   8.01    28.514346   1.5    34.065617   2.5 KP   
   223.8082    223.7387    5.539807  -3.810 2.062e+04   8.01    28.695349   3.5    34.235474   4.5 KP   
   224.1855    224.1159    5.530485  -4.780 3.671e+03   8.01    22.980865   1.5    28.511668   2.5 KP   
   224.2980    224.2284    5.527711  -4.670 4.724e+03   8.01    28.678989   1.5    34.207018   2.5 KP   
   224.3217    224.2521    5.527127  -3.010 1.079e+05   8.01    28.708030   4.5    34.235474   5.5 KP   
   224.3217    224.2521    5.527127  -4.750 2.357e+03   8.01    28.708030   4.5    34.235474   4.5 KP   
   224.5701    224.5005    5.521012  -4.810 2.561e+03   8.01    28.685689   2.5    34.207018   3.5 KP   
   224.9850    224.9153    5.510830  -4.230 1.293e+04   8.01    23.000521   2.5    28.511668   2.5 KP   
   225.0633    224.9935    5.508916  -1.880 4.340e+06   8.01    26.555454   0.5    32.064687   1.5 KP   
   225.1577    225.0879    5.506604  -4.940 1.511e+03   8.01    28.695349   3.5    34.202269   4.5 KP   
   225.1577    225.0879    5.506604  -4.760 2.858e+03   8.01    28.695349   3.5    34.202269   3.5 KP   
   225.3510    225.2812    5.501881  -3.930 2.572e+04   8.01    26.227152   1.5    31.729349   2.5 KP   
   225.3662    225.2964    5.501509  -1.190 2.120e+07   8.01    26.562862   1.5    32.064687   1.5 KP   
   225.6261    225.5562    5.495174  -3.670 7.003e+04   8.01    26.227152   1.5    31.722641   1.5 KP   
   225.6774    225.6075    5.493924  -3.870 1.767e+04   8.01    28.708030   4.5    34.202269   4.5 KP   
   226.0456    225.9756    5.484975  -1.590 1.678e+07   8.01    26.555454   0.5    32.040744   0.5 KP   
   226.3235    226.2535    5.478240  -3.530 6.405e+04   8.01    26.250795   2.5    31.729349   2.5 KP   
   226.3513    226.2813    5.477568  -1.910 8.008e+06   8.01    26.562862   1.5    32.040744   0.5 KP   
   228.4183    228.3478    5.427998  -2.370 9.089e+05   8.01    26.227152   1.5    31.655462   2.5 KP   
   228.5222    228.4517    5.425531  -4.410 2.485e+04   8.01    26.227152   1.5    31.652994   0.5 KP   
   228.5582    228.4877    5.424678  -2.570 4.296e+05   8.01    26.250795   2.5    31.675784   3.5 KP   
   228.6485    228.5780    5.422535  -4.760 3.695e+03   8.01    26.306502   1.5    31.729349   2.5 KP   
   229.0356    228.9650    5.413369  -4.220 1.915e+04   8.01    28.840988   0.5    34.254668   1.5 KP   
   229.0923    229.0217    5.412029  -4.680 6.638e+03   8.01    26.227152   1.5    31.639492   1.5 KP   
   229.1564    229.0858    5.410516  -1.690 6.483e+06   8.01    23.420754   0.5    28.831581   1.5 KP   
   229.2098    229.1392    5.409257  -4.810 4.916e+03   8.01    26.555454   0.5    31.965022   1.5 KP   
   229.3395    229.2688    5.406195  -4.730 5.903e+03   8.01    28.823662   2.5    34.230167   1.5 KP   
   229.3395    229.2688    5.406195  -4.550 5.957e+03   8.01    28.823662   2.5    34.230167   2.5 KP   
   229.4014    229.3307    5.404739  -1.360 2.766e+07   8.01    23.420754   0.5    28.825803   0.5 KP   
   229.4176    229.3469    5.404357  -3.350 9.435e+04   8.01    26.250795   2.5    31.655462   2.5 KP   
   229.5240    229.4533    5.401850  -4.080 2.633e+04   8.01    26.562862   1.5    31.965022   1.5 KP   
   229.6095    229.5388    5.399839  -4.860 4.366e+03   8.01    28.854520   0.5    34.254668   1.5 KP   
   229.6095    229.5388    5.399839  -3.800 1.003e+05   8.01    28.854520   0.5    34.254668   0.5 KP   
   229.7585    229.6877    5.396337  -4.790 1.025e+04   8.01    26.555454   0.5    31.952102   0.5 KP   
   229.7904    229.7196    5.395588  -4.240 3.634e+04   8.01    28.858770   1.5    34.254668   0.5 KP   
   229.7904    229.7196    5.395588  -3.830 4.671e+04   8.01    28.858770   1.5    34.254668   1.5 KP   
   229.7958    229.7250    5.395462  -4.600 1.586e+04   8.01    28.825803   0.5    34.221575   0.5 KP   
   229.7985    229.7277    5.395399  -4.820 4.779e+03   8.01    28.858960   2.5    34.254668   1.5 KP   
   230.0421    229.9713    5.389684  -4.270 3.384e+04   8.01    28.831581   1.5    34.221575   0.5 KP   
   230.0769    230.0061    5.388870  -4.350 1.407e+04   8.01    28.840988   0.5    34.230167   1.5 KP   
   230.0975    230.0267    5.388387  -3.760 5.473e+04   8.01    26.250795   2.5    31.639492   1.5 KP   
   230.1055    230.0347    5.388200  -0.940 3.616e+07   8.01    23.443071   1.5    28.831581   1.5 KP   
   230.3257    230.2548    5.383047  -3.570 5.640e+04   8.01    28.823662   2.5    34.207018   2.5 KP   
   230.3257    230.2548    5.383047  -4.010 1.536e+04   8.01    28.823662   2.5    34.207018   3.5 KP   
   230.3525    230.2816    5.382422  -1.670 1.344e+07   8.01    23.443071   1.5    28.825803   0.5 KP   
   230.5071    230.4362    5.378813  -4.960 2.294e+03   8.01    22.980865   1.5    28.359988   2.5 KP   
   230.5291    230.4582    5.378299  -2.940 1.801e+05   8.01    28.823662   2.5    34.202269   3.5 KP   
   230.6526    230.5816    5.375419  -3.520 3.786e+04   8.01    28.859747   3.5    34.235474   4.5 KP   
   230.6560    230.5850    5.375339  -3.860 4.326e+04   8.01    28.854520   0.5    34.230167   1.5 KP   
   230.8386    230.7676    5.371089  -3.520 6.300e+04   8.01    28.858770   1.5    34.230167   2.5 KP   
   230.8386    230.7676    5.371089  -3.820 4.736e+04   8.01    28.858770   1.5    34.230167   1.5 KP   
   230.8467    230.7757    5.370899  -3.760 3.625e+04   8.01    28.858960   2.5    34.230167   2.5 KP   
   230.8806    230.8096    5.370112  -3.070 1.775e+05   8.01    28.859747   3.5    34.230167   2.5 KP   
   231.0553    230.9842    5.366053  -2.290 1.602e+06   8.01    25.662901   2.5    31.029262   1.5 KP   
   231.0606    230.9895    5.365929  -2.570 1.681e+06   8.01    25.663025   1.5    31.029262   0.5 KP   
   231.0606    230.9895    5.365929  -3.340 1.428e+05   8.01    25.663025   1.5    31.029262   1.5 KP   
   231.1068    231.0357    5.364854  -3.940 2.390e+04   8.01    28.865006   2.5    34.230167   2.5 KP   
   231.1068    231.0357    5.364854  -2.850 4.410e+05   8.01    28.865006   2.5    34.230167   1.5 KP   
   231.2262    231.1551    5.362085  -4.030 1.455e+04   8.01    23.000521   2.5    28.362914   3.5 KP   
   231.7506    231.6794    5.349952  -3.340 5.677e+04   8.01    28.885215   3.5    34.235474   4.5 KP   
   231.8377    231.7665    5.347941  -4.040 1.886e+04   8.01    28.858770   1.5    34.207018   2.5 KP   
   231.8459    231.7747    5.347751  -4.170 1.398e+04   8.01    28.858960   2.5    34.207018   2.5 KP   
   231.8459    231.7747    5.347751  -3.310 7.597e+04   8.01    28.858960   2.5    34.207018   3.5 KP   
   231.8523    231.7811    5.347604  -3.160 2.146e+05   8.01    28.825803   0.5    34.173714   1.5 KP   
   231.8523    231.7811    5.347604  -2.860 8.564e+05   8.01    28.825803   0.5    34.173714   0.5 KP   
   231.8801    231.8089    5.346964  -2.060 1.351e+06   8.01    28.859747   3.5    34.207018   3.5 KP   
   231.8801    231.8089    5.346964  -3.410 8.044e+04   8.01    28.859747   3.5    34.207018   2.5 KP   
   231.9808    231.9095    5.344645  -2.970 2.213e+05   8.01    28.885215   3.5    34.230167   2.5 KP   
