Number of lines in output :  698
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   216.1872    216.1193    5.735097  -3.940 1.639e+05  15.01     8.090694   1.0    13.826120   0.0 KP   
   219.6252    219.5566    5.645320  -4.530 8.162e+03  15.01     0.020446   1.0     5.666091   2.0 KP   
   221.1025    221.0336    5.607601  -4.080 2.270e+04  15.01     0.058167   2.0     5.666091   2.0 KP   
   224.1729    224.1033    5.530796  -3.510 8.203e+04  15.01    10.755606   1.0    16.286719   2.0 KP   
   224.2514    224.1818    5.528860  -2.910 3.264e+05  15.01    10.887055   2.0    16.416233   2.0 KP   
   224.3780    224.3084    5.525738  -2.840 6.383e+05  15.01    10.887055   2.0    16.413111   1.0 KP   
   225.0726    225.0028    5.508687  -2.860 3.635e+05  15.01    10.907230   3.0    16.416233   2.0 KP   
   225.4315    225.3617    5.499916  -2.340 1.200e+06  15.01    10.887055   2.0    16.387287   2.0 KP   
   225.5893    225.5194    5.496071  -3.320 8.962e+04  15.01    10.887055   2.0    16.383442   3.0 KP   
   226.1022    226.0322    5.483602  -3.700 5.207e+04  15.01    10.802802   2.0    16.286719   2.0 KP   
   226.2280    226.1580    5.480552  -2.550 1.224e+06  15.01    10.737452   0.0    16.218319   1.0 KP   
   226.2614    226.1914    5.479742  -2.530 7.690e+05  15.01    10.907230   3.0    16.387287   2.0 KP   
   226.4203    226.3503    5.475898  -2.940 2.134e+05  15.01    10.907230   3.0    16.383442   3.0 KP   
   226.7012    226.6311    5.469113  -0.670 3.083e+07  15.01    10.907230   3.0    16.376657   4.0 KP   
   226.9799    226.9097    5.462399  -2.080 3.589e+06  15.01    10.755606   1.0    16.218319   1.0 KP   
   227.5814    227.5111    5.447961  -2.180 1.215e+06  15.01    10.935168   4.0    16.383442   3.0 KP   
   227.8652    227.7948    5.441177  -2.010 1.395e+06  15.01    10.935168   4.0    16.376657   4.0 KP   
   228.1695    228.0991    5.433917  -0.020 1.748e+08  15.01    10.887055   2.0    16.321285   3.0 KP   
   228.5810    228.5105    5.424135   0.230 1.971e+08  15.01    10.935168   4.0    16.359614   5.0 KP   
