Number of lines in output :  489
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   208.5866    208.5202    5.944076  -4.030 3.577e+04  16.01    13.661131   1.5    19.605549   1.5 GUES 
   209.1816    209.1151    5.927167  -3.080 3.170e+05  16.01    13.678041   2.5    19.605549   1.5 GUES 
   209.5330    209.4664    5.917230  -4.830 3.745e+03  16.01    13.678041   2.5    19.595611   2.5 GUES 
   210.3939    210.3272    5.893014  -2.550 7.078e+05  16.01    13.702258   3.5    19.595611   2.5 GUES 
   210.5250    210.4582    5.889346  -3.190 4.858e+05  16.01    13.661131   1.5    19.550815   0.5 GUES 
   210.9586    210.8918    5.877240  -3.570 1.008e+05  16.01    13.661131   1.5    19.538708   1.5 GUES 
   211.5674    211.5004    5.860331  -2.550 1.050e+06  16.01    13.678041   2.5    19.538708   1.5 GUES 
   212.5396    212.4724    5.833522  -3.980 1.933e+04  16.01    13.702258   3.5    19.536115   3.5 GUES 
   213.4003    213.3330    5.809994  -4.190 1.576e+04  16.01    13.678041   2.5    19.488368   2.5 GUES 
   213.7108    213.6434    5.801553  -2.400 7.267e+05  16.01    13.734229   4.5    19.536115   3.5 GUES 
   213.8466    213.7792    5.797867  -4.310 1.786e+04  16.01    13.661131   1.5    19.459330   1.5 GUES 
   214.2935    214.2260    5.785778  -2.490 7.834e+05  16.01    13.702258   3.5    19.488368   2.5 GUES 
   214.3497    214.2822    5.784259  -2.760 1.261e+06  16.01    13.661131   1.5    19.445722   0.5 GUES 
   214.4721    214.4046    5.780958  -2.810 5.615e+05  16.01    13.678041   2.5    19.459330   1.5 GUES 
   227.4979    227.4276    5.449960  -3.960 3.533e+04  16.01    14.155276   0.5    19.605549   1.5 GUES 
   227.6960    227.6257    5.445219  -3.710 6.271e+04  16.01    14.160017   1.5    19.605549   1.5 GUES 
   227.8543    227.7839    5.441437  -2.760 5.582e+05  16.01    14.163799   2.5    19.605549   1.5 GUES 
   228.1123    228.0419    5.435281  -4.280 1.121e+04  16.01    14.160017   1.5    19.595611   2.5 GUES 
   228.2711    228.2007    5.431500  -3.140 1.546e+05  16.01    14.163799   2.5    19.595611   2.5 GUES 
   228.5230    228.4525    5.425512  -2.280 1.117e+06  16.01    14.169787   3.5    19.595611   2.5 GUES 
   229.8057    229.7349    5.395229  -2.750 1.123e+06  16.01    14.155276   0.5    19.550815   0.5 GUES 
   230.0078    229.9370    5.390488  -3.440 2.289e+05  16.01    14.160017   1.5    19.550815   0.5 GUES 
   230.3225    230.2516    5.383123  -4.480 1.041e+04  16.01    14.155276   0.5    19.538708   1.5 GUES 
   230.5255    230.4546    5.378382  -4.780 5.207e+03  16.01    14.160017   1.5    19.538708   1.5 GUES 
   230.6878    230.6168    5.374600  -2.740 5.702e+05  16.01    14.163799   2.5    19.538708   1.5 GUES 
   231.0566    230.9855    5.366020  -2.720 2.976e+05  16.01    14.169787   3.5    19.536115   3.5 GUES 
   231.2982    231.2271    5.360415  -3.900 2.616e+04  16.01    14.234888   2.5    19.595611   2.5 GUES 
   232.7034    232.6320    5.328045  -4.500 6.492e+03  16.01    14.160017   1.5    19.488368   2.5 GUES 
   232.8688    232.7973    5.324263  -3.170 1.386e+05  16.01    14.163799   2.5    19.488368   2.5 GUES 
   233.1309    233.0594    5.318276  -3.660 4.475e+04  16.01    14.169787   3.5    19.488368   2.5 GUES 
   233.7694    233.6977    5.303750  -3.670 6.524e+04  16.01    14.155276   0.5    19.459330   1.5 GUES 
   233.7798    233.7081    5.303516  -3.480 1.010e+05  16.01    14.234888   2.5    19.538708   1.5 GUES 
   233.9786    233.9069    5.299009  -3.180 2.012e+05  16.01    14.160017   1.5    19.459330   1.5 GUES 
   234.1456    234.0739    5.295227  -3.520 9.185e+04  16.01    14.163799   2.5    19.459330   1.5 GUES 
   234.3707    234.2989    5.290143  -3.400 2.417e+05  16.01    14.155276   0.5    19.445722   0.5 GUES 
   234.5809    234.5091    5.285401  -3.160 4.193e+05  16.01    14.160017   1.5    19.445722   0.5 GUES 
   236.0199    235.9477    5.253179  -4.230 1.175e+04  16.01    14.234888   2.5    19.488368   2.5 GUES 
   236.5567    236.4844    5.241256  -4.020 1.423e+04  16.01    14.294558   3.5    19.536115   3.5 GUES 
   237.3317    237.2592    5.224143  -2.810 4.585e+05  16.01    14.234888   2.5    19.459330   1.5 GUES 
   238.7314    238.6586    5.193512  -3.040 1.779e+05  16.01    14.294558   3.5    19.488368   2.5 GUES 
   275.8163    275.7348    4.495219  -2.930 1.717e+05  16.01    15.868114   1.5    20.363591   2.5 KP   
   276.9744    276.8926    4.476424  -2.590 2.794e+05  16.01    15.899963   2.5    20.376644   3.5 GUES 
   277.7843    277.7023    4.463372  -2.660 3.152e+05  16.01    15.899963   2.5    20.363591   2.5 KP   
   278.1799    278.0978    4.457025  -2.560 2.967e+05  16.01    15.899963   2.5    20.357244   3.5 GUES 
   279.8106    279.7281    4.431050  -3.710 2.076e+04  16.01    15.945339   3.5    20.376644   3.5 GUES 
   280.3505    280.2679    4.422515  -1.730 1.580e+06  16.01    15.945339   3.5    20.368108   4.5 GUES 
   280.6372    280.5545    4.417998  -3.270 7.580e+04  16.01    15.945339   3.5    20.363591   2.5 KP   
   281.0409    280.9581    4.411651  -2.390 4.300e+05  16.01    15.945339   3.5    20.357244   3.5 GUES 
   284.8205    284.7368    4.353108  -0.799 2.177e+07  16.01    13.093498   1.5    17.446856   2.5 GUES 
   290.9160    290.8308    4.261898  -3.000 1.314e+05  16.01    16.101448   1.5    20.363591   2.5 KP   
   292.3681    292.2825    4.240732  -3.890 1.257e+04  16.01    16.135668   2.5    20.376644   3.5 GUES 
   293.2706    293.1848    4.227680  -2.650 2.894e+05  16.01    16.135668   2.5    20.363591   2.5 KP   
   293.7116    293.6257    4.221334  -2.310 4.734e+05  16.01    16.135668   2.5    20.357244   3.5 GUES 
   294.0256    293.9396    4.216825  -2.130 1.430e+06  16.01    15.559242   0.5    19.776310   1.5 KP   
   297.6966    297.6097    4.164826  -0.520 3.788e+07  16.01    16.198526   1.5    20.363591   2.5 KP   
   299.8055    299.7181    4.135529  -4.050 1.653e+04  16.01    13.672486   2.5    17.808253   1.5 KP   
   301.1729    301.0852    4.116752  -3.150 8.676e+04  16.01    16.246603   1.5    20.363591   2.5 KP   
   301.6552    301.5673    4.110172  -3.650 2.051e+04  16.01    16.266236   2.5    20.376644   3.5 GUES 
   302.6161    302.5280    4.097120  -1.540 3.501e+06  16.01    16.266236   2.5    20.363591   2.5 KP   
   303.0856    302.9974    4.090773  -0.250 5.104e+07  16.01    16.266236   2.5    20.357244   3.5 GUES 
   315.7477    315.6563    3.926726  -2.370 7.135e+05  16.01    15.849359   0.5    19.776310   1.5 KP   
   317.2629    317.1711    3.907971  -2.600 4.161e+05  16.01    15.868114   1.5    19.776310   1.5 KP   
   317.2942    317.2024    3.907586  -2.640 2.530e+05  16.01    15.868114   1.5    19.775924   2.5 KP   
   319.8696    319.7772    3.876125  -4.030 1.521e+04  16.01    15.899963   2.5    19.776310   1.5 KP   
   319.9014    319.8090    3.875739  -2.840 1.570e+05  16.01    15.899963   2.5    19.775924   2.5 KP   
   323.4283    323.3350    3.833475  -4.880 2.101e+03  16.01    13.618300   1.5    17.451995   1.5 KP   
   323.6909    323.5975    3.830365  -4.400 4.224e+03  16.01    15.945339   3.5    19.775924   2.5 KP   
   324.3343    324.2407    3.822767  -2.830 1.563e+05  16.01    16.540604   1.5    20.363591   2.5 KP   
   326.1239    326.0299    3.801789  -4.200 1.978e+04  16.01    15.559242   0.5    19.361250   0.5 KP   
   327.3938    327.2995    3.787042  -3.700 3.104e+04  16.01    15.559242   0.5    19.346502   1.5 KP   
   328.5120    328.4174    3.774153  -3.880 1.358e+04  16.01    13.672486   2.5    17.446856   2.5 KP   
   328.9635    328.8688    3.768973  -4.690 2.097e+03  16.01    13.618300   1.5    17.387489   2.5 KP   
   331.5428    331.4474    3.739651  -4.840 2.193e+03  16.01    14.068387   1.5    17.808253   1.5 KP   
   332.7717    332.6760    3.725841  -3.730 1.402e+04  16.01    13.672486   2.5    17.398541   3.5 KP   
   333.0291    332.9333    3.722962  -4.140 2.178e+04  16.01    14.068387   1.5    17.791562   0.5 KP   
   336.6084    336.5117    3.683373  -3.330 6.884e+04  16.01    16.092725   0.5    19.776310   1.5 KP   
   337.4428    337.3459    3.674265  -2.850 1.379e+05  16.01    16.101448   1.5    19.775924   2.5 KP   
   338.3789    338.2818    3.664101  -1.870 9.823e+05  16.01    13.734229   4.5    17.398541   3.5 KP   
   340.5788    340.4811    3.640433  -3.640 3.293e+04  16.01    16.135668   2.5    19.776310   1.5 KP   
   340.6149    340.5172    3.640048  -2.630 2.246e+05  16.01    16.135668   2.5    19.775924   2.5 KP   
   346.5624    346.4632    3.577579  -0.570 3.737e+07  16.01    16.198526   1.5    19.776310   1.5 NBS  
   346.5998    346.5006    3.577193  -1.550 2.608e+06  16.01    16.198526   1.5    19.775924   2.5 NBS  
