Number of lines in output :  5122
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.1080    200.0432    6.195800  -2.000 1.666e+07  21.00     0.000001   1.5     6.196157   0.0 PARK 
   200.2068    200.1420    6.192868  -1.420 6.327e+07  21.00     0.000000   1.5     6.193224   0.0 PARK 
   200.2470    200.1822    6.191626  -2.140 1.205e+07  21.00     0.000000   1.5     6.191981   0.0 PARK 
   200.3940    200.3291    6.166335  -2.130 1.231e+07  21.00     0.020873   2.5     6.187562   0.0 PARK 
   200.7201    200.6552    6.177031  -4.975 2.192e+03  21.00     1.447908   4.5     7.625294   3.5 K88  
   204.0320    203.9665    6.056017  -1.880 2.112e+07  21.00     0.020873   2.5     6.077237   0.0 PARK 
   204.7080    204.6424    6.056697  -1.370 6.790e+07  21.00     0.000000   1.5     6.057045   0.0 PARK 
   205.0293    204.9636    6.026459  -1.390 6.464e+07  21.00     0.020873   2.5     6.047678   0.0 PARK 
   205.0670    205.0013    6.045969  -1.370 6.766e+07  21.00     0.000001   1.5     6.046317   0.0 PARK 
   205.1914    205.1257    6.021681  -1.400 6.307e+07  21.00     0.020873   2.5     6.042900   0.0 PARK 
   206.8641    206.7980    5.993571  -4.492 6.276e+03  21.00     1.850722   2.5     7.844637   3.5 K88  
   206.8641    206.7980    5.993571  -2.977 2.739e+05  21.00     1.850722   2.5     7.844637   2.5 K88  
   207.1933    207.1272    5.963299  -1.790 2.520e+07  21.00     0.020873   2.5     5.984515   0.0 PARK 
   207.3609    207.2948    5.979208  -2.852 2.726e+05  21.00     1.865086   3.5     7.844637   3.5 K88  
   207.3609    207.2948    5.979208  -4.421 9.807e+03  21.00     1.865086   3.5     7.844637   2.5 K88  
   208.5066    208.4402    5.946358  -3.864 2.623e+04  21.00     1.850722   2.5     7.797421   3.5 K88  
   209.0114    208.9449    5.931994  -4.895 3.241e+03  21.00     1.865086   3.5     7.797421   2.5 K88  
   210.8916    210.8248    5.879108  -3.937 2.167e+04  21.00     1.850722   2.5     7.730167   3.5 K88  
   210.8916    210.8248    5.879108  -3.541 7.192e+04  21.00     1.850722   2.5     7.730167   2.5 K88  
   211.3516    211.2847    5.866313  -1.890 3.206e+06  21.00     0.000000   1.5     5.866650   2.5 MFW  
   211.4081    211.3412    5.864744  -4.319 1.193e+04  21.00     1.865086   3.5     7.730167   2.5 K88  
   211.7319    211.6649    5.855775  -1.260 2.044e+07  21.00     0.000000   1.5     5.856112   1.5 MFW  
   212.1063    212.0392    5.845441  -1.090 2.008e+07  21.00     0.020873   2.5     5.866650   2.5 MFW  
   212.4892    212.4221    5.834904  -2.193 2.368e+06  21.00     0.020873   2.5     5.856112   1.5 K88  
   212.5844    212.5172    5.832292  -1.080 1.228e+08  21.00     0.000000   1.5     5.832627   0.0 PARK 
   212.9491    212.8819    5.822179  -1.010 1.437e+08  21.00     0.000001   1.5     5.822515   0.0 PARK 
   213.3478    213.2805    5.790676  -1.850 2.070e+07  21.00     0.020873   2.5     5.811881   0.0 PARK 
   213.9104    213.8430    5.796140  -1.900 1.835e+07  21.00     0.000000   1.5     5.796472   0.0 PARK 
   214.3413    214.2738    5.784361  -1.350 6.485e+07  21.00     0.000001   1.5     5.784694   0.0 PARK 
   214.6840    214.6164    5.754505  -1.110 1.123e+08  21.00     0.020873   2.5     5.775709   0.0 PARK 
   214.7216    214.6540    5.774241  -4.490 7.802e+03  21.00     1.850722   2.5     7.625294   2.5 K88  
   214.7216    214.6540    5.774241  -3.649 4.058e+04  21.00     1.850722   2.5     7.625294   3.5 K88  
   215.2571    215.1894    5.759878  -4.964 2.607e+03  21.00     1.865086   3.5     7.625294   2.5 K88  
   215.5084    215.4406    5.753161  -4.527 7.113e+03  21.00     0.020873   2.5     5.774365   2.5 K88  
   215.7534    215.6856    5.746627  -4.461 1.239e+04  21.00     0.020873   2.5     5.767830   1.5 K88  
   216.1910    216.1231    5.734996  -3.586 6.170e+04  21.00     0.000000   1.5     5.735325   2.5 K88  
   216.1964    216.1285    5.734852  -3.239 1.029e+05  21.00     2.109456   2.5     7.844637   3.5 K88  
   216.2543    216.1864    5.733317  -3.403 9.398e+04  21.00     2.110991   1.5     7.844637   2.5 K88  
   216.4183    216.3504    5.728970  -3.558 9.851e+04  21.00     0.000000   1.5     5.729299   1.5 K88  
