Number of lines in output :  2866
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.1140    200.0492    6.195741  -2.392 1.689e+06  22.01     4.009018   2.5    10.205115   1.5 K88  
   200.1159    200.0511    6.195683  -4.257 1.536e+04  22.01     4.001900   1.5    10.197938   2.5 K88  
   200.1228    200.0580    6.195467  -3.761 2.888e+04  22.01     4.283107   3.5    10.478930   4.5 K88  
   200.2356    200.1708    6.191978  -4.350 9.289e+03  22.01     2.597845   2.5     8.790179   3.5 K88  
   200.2927    200.2278    6.190214  -4.114 2.131e+04  22.01     1.164998   1.5     7.355567   2.5 K88  
   200.3461    200.2812    6.188565  -4.191 1.784e+04  22.01     4.009018   2.5    10.197938   2.5 K88  
   200.4666    200.4017    6.184844  -3.247 7.832e+04  22.01     4.308543   4.5    10.493742   5.5 K88  
   200.5229    200.4580    6.183107  -4.037 3.808e+04  22.01     1.180169   2.5     7.363631   1.5 K88  
   200.6966    200.6317    6.177753  -3.116 1.585e+05  22.01     4.283107   3.5    10.461215   3.5 K88  
   200.7283    200.6634    6.176779  -1.092 1.674e+07  22.01     4.009018   2.5    10.186151   3.5 K88  
   200.7981    200.7332    6.174631  -2.443 7.456e+05  22.01     4.009018   2.5    10.184004   3.5 K88  
   200.8401    200.7751    6.173344  -3.526 4.925e+04  22.01     4.283107   3.5    10.456806   4.5 K88  
   200.8430    200.7780    6.173254  -1.595 1.050e+07  22.01     4.001900   1.5    10.175508   1.5 K88  
   200.9302    200.8652    6.170573  -2.298 4.159e+06  22.01     4.001900   1.5    10.172827   0.5 K88  
   200.9478    200.8828    6.170033  -3.015 1.596e+05  22.01     4.308543   4.5    10.478930   4.5 K88  
   201.0228    200.9578    6.167733  -2.906 5.124e+05  22.01     4.001900   1.5    10.169986   1.5 K88  
   201.0359    200.9709    6.167328  -3.526 4.096e+04  22.01     4.308543   4.5    10.476226   5.5 K88  
   201.0728    201.0078    6.166196  -2.643 1.877e+06  22.01     4.001900   1.5    10.168450   0.5 K88  
   201.0748    201.0098    6.166136  -2.232 2.417e+06  22.01     4.009018   2.5    10.175508   1.5 K88  
   201.1202    201.0552    6.164743  -1.200 1.734e+07  22.01     4.001900   1.5    10.166997   2.5 K88  
   201.1430    201.0780    6.164044  -3.418 1.049e+05  22.01     2.590410   3.5     8.754808   2.5 K88  
   201.2550    201.1900    6.160615  -2.730 7.666e+05  22.01     4.009018   2.5    10.169986   1.5 K88  
   201.2718    201.2068    6.160099  -1.200 1.731e+07  22.01     3.094982   1.5     9.255435   2.5 K88  
   201.3371    201.2721    6.158100  -2.779 4.562e+05  22.01     4.001900   1.5    10.160353   2.5 K88  
   201.3527    201.2877    6.157625  -2.453 9.662e+05  22.01     4.009018   2.5    10.166997   2.5 K88  
   201.3859    201.3209    6.156610  -2.053 2.426e+06  22.01     2.597845   2.5     8.754808   2.5 K88  
   201.5264    201.4613    6.152319  -4.651 4.585e+03  22.01     4.308543   4.5    10.461215   3.5 K88  
   201.5702    201.5051    6.150982  -2.116 2.095e+06  22.01     4.009018   2.5    10.160353   2.5 K88  
   201.6439    201.5788    6.148733  -2.089 3.341e+06  22.01     4.001900   1.5    10.150986   1.5 K88  
   201.6575    201.5924    6.148319  -3.217 4.976e+05  22.01     1.221438   0.5     7.370110   0.5 K88  
   201.6709    201.6058    6.147910  -4.262 8.971e+03  22.01     4.308543   4.5    10.456806   4.5 K88  
   201.6935    201.6284    6.147222  -1.809 3.182e+06  22.01     4.009018   2.5    10.156593   3.5 K88  
   201.7463    201.6812    6.145612  -3.867 1.113e+05  22.01     1.224145   0.5     7.370110   0.5 K88  
   201.8702    201.8051    6.141839  -3.096 3.280e+05  22.01     1.221438   0.5     7.363631   1.5 K88  
   201.8776    201.8125    6.141615  -4.184 2.678e+04  22.01     4.009018   2.5    10.150986   1.5 K88  
   201.8915    201.8264    6.141192  -2.816 6.249e+05  22.01     4.001900   1.5    10.143445   1.5 K88  
   201.9055    201.8404    6.140765  -2.246 1.161e+06  22.01     4.009018   2.5    10.150135   3.5 K88  
   201.9592    201.8941    6.139133  -2.967 4.411e+05  22.01     1.224145   0.5     7.363631   1.5 K88  
   201.9825    201.9173    6.138426  -2.764 1.408e+06  22.01     1.231332   1.5     7.370110   0.5 K88  
   202.0257    201.9605    6.137113  -1.680 5.691e+06  22.01     4.001900   1.5    10.139365   2.5 K88  
   202.1258    202.0606    6.134074  -4.163 2.804e+04  22.01     4.009018   2.5    10.143445   1.5 K88  
   202.1672    202.1020    6.132818  -2.630 1.913e+06  22.01     1.236940   1.5     7.370110   0.5 K88  
   202.1959    202.1307    6.131947  -3.653 9.068e+04  22.01     1.231332   1.5     7.363631   1.5 K88  
   202.2151    202.1499    6.131364  -0.154 1.907e+08  22.01     3.123719   2.5     9.255435   2.5 K88  
