Number of lines in output :  11497
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.7744    200.7095    6.175360  -2.079 2.299e+06  23.00     0.040107   3.5     6.215821   2.5 K88  
   201.1153    201.0503    6.164893  -3.174 2.762e+05  23.00     0.000000   1.5     6.165247   1.5 K88  
   201.1327    201.0677    6.164359  -2.807 6.428e+05  23.00     0.261907   0.5     6.426620   1.5 K88  
   201.2523    201.1873    6.160695  -4.028 2.573e+04  23.00     0.000000   1.5     6.161049   2.5 K88  
   201.2984    201.2334    6.159284  -4.811 6.359e+03  23.00     0.266982   1.5     6.426620   1.5 K88  
   201.5699    201.5048    6.150990  -4.958 4.521e+03  23.00     0.275277   2.5     6.426620   1.5 K88  
   201.6725    201.6074    6.147860  -2.403 1.621e+06  23.00     0.017034   2.5     6.165247   1.5 K88  
   201.8103    201.7452    6.143662  -2.702 5.421e+05  23.00     0.017034   2.5     6.161049   2.5 K88  
   202.2390    202.1738    6.130640  -3.141 1.473e+05  23.00     0.017034   2.5     6.148026   3.5 K88  
   202.2656    202.2004    6.129833  -3.334 1.259e+05  23.00     0.000000   1.5     6.130185   2.5 K88  
   202.5711    202.5058    6.120591  -1.883 3.547e+06  23.00     0.040107   3.5     6.161049   2.5 K88  
   202.8290    202.7637    6.112806  -2.528 8.012e+05  23.00     0.000000   1.5     6.113157   2.5 K88  
   202.8292    202.7639    6.112800  -2.006 2.665e+06  23.00     0.017034   2.5     6.130185   2.5 K88  
   202.9065    202.8412    6.110472  -2.054 3.577e+06  23.00     0.000000   1.5     6.110823   1.5 K88  
   203.0029    202.9376    6.107569  -1.729 3.776e+06  23.00     0.040107   3.5     6.148026   3.5 K88  
   203.2934    203.2280    6.098843  -1.558 2.233e+07  23.00     0.000000   1.5     6.099193   0.5 K88  
   203.3958    203.3304    6.095773  -1.233 1.571e+07  23.00     0.017034   2.5     6.113157   2.5 K88  
   203.4736    203.4082    6.093439  -1.383 1.667e+07  23.00     0.017034   2.5     6.110823   1.5 K88  
   203.5976    203.5322    6.089728  -1.239 1.547e+07  23.00     0.040107   3.5     6.130185   2.5 K88  
   203.7210    203.6555    6.086041  -3.735 3.698e+04  23.00     0.286591   3.5     6.372982   3.5 K88  
   203.8518    203.7863    6.082136  -3.501 5.064e+04  23.00     0.286591   3.5     6.369076   4.5 K88  
   203.9531    203.8876    6.079114  -0.658 4.405e+07  23.00     0.068563   4.5     6.148026   3.5 K88  
   204.0782    204.0127    6.075388  -2.059 3.495e+06  23.00     0.000000   1.5     6.075737   1.5 K88  
   204.1146    204.0491    6.074306  -3.627 6.298e+04  23.00     0.275277   2.5     6.349932   2.5 K88  
   204.1685    204.1030    6.072701  -0.517 8.110e+07  23.00     0.040107   3.5     6.113157   2.5 K88  
   204.1929    204.1273    6.071979  -4.002 1.990e+04  23.00     0.300655   4.5     6.372982   3.5 K88  
   204.2276    204.1620    6.070946  -2.875 3.554e+05  23.00     0.000000   1.5     6.071294   2.5 K88  
   204.2675    204.2019    6.069759  -3.681 8.330e+04  23.00     0.261907   0.5     6.332015   1.5 K88  
   204.2718    204.2062    6.069632  -3.613 4.871e+04  23.00     0.275277   2.5     6.345257   3.5 K88  
   204.3243    204.2587    6.068073  -4.405 6.288e+03  23.00     0.300655   4.5     6.369076   4.5 K88  
   204.4384    204.3728    6.064685  -3.016 3.845e+05  23.00     0.266982   1.5     6.332015   1.5 K88  
   204.4955    204.4299    6.062992  -3.291 1.360e+05  23.00     0.286591   3.5     6.349932   2.5 K88  
   204.5764    204.5108    6.060592  -2.695 5.361e+05  23.00     0.000000   1.5     6.060940   2.5 K88  
   204.6329    204.5673    6.058919  -3.607 6.562e+04  23.00     0.266982   1.5     6.326249   2.5 K88  
   204.6520    204.5864    6.058355  -1.682 8.280e+06  23.00     0.017034   2.5     6.075737   1.5 K88  
   204.6532    204.5876    6.058318  -4.694 4.027e+03  23.00     0.286591   3.5     6.345257   3.5 K88  
   204.7184    204.6527    6.056390  -3.953 4.434e+04  23.00     0.275277   2.5     6.332015   1.5 K88  
   204.7307    204.6650    6.056028  -4.192 5.114e+04  23.00     0.000000   1.5     6.056376   0.5 K88  
   204.8022    204.7365    6.053913  -1.648 5.961e+06  23.00     0.017034   2.5     6.071294   2.5 K88  
   204.8203    204.7546    6.053377  -4.265 4.319e+04  23.00     0.266982   1.5     6.320707   0.5 K88  
   204.9135    204.8478    6.050625  -4.656 5.846e+03  23.00     0.275277   2.5     6.326249   2.5 K88  
   204.9289    204.8632    6.050170  -3.669 8.509e+04  23.00     0.261907   0.5     6.312424   1.5 K88  
   205.1009    205.0352    6.045095  -4.588 1.024e+04  23.00     0.266982   1.5     6.312424   1.5 K88  
   205.1294    205.0637    6.044255  -3.154 1.390e+05  23.00     0.300655   4.5     6.345257   3.5 K88  
   205.1530    205.0873    6.043559  -2.038 2.420e+06  23.00     0.017034   2.5     6.060940   2.5 K88  
   205.2974    205.2316    6.039311  -3.755 4.637e+04  23.00     0.286591   3.5     6.326249   2.5 K88  
   205.5856    205.5198    6.030841  -1.037 2.415e+07  23.00     0.040107   3.5     6.071294   2.5 K88  
   205.9392    205.8733    6.020487  -1.937 3.030e+06  23.00     0.040107   3.5     6.060940   2.5 K88  
   206.1482    206.0823    6.014385  -4.935 1.519e+03  23.00     0.300655   4.5     6.315385   5.5 K88  
   206.7157    206.6497    5.997873  -2.655 4.318e+05  23.00     0.275277   2.5     6.273494   3.5 K88  
   207.2813    207.2152    5.981505  -4.167 2.642e+04  23.00     0.261907   0.5     6.243756   1.5 K88  
   207.3902    207.3240    5.978368  -3.806 3.030e+04  23.00     0.286591   3.5     6.265303   3.5 K88  
   207.4574    207.3912    5.976430  -4.389 1.582e+04  23.00     0.266982   1.5     6.243756   1.5 K88  
   207.7457    207.6795    5.968136  -3.921 4.634e+04  23.00     0.275277   2.5     6.243756   1.5 K88  
   207.8790    207.8128    5.964306  -4.372 8.192e+03  23.00     0.300655   4.5     6.265303   3.5 K88  
   208.3245    208.2582    5.951552  -4.994 1.948e+03  23.00     0.017034   2.5     5.968927   3.5 K88  
   208.6223    208.5559    5.943060  -3.896 3.245e+04  23.00     0.017034   2.5     5.960435   2.5 K88  
   208.7003    208.6339    5.940837  -1.022 2.426e+07  23.00     0.000000   1.5     5.941178   2.5 K88  
   209.0426    208.9761    5.931109  -2.047 1.370e+06  23.00     0.040107   3.5     5.971556   4.5 K88  
   209.1353    209.0688    5.928480  -3.222 1.143e+05  23.00     0.040107   3.5     5.968927   3.5 K88  
   209.1980    209.1315    5.926702  -0.395 1.534e+08  23.00     0.000000   1.5     5.927043   1.5 K88  
   209.2571    209.1906    5.925030  -3.907 3.145e+04  23.00     0.017034   2.5     5.942404   2.5 K88  
   209.3004    209.2339    5.923804  -0.266 1.375e+08  23.00     0.017034   2.5     5.941178   2.5 K88  
   209.3108    209.2443    5.923509  -4.531 4.483e+03  23.00     0.068563   4.5     5.992412   4.5 K88  
   209.4352    209.3687    5.919989  -3.163 1.741e+05  23.00     0.040107   3.5     5.960435   2.5 K88  
   209.5375    209.4709    5.917102  -4.733 3.512e+03  23.00     0.040107   3.5     5.957549   3.5 K88  
   209.6427    209.5761    5.914133  -4.385 7.818e+03  23.00     0.040107   3.5     5.954579   3.5 K88  
   209.6842    209.6176    5.912960  -1.061 1.318e+07  23.00     0.040107   3.5     5.953406   4.5 K88  
   209.6853    209.6187    5.912931  -3.852 3.555e+04  23.00     0.000000   1.5     5.913271   2.5 K88  
   209.7014    209.6348    5.912475  -0.900 2.387e+07  23.00     0.017034   2.5     5.929849   3.5 K88  
   209.8010    209.7344    5.909669  -1.042 3.439e+07  23.00     0.017034   2.5     5.927043   1.5 K88  
   209.9234    209.8568    5.906221  -3.897 2.398e+04  23.00     0.040107   3.5     5.946667   3.5 K88  
   210.0380    209.9713    5.903001  -3.446 1.354e+05  23.00     0.261907   0.5     6.165247   1.5 K88  
   210.0504    209.9837    5.902654  -0.890 1.948e+07  23.00     0.068563   4.5     5.971556   4.5 K88  
   210.0751    210.0084    5.901959  -3.329 1.181e+05  23.00     0.040107   3.5     5.942404   2.5 K88  
   210.1188    210.0521    5.900732  -0.917 3.048e+07  23.00     0.040107   3.5     5.941178   2.5 K88  
   210.1439    210.0772    5.900026  -3.428 7.047e+04  23.00     0.068563   4.5     5.968927   3.5 K88  
   210.2910    210.2243    5.895898  -2.290 1.289e+06  23.00     0.017034   2.5     5.913271   2.5 K88  
   210.5230    210.4562    5.889404  -0.089 1.533e+08  23.00     0.040107   3.5     5.929849   3.5 K88  
   210.5500    210.4832    5.888648  -4.168 1.277e+04  23.00     0.068563   4.5     5.957549   3.5 K88  
   210.6231    210.5563    5.886603  -3.977 1.982e+04  23.00     0.017034   2.5     5.903975   3.5 K88  
   210.6562    210.5894    5.885678  -4.245 1.069e+04  23.00     0.068563   4.5     5.954579   3.5 K88  
   210.6982    210.6314    5.884505   0.042 1.655e+08  23.00     0.068563   4.5     5.953406   4.5 K88  
