Number of lines in output :  6247
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.1486    200.0838    6.194668  -3.192 1.529e+05  23.01     2.026159   3.0     8.221183   3.0 K88  
   200.1799    200.1151    6.193699  -1.213 1.456e+07  23.01     2.601478   2.0     8.795533   3.0 K88  
   200.1823    200.1175    6.193627  -4.562 1.521e+04  23.01     1.685645   2.0     7.879628   1.0 K88  
   200.2107    200.1459    6.192747  -1.277 7.994e+06  23.01     2.514598   5.0     8.707700   5.0 K88  
   200.2308    200.1660    6.192125  -1.056 2.925e+07  23.01     2.601478   2.0     8.793959   2.0 K88  
   200.3399    200.2750    6.188757  -4.564 9.070e+03  23.01     1.703857   3.0     7.892970   2.0 K88  
   200.4050    200.3401    6.186745  -4.417 9.083e+03  23.01     1.555504   4.0     7.742604   3.0 K88  
   200.4357    200.3708    6.185799  -4.872 4.459e+03  23.01     0.348260   3.0     6.534414   2.0 K88  
   200.4718    200.4069    6.184683  -2.828 3.523e+05  23.01     2.036145   4.0     8.221183   3.0 K88  
   200.5440    200.4791    6.182456   0.040 1.653e+08  23.01     2.524889   6.0     8.707700   5.0 K88  
   200.6068    200.5419    6.180519  -4.962 2.010e+03  23.01     0.348260   3.0     6.529135   4.0 K88  
   200.6744    200.6095    6.178439  -2.176 1.578e+06  23.01     2.369861   4.0     8.548655   3.0 K88  
   200.7542    200.6893    6.175981  -0.419 9.009e+07  23.01     2.372319   2.0     8.548655   3.0 K88  
   200.8069    200.7420    6.174361  -4.594 6.018e+03  23.01     0.368037   4.0     6.542753   3.0 K88  
   200.8309    200.7660    6.173622  -1.263 1.003e+07  23.01     2.275745   3.0     8.449721   4.0 K88  
   201.0613    200.9963    6.166551  -3.876 2.439e+04  23.01     2.036145   4.0     8.203050   4.0 K88  
   201.0838    201.0188    6.165859  -4.870 2.023e+03  23.01     1.804847   4.0     7.971060   5.0 K88  
   201.2263    201.1613    6.161492  -4.580 8.665e+03  23.01     0.004470   1.0     6.166316   2.0 K88  
   201.2506    201.1856    6.160750  -4.591 8.447e+03  23.01     0.025901   3.0     6.187004   2.0 K88  
   201.3162    201.2512    6.158741  -2.444 5.382e+05  23.01     1.804847   4.0     7.963942   5.0 K88  
   201.3311    201.2661    6.158286  -1.353 8.111e+06  23.01     2.509903   4.0     8.668543   4.0 K88  
   201.3326    201.2676    6.158239  -2.510 5.650e+05  23.01     1.793149   3.0     7.951742   4.0 K88  
   201.3504    201.2854    6.157693  -1.654 7.299e+06  23.01     2.372319   2.0     8.530366   2.0 K88  
   201.3911    201.3261    6.156451  -4.079 1.959e+04  23.01     2.026159   3.0     8.182963   3.0 K88  
