Number of lines in output : 321
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper
--------------------------------------------------------------------------------------------------------
   235.4895    235.4175    5.265634  -0.760 2.613e+07  39.00     0.065760   2.5     5.331071   3.5 CB   
   249.1155    249.0404    4.977617  -1.210 1.105e+07  39.00     0.065760   2.5     5.043071   2.5 CB   
   268.2463    268.1666    4.622624  -1.620 3.706e+06  39.00     0.000000   1.5     4.622341   2.5 CB   
   269.6183    269.5383    4.599101  -1.400 4.566e+06  39.00     0.065760   2.5     4.664579   3.5 CB   
   272.3799    272.2992    4.552472  -1.020 2.146e+07  39.00     0.065760   2.5     4.617952   1.5 CP'  
   273.0860    273.0052    4.540700  -1.740 4.069e+06  39.00     0.065760   2.5     4.606122   1.5 CP'  
   274.3311    274.2500    4.520091  -1.160 1.533e+07  39.00     0.000000   1.5     4.519813   1.5 CP'  
   276.0885    276.0069    4.491320  -0.940 1.674e+07  39.00     0.065760   2.5     4.556804   2.5 CP'  
   279.2016    279.1193    4.441241  -1.960 2.345e+06  39.00     0.000000   1.5     4.440968   1.5 CP'  
   281.4484    281.3655    4.405788  -1.700 2.800e+06  39.00     0.065760   2.5     4.471276   2.5 CP'  
   281.9679    281.8849    4.397670  -0.490 6.787e+07  39.00     1.305539   0.5     5.702936   1.5 CB   
   282.3397    282.2566    4.391879  -0.100 3.323e+08  39.00     1.305539   0.5     5.697149   0.5 CB   
   288.7300    288.6453    4.294676   0.280 3.811e+08  39.00     1.408525   1.5     5.702936   1.5 CB   
   291.9902    291.9047    4.246724  -1.010 1.274e+07  39.00     0.000000   1.5     4.246463   2.5 CP'  
   294.9265    294.8403    4.204444  -0.740 3.488e+07  39.00     0.000000   1.5     4.204186   1.5 HL   
   296.5830    296.4964    4.180960  -0.570 3.402e+07  39.00     0.065760   2.5     4.246463   2.5 CP'  
   297.5454    297.4586    4.167437  -0.550 3.539e+07  39.00     0.000000   1.5     4.167181   2.5 HL   
   298.5124    298.4253    4.153937  -0.290 4.799e+07  39.00     0.065760   2.5     4.219442   3.5 HL   
   299.6128    299.5255    4.138680  -1.560 5.116e+06  39.00     0.065760   2.5     4.204186   1.5 HL   
   299.7817    299.6943    4.136349  -1.170 8.363e+06  39.00     0.000000   1.5     4.136095   2.5 HL   
   300.6136    300.5260    4.124902  -1.580 4.853e+06  39.00     0.000000   1.5     4.124649   1.5 HL   
   301.9831    301.8952    4.106195  -0.210 2.255e+08  39.00     1.305539   0.5     5.411482   0.5 CB   
   302.2600    302.1720    4.102434  -1.080 7.591e+06  39.00     0.065760   2.5     4.167941   3.5 CP'  
   302.3161    302.2281    4.101673  -1.270 6.532e+06  39.00     0.065760   2.5     4.167181   2.5 HL   
   304.6249    304.5363    4.070586  -1.050 1.068e+07  39.00     0.065760   2.5     4.136095   2.5 HL   
   305.4839    305.3951    4.059139  -2.970 1.915e+05  39.00     0.065760   2.5     4.124649   1.5 HL   
   311.2699    311.1796    3.983687  -0.370 1.468e+08  39.00     1.305539   0.5     5.288981   0.5 CB   
   315.6562    315.5648    3.928330  -2.620 2.676e+05  39.00     0.000000   1.5     3.928090   2.5 HL   
   317.3753    317.2835    3.907052  -2.220 9.975e+05  39.00     0.000000   1.5     3.906812   1.5 HL   
   318.6863    318.5942    3.890979  -2.820 1.243e+05  39.00     0.065760   2.5     3.956499   3.5 HL   
   319.2225    319.1302    3.884444  -0.080 1.361e+08  39.00     1.408525   1.5     5.292730   1.5 CB   
   321.0304    320.9377    3.862568  -2.560 2.971e+05  39.00     0.065760   2.5     3.928090   2.5 HL   
   322.8088    322.7156    3.841289  -3.160 1.107e+05  39.00     0.065760   2.5     3.906812   1.5 HL   
   334.1338    334.0377    3.711094   0.270 2.781e+08  39.00     1.992072   2.5     5.702936   1.5 CB   
   338.9556    338.8583    3.658302   0.340 3.175e+08  39.00     1.890366   2.5     5.548443   1.5 CB   
   339.8006    339.7031    3.649204   0.190 1.118e+08  39.00     2.012943   4.5     5.661923   3.5 CB   
   341.3443    341.2464    3.632701   0.380 2.289e+08  39.00     1.948236   3.5     5.580714   2.5 CB   
   345.1929    345.0940    3.592200   0.330 1.496e+08  39.00     2.012943   4.5     5.604922   3.5 CB   
   348.5044    348.4047    3.558066  -1.880 1.207e+06  39.00     0.000000   1.5     3.557847   2.5 HL   
   348.6720    348.5722    3.556356   0.800 8.654e+08  39.00     1.305539   0.5     4.861677   1.5 CB   
   352.2540    352.1533    3.520192   0.170 1.325e+08  39.00     1.853564   1.5     5.373540   2.5 CB   
   355.0671    354.9657    3.492302  -2.940 1.012e+05  39.00     0.065760   2.5     3.557847   2.5 HL   
   355.2804    355.1789    3.490206   0.380 3.169e+08  39.00     1.853564   1.5     5.343556   1.5 CB   
   355.3705    355.2690    3.489321  -0.760 2.295e+07  39.00     0.000000   1.5     3.489107   1.5 HL   
   355.9757    355.8741    3.483388   0.530 2.973e+08  39.00     1.890366   2.5     5.373540   2.5 CB   
   357.2451    357.1431    3.471011   0.610 2.661e+08  39.00     1.948236   3.5     5.419034   3.5 CB   
   357.7072    357.6051    3.466527   0.830 3.524e+08  39.00     2.012943   4.5     5.479257   4.5 CB   
   359.0667    358.9643    3.453402   0.280 2.464e+08  39.00     1.890366   2.5     5.343556   1.5 CB   
   359.3936    359.2911    3.450261  -0.030 2.410e+08  39.00     0.000000   1.5     3.450049   0.5 CP'  
