Number of lines in output : 189
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   224.3730    224.3034    5.526519  -0.560 1.216e+08  39.01     0.000000   0.0     5.526179   1.0 CC'  
   241.4647    241.3913    5.135334   0.600 9.109e+08  39.01     2.948077   1.0     8.083097   2.0 CC'  
   241.8002    241.7267    5.128209   0.000 3.803e+08  39.01     2.948077   1.0     8.075883   1.0 GUES 
   241.8043    241.7308    5.128122   0.000 3.803e+08  39.01     2.948077   1.0     8.075883   1.0 GUES 
   242.2924    242.2188    5.117791  -0.200 2.390e+08  39.01     0.408702   2.0     5.526179   1.0 CC'  
   246.1303    246.0558    5.037990   1.760 9.051e+09  39.01     3.056060   2.0     8.093741   3.0 CC'  
   246.6514    246.5768    5.027346   0.200 3.475e+08  39.01     3.056060   2.0     8.083097   2.0 GUES 
   273.5641    273.4832    4.532764   0.310 6.066e+08  39.01     3.056060   2.0     7.588546   1.0 CC'  
   275.1011    275.0198    4.507440   0.000 1.763e+08  39.01     3.242064   2.0     7.749228   2.0 GUES 
   278.5981    278.5159    4.450863   0.320 3.591e+08  39.01     2.948077   1.0     7.398666   2.0 CC'  
   278.6383    278.5561    4.450220  -0.030 1.604e+08  39.01     3.056060   2.0     7.506007   2.0 CC'  
   280.0924    280.0099    4.427116   0.270 5.277e+08  39.01     2.907011   0.0     7.333856   1.0 CC'  
   282.6194    282.5362    4.387533   0.750 9.392e+08  39.01     3.622312   3.0     8.009575   2.0 CC'  
   282.7150    282.6318    4.386049   0.490 8.596e+08  39.01     2.948077   1.0     7.333856   1.0 CC'  
   283.5232    283.4398    4.373546   0.000 1.660e+08  39.01     3.375950   2.0     7.749228   2.0 GUES 
   284.1655    284.0820    4.363660   0.000 1.652e+08  39.01     3.242064   2.0     7.605457   2.0 GUES 
   285.5257    285.4418    4.342873   0.780 9.860e+08  39.01     3.056060   2.0     7.398666   2.0 CC'  
   285.7129    285.6290    4.340027   0.200 1.295e+09  39.01     2.948077   1.0     7.287837   0.0 CC'  
   285.8708    285.7869    4.337629   0.000 1.632e+08  39.01     3.411865   1.0     7.749228   2.0 GUES 
   287.2063    287.1220    4.317460   0.000 2.695e+08  39.01     2.907011   0.0     7.224207   1.0 GUES 
   289.8515    289.7666    4.278058   0.080 3.182e+08  39.01     3.056060   2.0     7.333856   1.0 CC'  
   289.9645    289.8795    4.276392  -0.140 1.916e+08  39.01     2.948077   1.0     7.224207   1.0 CC'  
   290.7933    290.7081    4.264204   0.000 1.578e+08  39.01     3.242064   2.0     7.506007   2.0 GUES 
