Number of lines in output : 500
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   235.3901    235.3181    5.267858  -1.300 1.508e+07  40.01     0.318935   1.5     5.586469   1.5 MULT 
   242.0141    241.9406    5.123675  -0.850 4.021e+07  40.01     0.526758   1.5     5.650119   1.5 CC'  
   244.2733    244.1993    5.076288  -1.000 1.863e+07  40.01     0.526758   1.5     5.602734   2.5 MULT 
   245.0586    244.9844    5.060021  -0.440 1.008e+08  40.01     0.526758   1.5     5.586469   1.5 CC'  
   245.8177    245.7433    5.044396  -1.350 8.218e+06  40.01     0.558648   2.5     5.602734   2.5 CC'  
   246.6130    246.5384    5.028129  -1.200 1.730e+07  40.01     0.558648   2.5     5.586469   1.5 MULT 
   248.2097    248.1348    4.995782  -1.300 9.044e+06  40.01     0.318935   1.5     5.314410   2.5 MULT 
   248.8051    248.7300    4.983828  -0.480 4.460e+07  40.01     1.010887   4.5     5.994409   3.5 CC'  
   249.7245    249.6492    4.965479  -0.750 3.170e+07  40.01     0.971821   3.5     5.936997   2.5 CC'  
   253.3242    253.2481    4.894920  -0.720 2.476e+07  40.01     0.094661   3.5     4.989281   3.5 CC'  
   254.2885    254.2122    4.876357  -0.670 3.676e+07  40.01     0.039017   2.5     4.915075   2.5 CC'  
   255.1519    255.0753    4.859858  -0.700 5.111e+07  40.01     0.000000   1.5     4.859560   1.5 CC'  
   256.8424    256.7655    4.827869  -0.270 2.715e+08  40.01     0.000000   1.5     4.827572   0.5 CC'  
   256.9661    256.8891    4.825546   0.320 2.638e+08  40.01     0.164031   4.5     4.989281   3.5 CC'  
   257.2170    257.1400    4.820838  -0.300 1.263e+08  40.01     0.039017   2.5     4.859560   1.5 MULT 
   257.2238    257.1468    4.820711   0.400 4.220e+08  40.01     0.094661   3.5     4.915075   2.5 CC'  
   258.4183    258.3410    4.798428  -0.860 2.298e+07  40.01     0.558648   2.5     5.356782   2.5 CC'  
   258.9841    258.9066    4.787946  -0.630 3.885e+07  40.01     0.526758   1.5     5.314410   2.5 CC'  
   263.1675    263.0891    4.711834  -0.570 3.240e+07  40.01     0.558648   2.5     5.270193   3.5 CC'  
   263.9868    263.9082    4.697210  -0.730 1.782e+07  40.01     0.094661   3.5     4.791583   4.5 CC'  
   264.4185    264.3398    4.689541  -1.280 1.252e+07  40.01     0.039017   2.5     4.728270   1.5 CC'  
   265.1170    265.0381    4.677187  -1.040 1.442e+07  40.01     0.094661   3.5     4.771561   2.5 CC'  
   266.8593    266.7800    4.646649  -0.860 1.616e+07  40.01     0.039017   2.5     4.685380   3.5 CC'  
   267.0261    266.9467    4.643748  -1.260 8.568e+06  40.01     0.713319   2.5     5.356782   2.5 CC'  
   267.1759    267.0965    4.641144  -0.730 2.900e+07  40.01     0.526758   1.5     5.167616   2.5 CC'  
   267.9442    267.8646    4.627836   0.300 1.854e+08  40.01     0.164031   4.5     4.791583   4.5 CC'  
   268.2544    268.1747    4.622485  -1.600 2.910e+06  40.01     0.094661   3.5     4.716862   3.5 CC'  
   269.3393    269.2594    4.603864  -0.560 4.221e+07  40.01     0.999152   2.5     5.602734   2.5 CC'  
   269.4321    269.3522    4.602278  -0.930 1.349e+07  40.01     0.039017   2.5     4.641012   3.5 CC'  
   269.4852    269.4052    4.601373  -0.430 5.687e+07  40.01     0.713319   2.5     5.314410   2.5 CC'  
   269.6213    269.5413    4.599050  -0.990 2.347e+07  40.01     0.526758   1.5     5.125525   1.5 CC'  
   270.0394    269.9593    4.591929  -1.180 1.007e+07  40.01     0.039017   2.5     4.630665   2.5 CC'  
   270.0940    270.0139    4.591001  -0.180 7.551e+07  40.01     0.094661   3.5     4.685380   3.5 CC'  
   271.2306    271.1502    4.571762  -0.710 2.946e+07  40.01     0.000000   1.5     4.571482   2.5 CC'  
   271.3222    271.2418    4.570218  -1.000 1.510e+07  40.01     0.039017   2.5     4.608955   2.5 CC'  
   271.5040    271.4236    4.567157  -0.660 4.949e+07  40.01     0.558648   2.5     5.125525   1.5 CC'  
   272.3417    272.2610    4.553111   0.110 1.448e+08  40.01     0.164031   4.5     4.716862   3.5 CC'  
   272.7298    272.6491    4.546630  -0.160 7.755e+07  40.01     0.094661   3.5     4.641012   3.5 CC'  
   273.3520    273.2711    4.536282  -0.400 5.923e+07  40.01     0.094661   3.5     4.630665   2.5 CC'  
   273.5654    273.4845    4.532743   0.060 1.706e+08  40.01     0.039017   2.5     4.571482   2.5 CC'  
   274.1161    274.0350    4.523637  -1.060 9.664e+06  40.01     0.465922   4.5     4.989281   3.5 CC'  
   274.1306    274.0495    4.523398  -0.820 6.717e+07  40.01     0.526758   1.5     5.049877   0.5 CC'  
   274.2380    274.1569    4.521626  -0.940 1.273e+07  40.01     0.164031   4.5     4.685380   3.5 CC'  
   274.3349    274.2538    4.520029  -0.090 1.801e+08  40.01     0.000000   1.5     4.519751   1.5 CC'  
   274.6666    274.5854    4.514570  -0.270 7.913e+07  40.01     0.094661   3.5     4.608955   2.5 CC'  
   275.3014    275.2200    4.504161  -0.310 1.078e+08  40.01     0.039017   2.5     4.542901   1.5 CC'  
   275.9607    275.8792    4.493399  -0.440 1.590e+08  40.01     0.000000   1.5     4.493123   0.5 CC'  
   276.2693    276.1877    4.488380  -1.390 1.780e+07  40.01     0.000000   1.5     4.488105   0.5 CC'  
   276.9558    276.8740    4.477255  -0.800 1.723e+07  40.01     0.164031   4.5     4.641012   3.5 CC'  
   276.9657    276.8839    4.477095  -0.700 2.891e+07  40.01     0.094661   3.5     4.571482   2.5 MULT 
   277.4964    277.4145    4.468533  -1.000 1.083e+07  40.01     0.801936   3.5     5.270193   3.5 MULT 
   279.7724    279.6899    4.432181  -0.550 6.004e+07  40.01     0.709781   0.5     5.141689   1.5 CC'  
   279.9960    279.9135    4.428641  -0.730 3.961e+07  40.01     0.713319   2.5     5.141689   1.5 CC'  
   280.8977    280.8150    4.414424  -1.720 4.027e+06  40.01     0.039017   2.5     4.453169   1.5 CC'  
   281.1744    281.0916    4.410081  -0.480 4.656e+07  40.01     0.757805   1.5     5.167616   2.5 CC'  
   281.9568    281.8738    4.397843   0.020 1.464e+08  40.01     0.959209   1.5     5.356782   2.5 CC'  
   282.6387    282.5555    4.387233   0.140 2.881e+08  40.01     0.931515   0.5     5.318480   1.5 CC'  
   282.8373    282.7541    4.384152  -0.810 3.228e+07  40.01     0.757805   1.5     5.141689   1.5 CC'  
   283.4743    283.3909    4.374301  -0.600 1.042e+08  40.01     0.931515   0.5     5.305547   0.5 CC'  
   283.5223    283.4389    4.373560  -0.840 1.199e+07  40.01     0.801936   3.5     5.175228   4.5 CC'  
   283.8840    283.8005    4.367988  -1.050 1.844e+07  40.01     0.757805   1.5     5.125525   1.5 CC'  
   284.0166    283.9331    4.365948  -0.650 3.085e+07  40.01     0.801936   3.5     5.167616   2.5 CC'  
   284.4342    284.3506    4.359538  -0.510 6.369e+07  40.01     0.959209   1.5     5.318480   1.5 CC'  
