Version =  1.64
NumCams = 1
Cam     Date       Time        Roll     Pitch       Yaw
---  ----------  --------  --------  --------  --------
101  04/21/2013  08:00:00      0.00     25.00      0.00
-------------------------------------------------------
Extinction Fit: Multi-Day = 2
Extinction Coef Scale     = 1.008800
Extinction Coef Rayleigh  = 2.846974
Extinction Coef Oxygen2   = 2.846974
Extinction Coef Ozone     = 0.761201
Extinction Coef Dust      = 17.575153
Extinction Coef Water     = 12.857024
-------------------------------------------------------
Number of wavelengths      = 1001
Responsivity normalization = 302172611547561.830
-------------------------------------------------------
Wave(nm)    WeightSum   DayResp     CumResp     SmoothResp  DayExtn     CumExtn
  350.0000       4.207    2.298936    2.551661    0.000000   -1.000000    0.503740
  350.6000       4.397   -5.254764   -1.028988    0.000000   -1.000000    0.505780
  351.2000       4.409   -6.482242   -1.051913    0.000000   -1.000000    0.507810
  351.8000       4.757   -3.656777    0.979085    0.000000   -1.000000    0.509840
  352.4000       4.922    0.597481    1.723408    0.000000   -1.000000    0.511850
  353.0000       5.741   -2.705244   -0.154721    0.000000   -1.000000    0.513860
  353.6000       5.044   -9.124421    0.131125    0.000000   -1.000000    0.515850
  354.2000       5.218    1.068346    0.643099    0.000000   -1.000000    0.517840
  354.8000       5.046    2.528073   -0.123581    0.000000   -1.000000    0.519810
  355.4000       5.219    6.537539   -0.209279    0.000000   -1.000000    0.521780
  356.0000       5.219    6.839315   -0.123903    0.000000   -1.000000    0.523730
  356.6000       5.430   -0.951507   -0.278945    0.000000   -1.000000    0.525680
  357.2000       6.246  -13.494427   -2.263700    0.000000   -1.000000    0.527620
  357.8000       5.749   -9.860732   -3.382335    0.000000   -1.000000    0.529540
  358.4000       6.421   -0.993794   -2.363940    0.000000   -1.000000    0.531460
  359.0000       6.931    4.005403   -0.526267    0.000000   -1.000000    0.533370
  359.6000       6.602   10.835407   -1.582367    0.000000   -1.000000    0.535260
  360.2000       7.045    5.853707   -1.443349    0.000000   -1.000000    0.537150
  360.8000       6.668   -1.498615   -1.380667    0.000000   -1.000000    0.539030
  361.4000       6.706    0.724831   -0.551249    0.000000   -1.000000    0.540890
  362.0000       7.219    0.383136    0.045129    0.000000   -1.000000    0.542750
  362.6000       7.601   -1.412865   -0.466512    0.000000   -1.000000    0.544600
  363.2000       7.616    0.613714   -0.482106    0.000000   -1.000000    0.546440
  363.8000       7.446   -0.815600    0.560121    0.000000   -1.000000    0.548270
  364.4000       7.614    0.000621    0.604254    0.000000   -1.000000    0.550090
  365.0000       7.399   -1.052695    0.201594    0.000000   -1.000000    0.551900
  365.6000       7.665   -0.816650    0.230797    0.000000   -1.000000    0.553700
  366.2000       7.815   -1.328280    0.331414    0.000000   -1.000000    0.555500
  366.8000       8.634   -1.747134    0.168685    0.000000   -1.000000    0.557280
  367.4000       8.748   -3.816894   -0.117045    0.000000   -1.000000    0.559050
  368.0000       8.917   -5.124314    0.102663    0.000000   -1.000000    0.560820
  368.6000       8.154   -5.142363    0.728197    0.000000   -1.000000    0.562570
  369.2000       8.326   -2.992908    0.002341    0.000000   -1.000000    0.564320
  369.8000       9.369   -1.728626   -0.413955    0.000000   -1.000000    0.566050
  370.4000       8.835   -1.336653   -0.012621    0.000000   -1.000000    0.567780
  371.0000       8.497   -1.771056    0.102405    0.000000   -1.000000    0.569500
  371.6000       9.295    0.158866    0.355096    0.000000   -1.000000    0.571210
  372.2000       9.120   -0.750580    0.855168    0.000000   -1.000000    0.572910
  372.8000       8.891   -0.147779    0.597160    0.000000   -1.000000    0.574600
  373.4000       8.901   -3.175859    0.496300    0.000000   -1.000000    0.576280
  374.0000       9.028   -3.075420   -0.766374    0.000000   -1.000000    0.577950
  374.6000       9.239    2.439738   -0.273492    0.000000   -1.000000    0.579620
  375.2000       9.421    3.955586   -0.320574    0.000000   -1.000000    0.581270
  375.8000       9.426    4.773574    0.400650    0.000000   -1.000000    0.582920
  376.4000      10.082    1.652216    0.515445    0.000000   -1.000000    0.584550
  377.0000       9.967   -2.384476    0.220282    0.000000   -1.000000    0.586180
  377.6000      10.480   -1.930979    0.238364    0.000000   -1.000000    0.587800
  378.2000      10.277   -2.032873    0.353952    0.000000   -1.000000    0.589410
  378.8000      10.495   -1.875092   -0.422721    0.000000   -1.000000    0.591010
  379.4000      10.526    0.700471   -1.057020    0.000000   -1.000000    0.592610
  380.0000      10.691    0.838491   -0.899074    0.000000   -1.000000    0.594190
  380.6000      10.916    0.744511   -0.724681    0.000000   -1.000000    0.595770
