Version =  1.64
NumCams = 1
Cam     Date       Time        Roll     Pitch       Yaw
---  ----------  --------  --------  --------  --------
101  04/21/2013  08:00:00      0.00     25.00      0.00
-------------------------------------------------------
Extinction Fit: Multi-Day = 2
Extinction Coef Scale     = 1.008800
Extinction Coef Rayleigh  = 2.846974
Extinction Coef Oxygen2   = 2.846974
Extinction Coef Ozone     = 0.761201
Extinction Coef Dust      = 17.575153
Extinction Coef Water     = 12.857024
-------------------------------------------------------
Number of wavelengths      = 1251
Responsivity normalization = 302172611547.561830
-------------------------------------------------------
Wave(nm)	WeightSum	DayResp	CumResp	SmoothResp	DayExtn	CumExtn
350	0.551910309	0.345127068	0.345127068	0.345127068	0.422052925	0.422052925
350.6	0.552752399	0.345653653	0.345653653	0.345653653	0.423185569	0.423185569
351.2	0.553731149	0.346265697	0.346265697	0.346265697	0.42612897	0.42612897
351.8	0.554258485	0.346595457	0.346595457	0.346595457	0.432320784	0.432320784
352.4	0.55417848	0.346545428	0.346545428	0.346545428	0.436508409	0.436508409
353	0.554076854	0.346481878	0.346481878	0.346481878	0.437177914	0.437177914
353.6	0.554566866	0.346788298	0.346788298	0.346788298	0.437945686	0.437945686
354.2	0.555556237	0.347406983	0.347406983	0.347406983	0.440014543	0.440014543
354.8	0.556396301	0.347932301	0.347932301	0.347932301	0.442683395	0.442683395
355.4	0.556572074	0.348042218	0.348042218	0.348042218	0.444466952	0.444466952
356	0.556407882	0.347939544	0.347939544	0.347939544	0.444982948	0.444982948
356.6	0.556521041	0.348010306	0.348010306	0.348010306	0.447808298	0.447808298
357.2	0.557244099	0.348462456	0.348462456	0.348462456	0.453470241	0.453470241
357.8	0.558239835	0.349085122	0.349085122	0.349085122	0.456787297	0.456787297
358.4	0.559090489	0.349617063	0.349617063	0.349617063	0.457364938	0.457364938
359	0.559777495	0.350046669	0.350046669	0.350046669	0.459020972	0.459020972
359.6	0.560706097	0.350627354	0.350627354	0.350627354	0.461592331	0.461592331
360.2	0.562224694	0.351576981	0.351576981	0.351576981	0.46324238	0.46324238
360.8	0.56405688	0.352722705	0.352722705	0.352722705	0.463634135	0.463634135
361.4	0.565623944	0.35370264	0.35370264	0.35370264	0.464013903	0.464013903
362	0.566568307	0.354293181	0.354293181	0.354293181	0.468076393	0.468076393
362.6	0.567261052	0.354726376	0.354726376	0.354726376	0.474977965	0.474977965
363.2	0.568216665	0.355323951	0.355323951	0.355323951	0.478591311	0.478591311
363.8	0.569699975	0.356251512	0.356251512	0.356251512	0.479646209	0.479646209
364.4	0.571618499	0.357451226	0.357451226	0.357451226	0.48256941	0.48256941
365	0.573856072	0.358850452	0.358850452	0.358850452	0.485036038	0.485036038
365.6	0.576342348	0.360405199	0.360405199	0.360405199	0.484817836	0.484817836
366.2	0.57903718	0.362090363	0.362090363	0.362090363	0.487512915	0.487512915
366.8	0.581946998	0.363909965	0.363909965	0.363909965	0.494537525	0.494537525
367.4	0.585289631	0.36600022	0.36600022	0.36600022	0.498386588	0.498386588
368	0.589341811	0.368534177	0.368534177	0.368534177	0.498155927	0.498155927
368.6	0.594171295	0.371554206	0.371554206	0.371554206	0.499193038	0.499193038
369.2	0.599439453	0.374848554	0.374848554	0.374848554	0.502122904	0.502122904
369.8	0.604786784	0.37819241	0.37819241	0.37819241	0.505072011	0.505072011
370.4	0.610340058	0.381665048	0.381665048	0.381665048	0.506287152	0.506287152
371	0.616658475	0.385616156	0.385616156	0.385616156	0.506101637	0.506101637
371.6	0.624274814	0.390378894	0.390378894	0.390378894	0.509311997	0.509311997
372.2	0.633452033	0.396117701	0.396117701	0.396117701	0.515702727	0.515702727
372.8	0.64434493	0.402929376	0.402929376	0.402929376	0.51862385	0.51862385
373.4	0.656948101	0.41081054	0.41081054	0.41081054	0.518405533	0.518405533
374	0.67082788	0.419490007	0.419490007	0.419490007	0.519764119	0.519764119
374.6	0.685511311	0.428672023	0.428672023	0.428672023	0.52275019	0.52275019
375.2	0.701555955	0.43870525	0.43870525	0.43870525	0.525598621	0.525598621
375.8	0.720752788	0.450709639	0.450709639	0.450709639	0.526552479	0.526552479
