Version =  1.64
NumCams = 1
Cam     Date       Time        Roll     Pitch       Yaw
---  ----------  --------  --------  --------  --------
101  04/21/2013  08:00:00      0.00     0.00      0.00
-------------------------------------------------------
Extinction Fit: Multi-Day = 2
Extinction Coef Scale     = 1.008800
Extinction Coef Rayleigh  = 2.846974
Extinction Coef Oxygen2   = 2.846974
Extinction Coef Ozone     = 0.761201
Extinction Coef Dust      = 17.575153s
Extinction Coef Water     = 12.857024
-------------------------------------------------------
Number of wavelengths      = 1209
Responsivity normalization = 302172611547.561830
-------------------------------------------------------
Wave(nm)  WeightSum   DayResp     CumResp     SmoothResp  DayExtn     CumExtn
  350.0000       0.552    0.987745    0.987745    0.987745    0.422053    0.422053
  350.6000       0.553    0.989252    0.989252    0.989252    0.423186    0.423186
  351.2000       0.554    0.991004    0.991004    0.991004    0.426129    0.426129
  351.8000       0.554    0.991947    0.991947    0.991947    0.432321    0.432321
  352.4000       0.554    0.991804    0.991804    0.991804    0.436508    0.436508
  353.0000       0.554    0.991622    0.991622    0.991622    0.437178    0.437178
  353.6000       0.555    0.992499    0.992499    0.992499    0.437946    0.437946
  354.2000       0.556    0.994270    0.994270    0.994270    0.440015    0.440015
  354.8000       0.556    0.995773    0.995773    0.995773    0.442683    0.442683
  355.4000       0.557    0.996087    0.996087    0.996087    0.444467    0.444467
  356.0000       0.556    0.995794    0.995794    0.995794    0.444983    0.444983
  356.6000       0.557    0.995997    0.995997    0.995997    0.447808    0.447808
  357.2000       0.557    0.997288    0.997288    0.997288     0.45347     0.45347
  357.8000       0.558    0.999080    0.999080    0.999080    0.456787    0.456787
  358.4000       0.559    1.000575    1.000575    1.000575    0.457365    0.457365
  359.0000       0.560    1.001836    1.001836    1.001836    0.459021    0.459021
  359.6000       0.561    1.003794    1.003794    1.003794    0.461592    0.461592
  360.2000       0.562    1.003500    1.003500    1.003500    0.463242    0.463242
  360.8000       0.564    1.025402    1.025402    1.025402    0.463634    0.463634
  361.4000       0.566    0.943775    0.943775    0.943775    0.464014    0.464014
  362.0000       0.567    1.422155    1.422155    1.422155    0.468076    0.468076
  362.6000       0.567    0.281277    0.281277    0.281277    0.474978    0.474978
  363.2000       0.568    0.125454    0.125454    0.125454    0.478591    0.478591
  363.8000       0.570    0.123205    0.123205    0.123205    0.479646    0.479646
  364.4000       0.572    0.123158    0.123158    0.123158    0.482569    0.482569
  365.0000       0.574    0.123959    0.123959    0.123959    0.485036    0.485036
  365.6000       0.576    0.124310    0.124310    0.124310    0.484818    0.484818
  366.2000       0.579    0.125297    0.125297    0.125297    0.487513    0.487513
  366.8000       0.582    0.124492    0.124492    0.124492    0.494538    0.494538
  367.4000       0.585    0.129606    0.129606    0.129606    0.498387    0.498387
  368.0000       0.589    0.089678    0.089678    0.089678    0.498156    0.498156
  368.6000       0.594    0.067647    0.067647    0.067647    0.499193    0.499193
  369.2000       0.599    0.069252    0.069252    0.069252    0.502123    0.502123
  369.8000       0.605    0.068702    0.068702    0.068702    0.505072    0.505072
  370.4000       0.610    0.073545    0.073545    0.073545    0.506287    0.506287
  371.0000       0.617    0.054420    0.054420    0.054420    0.506102    0.506102
  371.6000       0.624    0.048075    0.048075    0.048075    0.509312    0.509312
  372.2000       0.633    0.049567    0.049567    0.049567    0.515703    0.515703
  372.8000       0.644    0.050348    0.050348    0.050348    0.518624    0.518624
  373.4000       0.657    0.043168    0.043168    0.043168    0.518406    0.518406
  374.0000       0.671    0.039652    0.039652    0.039652    0.519764    0.519764
  374.6000       0.686    0.039314    0.039314    0.039314     0.52275     0.52275
  375.2000       0.702    0.034607    0.034607    0.034607    0.525599    0.525599
  375.8000       0.721    0.034559    0.034559    0.034559    0.526552    0.526552
  376.4000       0.745    0.033073    0.033073    0.033073    0.526463    0.526463
  377.0000       0.773    0.031092    0.031092    0.031092    0.530279    0.530279
  377.6000       0.805    0.029753    0.029753    0.029753    0.536611    0.536611
  378.2000       0.838    0.030203    0.030203    0.030203    0.538628    0.538628
  378.8000       0.872    0.027855    0.027855    0.027855    0.537725    0.537725
  379.4000       0.905    0.027667    0.027667    0.027667    0.538657    0.538657
  380.0000       0.938    0.025556    0.025556    0.025556    0.541303    0.541303
  380.6000       0.969    0.025193    0.025193    0.025193    0.544008    0.544008
  381.2000       0.999    0.023317    0.023317    0.023317     0.54482     0.54482
  381.8000       1.030    0.022690    0.022690    0.022690    0.544918    0.544918
  382.4000       1.064    0.022211    0.022211    0.022211    0.549052    0.549052
  383.0000       1.105    0.021194    0.021194    0.021194    0.555274    0.555274
  383.6000       1.150    0.020972    0.020972    0.020972    0.557784    0.557784
  384.2000       1.191    0.019783    0.019783    0.019783    0.558037    0.558037
  384.8000       1.227    0.019940    0.019940    0.019940    0.559371    0.559371
  385.4000       1.259    0.019457    0.019457    0.019457    0.561833    0.561833
  386.0000       1.289    0.018536    0.018536    0.018536    0.564371    0.564371
  386.6000       1.318    0.017771    0.017771    0.017771     0.56534     0.56534
  387.2000       1.346    0.017162    0.017162    0.017162    0.566279    0.566279
  387.8000       1.373    0.016923    0.016923    0.016923    0.568909    0.568909
  388.4000       1.399    0.016303    0.016303    0.016303    0.572041    0.572041
  389.0000       1.421    0.015496    0.015496    0.015496    0.575217    0.575217
  389.6000       1.441    0.014801    0.014801    0.014801    0.577871    0.577871
  390.2000       1.459    0.014349    0.014349    0.014349    0.579068    0.579068
