Number of lines in output : 555
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   207.2075    207.1414    5.984347  -4.144 2.788e+04  13.00     0.000000   0.5     5.983979   1.5 NBS  
   207.2095    207.1434    5.984290  -4.128 2.892e+04  13.00     0.000000   0.5     5.983923   1.5 NBS  
   207.2115    207.1454    5.984232  -4.111 3.008e+04  13.00     0.000000   0.5     5.983865   1.5 NBS  
   207.2136    207.1475    5.984171  -4.094 3.128e+04  13.00     0.000000   0.5     5.983804   1.5 NBS  
   207.2158    207.1497    5.984108  -4.077 3.253e+04  13.00     0.000000   0.5     5.983741   1.5 NBS  
   207.2181    207.1520    5.984041  -4.060 3.382e+04  13.00     0.000000   0.5     5.983675   1.5 NBS  
   207.2204    207.1543    5.983975  -4.043 3.517e+04  13.00     0.000000   0.5     5.983606   1.5 NBS  
   207.2229    207.1568    5.983902  -4.025 3.666e+04  13.00     0.000000   0.5     5.983535   1.5 NBS  
   207.2255    207.1594    5.983827  -4.007 3.821e+04  13.00     0.000000   0.5     5.983461   1.5 NBS  
   207.2282    207.1621    5.983749  -3.989 3.983e+04  13.00     0.000000   0.5     5.983383   1.5 NBS  
   207.2310    207.1649    5.983669  -3.970 4.161e+04  13.00     0.000000   0.5     5.983302   1.5 NBS  
   207.2339    207.1678    5.983585  -3.951 4.347e+04  13.00     0.000000   0.5     5.983217   1.5 NBS  
   207.2370    207.1709    5.983495  -3.932 4.541e+04  13.00     0.000000   0.5     5.983129   1.5 NBS  
   207.2402    207.1741    5.983403  -3.913 4.744e+04  13.00     0.000000   0.5     5.983036   1.5 NBS  
   207.2435    207.1774    5.983308  -3.894 4.956e+04  13.00     0.000000   0.5     5.982940   1.5 NBS  
   207.2470    207.1809    5.983206  -3.874 5.189e+04  13.00     0.000000   0.5     5.982838   1.5 NBS  
   207.2507    207.1846    5.983100  -3.853 5.446e+04  13.00     0.000000   0.5     5.982732   1.5 NBS  
   207.2546    207.1885    5.982987  -3.833 5.702e+04  13.00     0.000000   0.5     5.982621   1.5 NBS  
   207.2586    207.1925    5.982872  -3.812 5.985e+04  13.00     0.000000   0.5     5.982504   1.5 NBS  
   207.2629    207.1968    5.982747  -3.791 6.281e+04  13.00     0.000000   0.5     5.982381   1.5 NBS  
   207.2674    207.2013    5.982617  -3.769 6.607e+04  13.00     0.000000   0.5     5.982252   1.5 NBS  
   207.2721    207.2060    5.982482  -3.747 6.950e+04  13.00     0.000000   0.5     5.982116   1.5 NBS  
   207.2770    207.2109    5.982340  -3.725 7.311e+04  13.00     0.000000   0.5     5.981973   1.5 NBS  
   207.2822    207.2161    5.982190  -3.703 7.690e+04  13.00     0.000000   0.5     5.981822   1.5 NBS  
   207.2878    207.2217    5.982029  -3.679 8.127e+04  13.00     0.000000   0.5     5.981663   1.5 NBS  
