Number of lines in output :  1739
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   305.1237    305.0350    4.063448  -4.160 4.956e+04  18.00    11.624377   1.0    15.688058   0.0 KP   
   311.7117    311.6213    3.977568  -4.690 1.402e+04  18.00    11.624377   1.0    15.602174   0.0 KP   
   312.0967    312.0062    3.972661  -3.910 1.685e+04  18.00    11.624377   1.0    15.597266   2.0 KP   
   312.1770    312.0865    3.971639  -4.300 1.143e+04  18.00    11.624377   1.0    15.596244   1.0 KP   
   312.2393    312.1488    3.970847  -4.670 4.876e+03  18.00    11.624377   1.0    15.595452   1.0 KP   
   313.1715    313.0808    3.959026  -2.910 1.673e+05  18.00    11.549133   2.0    15.508387   2.0 KP   
   313.1961    313.1054    3.958715  -3.780 3.762e+04  18.00    11.549133   2.0    15.508076   1.0 KP   
   313.3225    313.2317    3.957119  -3.570 3.657e+04  18.00    11.549133   2.0    15.506480   2.0 KP   
   313.3778    313.2870    3.956421  -2.710 1.892e+05  18.00    11.549133   2.0    15.505782   3.0 KP   
   313.5214    313.4306    3.954609  -3.130 1.677e+05  18.00    11.549133   2.0    15.503969   1.0 KP   
   318.7566    318.6644    3.889659  -3.640 1.504e+05  18.00    11.624377   1.0    15.514259   0.0 KP   
   319.2385    319.1462    3.883787  -4.250 7.361e+03  18.00    11.624377   1.0    15.508387   2.0 KP   
   319.2641    319.1718    3.883476  -3.240 1.255e+05  18.00    11.624377   1.0    15.508076   1.0 KP   
   319.3953    319.3030    3.881880  -3.010 1.278e+05  18.00    11.624377   1.0    15.506480   2.0 KP   
   319.6021    319.5097    3.879370  -4.420 8.275e+03  18.00    11.624377   1.0    15.503969   1.0 KP   
   320.1291    320.0366    3.872983  -3.190 8.404e+04  18.00    11.549133   2.0    15.422338   2.0 KP   
   320.1788    320.0863    3.872381  -4.100 1.723e+04  18.00    11.549133   2.0    15.421737   1.0 KP   
   320.2045    320.1120    3.872071  -3.860 2.993e+04  18.00    11.723951   0.0    15.596244   1.0 KP   
   320.2700    320.1775    3.871279  -3.580 5.701e+04  18.00    11.723951   0.0    15.595452   1.0 KP   
   320.3780    320.2854    3.869974  -3.570 3.498e+04  18.00    11.549133   2.0    15.419329   2.0 KP   
   320.4588    320.3662    3.868998  -2.870 1.252e+05  18.00    11.549133   2.0    15.418353   3.0 KP   
   320.8427    320.7500    3.864368  -3.350 9.648e+04  18.00    11.549133   2.0    15.413723   1.0 KP   
   321.2917    321.1989    3.858968  -3.650 1.447e+05  18.00    11.828869   1.0    15.688058   0.0 KP   
   322.5889    322.4958    3.843450  -4.290 3.287e+04  18.00    11.624377   1.0    15.468048   0.0 KP   
   323.5425    323.4491    3.832122  -3.430 4.735e+04  18.00    11.624377   1.0    15.456719   2.0 KP   
   323.6209    323.5275    3.831194  -4.200 1.339e+04  18.00    11.624377   1.0    15.455790   1.0 KP   
   323.6995    323.6061    3.830264  -3.830 3.138e+04  18.00    11.624377   1.0    15.454861   1.0 KP   
   325.8523    325.7584    3.804957  -3.920 7.552e+04  18.00    11.624377   1.0    15.429552   0.0 KP   
   326.4713    326.3772    3.797744  -3.670 2.676e+04  18.00    11.624377   1.0    15.422338   2.0 KP   
   326.5230    326.4289    3.797142  -3.530 6.154e+04  18.00    11.624377   1.0    15.421737   1.0 KP   
   326.7302    326.6360    3.794735  -3.400 4.975e+04  18.00    11.624377   1.0    15.419329   2.0 KP   
   327.2136    327.1193    3.789129  -4.120 1.575e+04  18.00    11.624377   1.0    15.413723   1.0 KP   
   328.6046    328.5100    3.773088  -3.890 7.958e+04  18.00    11.828869   1.0    15.602174   0.0 KP   
   329.0327    328.9379    3.768181  -3.190 7.956e+04  18.00    11.828869   1.0    15.597266   2.0 KP   
   329.1219    329.0271    3.767159  -3.580 5.399e+04  18.00    11.828869   1.0    15.596244   1.0 KP   
   329.1911    329.0963    3.766367  -3.890 2.643e+04  18.00    11.828869   1.0    15.595452   1.0 KP   
   332.0299    331.9344    3.734164  -2.730 2.253e+05  18.00    11.549133   2.0    15.283512   2.0 KP   
   332.1029    332.0074    3.733344  -3.690 4.116e+04  18.00    11.549133   2.0    15.282692   1.0 KP   
   332.2559    332.1603    3.731625  -3.140 1.459e+05  18.00    11.723951   0.0    15.455790   1.0 KP   
   332.3387    332.2431    3.730695  -3.410 7.831e+04  18.00    11.723951   0.0    15.454861   1.0 KP   
   332.4807    332.3851    3.729101  -3.330 5.644e+04  18.00    11.549133   2.0    15.278449   2.0 KP   
   332.6457    332.5500    3.727253  -2.470 2.918e+05  18.00    11.549133   2.0    15.276600   3.0 KP   
   333.0208    332.9250    3.723055  -2.940 2.302e+05  18.00    11.549133   2.0    15.272402   1.0 KP   
   336.4435    336.3469    3.685179  -4.250 3.314e+04  18.00    11.828869   1.0    15.514259   0.0 KP   
   336.9805    336.8837    3.679307  -3.990 1.202e+04  18.00    11.828869   1.0    15.508387   2.0 KP   
   337.0090    336.9122    3.678995  -3.860 2.702e+04  18.00    11.828869   1.0    15.508076   1.0 KP   
   337.1552    337.0584    3.677400  -3.650 2.627e+04  18.00    11.828869   1.0    15.506480   2.0 KP   
   337.3856    337.2887    3.674889  -4.310 9.566e+03  18.00    11.828869   1.0    15.503969   1.0 KP   
