Number of lines in output : 119
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   240.9965    240.9232    5.145311  -3.800 6.067e+04  56.00     0.000000   0.0     5.144996   1.0 NBS  
   241.4815    241.4081    5.134976  -3.520 1.151e+05  56.00     0.000000   0.0     5.134661   1.0 NBS  
   242.0845    242.0110    5.122185  -3.180 2.507e+05  56.00     0.000000   0.0     5.121870   1.0 NBS  
   242.8151    242.7414    5.106774  -2.680 7.879e+05  56.00     0.000000   0.0     5.106460   1.0 NBS  
   243.3256    243.2518    5.096059  -2.600 9.433e+05  56.00     0.000000   0.0     5.095747   1.0 NBS  
   243.9547    243.8807    5.082919  -3.480 1.237e+05  56.00     0.000000   0.0     5.082608   1.0 NBS  
   244.5361    244.4620    5.070833  -2.810 5.759e+05  56.00     0.000000   0.0     5.070522   1.0 NBS  
   245.3071    245.2328    5.054896  -3.760 6.421e+04  56.00     0.000000   0.0     5.054585   1.0 NBS  
   247.3491    247.2744    5.013164  -2.810 5.628e+05  56.00     0.000000   0.0     5.012856   1.0 NBS  
   250.1117    250.0363    4.957792  -2.370 1.516e+06  56.00     0.000000   0.0     4.957488   1.0 NBS  
   254.3756    254.2992    4.874689  -1.930 4.037e+06  56.00     0.000000   0.0     4.874389   1.0 NBS  
   259.7383    259.6607    4.774042  -1.450 1.169e+07  56.00     0.000000   0.0     4.773750   1.0 NBS  
   264.7234    264.6446    4.684141  -2.450 1.126e+06  56.00     0.000000   0.0     4.683854   1.0 NBS  
   270.3435    270.2633    4.586764  -2.090 2.473e+06  56.00     0.000000   0.0     4.586482   1.0 NBS  
   274.0055    273.9244    4.525464  -2.510 9.151e+05  56.00     0.000000   0.0     4.525185   1.0 NBS  
   278.6096    278.5274    4.450679  -2.010 2.799e+06  56.00     0.000000   0.0     4.450405   1.0 NBS  
   307.2473    307.1580    4.035843  -0.760 4.093e+07  56.00     0.000000   0.0     4.035595   1.0 NBS  
   350.2105    350.1103    3.540733  -0.790 2.940e+07  56.00     0.000000   0.0     3.540515   1.0 NBS  
   389.0424    388.9322    3.187318  -1.990 1.503e+06  56.00     0.000000   0.0     3.187122   1.0 NBS  
   389.3760    389.2657    3.184587  -0.510 2.719e+07  56.00     1.412943   2.0     4.597334   2.0 CB   
   391.1013    390.9906    3.170538  -0.250 4.904e+07  56.00     1.120147   1.0     4.290490   2.0 NBS  
   393.6827    393.5713    3.149749  -0.120 4.664e+07  56.00     1.142656   2.0     4.292211   3.0 NBS  
   393.8980    393.7865    3.148028  -0.900 1.082e+07  56.00     1.142656   2.0     4.290490   2.0 NBS  
   399.4526    399.3397    3.104252   0.080 5.584e+07  56.00     1.189901   3.0     4.293963   4.0 NBS  
   399.6782    399.5652    3.102500  -0.830 8.823e+06  56.00     1.189901   3.0     4.292211   3.0 NBS  
   413.3589    413.2423    2.999819  -2.000 1.301e+06  56.00     0.000000   0.0     2.999635   1.0 NBS  
   424.0747    423.9553    2.924017  -0.720 2.356e+07  56.00     1.675727   2.0     4.599565   1.0 NBS  
   424.3797    424.2602    2.921916  -1.120 5.619e+06  56.00     1.566846   1.0     4.488583   2.0 NBS  
   426.5613    426.4413    2.906972  -0.900 1.538e+07  56.00     1.520895   0.0     4.427689   1.0 NBS  
   428.4299    428.3094    2.894293   0.090 6.387e+07  56.00     1.412943   2.0     4.307058   3.0 NBS  
   432.4213    432.2997    2.867578  -0.670 1.525e+07  56.00     1.566846   1.0     4.434248   2.0 NBS  
   432.6357    432.5141    2.866157  -0.860 7.027e+06  56.00     1.675727   2.0     4.541707   3.0 NBS  
   433.4128    433.2910    2.861018  -0.890 1.525e+07  56.00     1.566846   1.0     4.427689   1.0 NBS  
   435.1548    435.0325    2.849565  -0.070 5.996e+07  56.00     1.566846   1.0     4.416236   2.0 NBS  
   440.3772    440.2535    2.815772   0.010 7.039e+07  56.00     1.566846   1.0     4.382446   2.0 NBS  
   440.8066    440.6828    2.813029  -0.830 1.015e+07  56.00     1.675727   2.0     4.488583   2.0 NBS  
   443.3135    443.1891    2.797121   0.030 1.212e+08  56.00     1.520895   0.0     4.317845   1.0 NBS  
   446.8367    446.7113    2.775067  -0.860 6.588e+06  56.00     1.675727   2.0     4.450624   3.0 NBS  
   449.0232    448.8973    2.761554  -0.050 4.212e+07  56.00     1.675727   2.0     4.437111   3.0 NBS  
   449.4893    449.3632    2.758690  -0.260 3.628e+07  56.00     1.675727   2.0     4.434248   2.0 NBS  
   450.7184    450.5920    2.751167  -0.020 1.045e+08  56.00     1.566846   1.0     4.317845   1.0 NBS  
   452.4434    452.3166    2.740678   0.170 9.639e+07  56.00     1.675727   2.0     4.416236   2.0 NBS  
   457.5134    457.3852    2.710307  -0.040 2.906e+08  56.00     1.566846   1.0     4.276987   0.0 NBS  
   458.0918    457.9635    2.706885   0.450 1.792e+08  56.00     1.675727   2.0     4.382446   2.0 NBS  
   459.3107    459.1820    2.699702  -1.590 1.625e+06  56.00     1.142656   2.0     3.842192   2.0 NBS  
