Number of lines in output :  473
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   210.3902    210.3235    5.893117  -0.664 8.166e+07  20.01     3.123560   0.5     9.017015   1.5 BWL  
   211.3426    211.2757    5.866561  -0.404 9.817e+07  20.01     3.151197   1.5     9.018094   2.5 BWL  
   211.3815    211.3146    5.865482  -1.364 1.614e+07  20.01     3.151197   1.5     9.017015   1.5 BWL  
   212.9422    212.8750    5.822491  -3.603 9.174e+04  20.01     1.692522   1.5     7.515348   1.5 BWL  
   213.2178    213.1505    5.814967  -2.643 8.345e+05  20.01     1.700047   2.5     7.515348   1.5 BWL  
   213.2977    213.2304    5.812788  -2.903 9.165e+05  20.01     1.692522   1.5     7.505644   0.5 BWL  
   219.8473    219.7787    5.639615  -1.346 3.111e+07  20.01     3.123560   0.5     8.763499   0.5 BWL  
   220.9300    220.8611    5.611980  -1.046 6.146e+07  20.01     3.151197   1.5     8.763499   0.5 BWL  
   265.9963    265.9172    4.661171  -2.239 1.359e+06  20.01     6.468311   0.5    11.129750   1.5 K88  
   266.0356    265.9565    4.660483  -2.540 1.359e+06  20.01     6.468311   0.5    11.129061   0.5 K88  
   278.5354    278.4532    4.451336  -1.368 9.211e+06  20.01     6.468311   0.5    10.919903   1.5 K88  
   278.5978    278.5156    4.450338  -1.669 9.207e+06  20.01     6.468311   0.5    10.918905   0.5 K88  
   289.8655    289.7806    4.277343  -1.295 6.708e+06  20.01     7.047644   1.5    11.325232   2.5 K88  
   290.0271    289.9421    4.274961  -1.141 7.164e+06  20.01     7.050026   2.5    11.325232   3.5 K88  
   290.0271    289.9421    4.274961  -2.442 4.776e+05  20.01     7.050026   2.5    11.325232   2.5 K88  
   299.6334    299.5460    4.137905  -1.168 1.261e+07  20.01     6.468311   0.5    10.606454   1.5 K88  
   299.7441    299.6567    4.136376  -1.469 1.261e+07  20.01     6.468311   0.5    10.604925   0.5 K88  
   299.7469    299.6595    4.136338  -3.064 1.602e+05  20.01     7.505644   0.5    11.642219   1.5 K88  
   300.4517    300.3641    4.126635  -3.764 3.181e+04  20.01     7.515348   1.5    11.642219   1.5 K88  
   300.4517    300.3641    4.126635  -2.810 1.907e+05  20.01     7.515348   1.5    11.642219   2.5 K88  
   302.1707    302.0827    4.103159  -3.634 4.242e+04  20.01     7.505644   0.5    11.609039   1.5 K88  
   302.8870    302.7988    4.093456  -3.380 5.051e+04  20.01     7.515348   1.5    11.609039   2.5 K88  
   302.8870    302.7988    4.093456  -4.334 8.424e+03  20.01     7.515348   1.5    11.609039   1.5 K88  
   303.7466    303.6582    4.081871  -3.229 1.067e+05  20.01     7.047644   1.5    11.129750   1.5 K88  
   303.7978    303.7094    4.081183  -2.530 1.066e+06  20.01     7.047644   1.5    11.129061   0.5 K88  
   303.9239    303.8355    4.079489  -2.275 9.584e+05  20.01     7.050026   2.5    11.129750   1.5 K88  
   305.2076    305.1189    4.062331  -1.999 1.794e+06  20.01     7.505644   0.5    11.568208   1.5 K88  
   305.9384    305.8495    4.052628  -1.745 2.137e+06  20.01     7.515348   1.5    11.568208   2.5 K88  
   305.9384    305.8495    4.052628  -2.699 3.563e+05  20.01     7.515348   1.5    11.568208   1.5 K88  
   309.1192    309.0295    4.010927  -3.288 8.991e+04  20.01     7.505644   0.5    11.516801   1.5 K88  
   309.8688    309.7789    4.001223  -3.033 1.073e+05  20.01     7.515348   1.5    11.516801   2.5 K88  
   309.8688    309.7789    4.001223  -3.988 1.785e+04  20.01     7.515348   1.5    11.516801   1.5 K88  
   312.4214    312.3308    3.968533  -1.051 1.013e+07  20.01     7.047644   1.5    11.016405   2.5 K88  
   312.6089    312.5183    3.966152  -0.896 1.084e+07  20.01     7.050026   2.5    11.016405   3.5 K88  
   312.6089    312.5183    3.966152  -2.197 7.227e+05  20.01     7.050026   2.5    11.016405   2.5 K88  
   314.2087    314.1177    3.945958  -1.699 3.378e+06  20.01     7.505644   0.5    11.451829   1.5 K88  
   314.9833    314.8921    3.936255  -2.399 6.706e+05  20.01     7.515348   1.5    11.451829   1.5 K88  
   314.9833    314.8921    3.936255  -1.445 4.022e+06  20.01     7.515348   1.5    11.451829   2.5 K88  
   315.9783    315.8869    3.923859   0.252 2.984e+08  20.01     3.123560   0.5     7.047644   1.5 BWL  
   318.0251    317.9331    3.898606   0.512 3.573e+08  20.01     3.151197   1.5     7.050026   2.5 BWL  
   318.2195    318.1275    3.896224  -0.448 5.870e+07  20.01     3.151197   1.5     7.047644   1.5 BWL  
   320.2073    320.1148    3.872037  -2.677 3.421e+05  20.01     7.047644   1.5    10.919903   1.5 K88  
   320.2898    320.1973    3.871039  -1.978 3.420e+06  20.01     7.047644   1.5    10.918905   0.5 K88  
   320.4044    320.3118    3.869655  -1.723 3.074e+06  20.01     7.050026   2.5    10.919903   1.5 K88  
