Number of lines in output :  1145
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.6116    200.5467    6.180372  -2.150 2.347e+06  17.01    13.676097   3.0    19.856823   2.0 KP   
   200.6231    200.5582    6.180020  -2.280 1.739e+06  17.01    13.676449   2.0    19.856823   2.0 KP   
   200.6334    200.5685    6.179702  -2.800 5.252e+05  17.01    13.676766   1.0    19.856823   2.0 KP   
   201.2038    201.1388    6.162183  -2.410 2.137e+06  17.01    13.676449   2.0    19.838986   1.0 KP   
   201.2141    201.1491    6.161866  -2.320 2.628e+06  17.01    13.676766   1.0    19.838986   1.0 KP   
   201.2198    201.1548    6.161692  -2.690 1.121e+06  17.01    13.676940   0.0    19.838986   1.0 KP   
   201.8603    201.7952    6.142141  -3.690 3.342e+05  17.01    13.676766   1.0    19.819260   0.0 KP   
   202.9412    202.8759    6.109426  -2.330 2.525e+06  17.01    13.676449   2.0    19.786226   1.0 KP   
   202.9518    202.8865    6.109109  -3.790 8.754e+04  17.01    13.676766   1.0    19.786226   1.0 KP   
   203.4347    203.3693    6.094605  -3.430 1.198e+05  17.01    15.953325   2.0    22.048280   2.0 KP   
   203.5256    203.4602    6.091884  -3.610 1.318e+05  17.01    15.948294   1.0    22.040528   1.0 KP   
   203.6939    203.6284    6.086853  -3.720 1.021e+05  17.01    15.953325   2.0    22.040528   1.0 KP   
   203.7779    203.7124    6.084342  -3.660 3.514e+05  17.01    15.948294   1.0    22.032986   0.0 KP   
   204.9076    204.8419    6.050797  -4.210 3.265e+04  17.01    15.948294   1.0    21.999438   1.0 KP   
   205.0781    205.0124    6.045766  -3.870 7.131e+04  17.01    15.953325   2.0    21.999438   1.0 KP   
   205.1672    205.1015    6.043140  -4.620 7.602e+03  17.01    13.962723   1.0    20.006210   2.0 KP   
   206.2221    206.1562    6.012229  -1.130 1.661e+07  17.01    13.675988   4.0    19.688562   3.0 KP   
   206.2258    206.1599    6.012120  -1.350 1.001e+07  17.01    13.676097   3.0    19.688562   3.0 KP   
   206.2379    206.1720    6.011768  -2.230 1.319e+06  17.01    13.676449   2.0    19.688562   3.0 KP   
   206.3010    206.2351    6.009929  -1.720 5.972e+06  17.01    13.676097   3.0    19.686371   2.0 KP   
   206.3131    206.2472    6.009577  -1.690 6.399e+06  17.01    13.676449   2.0    19.686371   2.0 KP   
   206.3240    206.2581    6.009259  -2.640 7.179e+05  17.01    13.676766   1.0    19.686371   2.0 KP   
   206.5049    206.4389    6.003995  -2.810 8.075e+05  17.01    13.676449   2.0    19.680789   1.0 KP   
   206.5158    206.4498    6.003678  -2.850 7.364e+05  17.01    13.676766   1.0    19.680789   1.0 KP   
   206.5218    206.4558    6.003504  -3.700 1.040e+05  17.01    13.676940   0.0    19.680789   1.0 KP   
   207.8442    207.7780    5.965305  -3.830 7.613e+04  17.01    16.336779   1.0    22.302427   1.0 KP   
   208.8632    208.7968    5.936202  -2.360 2.225e+06  17.01    13.676449   2.0    19.612992   1.0 KP   
   208.8744    208.8080    5.935885  -2.170 3.445e+06  17.01    13.676766   1.0    19.612992   1.0 KP   
   208.8805    208.8141    5.935711  -2.470 1.727e+06  17.01    13.676940   0.0    19.612992   1.0 KP   
   210.0957    210.0290    5.901380  -3.300 1.082e+05  17.01    16.338334   2.0    22.240052   3.0 KP   
   210.3672    210.3005    5.893762  -2.310 1.476e+06  17.01    13.962723   1.0    19.856823   2.0 KP   
   211.0059    210.9390    5.875925  -2.550 1.407e+06  17.01    13.962723   1.0    19.838986   1.0 KP   
   211.7165    211.6495    5.856201  -3.020 1.421e+06  17.01    13.962723   1.0    19.819260   0.0 KP   
   212.9175    212.8503    5.823168  -4.170 3.316e+04  17.01    13.962723   1.0    19.786226   1.0 KP   
   213.4167    213.3494    5.809547  -2.810 2.268e+06  17.01    14.859679   1.0    20.669560   0.0 KP   
   213.7434    213.6760    5.800669  -3.390 1.190e+05  17.01    16.336779   1.0    22.137781   2.0 KP   
   213.8007    213.7333    5.799114  -4.760 5.072e+03  17.01    16.338334   2.0    22.137781   2.0 KP   
   216.4518    216.3839    5.728084  -4.300 1.427e+04  17.01    15.948294   1.0    21.676707   2.0 KP   
   216.4916    216.4236    5.727033  -4.260 1.117e+04  17.01    15.953325   2.0    21.680687   3.0 KP   
   216.6141    216.5461    5.723795  -4.210 2.922e+04  17.01    15.948294   1.0    21.672418   1.0 KP   
   216.6422    216.5742    5.723053  -3.870 3.834e+04  17.01    15.953325   2.0    21.676707   2.0 KP   
   216.8046    216.7366    5.718764  -4.600 1.188e+04  17.01    15.953325   2.0    21.672418   1.0 KP   
   216.8072    216.7392    5.718695  -3.900 2.552e+04  17.01    15.961664   3.0    21.680687   3.0 KP   
   216.9582    216.8902    5.714715  -4.640 6.492e+03  17.01    15.961664   3.0    21.676707   2.0 KP   
   217.0928    217.0247    5.711174  -1.930 3.326e+06  17.01    16.336779   1.0    22.048280   2.0 KP   
   217.1519    217.0838    5.709619  -1.520 8.543e+06  17.01    16.338334   2.0    22.048280   2.0 KP   
   217.3878    217.3197    5.703422  -2.280 2.469e+06  17.01    16.336779   1.0    22.040528   1.0 KP   
   217.4470    217.3789    5.701867  -2.020 4.491e+06  17.01    16.338334   2.0    22.040528   1.0 KP   
   217.4507    217.3825    5.701774  -2.060 4.095e+06  17.01    16.338427   0.0    22.040528   1.0 KP   
   217.6757    217.6075    5.695880  -2.110 1.093e+07  17.01    16.336779   1.0    22.032986   0.0 KP   
   218.8552    218.7868    5.665181  -3.090 2.264e+05  17.01    14.340703   1.0    20.006210   2.0 KP   
   218.9653    218.8968    5.662334  -1.750 8.246e+06  17.01    16.336779   1.0    21.999438   1.0 KP   
   219.0254    218.9569    5.660780  -1.480 1.535e+07  17.01    16.338334   2.0    21.999438   1.0 KP   
   219.0290    218.9605    5.660687  -2.250 2.606e+06  17.01    16.338427   0.0    21.999438   1.0 KP   
   224.6410    224.5713    5.519271  -4.630 3.443e+03  17.01    15.961664   3.0    21.481252   4.0 KP   
   224.7822    224.7125    5.515804  -3.810 4.089e+04  17.01    14.340703   1.0    19.856823   2.0 KP   
   225.5114    225.4416    5.497967  -1.670 9.347e+06  17.01    14.340703   1.0    19.838986   1.0 KP   
   226.3234    226.2534    5.478242  -2.280 6.834e+06  17.01    14.340703   1.0    19.819260   0.0 KP   
   227.6963    227.6260    5.445210  -3.520 1.295e+05  17.01    14.340703   1.0    19.786226   1.0 KP   
   231.9497    231.8784    5.345361  -3.080 2.062e+05  17.01    14.340703   1.0    19.686371   2.0 KP   
   232.0935    232.0222    5.342047  -2.170 1.196e+06  17.01    16.338334   2.0    21.680687   3.0 KP   
   232.1921    232.1208    5.339779  -2.300 2.067e+06  17.01    14.340703   1.0    19.680789   1.0 KP   
   232.1989    232.1276    5.339621  -2.510 7.646e+05  17.01    16.336779   1.0    21.676707   2.0 KP   
   232.2665    232.1952    5.338067  -3.310 1.211e+05  17.01    16.338334   2.0    21.676707   2.0 KP   
   232.3855    232.3142    5.335333  -3.380 1.716e+05  17.01    16.336779   1.0    21.672418   1.0 KP   
   232.4534    232.3820    5.333778  -4.920 4.947e+03  17.01    16.338334   2.0    21.672418   1.0 KP   
   232.4574    232.3860    5.333685  -3.030 3.840e+05  17.01    16.338427   0.0    21.672418   1.0 KP   
   232.7698    232.6984    5.326525  -3.450 8.736e+04  17.01    13.676097   3.0    19.002927   2.0 KP   
   232.7852    232.7138    5.326173  -3.130 1.825e+05  17.01    13.676449   2.0    19.002927   2.0 KP   
   232.7991    232.7277    5.325855  -4.030 2.297e+04  17.01    13.676766   1.0    19.002927   2.0 KP   
   235.1779    235.1059    5.271986  -1.690 8.208e+06  17.01    14.340703   1.0    19.612992   1.0 KP   
   235.4042    235.3322    5.266916  -4.980 2.521e+03  17.01    15.961664   3.0    21.228883   2.0 KP   
   235.6848    235.6127    5.260648  -3.580 1.053e+05  17.01    15.948294   1.0    21.209244   1.0 KP   
   235.9103    235.8382    5.255616  -4.420 1.519e+04  17.01    15.953325   2.0    21.209244   1.0 KP   
   235.9387    235.8666    5.254984  -3.110 1.860e+05  17.01    15.948294   1.0    21.203580   2.0 KP   
   236.1649    236.0927    5.249953  -3.250 1.345e+05  17.01    15.953325   2.0    21.203580   2.0 KP   
   236.3460    236.2738    5.245928  -2.500 5.394e+05  17.01    15.953325   2.0    21.199555   3.0 KP   
   238.5470    238.4743    5.197527  -4.980 2.455e+03  17.01    13.376275   2.0    18.574100   2.0 KP   
   238.5832    238.5105    5.196737  -4.010 2.290e+04  17.01    15.948294   1.0    21.145329   2.0 KP   
   238.5848    238.5121    5.196702  -3.660 3.662e+04  17.01    15.953325   2.0    21.150326   3.0 KP   
   238.6994    238.6266    5.194209  -4.770 6.627e+03  17.01    15.948294   1.0    21.142801   1.0 KP   
   239.1987    239.1258    5.183368  -4.740 4.243e+03  17.01    15.961664   3.0    21.145329   2.0 KP   
   239.9644    239.8914    5.166827  -1.300 1.161e+07  17.01    18.037218   1.0    23.204341   2.0 KP   
   240.6753    240.6021    5.151565  -2.140 1.668e+06  17.01    14.854348   2.0    20.006210   2.0 KP   
   240.7384    240.6652    5.150214  -1.730 4.286e+06  17.01    14.855700   3.0    20.006210   2.0 KP   
   241.2187    241.1454    5.139959  -4.680 3.421e+03  17.01    16.338334   2.0    21.478588   3.0 KP   
   241.5884    241.5150    5.132093  -3.810 3.540e+04  17.01    18.037218   1.0    23.169606   2.0 KP   
   241.6871    241.6137    5.129997  -3.750 6.769e+04  17.01    18.037218   1.0    23.167509   1.0 KP   
   242.8512    242.7775    5.105408  -0.950 2.538e+07  17.01    15.948294   1.0    21.053995   2.0 NBS  
