Number of lines in output :  7269
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.0789    200.0141    6.196827  -2.802 3.286e+05  27.00     0.431844   4.5     6.629027   3.5 K88  
   200.2979    200.2330    6.190055  -1.856 2.895e+06  27.00     0.101178   3.5     6.291588   3.5 K88  
   200.3117    200.2468    6.189626  -2.614 4.043e+05  27.00     0.101178   3.5     6.291159   4.5 K88  
   200.4151    200.3502    6.186433  -4.957 3.056e+03  27.00     0.101178   3.5     6.287967   2.5 K88  
   200.8225    200.7576    6.173882  -4.829 3.065e+03  27.00     0.101178   3.5     6.275415   3.5 K88  
   200.8306    200.7657    6.173632  -3.490 5.351e+04  27.00     0.431844   4.5     6.605830   4.5 K88  
   200.8945    200.8295    6.171670  -4.180 1.092e+04  27.00     0.101178   3.5     6.273203   4.5 K88  
   200.9536    200.8886    6.169854  -3.130 1.531e+05  27.00     0.101178   3.5     6.271386   3.5 K88  
   200.9922    200.9272    6.168671  -4.413 1.063e+04  27.00     0.174438   2.5     6.343463   2.5 K88  
   201.0756    201.0106    6.166111  -1.938 3.171e+06  27.00     0.174438   2.5     6.340903   2.5 K88  
   201.1732    201.1082    6.163120  -3.359 9.014e+04  27.00     0.581547   2.5     6.745022   3.5 K88  
   201.5278    201.4627    6.152277  -3.470 6.956e+04  27.00     0.431844   4.5     6.584474   3.5 K88  
   201.9456    201.8805    6.139544  -3.572 1.095e+05  27.00     0.174438   2.5     6.314335   1.5 K88  
   202.0854    202.0202    6.135302  -3.278 1.076e+05  27.00     0.000000   4.5     6.135654   3.5 K88  
   202.1216    202.0564    6.134201  -4.491 1.318e+04  27.00     0.581547   2.5     6.716100   1.5 K88  
   202.6966    202.6313    6.116799  -2.778 3.383e+05  27.00     0.174438   2.5     6.291588   3.5 K88  
   202.7162    202.6509    6.116208  -2.793 4.357e+05  27.00     0.224343   1.5     6.340903   2.5 K88  
   202.7557    202.6904    6.115016  -3.277 1.072e+05  27.00     0.513659   3.5     6.629027   3.5 K88  
   203.1246    203.0592    6.103911  -3.677 4.251e+04  27.00     0.513659   3.5     6.617921   3.5 K88  
   203.2614    203.1960    6.099803  -2.133 1.189e+06  27.00     0.000000   4.5     6.100154   4.5 K88  
   203.3682    203.3028    6.096598  -3.342 9.172e+04  27.00     0.174438   2.5     6.271386   3.5 K88  
   203.5162    203.4508    6.092166  -3.099 6.411e+05  27.00     0.224343   1.5     6.316859   0.5 K88  
   203.6005    203.5351    6.089642  -3.463 1.385e+05  27.00     0.224343   1.5     6.314335   1.5 K88  
   203.8598    203.7943    6.081897  -4.443 9.645e+03  27.00     0.513659   3.5     6.595906   2.5 K88  
   203.9523    203.8868    6.079140  -3.133 1.968e+05  27.00     0.101178   3.5     6.180667   2.5 K88  
   204.2437    204.1781    6.070466  -2.832 2.943e+05  27.00     0.513659   3.5     6.584474   3.5 K88  
   204.4859    204.4203    6.063275  -4.855 3.712e+03  27.00     0.224343   1.5     6.287967   2.5 K88  
   205.0318    204.9661    6.047132  -4.437 7.251e+03  27.00     0.581547   2.5     6.629027   3.5 K88  
   205.3464    205.2806    6.037869  -4.717 7.587e+03  27.00     0.174438   2.5     6.212653   1.5 K88  
   205.4736    205.4078    6.034130  -2.138 1.437e+06  27.00     0.101178   3.5     6.135654   3.5 K88  
   206.1609    206.0950    6.014013  -3.004 2.592e+05  27.00     0.581547   2.5     6.595906   2.5 K88  
   206.2711    206.2052    6.010800  -3.615 6.340e+04  27.00     0.922803   3.5     6.933949   2.5 K88  
   206.4400    206.3740    6.005884  -2.408 1.019e+06  27.00     0.174438   2.5     6.180667   2.5 K88  
   206.5535    206.4875    6.002581  -3.073 1.652e+05  27.00     0.581547   2.5     6.584474   3.5 K88  
   206.6767    206.6107    5.999003  -2.722 7.404e+05  27.00     0.581547   2.5     6.580895   1.5 K88  
   206.6825    206.6165    5.998835  -4.330 1.217e+04  27.00     0.513659   3.5     6.512838   2.5 K88  
   206.6895    206.6235    5.998631  -2.749 2.783e+05  27.00     0.101178   3.5     6.100154   4.5 K88  
   206.8938    206.8277    5.992710  -2.880 2.568e+05  27.00     0.513659   3.5     6.506713   3.5 K88  
   206.9658    206.8997    5.990626  -1.146 1.391e+07  27.00     0.000000   4.5     5.990970   3.5 K88  
   207.0577    206.9916    5.987966  -2.639 8.931e+05  27.00     0.224343   1.5     6.212653   1.5 K88  
   207.2870    207.2209    5.981342  -4.123 1.949e+04  27.00     0.922803   3.5     6.904489   2.5 K88  
   207.3944    207.3282    5.978246  -1.638 4.461e+06  27.00     0.000000   4.5     5.978589   3.5 K88  
   207.8131    207.7469    5.966198  -3.687 5.292e+04  27.00     0.629365   1.5     6.595906   2.5 K88  
   207.8745    207.8083    5.964437  -1.614 6.257e+06  27.00     0.581547   2.5     6.546327   2.5 K88  
   207.9988    207.9325    5.960874  -2.649 4.324e+05  27.00     0.174438   2.5     6.135654   3.5 K88  
   208.0457    207.9794    5.959530  -2.858 3.562e+05  27.00     0.922803   3.5     6.882676   2.5 K88  
   208.1696    208.1033    5.955982  -3.054 2.265e+05  27.00     0.224343   1.5     6.180667   2.5 K88  
   208.2775    208.2112    5.952897  -3.014 2.481e+05  27.00     0.101178   3.5     6.054417   2.5 K88  
   208.3373    208.2710    5.951188  -3.190 2.480e+05  27.00     0.629365   1.5     6.580895   1.5 K88  
   208.5706    208.5042    5.944532  -3.970 8.215e+04  27.00     0.224343   1.5     6.169216   0.5 K88  
   208.8920    208.8256    5.935385  -4.925 2.271e+03  27.00     0.922803   3.5     6.858529   3.5 K88  
   209.0011    208.9346    5.932288  -1.763 4.392e+06  27.00     0.513659   3.5     6.446288   2.5 K88  
   209.0482    208.9817    5.930950  -2.727 4.770e+05  27.00     0.581547   2.5     6.512838   2.5 K88  
   209.1701    209.1036    5.927495  -2.754 6.715e+05  27.00     0.581547   2.5     6.509383   1.5 K88  
   209.2070    209.1405    5.926449  -1.646 5.739e+06  27.00     0.101178   3.5     6.027968   2.5 K88  
   209.2643    209.1978    5.924825  -0.960 2.088e+07  27.00     0.581547   2.5     6.506713   3.5 K88  
   209.5535    209.4869    5.916650  -1.285 1.313e+07  27.00     0.513659   3.5     6.430648   2.5 K88  
   209.5545    209.4879    5.916622  -1.868 3.431e+06  27.00     0.629365   1.5     6.546327   2.5 K88  
   209.7408    209.6742    5.911364  -4.029 1.773e+04  27.00     0.922803   3.5     6.834507   3.5 K88  
   209.9615    209.8949    5.905149  -1.124 1.895e+07  27.00     0.101178   3.5     6.006666   2.5 K88  
   210.0021    209.9354    5.904011  -2.727 7.090e+05  27.00     0.174438   2.5     6.078787   1.5 K88  
   210.5212    210.4544    5.889453  -2.889 2.429e+05  27.00     0.101178   3.5     5.990970   3.5 K88  
   210.5711    210.5043    5.888057  -4.070 1.600e+04  27.00     0.922803   3.5     6.811199   3.5 K88  
   210.6972    210.6304    5.884534  -4.597 6.334e+03  27.00     1.049077   2.5     6.933949   2.5 K88  
   210.7472    210.6804    5.883135  -0.757 4.380e+07  27.00     0.629365   1.5     6.512838   2.5 K88  
   210.8296    210.7628    5.880836  -3.998 1.508e+04  27.00     0.922803   3.5     6.803978   4.5 K88  
