Number of lines in output :  13215
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.1257    200.0609    6.195378  -0.627 7.862e+07  24.00     1.003746   3.0     7.199479   2.0 K88  
   200.4206    200.3557    6.186263  -2.725 4.468e+05  24.00     1.030077   4.0     7.216696   3.0 K88  
   200.5603    200.4954    6.181954  -1.650 4.125e+06  24.00     1.030077   4.0     7.212386   4.0 K88  
   200.6413    200.5764    6.179458  -0.761 4.104e+07  24.00     1.030077   4.0     7.209890   3.0 K88  
   200.7530    200.6881    6.176020  -4.717 4.536e+03  24.00     0.000000   3.0     6.176374   3.0 K88  
   201.4929    201.4278    6.153343  -2.033 2.175e+06  24.00     0.982947   2.0     7.136644   3.0 K88  
   201.6207    201.5556    6.149440  -4.893 4.198e+03  24.00     0.000000   3.0     6.149793   2.0 K88  
   202.0523    201.9871    6.136306  -1.552 5.093e+06  24.00     1.003746   3.0     7.140404   4.0 K88  
   202.1762    202.1110    6.132546  -2.766 3.995e+05  24.00     1.003746   3.0     7.136644   3.0 K88  
   202.3888    202.3236    6.126102  -3.275 1.729e+05  24.00     0.968484   1.0     7.094937   2.0 K88  
   202.4505    202.3853    6.124235  -2.569 3.991e+05  24.00     1.030077   4.0     7.154663   5.0 K88  
   202.6386    202.5733    6.118551  -1.834 3.401e+06  24.00     0.982947   2.0     7.101850   3.0 K88  
   202.6514    202.5861    6.118166  -1.099 4.310e+07  24.00     0.961039   0.0     7.079556   1.0 K88  
   202.6599    202.5946    6.117909  -3.874 2.171e+05  24.00     0.968484   1.0     7.086744   0.0 K88  
   202.7502    202.6849    6.115181  -3.994 5.484e+04  24.00     0.968484   1.0     7.084016   1.0 K88  
   202.8677    202.8024    6.111639  -3.110 2.516e+05  24.00     0.982947   2.0     7.094937   2.0 K88  
   202.8816    202.8163    6.111222  -0.788 5.280e+07  24.00     0.968484   1.0     7.080057   2.0 K88  
   202.8982    202.8329    6.110722  -1.158 3.754e+07  24.00     0.968484   1.0     7.079556   1.0 K88  
   202.9229    202.8576    6.109976  -3.892 2.308e+04  24.00     1.030077   4.0     7.140404   4.0 K88  
   203.0080    202.9427    6.107415  -0.601 5.794e+07  24.00     0.982947   2.0     7.090713   3.0 K88  
   203.0859    203.0205    6.105075  -1.411 6.975e+06  24.00     1.003746   3.0     7.109172   4.0 K88  
   203.1927    203.1273    6.101867  -2.719 4.408e+05  24.00     0.982947   2.0     7.085164   3.0 K88  
   203.2309    203.1655    6.100718  -3.516 1.641e+05  24.00     0.982947   2.0     7.084016   1.0 K88  
   203.3297    203.2643    6.097754  -2.115 1.769e+06  24.00     1.003746   3.0     7.101850   3.0 K88  
   203.3629    203.2975    6.096760  -1.052 2.862e+07  24.00     0.982947   2.0     7.080057   2.0 K88  
   203.3796    203.3142    6.096259  -2.132 3.966e+06  24.00     0.982947   2.0     7.079556   1.0 K88  
   203.4165    203.3511    6.095153  -4.256 1.788e+04  24.00     0.982947   2.0     7.078450   2.0 K88  
   203.4907    203.4253    6.092928  -0.474 6.009e+07  24.00     1.003746   3.0     7.097024   4.0 K88  
   203.5604    203.4950    6.090842  -3.705 6.350e+04  24.00     1.003746   3.0     7.094937   2.0 K88  
   203.7018    203.6363    6.086618  -1.155 1.607e+07  24.00     1.003746   3.0     7.090713   3.0 K88  
   203.8395    203.7740    6.082503  -2.962 2.503e+05  24.00     0.982947   2.0     7.065799   3.0 K88  
   203.8876    203.8221    6.081069  -3.449 8.152e+04  24.00     1.003746   3.0     7.085164   3.0 K88  
   203.9655    203.9000    6.078746  -2.050 1.588e+06  24.00     1.030077   4.0     7.109172   4.0 K88  
   203.9980    203.9325    6.077777  -0.295 7.387e+07  24.00     1.030077   4.0     7.108203   5.0 K88  
   204.0589    203.9934    6.075962  -2.266 1.736e+06  24.00     1.003746   3.0     7.080057   2.0 K88  
   204.1129    204.0474    6.074355  -3.806 5.005e+04  24.00     1.003746   3.0     7.078450   2.0 K88  
   204.1163    204.0508    6.074255  -4.207 9.940e+04  24.00     0.968484   1.0     7.043087   0.0 K88  
   204.2115    204.1459    6.071424  -3.342 1.040e+05  24.00     1.030077   4.0     7.101850   3.0 K88  
   204.3386    204.2730    6.067648  -2.345 8.020e+05  24.00     1.003746   3.0     7.071742   4.0 K88  
   204.3739    204.3083    6.066599  -1.454 6.238e+06  24.00     1.030077   4.0     7.097024   4.0 K88  
   204.5389    204.4733    6.061705  -4.051 2.025e+04  24.00     1.003746   3.0     7.065799   3.0 K88  
   204.5867    204.5211    6.060288  -2.829 3.375e+05  24.00     1.030077   4.0     7.090713   3.0 K88  
   204.9385    204.8728    6.049886  -4.229 3.124e+04  24.00     0.982947   2.0     7.033180   1.0 K88  
   204.9976    204.9319    6.048141  -4.908 3.923e+03  24.00     0.968484   1.0     7.016972   2.0 K88  
   204.9992    204.9335    6.048094  -1.719 2.756e+06  24.00     1.030077   4.0     7.078518   5.0 K88  
   205.2291    205.1634    6.041318  -3.566 4.780e+04  24.00     1.030077   4.0     7.071742   4.0 K88  
   205.4890    205.4232    6.033678  -4.251 1.772e+04  24.00     0.982947   2.0     7.016972   2.0 K88  
   206.1215    206.0556    6.015164  -3.890 2.889e+04  24.00     0.000000   3.0     6.015509   3.0 K88  
   206.1997    206.1338    6.012881  -4.143 2.257e+04  24.00     1.003746   3.0     7.016972   2.0 K88  
   206.8496    206.7836    5.993989  -4.208 1.931e+04  24.00     0.968484   1.0     6.962817   2.0 K88  
   207.1151    207.0490    5.986307  -3.629 5.219e+04  24.00     0.982947   2.0     6.969598   3.0 K88  
   207.3499    207.2838    5.979526  -4.462 1.071e+04  24.00     0.982947   2.0     6.962817   2.0 K88  
   207.5363    207.4701    5.974158  -3.312 8.389e+04  24.00     1.003746   3.0     6.978247   4.0 K88  
   207.8371    207.7709    5.965510  -4.138 1.605e+04  24.00     1.003746   3.0     6.969598   3.0 K88  
   208.0980    208.0317    5.958032  -3.244 7.984e+04  24.00     1.030077   4.0     6.988451   5.0 K88  
   208.4440    208.3776    5.948143  -4.968 2.361e+03  24.00     0.000000   3.0     5.948485   3.0 K88  
   208.4550    208.3886    5.947828  -4.175 1.140e+04  24.00     1.030077   4.0     6.978247   4.0 K88  
   208.8532    208.7868    5.936486  -4.184 2.002e+04  24.00     0.941495   2.0     6.878322   2.0 K88  
   208.9494    208.8829    5.933755  -3.878 2.890e+04  24.00     0.941495   2.0     6.875591   3.0 K88  
   209.5598    209.4932    5.916471  -2.160 1.168e+06  24.00     0.000000   3.0     5.916811   4.0 MFW  
   209.6059    209.5393    5.915171  -2.290 1.112e+06  24.00     0.000000   3.0     5.915510   3.0 MFW  
   209.6549    209.5883    5.913788  -2.430 1.128e+06  24.00     0.000000   3.0     5.914128   2.0 MFW  
   209.8070    209.7404    5.909499  -4.218 1.834e+04  24.00     0.968484   1.0     6.878322   2.0 K88  
   210.2631    210.1964    5.896682  -3.615 7.322e+04  24.00     0.941495   2.0     6.838516   2.0 K88  
   210.3217    210.2550    5.895037  -4.117 2.303e+04  24.00     0.982947   2.0     6.878322   2.0 K88  
