Number of lines in output :  20546
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.0754    200.0106    6.196936  -1.813 4.272e+06  24.01     6.805700   3.5    13.002992   2.5 K88  
   200.0776    200.0128    6.196868  -4.558 1.153e+04  24.01     3.757897   1.5     9.955121   1.5 K88  
   200.1070    200.0422    6.195958  -1.429 5.169e+06  24.01     8.353272   5.5    14.549586   5.5 K88  
   200.1072    200.0424    6.195949  -3.000 2.082e+05  24.01     8.309002   2.5    14.505307   3.5 K88  
   200.1374    200.0726    6.195016  -3.044 1.881e+05  24.01     4.415065   3.5    10.610436   3.5 K88  
   200.1488    200.0840    6.194662  -1.324 9.870e+06  24.01     4.415418   4.5    10.610436   3.5 K88  
   200.1585    200.0937    6.194361  -4.481 9.167e+03  24.01     8.273628   2.5    14.468345   2.5 K88  
   200.1749    200.1101    6.193855  -1.565 1.133e+07  24.01     8.184797   1.5    14.379008   1.5 K88  
   200.2027    200.1379    6.192996  -3.086 3.413e+05  24.01     3.104203   0.5     9.297555   1.5 K88  
   200.2324    200.1676    6.192077  -2.444 1.496e+06  24.01     3.105122   1.5     9.297555   1.5 K88  
   200.2418    200.1770    6.191786  -4.245 2.366e+04  24.01     5.871598   2.5    12.063740   1.5 K88  
   200.2482    200.1834    6.191587  -2.551 1.169e+06  24.01     3.105612   2.5     9.297555   1.5 K88  
   200.2672    200.2023    6.191003  -0.721 1.581e+08  24.01     8.184797   1.5    14.376156   0.5 K88  
   200.2801    200.2152    6.190603  -4.552 7.775e+03  24.01     2.482828   3.5     8.673787   2.5 K88  
   200.2819    200.2170    6.190550  -2.425 7.812e+05  24.01     8.348894   3.5    14.539799   3.5 K88  
   200.3228    200.2579    6.189285  -3.693 4.213e+04  24.01     8.350159   2.5    14.539799   3.5 K88  
   200.3304    200.2655    6.189049  -4.220 1.252e+04  24.01     6.773170   2.5    12.962575   3.5 K88  
   200.3407    200.2758    6.188732  -1.899 2.621e+06  24.01     2.543343   2.5     8.732430   3.5 K88  
   200.3599    200.2950    6.188137  -3.959 2.283e+04  24.01     8.351307   4.5    14.539799   3.5 K88  
   200.3638    200.2989    6.188017  -1.025 1.961e+07  24.01     2.544058   3.5     8.732430   3.5 K88  
   200.3698    200.3049    6.187831  -1.316 1.003e+07  24.01     2.544244   4.5     8.732430   3.5 K88  
   200.4068    200.3419    6.186690  -4.075 3.493e+04  24.01     8.227505   1.5    14.414551   1.5 K88  
   200.4256    200.3607    6.186110  -1.837 2.014e+06  24.01     8.363121   4.5    14.549586   5.5 K88  
   200.4540    200.3891    6.185233  -0.713 2.679e+07  24.01     2.543348   5.5     8.728936   5.5 K88  
   200.4609    200.3960    6.185019  -1.070 7.064e+07  24.01     3.104203   0.5     9.289577   0.5 K88  
   200.4622    200.3973    6.184980  -3.646 9.376e+04  24.01     6.869032   1.5    13.054367   1.5 K88  
   200.4632    200.3983    6.184949  -3.263 1.510e+05  24.01     8.350159   2.5    14.535463   2.5 K88  
   200.4727    200.4078    6.184654  -1.412 6.427e+06  24.01     2.543348   5.5     8.728357   4.5 K88  
   200.4734    200.4085    6.184634  -3.031 1.545e+05  24.01     6.792868   3.5    12.977857   4.5 K88  
   200.4830    200.4181    6.184337  -4.351 9.244e+03  24.01     2.482828   3.5     8.667520   3.5 K88  
   200.4830    200.4181    6.184337  -1.975 1.465e+06  24.01     2.544244   4.5     8.728936   5.5 K88  
   200.4907    200.4258    6.184100  -0.949 9.331e+07  24.01     3.105122   1.5     9.289577   0.5 K88  
