Number of lines in output :  383
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   202.4977    202.4325    6.122805  -0.960 8.918e+07  29.00     0.000000   0.5     6.123157   0.5 CORL 
   202.4990    202.4338    6.122767  -0.660 8.897e+07  29.00     0.000000   0.5     6.123118   1.5 CORL 
   213.9214    213.8540    5.795841  -1.744 6.570e+06  29.00     1.389035   2.5     7.185209   1.5 BIEL 
   216.5776    216.5096    5.724760  -0.783 5.859e+07  29.00     0.000000   0.5     5.725089   1.5 BIEL 
   217.9632    217.8949    5.688367  -0.572 9.404e+07  29.00     0.000000   0.5     5.688693   1.5 BIEL 
   218.2405    218.1722    5.681137  -0.797 1.117e+08  29.00     0.000000   0.5     5.681463   0.5 BIEL 
   220.0273    219.9586    5.635004  -1.126 1.718e+07  29.00     1.389035   2.5     7.024362   2.5 BIEL 
   220.0441    219.9754    5.634573  -0.040 3.141e+08  29.00     1.642334   1.5     7.277230   1.5 CORL 
   221.5272    221.4582    5.596848  -1.542 9.755e+06  29.00     1.389035   2.5     6.986205   1.5 BIEL 
   222.6397    222.5705    5.568882  -1.147 4.796e+07  29.00     0.000000   0.5     5.569201   0.5 BIEL 
   222.8469    222.7776    5.563705  -1.074 1.888e+07  29.00     1.642334   1.5     7.206358   2.5 BIEL 
   223.0779    223.0086    5.557943  -1.164 1.148e+07  29.00     1.389035   2.5     6.947297   3.5 BIEL 
   224.4963    224.4267    5.522826  -2.158 2.300e+06  29.00     0.000000   0.5     5.523144   1.5 BIEL 
   229.4552    229.3845    5.403471  -1.540 9.134e+06  29.00     1.389035   2.5     6.792816   1.5 BIEL 
   244.2376    244.1636    5.076426  -2.440 2.030e+06  29.00     0.000000   0.5     5.076718   0.5 CORL 
   249.2896    249.2144    4.973551  -1.943 3.060e+06  29.00     0.000000   0.5     4.973836   1.5 BIEL 
   261.9146    261.8364    4.733812  -0.899 3.067e+07  29.00     1.389035   2.5     6.123118   1.5 BIEL 
   262.7473    262.6690    4.718808  -1.100 1.919e+07  29.00     5.076718   0.5     9.795797   1.5 CORL 
   263.0752    262.9968    4.712927  -1.050 1.432e+07  29.00     4.838023   2.5     9.551220   2.5 CORL 
   263.5716    263.4931    4.704051  -1.010 2.346e+07  29.00     4.838023   2.5     9.542343   1.5 CORL 
   264.6097    264.5309    4.685597  -1.470 5.380e+06  29.00     4.973836   1.5     9.659702   2.5 CORL 
   265.0628    264.9839    4.677588  -1.310 1.162e+07  29.00     4.973836   1.5     9.651692   1.5 CORL 
   276.7206    276.6389    4.480527  -1.356 9.594e+06  29.00     1.642334   1.5     6.123118   1.5 BIEL 
   282.5196    282.4365    4.388561  -1.250 7.832e+06  29.00     1.389035   2.5     5.777847   2.5 BIEL 
   284.7329    284.6492    4.354448  -1.970 4.408e+06  29.00     5.076718   0.5     9.431416   0.5 CORL 
   285.9063    285.8223    4.336576  -1.180 6.739e+06  29.00     4.838023   2.5     9.174848   3.5 CORL 
   285.9571    285.8731    4.335805  -3.465 6.990e+04  29.00     1.389035   2.5     5.725089   1.5 BIEL 
   288.3777    288.2931    4.299412  -2.047 1.799e+06  29.00     1.389035   2.5     5.688693   1.5 BIEL 
   289.1675    289.0827    4.287668  -1.060 8.684e+06  29.00     5.506047   2.5     9.793962   3.5 CORL 
   289.2485    289.1637    4.286468  -1.110 1.031e+07  29.00     5.523144   1.5     9.809857   2.5 CORL 
   293.2562    293.1704    4.227889  -2.160 1.341e+06  29.00     5.076718   0.5     9.304849   1.5 CORL 
   293.3920    293.3062    4.225931  -1.900 1.219e+06  29.00     4.838023   2.5     9.064196   3.5 CORL 
   296.2027    296.1162    4.185830  -1.403 3.757e+06  29.00     1.389035   2.5     5.575105   3.5 BIEL 
   297.9156    297.8287    4.161763  -0.920 9.035e+06  29.00     5.395406   3.5     9.557409   4.5 CORL 
   298.0249    297.9379    4.160238  -0.990 9.606e+06  29.00     5.395406   3.5     9.555883   3.5 CORL 
   299.8238    299.7364    4.135276  -2.028 1.159e+06  29.00     1.642334   1.5     5.777847   2.5 BIEL 
   299.9257    299.8383    4.133871  -3.791 2.999e+04  29.00     1.389035   2.5     5.523144   1.5 BIEL 
   301.1712    301.0835    4.116776  -1.975 1.298e+06  29.00     1.389035   2.5     5.506047   2.5 BIEL 
   301.2894    301.2016    4.115161  -1.110 9.506e+06  29.00     4.973836   1.5     9.089234   2.5 CORL 
   301.5729    301.4851    4.111292  -1.490 3.955e+06  29.00     5.102720   3.5     9.214248   2.5 CORL 
   302.2425    302.1545    4.102184  -0.970 9.780e+06  29.00     5.072429   4.5     9.174848   3.5 CORL 
   302.3483    302.2603    4.100748  -1.160 6.310e+06  29.00     4.838023   2.5     8.939006   3.5 CORL 
   303.1139    303.0257    4.090390  -1.690 3.706e+06  29.00     4.973836   1.5     9.064461   1.5 CORL 
   303.6983    303.6099    4.082521  -1.872 2.428e+06  29.00     1.642334   1.5     5.725089   1.5 BIEL 
   304.4908    304.4022    4.071895  -1.670 1.923e+06  29.00     5.102720   3.5     9.174848   3.5 CORL 
   305.3434    305.2546    4.060525  -1.980 1.249e+06  29.00     5.153490   2.5     9.214248   2.5 CORL 
   306.4300    306.3409    4.046127  -2.059 1.550e+06  29.00     1.642334   1.5     5.688693   1.5 BIEL 
   306.9784    306.8892    4.038897  -4.248 1.999e+04  29.00     1.642334   1.5     5.681463   0.5 BIEL 
   307.4688    307.3795    4.032456  -2.895 1.498e+05  29.00     1.389035   2.5     5.421722   2.5 BIEL 
   308.9020    308.8123    4.013747  -1.130 1.295e+07  29.00     5.076718   0.5     9.090696   1.5 CORL 
   309.4884    309.3986    4.006141  -2.463 2.997e+05  29.00     1.389035   2.5     5.395406   3.5 BIEL 
   310.0818    309.9918    3.998476  -0.530 2.559e+07  29.00     4.838023   2.5     8.836728   3.5 CORL 
   311.4376    311.3473    3.981068  -1.570 2.314e+06  29.00     4.838023   2.5     8.819319   3.5 CORL 
   312.1342    312.0437    3.972184  -1.480 1.133e+07  29.00     4.973836   1.5     8.946248   0.5 CORL 
   312.7006    312.6100    3.964988  -0.350 7.617e+07  29.00     4.838023   2.5     8.803239   1.5 CORL 
   312.9599    312.8692    3.961704  -0.710 2.213e+07  29.00     4.973836   1.5     8.935768   2.5 CORL 
   314.1223    314.0313    3.947044  -0.990 1.729e+07  29.00     4.838023   2.5     8.785293   1.5 CORL 
   314.3346    314.2436    3.944377  -0.570 4.542e+07  29.00     4.973836   1.5     8.918440   1.5 CORL 
   314.7725    314.6814    3.938890  -0.830 4.979e+07  29.00     4.973836   1.5     8.912952   0.5 CORL 
   314.9253    314.8341    3.936980  -1.980 1.761e+06  29.00     5.153490   2.5     9.090696   1.5 CORL 
   315.0422    314.9510    3.935518  -1.610 2.749e+06  29.00     5.153490   2.5     9.089234   2.5 CORL 
   315.7544    315.6630    3.926642  -3.269 1.801e+05  29.00     1.642334   1.5     5.569201   0.5 BIEL 
   316.0974    316.0059    3.922380  -1.590 2.860e+06  29.00     5.153490   2.5     9.076095   2.5 CORL 
   317.0592    316.9675    3.910482  -0.690 1.693e+07  29.00     5.153490   2.5     9.064196   3.5 CORL 
   317.2567    317.1649    3.908048  -1.660 7.249e+06  29.00     5.523144   1.5     9.431416   0.5 CORL 
   319.5017    319.4094    3.880587  -2.023 1.549e+06  29.00     1.642334   1.5     5.523144   1.5 BIEL 
   320.9156    320.8229    3.863491  -2.343 4.900e+05  29.00     1.642334   1.5     5.506047   2.5 BIEL 
   322.4351    322.3420    3.845283  -0.890 2.066e+07  29.00     5.245192   1.5     9.090696   1.5 CORL 
   322.5577    322.4646    3.843821  -0.800 1.693e+07  29.00     5.245192   1.5     9.089234   2.5 CORL 
   323.2099    323.1166    3.836066  -0.630 1.871e+07  29.00     5.102720   3.5     8.939006   3.5 CORL 
   323.4828    323.3895    3.832828  -1.110 8.247e+06  29.00     5.102720   3.5     8.935768   2.5 CORL 
   323.6640    323.5706    3.830684  -0.380 4.424e+07  29.00     5.245192   1.5     9.076095   2.5 CORL 
   324.4092    324.3156    3.821884  -0.150 4.487e+07  29.00     5.102720   3.5     8.924823   4.5 CORL 
   324.8474    324.7537    3.816729  -0.062 1.370e+08  29.00     0.000000   0.5     3.816948   1.5 BIEL 
   326.9225    326.8283    3.792502  -0.670 2.224e+07  29.00     5.153490   2.5     8.946210   2.5 CORL 
   327.4898    327.3954    3.785933  -0.359 1.361e+08  29.00     0.000000   0.5     3.786150   0.5 BIEL 
   328.0757    327.9812    3.779171  -2.169 6.999e+05  29.00     1.642334   1.5     5.421722   2.5 BIEL 
   328.3655    328.2709    3.775836  -0.270 4.153e+07  29.00     5.153490   2.5     8.929542   3.5 CORL 
   328.6025    328.5079    3.773113  -1.810 1.595e+06  29.00     3.816948   1.5     7.590278   2.5 BIEM 
   328.7136    328.6189    3.771838  -1.910 1.899e+06  29.00     3.786150   0.5     7.558205   1.5 BIEM 
   329.1487    329.0539    3.766851  -0.190 3.975e+07  29.00     5.072429   4.5     8.839497   4.5 CORL 
