Number of lines in output :  1138
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   201.5412    201.4761    6.151866  -1.860 4.533e+06   9.01    29.769690   2.0    35.921909   2.0 KP   
   201.5569    201.4918    6.151386  -1.110 1.821e+07   9.01    29.769690   2.0    35.921430   3.0 KP   
   201.7858    201.7207    6.144407  -1.380 1.366e+07   9.01    29.777149   1.0    35.921909   2.0 KP   
   203.2635    203.1981    6.099739  -2.610 1.321e+06   9.01    29.449339   2.0    35.549428   1.0 KP   
   203.2807    203.2153    6.099222  -2.070 2.748e+06   9.01    29.449254   3.0    35.548826   2.0 KP   
   203.2836    203.2182    6.099136  -2.970 3.459e+05   9.01    29.449339   2.0    35.548826   2.0 KP   
   203.5367    203.4713    6.091551  -4.470 1.819e+04   9.01    29.769690   2.0    35.861591   1.0 KP   
   203.7863    203.7208    6.084092  -3.120 4.061e+05   9.01    29.777149   1.0    35.861591   1.0 KP   
   203.8964    203.8309    6.080805  -2.570 1.439e+06   9.01    29.780436   0.0    35.861591   1.0 KP   
   205.9164    205.8505    6.021153  -1.240 3.017e+07   9.01    25.753139   1.0    31.774639   1.0 KP   
   205.9290    205.8631    6.020785  -1.720 9.990e+06   9.01    25.753508   0.0    31.774639   1.0 KP   
   205.9364    205.8705    6.020568  -1.020 5.007e+07   9.01    25.753725   2.0    31.774639   1.0 KP   
   206.7060    206.6400    5.998155  -2.170 2.111e+06   9.01    29.550326   3.0    35.548826   2.0 KP   
   214.5298    214.4622    5.779406  -2.160 3.342e+06   9.01    29.769690   2.0    35.549428   1.0 KP   
   214.5522    214.4846    5.778804  -1.820 4.386e+06   9.01    29.769690   2.0    35.548826   2.0 KP   
   214.7941    214.7265    5.772293  -2.170 9.774e+06   9.01    29.777149   1.0    35.549774   0.0 KP   
   214.8069    214.7393    5.771948  -2.600 1.210e+06   9.01    29.777149   1.0    35.549428   1.0 KP   
   214.8294    214.7618    5.771345  -1.640 6.622e+06   9.01    29.777149   1.0    35.548826   2.0 KP   
   214.9293    214.8617    5.768661  -1.930 5.655e+06   9.01    29.780436   0.0    35.549428   1.0 KP   
   220.1445    220.0758    5.632003  -1.200 1.737e+07   9.01    26.269824   3.0    31.902150   2.0 KP   
   220.2466    220.1779    5.629392  -1.950 3.086e+06   9.01    26.272435   2.0    31.902150   2.0 KP   
   220.3100    220.2413    5.627771  -3.120 2.085e+05   9.01    26.274056   1.0    31.902150   2.0 KP   
   220.3610    220.2922    5.626473  -1.470 1.551e+07   9.01    26.272435   2.0    31.899231   1.0 KP   
   220.4243    220.3555    5.624852  -1.950 5.134e+06   9.01    26.274056   1.0    31.899231   1.0 KP   
   220.4946    220.4258    5.623060  -1.820 2.076e+07   9.01    26.274056   1.0    31.897438   0.0 KP   
   221.7313    221.6623    5.591697  -4.570 7.303e+03   9.01    29.156923   2.0    34.748941   2.0 KP   
   224.3341    224.2645    5.526821  -3.490 8.578e+04   9.01    31.495949   1.0    37.023087   2.0 KP   
   224.3370    224.2674    5.526750  -4.470 8.982e+03   9.01    31.496020   2.0    37.023087   2.0 KP   
   224.3376    224.2680    5.526734  -4.150 3.128e+04   9.01    31.495949   1.0    37.023001   1.0 KP   
   224.3405    224.2709    5.526663  -4.840 6.385e+03   9.01    31.496020   2.0    37.023001   1.0 KP   
   224.3424    224.2728    5.526616  -4.880 3.494e+03   9.01    31.496154   3.0    37.023087   2.0 KP   
   224.3998    224.3302    5.525203  -3.470 4.987e+04   9.01    31.496154   3.0    37.021674   4.0 KP   
   224.4125    224.3429    5.524890  -4.520 5.714e+03   9.01    31.496020   2.0    37.021228   3.0 KP   
   224.4136    224.3440    5.524862  -4.570 7.129e+03   9.01    31.495949   1.0    37.021128   2.0 KP   
   224.4165    224.3469    5.524791  -3.670 5.663e+04   9.01    31.496020   2.0    37.021128   2.0 KP   
   224.4179    224.3483    5.524756  -3.680 3.953e+04   9.01    31.496154   3.0    37.021228   3.0 KP   
   224.4220    224.3524    5.524657  -4.040 2.416e+04   9.01    31.496154   3.0    37.021128   2.0 KP   
   224.4567    224.3871    5.523802  -4.840 2.126e+03   9.01    31.496154   3.0    37.020273   4.0 KP   
   224.4573    224.3877    5.523787  -3.690 3.862e+04   9.01    31.496020   2.0    37.020124   3.0 KP   
   224.4628    224.3932    5.523653  -3.610 4.642e+04   9.01    31.496154   3.0    37.020124   3.0 KP   
   224.5462    224.4766    5.521601  -4.940 1.519e+04   9.01    31.495949   1.0    37.017867   0.0 KP   
   224.5511    224.4815    5.521481  -4.240 2.537e+04   9.01    31.496020   2.0    37.017818   1.0 KP   
   224.5588    224.4892    5.521291  -4.500 8.366e+03   9.01    31.495949   1.0    37.017557   2.0 KP   
   224.5617    224.4921    5.521220  -4.950 2.968e+03   9.01    31.496020   2.0    37.017557   2.0 KP   
   224.5627    224.4931    5.521196  -3.270 1.015e+05   9.01    31.496020   2.0    37.017533   3.0 KP   
   224.5681    224.4985    5.521062  -4.170 1.277e+04   9.01    31.496154   3.0    37.017533   3.0 KP   
   224.5837    224.5141    5.520677  -3.160 1.017e+05   9.01    31.496154   3.0    37.017148   4.0 KP   
   224.5902    224.5205    5.520522  -4.090 3.583e+04   9.01    31.495949   1.0    37.016789   1.0 KP   
   224.6002    224.5305    5.520274  -3.860 3.650e+04   9.01    31.495949   1.0    37.016541   2.0 KP   
   224.6031    224.5334    5.520204  -4.100 2.101e+04   9.01    31.496020   2.0    37.016541   2.0 KP   
   227.9955    227.9251    5.438066  -2.490 8.304e+05   9.01    26.667029   2.0    32.105407   2.0 KP   
   228.0043    227.9339    5.437856  -0.990 2.626e+07   9.01    30.537338   2.0    35.975507   2.0 KP   
