Number of lines in output :  29649
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.0773    200.0125    6.196876  -4.771 5.646e+03  26.00     0.958157   3.0     7.154971   2.0 K94  
   200.0899    200.0251    6.196486  -3.198 2.112e+05  26.00     1.011056   1.0     7.207480   2.0 K94  
   200.1318    200.0670    6.195188  -2.141 1.719e+06  26.00     0.914602   4.0     7.109728   3.0 K94  
   200.3031    200.2382    6.189894  -3.723 4.494e+04  26.00     0.087286   2.0     6.277118   3.0 K94  
   200.3068    200.2419    6.189778  -5.356 2.441e+03  26.00     0.087286   2.0     6.277002   1.0 K94  
   200.3434    200.2785    6.188649  -1.303 1.182e+07  26.00     0.958157   3.0     7.146744   3.0 K94  
   200.3480    200.2831    6.188505  -1.099 1.470e+07  26.00     0.958157   3.0     7.146600   4.0 K94  
   200.3489    200.2840    6.188478  -3.422 8.984e+04  26.00     0.958157   3.0     7.146573   3.0 K94  
   200.3824    200.3175    6.187443  -2.809 5.157e+05  26.00     0.958157   3.0     7.145538   2.0 K94  
   200.3887    200.3238    6.187249  -2.202 1.490e+06  26.00     0.958157   3.0     7.145345   3.0 K94  
   200.4255    200.3606    6.186113  -0.206 1.148e+08  26.00     0.958157   3.0     7.144208   4.0 K94  
   200.4380    200.3731    6.185726  -3.344 1.504e+05  26.00     0.958157   3.0     7.143821   2.0 K94  
   200.4519    200.3870    6.185297  -3.487 6.010e+04  26.00     0.051569   3.0     6.236805   4.0 K94  
   200.4697    200.4048    6.184749  -6.355 1.047e+02  26.00     0.087286   2.0     6.271973   3.0 K94  
   200.5948    200.5299    6.180891  -4.017 3.188e+04  26.00     0.087286   2.0     6.268115   2.0 K94  
   200.5994    200.5345    6.180747  -5.093 1.911e+03  26.00     0.000000   4.0     6.180685   3.0 K94  
   200.6230    200.5581    6.180023  -3.696 6.674e+04  26.00     1.011056   1.0     7.191016   2.0 K94  
   200.6241    200.5592    6.179986  -2.441 1.201e+06  26.00     0.958157   3.0     7.138081   2.0 K94  
   200.6532    200.5883    6.179092  -3.195 1.511e+05  26.00     0.958157   3.0     7.137188   3.0 K94  
   200.6562    200.5913    6.179000  -1.411 7.145e+06  26.00     0.858996   5.0     7.037934   4.0 K94  
   200.6886    200.6237    6.178000  -2.301 9.201e+05  26.00     0.858996   5.0     7.036934   4.0 K94  
   200.6894    200.6245    6.177975   0.317 2.643e+08  26.00     0.858996   5.0     7.036909   6.0 K94  
   200.6958    200.6309    6.177780  -0.902 2.306e+07  26.00     0.858996   5.0     7.036714   4.0 K94  
