Number of lines in output :  26635
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.1028    200.0380    6.196086  -0.002 1.658e+08  26.01     2.522046   5.5     8.718488   4.5 K88  
   200.1370    200.0722    6.195028  -1.801 6.583e+06  26.01     7.494238   1.5    13.689622   1.5 K88  
   200.1470    200.0822    6.194720  -3.216 1.688e+05  26.01     7.845378   2.5    14.040454   2.5 K88  
   200.1540    200.0892    6.194502  -1.847 5.920e+06  26.01     7.494764   2.5    13.689622   1.5 K88  
   200.1554    200.0906    6.194459  -2.149 5.907e+06  26.01     7.128744   1.5    13.323559   0.5 K88  
   200.1578    200.0930    6.194385  -1.546 7.893e+06  26.01     7.118545   2.5    13.313286   2.5 K88  
   200.1707    200.1059    6.193983  -4.177 2.769e+04  26.01     7.845378   2.5    14.039717   1.5 K88  
   200.2763    200.2114    6.190722  -3.465 7.125e+04  26.01     7.804716   3.5    13.995794   3.5 K88  
   200.3134    200.2485    6.189574  -3.255 2.310e+05  26.01     7.880904   0.5    14.070833   1.5 K88  
   200.3206    200.2557    6.189353  -1.476 1.389e+07  26.01     7.139304   0.5    13.329012   1.5 K88  
   200.3269    200.2620    6.189157  -4.275 7.353e+03  26.01     7.929174   4.5    14.118687   5.5 K88  
   200.3299    200.2650    6.189066  -4.310 1.018e+04  26.01     7.773079   2.5    13.962500   3.5 K88  
   200.3738    200.3089    6.187707  -3.041 7.558e+05  26.01     6.088156   0.5    12.276218   0.5 K88  
   200.3809    200.3160    6.187490  -4.629 1.952e+04  26.01     7.869201   1.5    14.057046   0.5 K88  
   200.3816    200.3167    6.187466  -3.212 1.020e+05  26.01     7.274180   3.5    13.462001   4.5 K88  
   200.3847    200.3198    6.187373  -1.183 5.450e+07  26.01     6.703467   0.5    12.891195   0.5 K88  
   200.4523    200.3874    6.185283  -1.797 4.415e+06  26.01     7.118545   2.5    13.304184   2.5 K88  
   200.4526    200.3877    6.185275  -3.339 9.506e+04  26.01     7.269874   4.5    13.455504   3.5 K88  
   200.4559    200.3910    6.185175  -2.010 8.111e+06  26.01     1.695373   1.5     7.880904   0.5 K88  
   200.4879    200.4230    6.184187  -1.740 5.033e+06  26.01     7.128744   1.5    13.313286   2.5 K88  
   200.4972    200.4323    6.183900  -1.713 1.606e+07  26.01     7.139304   0.5    13.323559   0.5 K88  
   200.5086    200.4437    6.183548  -4.267 1.495e+04  26.01     7.274180   3.5    13.458083   2.5 K88  
   200.5624    200.4975    6.181888  -3.667 5.949e+04  26.01     3.230679   2.5     9.412922   2.5 K88  
   200.5922    200.5273    6.180970  -3.467 7.070e+04  26.01     7.274180   3.5    13.455504   3.5 K88  
   200.5924    200.5275    6.180964  -2.818 2.100e+05  26.01     7.269874   4.5    13.451193   5.5 K88  
   200.5962    200.5313    6.180846  -4.832 2.441e+03  26.01     1.964619   4.5     8.145820   4.5 K88  
   200.6359    200.5710    6.179623  -3.993 2.105e+04  26.01     2.828315   3.5     9.008292   3.5 K88  
   200.6408    200.5759    6.179472  -2.425 6.227e+05  26.01     2.828315   3.5     9.008141   4.5 K88  
   200.6469    200.5820    6.179284  -3.689 4.238e+04  26.01     4.149592   4.5    10.329231   3.5 K88  
   200.7605    200.6956    6.175788  -4.508 2.569e+04  26.01     7.880904   0.5    14.057046   0.5 K88  
   200.7664    200.7015    6.175607  -1.151 1.948e+07  26.01     2.828315   3.5     9.004277   2.5 K88  
   200.7828    200.7179    6.175101  -3.943 2.358e+04  26.01     7.929174   4.5    14.104630   3.5 K88  
   200.7833    200.7184    6.175085  -1.300 1.382e+07  26.01     7.128744   1.5    13.304184   2.5 K88  
   200.7871    200.7222    6.174971  -2.242 1.185e+06  26.01     4.153906   3.5    10.329231   3.5 K88  
   200.8090    200.7441    6.174297  -1.347 1.240e+07  26.01     1.670727   2.5     7.845378   2.5 K88  
   200.8249    200.7600    6.173807  -2.328 7.771e+05  26.01     7.473074   3.5    13.647235   4.5 K88  
   200.8357    200.7708    6.173474  -1.181 2.725e+07  26.01     1.695373   1.5     7.869201   1.5 K88  
   200.8419    200.7769    6.173287  -2.897 1.048e+06  26.01     7.128744   1.5    13.302386   0.5 K88  
   200.8597    200.7947    6.172741  -1.869 2.794e+06  26.01     7.118545   2.5    13.291640   3.5 K88  
   200.8613    200.7963    6.172691  -2.649 6.183e+05  26.01     5.569132   3.5    11.742177   2.5 K88  
   200.9197    200.8547    6.170898  -3.326 1.300e+05  26.01     7.869201   1.5    14.040454   2.5 K88  
   200.9198    200.8548    6.170893  -2.820 4.168e+05  26.01     5.570930   2.5    11.742177   2.5 K88  
   200.9214    200.8564    6.170844  -4.143 1.981e+04  26.01     6.729775   2.5    12.900973   2.5 K88  
   200.9241    200.8591    6.170761  -4.265 1.496e+04  26.01     5.569132   3.5    11.740247   2.5 K88  
   200.9436    200.8786    6.170162  -4.230 2.432e+04  26.01     7.869201   1.5    14.039717   1.5 K88  
   200.9447    200.8797    6.170128  -2.448 7.360e+05  26.01     7.489441   2.5    13.659923   3.5 K88  
   200.9523    200.8873    6.169896  -3.535 6.024e+04  26.01     7.539644   4.5    13.709895   3.5 K88  
   200.9681    200.9031    6.169410  -2.636 9.546e+05  26.01     2.778655   0.5     8.948419   1.5 K88  
   200.9827    200.9177    6.168963  -4.760 4.783e+03  26.01     5.570930   2.5    11.740247   2.5 K88  
   200.9862    200.9212    6.168854  -2.432 7.633e+05  26.01     7.118545   2.5    13.287753   3.5 K88  
   200.9938    200.9288    6.168620  -1.346 1.241e+07  26.01     7.118545   2.5    13.287519   2.5 K88  
   201.0162    200.9512    6.167935  -2.685 4.262e+05  26.01     6.729775   2.5    12.898064   3.5 K88  
   201.0188    200.9538    6.167853  -3.893 3.520e+04  26.01     7.473074   3.5    13.641281   2.5 K88  
   201.0641    200.9991    6.166464  -0.748 2.456e+07  26.01     1.964619   4.5     8.131437   5.5 K88  
   201.0797    201.0147    6.165985  -4.760 3.583e+03  26.01     6.484735   2.5    12.651074   3.5 K88  
   201.1347    201.0697    6.164300  -0.190 1.331e+08  26.01     2.579761   4.5     8.744415   3.5 K88  
