Number of lines in output : 210
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   234.0871    234.0154    5.297180  -3.888 7.877e+04   3.00     0.000000   0.5     5.296856   0.5 LN   
   234.0871    234.0154    5.297180  -3.588 7.858e+04   3.00     0.000000   0.5     5.296856   1.5 LN   
   234.9122    234.8403    5.278575  -3.634 1.404e+05   3.00     0.000000   0.5     5.278252   0.5 LN   
   234.9122    234.8403    5.278575  -3.334 1.400e+05   3.00     0.000000   0.5     5.278252   1.5 LN   
   235.9650    235.8929    5.255023  -3.241 1.719e+05   3.00     0.000000   0.5     5.254701   1.5 LN   
   235.9650    235.8929    5.255023  -3.541 1.723e+05   3.00     0.000000   0.5     5.254701   0.5 LN   
   237.4267    237.3542    5.222672  -3.519 1.791e+05   3.00     0.000000   0.5     5.222352   0.5 LN   
   237.4267    237.3542    5.222672  -3.219 1.787e+05   3.00     0.000000   0.5     5.222352   1.5 LN   
   239.5116    239.4387    5.177209  -3.354 2.573e+05   3.00     0.000000   0.5     5.176891   0.5 LN   
   239.5116    239.4387    5.177209  -3.054 2.567e+05   3.00     0.000000   0.5     5.176891   1.5 LN   
   242.6149    242.5413    5.110987  -3.201 3.567e+05   3.00     0.000000   0.5     5.110673   0.5 LN   
   242.6149    242.5413    5.110987  -2.901 3.558e+05   3.00     0.000000   0.5     5.110673   1.5 LN   
   247.5780    247.5032    5.008530  -3.014 5.268e+05   3.00     0.000000   0.5     5.008222   0.5 LN   
   247.5780    247.5032    5.008530  -2.714 5.256e+05   3.00     0.000000   0.5     5.008222   1.5 LN   
   256.3070    256.2302    4.837955  -2.803 7.991e+05   3.00     0.000000   0.5     4.837658   0.5 LN   
   256.3070    256.2302    4.837955  -2.503 7.972e+05   3.00     0.000000   0.5     4.837658   1.5 LN   
   274.1996    274.1185    4.522259  -2.582 1.161e+06   3.00     0.000000   0.5     4.521983   0.5 LN   
   274.1996    274.1185    4.522259  -2.282 1.159e+06   3.00     0.000000   0.5     4.521983   1.5 LN   
   323.3564    323.2631    3.834783  -2.253 8.906e+05   3.00     0.000000   0.5     3.834548   1.5 LN   
   323.3564    323.2631    3.834783  -2.553 8.928e+05   3.00     0.000000   0.5     3.834548   0.5 LN   
   367.2658    367.1612    3.376306  -1.950 1.387e+06   3.00     1.847942   0.5     5.224041   1.5 LN   
   367.2704    367.1658    3.376264  -1.650 2.768e+06   3.00     1.847984   1.5     5.224041   1.5 LN   
   367.2704    367.1658    3.376264  -1.690 1.683e+06   3.00     1.847984   1.5     5.224041   2.5 LN   
   372.1880    372.0822    3.331654  -1.779 2.002e+06   3.00     1.847942   0.5     5.179391   1.5 LN   
   372.1927    372.0869    3.331612  -2.479 3.995e+05   3.00     1.847984   1.5     5.179391   1.5 LN   
   372.1927    372.0869    3.331612  -1.519 2.429e+06   3.00     1.847984   1.5     5.179391   2.5 LN   
   374.7596    374.6531    3.308792  -2.860 3.278e+05   3.00     1.847942   0.5     5.156532   0.5 LN   
   374.7643    374.6578    3.308751  -2.560 6.540e+05   3.00     1.847984   1.5     5.156532   0.5 LN   
   379.6084    379.5006    3.266529  -1.581 3.037e+06   3.00     1.847942   0.5     5.114270   1.5 LN   
   379.6133    379.5055    3.266487  -2.281 6.059e+05   3.00     1.847984   1.5     5.114270   1.5 LN   
   379.6133    379.5055    3.266487  -1.321 3.684e+06   3.00     1.847984   1.5     5.114270   2.5 LN   
   383.6660    383.5572    3.231982  -2.653 5.037e+05   3.00     1.847942   0.5     5.079726   0.5 LN   
   383.6709    383.5621    3.231941  -2.353 1.005e+06   3.00     1.847984   1.5     5.079726   0.5 LN   
   391.6404    391.5295    3.166174  -1.341 4.958e+06   3.00     1.847942   0.5     5.013922   1.5 LN   
   391.6455    391.5346    3.166133  -1.081 6.014e+06   3.00     1.847984   1.5     5.013923   2.5 LN   
   391.6456    391.5347    3.166132  -2.041 9.892e+05   3.00     1.847984   1.5     5.013922   1.5 LN   
   398.6612    398.5485    3.110415  -2.400 8.354e+05   3.00     1.847942   0.5     4.958166   0.5 LN   
   398.6665    398.5538    3.110373  -2.100 1.667e+06   3.00     1.847984   1.5     4.958166   0.5 LN   
   413.3728    413.2562    2.999718  -1.037 8.962e+06   3.00     1.847942   0.5     4.847477   1.5 LN   
   413.3784    413.2618    2.999677  -0.777 1.087e+07   3.00     1.847984   1.5     4.847477   2.5 LN   
   413.3785    413.2619    2.999677  -1.737 1.788e+06   3.00     1.847984   1.5     4.847477   1.5 LN   
   427.4268    427.3065    2.901086  -2.074 1.539e+06   3.00     1.847942   0.5     4.748850   0.5 LN   
   427.4330    427.3127    2.901044  -1.774 3.072e+06   3.00     1.847984   1.5     4.748850   0.5 LN   
   460.4115    460.2826    2.693246  -0.613 1.918e+07   3.00     1.847942   0.5     4.541024   1.5 LN   
   460.4184    460.2894    2.693207  -0.353 2.326e+07   3.00     1.847984   1.5     4.541025   2.5 LN   
   460.4187    460.2897    2.693205  -1.313 3.826e+06   3.00     1.847984   1.5     4.541024   1.5 LN   
   497.3048    497.1661    2.493444  -1.600 3.387e+06   3.00     1.847942   0.5     4.341233   0.5 LN   
   497.3131    497.1744    2.493402  -1.300 6.758e+06   3.00     1.847984   1.5     4.341233   0.5 LN   
   610.5228    610.3538    2.031049   0.101 5.645e+07   3.00     1.847942   0.5     3.878867   1.5 LN   
   610.5339    610.3649    2.031012   0.361 6.848e+07   3.00     1.847984   1.5     3.878871   2.5 LN   
   610.5354    610.3664    2.031007  -0.599 1.126e+07   3.00     1.847984   1.5     3.878867   1.5 LN   
   644.6190    644.4409    1.923620  -3.914 9.783e+03   3.00     3.373354   0.5     5.296856   0.5 LN   
   644.6190    644.4409    1.923620  -3.614 9.760e+03   3.00     3.373354   0.5     5.296856   1.5 LN   
   650.9145    650.7347    1.905015  -3.593 2.009e+04   3.00     3.373354   0.5     5.278252   0.5 LN   
   650.9145    650.7347    1.905015  -3.293 2.005e+04   3.00     3.373354   0.5     5.278252   1.5 LN   
   659.0629    658.8809    1.881462  -3.369 1.641e+04   3.00     3.373354   0.5     5.254701   1.5 LN   
   659.0629    658.8809    1.881462  -3.669 1.645e+04   3.00     3.373354   0.5     5.254701   0.5 LN   
   670.5932    670.4081    1.849112  -3.561 2.038e+04   3.00     3.373354   0.5     5.222352   0.5 LN   
   670.5932    670.4081    1.849112  -3.261 2.033e+04   3.00     3.373354   0.5     5.222352   1.5 LN   
   670.9601    670.7749    1.848101   0.002 3.721e+07   3.00     0.000004   0.5     1.847983   1.5 NBS  
   670.9601    670.7749    1.848101   0.002 3.721e+07   3.00     0.000004   0.5     1.847983   1.5 NBS  
   670.9601    670.7749    1.848101   0.002 3.721e+07   3.00     0.000004   0.5     1.847983   1.5 NBS  
   670.9625    670.7773    1.848094   0.002 3.721e+07   3.00     0.000002   0.5     1.847983   1.5 NBS  
   670.9625    670.7773    1.848094   0.002 3.721e+07   3.00     0.000002   0.5     1.847983   1.5 NBS  
   670.9625    670.7773    1.848094   0.002 3.721e+07   3.00     0.000002   0.5     1.847983   1.5 NBS  
   670.9751    670.7899    1.848059  -0.299 3.721e+07   3.00     0.000004   0.5     1.847942   0.5 NBS  
   670.9752    670.7900    1.848059  -0.299 3.721e+07   3.00     0.000004   0.5     1.847941   0.5 NBS  
   670.9770    670.7918    1.848054   0.002 3.721e+07   3.00     0.000001   0.5     1.847939   1.5 NBS  
   670.9770    670.7918    1.848054   0.002 3.721e+07   3.00     0.000001   0.5     1.847939   1.5 NBS  
   670.9775    670.7923    1.848053  -0.299 3.721e+07   3.00     0.000002   0.5     1.847942   0.5 NBS  
   670.9776    670.7924    1.848052   0.002 3.721e+07   3.00     0.000000   0.5     1.847939   1.5 NBS  
   670.9776    670.7924    1.848052   0.002 3.721e+07   3.00     0.000000   0.5     1.847939   1.5 NBS  
   670.9776    670.7924    1.848052   0.002 3.721e+07   3.00     0.000000   0.5     1.847939   1.5 NBS  
   670.9777    670.7925    1.848052  -0.299 3.721e+07   3.00     0.000002   0.5     1.847941   0.5 NBS  
   670.9921    670.8069    1.848012  -0.299 3.721e+07   3.00     0.000001   0.5     1.847898   0.5 NBS  
   670.9922    670.8070    1.848012  -0.299 3.721e+07   3.00     0.000001   0.5     1.847898   0.5 NBS  
   670.9926    670.8074    1.848011  -0.299 3.721e+07   3.00     0.000000   0.5     1.847898   0.5 NBS  
   670.9927    670.8075    1.848011  -0.299 3.721e+07   3.00     0.000000   0.5     1.847898   0.5 NBS  
   687.4964    687.3068    1.803648  -3.399 2.815e+04   3.00     3.373354   0.5     5.176891   0.5 LN   
   687.4964    687.3068    1.803648  -3.099 2.809e+04   3.00     3.373354   0.5     5.176891   1.5 LN   
   713.7005    713.5038    1.737426  -3.277 3.460e+04   3.00     3.373354   0.5     5.110673   0.5 LN   
   713.7005    713.5038    1.737426  -2.977 3.452e+04   3.00     3.373354   0.5     5.110673   1.5 LN   
   758.4255    758.2168    1.634968  -3.140 4.200e+04   3.00     3.373354   0.5     5.008222   0.5 LN   
   758.4255    758.2168    1.634968  -2.840 4.190e+04   3.00     3.373354   0.5     5.008222   1.5 LN   
   812.8465    812.6231    1.525505  -0.665 1.092e+07   3.00     1.847942   0.5     3.373354   0.5 LN   
   812.8686    812.6452    1.525464  -0.365 2.178e+07   3.00     1.847984   1.5     3.373354   0.5 LN   
   846.7680    846.5354    1.464394  -2.783 3.833e+04   3.00     3.373354   0.5     4.837658   1.5 LN   
   846.7680    846.5354    1.464394  -3.083 3.842e+04   3.00     3.373354   0.5     4.837658   0.5 LN   
   874.4254    874.1853    1.418076  -4.235 1.269e+03   3.00     3.878867   1.5     5.296856   1.5 LN   
   874.4254    874.1853    1.418076  -3.535 1.272e+04   3.00     3.878867   1.5     5.296856   0.5 LN   
   874.4284    874.1883    1.418071  -3.275 1.158e+04   3.00     3.878871   2.5     5.296856   1.5 LN   
   886.0503    885.8071    1.399471  -4.036 1.955e+03   3.00     3.878867   1.5     5.278252   1.5 LN   
   886.0503    885.8071    1.399471  -3.336 1.960e+04   3.00     3.878867   1.5     5.278252   0.5 LN   
   886.0533    885.8101    1.399466  -3.076 1.783e+04   3.00     3.878871   2.5     5.278252   1.5 LN   
   892.3585    892.1136    1.389578  -2.353 9.289e+04   3.00     3.834548   1.5     5.224041   1.5 LN   
   892.3585    892.1136    1.389578  -1.393 5.648e+05   3.00     3.834548   1.5     5.224041   2.5 LN   
   892.3585    892.1136    1.389578  -1.653 4.656e+05   3.00     3.834548   0.5     5.224041   1.5 LN   
   901.2174    900.9701    1.375919  -3.954 2.282e+03   3.00     3.878867   1.5     5.254701   1.5 LN   
   901.2174    900.9701    1.375919  -3.254 2.288e+04   3.00     3.878867   1.5     5.254701   0.5 LN   
   901.2206    900.9733    1.375914  -2.994 2.082e+04   3.00     3.878871   2.5     5.254701   1.5 LN   
   921.7124    921.4595    1.345324  -1.442 4.729e+05   3.00     3.878867   1.5     5.224108   2.5 LN   
   921.7158    921.4629    1.345319  -1.282 5.127e+05   3.00     3.878871   2.5     5.224108   3.5 LN   
   921.7158    921.4629    1.345319  -2.582 3.426e+04   3.00     3.878871   2.5     5.224108   2.5 LN   
   921.9855    921.7325    1.344925  -2.167 1.335e+05   3.00     3.834548   1.5     5.179391   1.5 LN   
   921.9855    921.7325    1.344925  -1.207 8.119e+05   3.00     3.834548   1.5     5.179391   2.5 LN   
   921.9855    921.7325    1.344925  -1.467 6.693e+05   3.00     3.834548   0.5     5.179391   1.5 LN   
   922.9170    922.6638    1.343568  -3.794 3.146e+03   3.00     3.878867   1.5     5.222352   1.5 LN   
   922.9170    922.6638    1.343568  -3.094 3.153e+04   3.00     3.878867   1.5     5.222352   0.5 LN   
   922.9203    922.6671    1.343563  -2.834 2.869e+04   3.00     3.878871   2.5     5.222352   1.5 LN   
   937.9281    937.6708    1.322065  -2.319 1.819e+05   3.00     3.834548   0.5     5.156532   0.5 LN   
   937.9281    937.6708    1.322065  -2.019 3.629e+05   3.00     3.834548   1.5     5.156532   0.5 LN   
   953.3323    953.0709    1.300702  -1.238 7.071e+05   3.00     3.878867   1.5     5.179489   2.5 LN   
   953.3359    953.0745    1.300698  -2.378 5.123e+04   3.00     3.878871   2.5     5.179489   2.5 LN   
   953.3359    953.0745    1.300698  -1.078 7.666e+05   3.00     3.878871   2.5     5.179489   3.5 LN   
   955.2403    954.9783    1.298105  -2.892 4.687e+04   3.00     3.878867   1.5     5.176891   0.5 LN   
   955.2403    954.9783    1.298105  -3.592 4.676e+03   3.00     3.878867   1.5     5.176891   1.5 LN   
   955.2438    954.9818    1.298100  -2.632 4.264e+04   3.00     3.878871   2.5     5.176891   1.5 LN   
   968.9024    968.6367    1.279801  -0.985 1.226e+06   3.00     3.834548   1.5     5.114270   2.5 LN   
   968.9024    968.6367    1.279801  -1.245 1.010e+06   3.00     3.834548   0.5     5.114270   1.5 LN   
   968.9024    968.6367    1.279801  -1.945 2.016e+05   3.00     3.834548   1.5     5.114270   1.5 LN   
   995.7820    995.5091    1.245254  -2.074 2.836e+05   3.00     3.834548   0.5     5.079726   0.5 LN   
   995.7820    995.5091    1.245254  -1.774 5.659e+05   3.00     3.834548   1.5     5.079726   0.5 LN   
  1003.5534   1003.2784    1.235611  -0.990 1.130e+06   3.00     3.878867   1.5     5.114401   2.5 LN   
  1003.5574   1003.2824    1.235606  -2.130 8.183e+04   3.00     3.878871   2.5     5.114401   2.5 LN   
  1003.5574   1003.2824    1.235606  -0.830 1.224e+06   3.00     3.878871   2.5     5.114401   3.5 LN   
  1006.5911   1006.3152    1.231882  -3.362 7.151e+03   3.00     3.878867   1.5     5.110673   1.5 LN   
  1006.5911   1006.3152    1.231882  -2.662 7.168e+04   3.00     3.878867   1.5     5.110673   0.5 LN   
  1006.5950   1006.3191    1.231878  -2.402 6.522e+04   3.00     3.878871   2.5     5.110673   1.5 LN   
  1051.3421   1051.0541    1.179446  -0.706 1.979e+06   3.00     3.834548   1.5     5.013923   2.5 LN   
