Number of lines in output :  360
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   220.3368    220.2681    5.627087  -1.410 6.681e+06  12.01     8.864252   2.5    14.491662   3.5 KP   
   220.3368    220.2681    5.627087  -2.710 4.465e+05  12.01     8.864252   2.5    14.491662   2.5 KP   
   220.3411    220.2723    5.626978  -1.560 6.306e+06  12.01     8.864360   1.5    14.491662   2.5 KP   
   221.7601    221.6911    5.590971  -3.630 7.949e+04  12.01     8.655294   0.5    14.246586   1.5 KP   
   221.7697    221.7006    5.590732  -3.930 7.967e+04  12.01     8.655294   0.5    14.246347   0.5 KP   
   225.4567    225.3869    5.499301  -1.240 9.439e+06  12.01     8.864252   2.5    14.363869   3.5 KP   
   225.4567    225.3869    5.499301  -1.240 9.439e+06  12.01     8.864252   2.5    14.363869   3.5 KP   
   225.4567    225.3869    5.499301  -2.540 6.307e+05  12.01     8.864252   2.5    14.363869   2.5 KP   
   225.4567    225.3869    5.499301  -1.240 9.439e+06  12.01     8.864252   2.5    14.363869   3.5 KP   
   225.4611    225.3913    5.499193  -1.390 8.909e+06  12.01     8.864360   1.5    14.363869   2.5 KP   
   230.3695    230.2986    5.382026  -2.950 3.525e+05  12.01     8.864252   2.5    14.246586   1.5 KP   
   230.3741    230.3032    5.381917  -3.910 3.865e+04  12.01     8.864360   1.5    14.246586   1.5 KP   
   230.3843    230.3134    5.381678  -3.210 3.874e+05  12.01     8.864360   1.5    14.246347   0.5 KP   
   231.3308    231.2597    5.359660  -3.540 8.987e+04  12.01     8.655294   0.5    14.015262   1.5 KP   
   231.3460    231.2749    5.359308  -3.840 9.007e+04  12.01     8.655294   0.5    14.014910   0.5 KP   
   233.0277    232.9562    5.320632  -1.040 1.400e+07  12.01     8.864252   2.5    14.185189   3.5 KP   
   233.0277    232.9562    5.320632  -2.340 9.357e+05  12.01     8.864252   2.5    14.185189   2.5 KP   
   233.0324    232.9609    5.320524  -1.190 1.322e+07  12.01     8.864360   1.5    14.185189   2.5 KP   
   240.7150    240.6418    5.150715  -2.740 5.237e+05  12.01     8.864252   2.5    14.015262   1.5 KP   
   240.7201    240.6469    5.150606  -3.700 5.742e+04  12.01     8.864360   1.5    14.015262   1.5 KP   
   240.7365    240.6633    5.150254  -3.000 5.755e+05  12.01     8.864360   1.5    14.014910   0.5 KP   
   245.0303    244.9561    5.060005  -2.090 1.505e+06  12.01     8.864252   2.5    13.924547   2.5 KP   
   245.0303    244.9561    5.060005  -0.790 2.252e+07  12.01     8.864252   2.5    13.924547   3.5 KP   
   245.0355    244.9613    5.059896  -0.950 2.077e+07  12.01     8.864360   1.5    13.924547   2.5 KP   
   247.5062    247.4314    5.009389  -3.510 8.412e+04  12.01     8.655294   0.5    13.664971   1.5 KP   
   247.5332    247.4584    5.008842  -3.810 8.430e+04  12.01     8.655294   0.5    13.664424   0.5 KP   
   258.2792    258.2019    4.800443  -2.490 8.089e+05  12.01     8.864252   2.5    13.664971   1.5 KP   
   258.2850    258.2077    4.800335  -3.440 9.075e+04  12.01     8.864360   1.5    13.664971   1.5 KP   
   258.3144    258.2371    4.799788  -2.740 9.095e+05  12.01     8.864360   1.5    13.664424   0.5 KP   
   266.1546    266.0754    4.658401  -0.480 3.897e+07  12.01     8.864252   2.5    13.522920   3.5 KP   
   266.1548    266.0756    4.658397  -1.780 2.604e+06  12.01     8.864252   2.5    13.522916   2.5 KP   
   266.1610    266.0818    4.658289  -0.630 3.679e+07  12.01     8.864360   1.5    13.522916   2.5 KP   
   279.1365    279.0542    4.441750  -3.860 2.954e+04  12.01     8.655294   0.5    13.097299   1.5 KP   
   279.1600    279.0777    4.441376   0.280 4.077e+08  12.01     4.422729   0.5     8.864360   1.5 KP   
   279.1940    279.1117    4.440835  -4.160 2.960e+04  12.01     8.655294   0.5    13.096384   0.5 KP   
   279.6352    279.5528    4.433828   0.100 2.685e+08  12.01     0.000000   0.5     4.434083   1.5 KP   
   279.8754    279.7929    4.430022  -0.420 8.094e+07  12.01     4.434083   1.5     8.864360   1.5 KP   
   279.8823    279.7998    4.429914   0.530 4.809e+08  12.01     4.434083   1.5     8.864252   2.5 KP   
   280.3531    280.2705    4.422475  -0.210 2.616e+08  12.01     0.000000   0.5     4.422729   0.5 KP   
   284.2933    284.2097    4.361180  -2.350 9.216e+05  12.01     9.996218   0.5    14.357649   1.5 KP   
   284.5315    284.4479    4.357529  -2.440 1.496e+06  12.01     9.996218   0.5    14.353998   0.5 KP   
   284.5402    284.4566    4.357396  -3.050 1.836e+05  12.01    10.000002   1.5    14.357649   1.5 KP   
   284.5406    284.4570    4.357390  -2.100 1.091e+06  12.01    10.000002   1.5    14.357643   2.5 KP   
   284.7789    284.6952    4.353745  -2.140 2.979e+06  12.01    10.000002   1.5    14.353998   0.5 KP   
   292.9156    292.8299    4.232805  -2.140 1.408e+06  12.01     8.864252   2.5    13.097299   1.5 KP   
   292.9231    292.8374    4.232696  -3.090 1.580e+05  12.01     8.864360   1.5    13.097299   1.5 KP   
   292.9490    292.8633    4.232322  -0.540 1.121e+08  12.01     4.422729   0.5     8.655294   0.5 KP   
   292.9864    292.9007    4.231781  -2.390 1.583e+06  12.01     8.864360   1.5    13.096384   0.5 KP   
   293.7369    293.6510    4.220969  -0.240 2.224e+08  12.01     4.434083   1.5     8.655294   0.5 KP   
   296.6194    296.5328    4.179951  -2.110 1.471e+06  12.01     9.996218   0.5    14.176409   1.5 KP   
   296.8882    296.8015    4.176167  -2.810 2.930e+05  12.01    10.000002   1.5    14.176409   1.5 KP   
   296.8887    296.8020    4.176159  -1.860 1.741e+06  12.01    10.000002   1.5    14.176402   2.5 KP   
   297.0015    296.9148    4.174572  -2.240 2.176e+06  12.01     9.996218   0.5    14.171030   0.5 KP   
   297.2710    297.1842    4.170788  -1.940 4.333e+06  12.01    10.000002   1.5    14.171030   0.5 KP   
   310.5616    310.4715    3.992298  -0.030 8.068e+07  12.01     8.864252   2.5    12.856779   3.5 KP   
   310.5622    310.4721    3.992290  -1.330 5.391e+06  12.01     8.864252   2.5    12.856771   2.5 KP   
   310.5706    310.4805    3.992182  -0.190 7.441e+07  12.01     8.864360   1.5    12.856771   2.5 KP   
   316.6795    316.5879    3.915171  -1.810 2.575e+06  12.01     9.996218   0.5    13.911614   1.5 KP   
   316.9858    316.8941    3.911387  -2.510 5.128e+05  12.01    10.000002   1.5    13.911614   1.5 KP   
   316.9871    316.8954    3.911372  -1.550 3.118e+06  12.01    10.000002   1.5    13.911600   2.5 KP   
   317.3626    317.2708    3.906744  -2.000 3.311e+06  12.01     9.996218   0.5    13.903187   0.5 KP   
   317.6703    317.5784    3.902960  -1.700 6.594e+06  12.01    10.000002   1.5    13.903187   0.5 KP   
   353.5980    353.4970    3.506395  -1.400 5.309e+06  12.01     9.996218   0.5    13.502815   1.5 KP   
   353.9800    353.8789    3.502611  -2.100 1.057e+06  12.01    10.000002   1.5    13.502815   1.5 KP   
   353.9823    353.8812    3.502589  -1.140 6.427e+06  12.01    10.000002   1.5    13.502792   2.5 KP   
   355.0527    354.9513    3.492029  -1.680 5.527e+06  12.01     9.996218   0.5    13.488448   0.5 KP   
   355.4379    355.3364    3.488245  -1.380 1.100e+07  12.01    10.000002   1.5    13.488448   0.5 KP   
   361.4811    361.3780    3.429929  -2.810 1.976e+05  12.01     8.655294   0.5    12.085421   1.5 KP   
   361.6614    361.5583    3.428218  -3.120 1.934e+05  12.01     8.655294   0.5    12.083710   0.5 KP   
   384.9302    384.8211    3.220984  -1.590 2.893e+06  12.01     8.864252   2.5    12.085421   1.5 KP   
   384.9432    384.8341    3.220876  -2.540 3.245e+05  12.01     8.864360   1.5    12.085421   1.5 KP   
   385.1478    385.0386    3.219165  -1.840 3.250e+06  12.01     8.864360   1.5    12.083710   0.5 KP   
   419.4652    419.3470    2.955798  -1.440 1.720e+06  12.01    11.630456   2.5    14.586424   3.5 KP   
   419.4673    419.3491    2.955783  -1.330 1.773e+06  12.01    11.630471   3.5    14.586424   4.5 KP   
   419.4673    419.3491    2.955783  -2.870 6.392e+04  12.01    11.630471   3.5    14.586424   3.5 KP   
   424.3643    424.2448    2.921675  -2.380 2.573e+05  12.01    11.569819   2.5    14.491662   2.5 KP   
   424.3643    424.2448    2.921675  -1.070 3.941e+06  12.01    11.569819   2.5    14.491662   3.5 KP   
   424.3737    424.2542    2.921610  -1.230 3.635e+06  12.01    11.569883   1.5    14.491662   2.5 KP   
   433.3148    433.1930    2.861325  -1.260 2.440e+06  12.01    11.630456   2.5    14.491945   3.5 KP   
   433.3171    433.1953    2.861310  -1.150 2.515e+06  12.01    11.630471   3.5    14.491945   4.5 KP   
   433.3171    433.1953    2.861310  -2.690 9.066e+04  12.01    11.630471   3.5    14.491945   3.5 KP   
   438.5869    438.4637    2.826930  -0.790 1.406e+07  12.01     9.996218   0.5    12.823311   1.5 KP   
   439.1747    439.0514    2.823146  -1.490 2.798e+06  12.01    10.000002   1.5    12.823311   1.5 KP   
   439.1805    439.0572    2.823109  -0.530 1.701e+07  12.01    10.000002   1.5    12.823273   2.5 KP   
   442.9237    442.7994    2.799250  -1.210 1.048e+07  12.01     9.996218   0.5    12.795629   0.5 KP   
   443.5233    443.3988    2.795466  -0.910 2.086e+07  12.01    10.000002   1.5    12.795629   0.5 KP   
   443.7737    443.6491    2.793889  -0.890 5.454e+06  12.01    11.569819   2.5    14.363869   3.5 KP   
   443.7737    443.6491    2.793889  -2.190 3.645e+05  12.01    11.569819   2.5    14.363869   2.5 KP   
   443.7839    443.6593    2.793825  -1.040 5.148e+06  12.01    11.569883   1.5    14.363869   2.5 KP   
   448.2383    448.1126    2.766061   0.740 2.280e+08  12.01     8.864252   2.5    11.630471   3.5 KP   
   448.2407    448.1150    2.766046  -0.560 1.524e+07  12.01     8.864252   2.5    11.630456   2.5 KP   
   448.2582    448.1325    2.765937   0.590 2.152e+08  12.01     8.864360   1.5    11.630456   2.5 KP   
   452.3206    452.1938    2.741096  -4.090 6.625e+03  12.01    11.505333   0.5    14.246586   1.5 KP   
   452.3601    452.2333    2.740857  -4.390 6.639e+03  12.01    11.505333   0.5    14.246347   0.5 KP   
   453.5550    453.4279    2.733636  -1.050 3.612e+06  12.01    11.630456   2.5    14.364249   3.5 KP   
   453.5575    453.4304    2.733621  -0.940 3.723e+06  12.01    11.630471   3.5    14.364249   4.5 KP   
   453.5575    453.4304    2.733621  -2.480 1.342e+05  12.01    11.630471   3.5    14.364249   3.5 KP   
   454.6527    454.5253    2.727036  -2.860 1.114e+05  12.01    11.630456   2.5    14.357649   1.5 KP   
   454.6537    454.5263    2.727030  -4.000 5.378e+03  12.01    11.630456   2.5    14.357643   2.5 KP   
   454.6562    454.5288    2.727015  -2.700 1.073e+05  12.01    11.630471   3.5    14.357643   2.5 KP   
   463.2175    463.0878    2.676614  -2.440 2.822e+05  12.01    11.569819   2.5    14.246586   1.5 KP   
   463.2287    463.0990    2.676549  -3.400 3.094e+04  12.01    11.569883   1.5    14.246586   1.5 KP   
   463.2701    463.1404    2.676310  -2.700 3.100e+05  12.01    11.569883   1.5    14.246347   0.5 KP   
   474.0919    473.9593    2.615220  -0.660 8.115e+06  12.01    11.569819   2.5    14.185189   3.5 KP   
   474.0919    473.9593    2.615220  -1.960 5.423e+05  12.01    11.569819   2.5    14.185189   2.5 KP   
   474.1035    473.9709    2.615155  -0.820 7.486e+06  12.01    11.569883   1.5    14.185189   2.5 KP   
   485.2425    485.1070    2.555123  -0.790 5.743e+06  12.01    11.630456   2.5    14.185726   3.5 KP   
   485.2454    485.1099    2.555108  -0.680 5.918e+06  12.01    11.630471   3.5    14.185726   4.5 KP   
   485.2454    485.1099    2.555108  -2.220 2.134e+05  12.01    11.630471   3.5    14.185726   3.5 KP   
   487.0183    486.8823    2.545807  -2.610 1.726e+05  12.01    11.630456   2.5    14.176409   1.5 KP   
   487.0197    486.8837    2.545799  -3.760 8.145e+03  12.01    11.630456   2.5    14.176402   2.5 KP   
   487.0226    486.8866    2.545784  -2.460 1.625e+05  12.01    11.630471   3.5    14.176402   2.5 KP   
   494.0082    493.8703    2.509785  -4.490 2.211e+03  12.01    11.505333   0.5    14.015262   1.5 KP   
   494.0775    493.9396    2.509433  -4.790 2.216e+03  12.01    11.505333   0.5    14.014910   0.5 KP   
