Number of lines in output :  7177
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.2844    200.2195    6.190470  -2.099 1.655e+06  25.00     2.114357   4.5     8.305183   3.5 K88  
   200.4490    200.3841    6.185387  -0.438 7.569e+07  25.00     0.000000   2.5     6.185742   3.5 K88  
   200.7923    200.7274    6.174811  -4.227 9.809e+03  25.00     2.114357   4.5     8.289523   4.5 K88  
   201.2101    201.1451    6.161990  -2.507 6.408e+05  25.00     2.142839   3.5     8.305183   3.5 K88  
   201.4970    201.4319    6.153216  -2.854 3.832e+05  25.00     2.142839   3.5     8.296409   2.5 K88  
   201.7227    201.6576    6.146330  -3.123 1.235e+05  25.00     2.142839   3.5     8.289523   4.5 K88  
   201.8987    201.8336    6.140972  -3.433 7.547e+04  25.00     2.163859   2.5     8.305183   3.5 K88  
   201.9332    201.8681    6.139921  -1.866 1.856e+06  25.00     2.114357   4.5     8.254631   5.5 K88  
   202.1414    202.0762    6.133601  -4.094 1.315e+04  25.00     2.114357   4.5     8.248310   4.5 K88  
   202.1876    202.1224    6.132198  -3.648 6.116e+04  25.00     2.163859   2.5     8.296409   2.5 K88  
   202.6387    202.5734    6.118548  -4.305 8.048e+03  25.00     2.142839   3.5     8.261738   4.5 K88  
   202.6669    202.6016    6.117697  -4.518 8.211e+03  25.00     2.178361   1.5     8.296409   2.5 K88  
   202.7083    202.6430    6.116447  -3.452 7.166e+04  25.00     2.163859   2.5     8.280657   3.5 K88  
   202.8229    202.7576    6.112992  -4.926 1.923e+03  25.00     2.114357   4.5     8.227700   4.5 K88  
   202.9687    202.9034    6.108599  -3.940 3.098e+04  25.00     2.178361   1.5     8.287311   2.5 K88  
   203.0844    203.0190    6.105120  -2.870 2.182e+05  25.00     2.142839   3.5     8.248310   4.5 K88  
   203.2370    203.1716    6.100536  -4.710 7.872e+03  25.00     2.186875   0.5     8.287762   1.5 K88  
   203.3667    203.3013    6.096646  -4.163 1.385e+04  25.00     2.142839   3.5     8.239835   3.5 K88  
   203.6113    203.5459    6.089320  -3.991 2.738e+04  25.00     2.142839   3.5     8.232510   2.5 K88  
   203.8598    203.7943    6.081899  -4.727 7.523e+03  25.00     2.163859   2.5     8.246107   1.5 K88  
   204.0702    204.0047    6.075628  -3.411 7.771e+04  25.00     2.163859   2.5     8.239835   3.5 K88  
   204.3165    204.2509    6.068302  -3.110 2.067e+05  25.00     2.163859   2.5     8.232510   2.5 K88  
   204.6805    204.6149    6.057511  -4.995 1.611e+03  25.00     2.114357   4.5     8.172216   4.5 K88  
   204.7711    204.7054    6.054831  -3.964 1.440e+04  25.00     2.114357   4.5     8.169536   5.5 K88  
   204.8060    204.7403    6.053801  -3.133 1.951e+05  25.00     2.178361   1.5     8.232510   2.5 K88  
   205.1760    205.1103    6.042880  -3.410 1.027e+05  25.00     2.142839   3.5     8.186067   2.5 K88  
   205.4882    205.4224    6.033701  -3.880 3.471e+04  25.00     2.142839   3.5     8.176887   2.5 K88  
   205.8922    205.8263    6.021862  -2.479 8.704e+05  25.00     2.163859   2.5     8.186067   2.5 K88  
   206.1414    206.0755    6.014581  -2.938 4.526e+05  25.00     2.163859   2.5     8.178785   1.5 K88  
   206.2065    206.1406    6.012683  -3.043 2.368e+05  25.00     2.163859   2.5     8.176887   2.5 K88  
   206.3892    206.3232    6.007361  -2.444 9.389e+05  25.00     2.178361   1.5     8.186067   2.5 K88  
   206.5057    206.4397    6.003973  -4.189 1.265e+04  25.00     2.163859   2.5     8.168176   3.5 K88  
   206.5182    206.4522    6.003608  -4.951 2.918e+03  25.00     2.163859   2.5     8.167812   2.5 K88  
   206.6397    206.5737    6.000079  -2.205 2.436e+06  25.00     2.178361   1.5     8.178785   1.5 K88  
   206.7050    206.6390    5.998181  -3.420 9.892e+04  25.00     2.178361   1.5     8.176887   2.5 K88  
   206.9333    206.8672    5.991565  -2.412 1.508e+06  25.00     2.186875   0.5     8.178785   1.5 K88  
   207.1641    207.0980    5.984890  -4.261 1.420e+04  25.00     0.000000   2.5     5.985234   2.5 K88  
   207.3570    207.2909    5.979321  -3.718 3.712e+04  25.00     0.000000   2.5     5.979664   3.5 K88  
   208.9076    208.8412    5.934940  -4.711 3.716e+03  25.00     2.114357   4.5     8.049638   3.5 K88  
   209.2819    209.2154    5.924326  -1.880 5.019e+06  25.00     0.000000   2.5     5.924666   1.5 K88  
   209.3166    209.2501    5.923345  -2.236 1.105e+06  25.00     0.000000   2.5     5.923685   3.5 K88  
   209.4066    209.3401    5.920799  -1.980 2.655e+06  25.00     0.000000   2.5     5.921139   2.5 K88  
   209.8217    209.7551    5.909087  -1.918 3.050e+06  25.00     0.000000   2.5     5.909426   2.5 K88  
   209.9150    209.8484    5.906459  -4.732 3.507e+03  25.00     2.142839   3.5     8.049638   3.5 K88  
   210.3638    210.2971    5.893859  -4.353 8.358e+03  25.00     2.163859   2.5     8.058056   3.5 K88  
   210.3795    210.3128    5.893419  -3.499 4.777e+04  25.00     2.114357   4.5     8.008114   4.5 K88  
   210.6647    210.5979    5.885441  -4.113 1.448e+04  25.00     2.163859   2.5     8.049638   3.5 K88  
   210.6742    210.6074    5.885175  -2.349 1.682e+06  25.00     0.000000   2.5     5.885513   1.5 K88  
   210.8328    210.7660    5.880746  -4.486 8.168e+03  25.00     2.142839   3.5     8.023923   2.5 K88  
   211.0256    210.9587    5.875375  -1.796 2.995e+06  25.00     0.000000   2.5     5.875712   3.5 K88  
   211.1603    211.0934    5.871628  -4.937 2.162e+03  25.00     2.114357   4.5     7.986322   3.5 K88  
   211.4011    211.3342    5.864938  -3.588 3.854e+04  25.00     2.142839   3.5     8.008114   4.5 K88  
   211.5891    211.5221    5.859728  -4.538 7.194e+03  25.00     2.163859   2.5     8.023923   2.5 K88  
   211.7190    211.6520    5.856134  -4.417 1.424e+04  25.00     2.163859   2.5     8.020329   1.5 K88  
   211.8748    211.8078    5.851825  -4.848 2.636e+03  25.00     2.163859   2.5     8.016020   3.5 K88  
   212.1140    212.0469    5.845227  -4.124 1.857e+04  25.00     2.178361   1.5     8.023923   2.5 K88  
   212.1895    212.1224    5.843147  -3.897 2.347e+04  25.00     2.142839   3.5     7.986322   3.5 K88  
   212.5544    212.4872    5.833118  -4.411 1.433e+04  25.00     2.186875   0.5     8.020329   1.5 K88  
   212.7520    212.6848    5.827698  -2.363 6.388e+05  25.00     2.114357   4.5     7.942389   4.5 K88  
   212.9555    212.8883    5.822129  -4.004 1.822e+04  25.00     2.163859   2.5     7.986322   3.5 K88  
   213.2145    213.1472    5.815057  -4.895 3.114e+03  25.00     0.000000   2.5     5.815391   2.5 K88  
   213.7969    213.7295    5.799217  -0.980 1.528e+07  25.00     2.142839   3.5     7.942389   4.5 K88  
   215.0815    215.0138    5.764580  -1.946 2.041e+06  25.00     2.114357   4.5     7.879268   3.5 K88  
   215.4914    215.4237    5.753614  -3.417 4.582e+04  25.00     2.114357   4.5     7.868301   5.5 K88  
   215.5320    215.4642    5.752533  -2.654 2.654e+05  25.00     2.114357   4.5     7.867220   5.5 K88  
   215.5530    215.4852    5.751972  -4.484 4.710e+03  25.00     2.114357   4.5     7.866660   4.5 K88  
   215.6728    215.6050    5.748775  -4.852 2.016e+03  25.00     2.888614   3.5     8.637719   4.5 K88  
   215.8790    215.8112    5.743283  -3.053 1.267e+05  25.00     2.114357   4.5     7.857970   4.5 K88  
   216.0032    215.9353    5.739983  -4.270 7.677e+03  25.00     2.114357   4.5     7.854670   4.5 K88  
   216.1494    216.0815    5.736100  -1.953 1.989e+06  25.00     2.142839   3.5     7.879268   3.5 K88  
   216.2584    216.1905    5.733208  -3.411 9.226e+04  25.00     2.142839   3.5     7.876377   2.5 K88  
   216.2794    216.2115    5.732652  -4.956 1.972e+03  25.00     2.114357   4.5     7.847338   3.5 K88  
   216.6256    216.5576    5.723492  -4.254 7.920e+03  25.00     2.142839   3.5     7.866660   4.5 K88  
   216.7715    216.7035    5.719637  -2.614 8.631e+05  25.00     2.163859   2.5     7.883824   1.5 K88  
   216.9443    216.8763    5.715082  -0.956 1.960e+07  25.00     2.163859   2.5     7.879268   3.5 K88  
   216.9549    216.8869    5.714803  -3.372 6.017e+04  25.00     2.142839   3.5     7.857970   4.5 K88  
   216.9688    216.9007    5.714437  -0.793 3.803e+07  25.00     2.142839   3.5     7.857604   2.5 K88  
   216.9956    216.9275    5.713731  -4.764 6.098e+03  25.00     0.000000   2.5     5.714060   1.5 K88  
   217.0803    217.0122    5.711502  -3.083 1.169e+05  25.00     2.142839   3.5     7.854670   4.5 K88  
   217.3592    217.2911    5.704171  -4.810 2.733e+03  25.00     2.142839   3.5     7.847338   3.5 K88  
   217.3876    217.3195    5.703426  -3.460 6.117e+04  25.00     0.000000   2.5     5.703753   3.5 K88  
