Number of lines in output :  1233
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.3095    200.2446    6.189694  -4.350 1.485e+04   7.01    21.149735   2.0    27.339784   2.0 KP   
   201.4224    201.3573    6.155496  -2.630 1.285e+06   7.01    20.410510   1.0    26.566360   1.0 KP   
   201.6080    201.5429    6.149827  -3.930 1.928e+05   7.01    20.410510   1.0    26.560689   0.0 KP   
   204.5417    204.4761    6.061622  -1.580 1.398e+07   7.01    21.600996   2.0    27.662966   1.0 KP   
   205.4808    205.4150    6.033920  -4.910 3.887e+03   7.01    21.600996   2.0    27.635262   2.0 KP   
   206.0491    205.9832    6.017277  -1.950 5.876e+06   7.01    21.600996   2.0    27.618619   1.0 KP   
   207.0073    206.9412    5.989425  -2.830 7.674e+05   7.01    20.647451   1.0    26.637220   1.0 KP   
   207.2679    207.2018    5.981892  -3.090 4.207e+05   7.01    20.654985   2.0    26.637220   1.0 KP   
   208.9321    208.8657    5.934246  -2.930 3.590e+05   7.01    20.647451   1.0    26.582037   2.0 KP   
   209.1977    209.1312    5.926712  -1.730 5.676e+06   7.01    20.654985   2.0    26.582037   2.0 KP   
   209.4856    209.4190    5.918569  -1.710 9.879e+06   7.01    20.647451   1.0    26.566360   1.0 KP   
   209.6195    209.5529    5.914786  -0.920 3.650e+07   7.01    20.666911   3.0    26.582037   2.0 KP   
   209.6864    209.6198    5.912899  -1.510 4.688e+07   7.01    20.647451   1.0    26.560689   0.0 KP   
   209.7525    209.6859    5.911036  -1.170 3.417e+07   7.01    20.654985   2.0    26.566360   1.0 KP   
   212.6116    212.5444    5.831549  -3.050 4.384e+05   7.01    21.600996   2.0    27.432879   1.0 KP   
   213.0853    213.0180    5.818585  -1.050 1.870e+07   7.01    21.600996   2.0    27.419914   3.0 KP   
   214.0164    213.9489    5.793269  -2.470 1.645e+06   7.01    20.410510   1.0    26.204112   1.0 KP   
   214.3448    214.2773    5.784392  -4.760 5.046e+03   7.01     0.016218   2.0     5.800942   2.0 KP   
   215.0355    214.9678    5.765815  -4.090 1.675e+04   7.01    21.600996   2.0    27.367142   3.0 KP   
   216.0606    215.9927    5.738459  -1.450 1.014e+07   7.01    21.600996   2.0    27.339784   2.0 KP   
   216.9456    216.8776    5.715047  -4.790 4.597e+03   7.01    20.410510   1.0    26.125885   2.0 KP   
   217.6896    217.6214    5.695515  -3.100 3.727e+05   7.01    20.941378   1.0    26.637220   1.0 KP   
   219.1585    219.0900    5.657340  -4.360 2.021e+04   7.01    20.410510   1.0    26.068175   1.0 KP   
   219.8192    219.7506    5.640336  -1.600 6.935e+06   7.01    20.941378   1.0    26.582037   2.0 KP   
   220.4320    220.3632    5.624659  -1.640 1.048e+07   7.01    20.941378   1.0    26.566360   1.0 KP   
   220.6543    220.5855    5.618989  -2.040 1.249e+07   7.01    20.941378   1.0    26.560689   0.0 KP   
   220.6775    220.6087    5.618400  -0.750 4.871e+07   7.01    20.410510   1.0    26.029232   2.0 NBS  
   221.9121    221.8430    5.587142  -1.910 3.333e+06   7.01    20.410510   1.0    25.997973   2.0 KP   
   221.9164    221.8473    5.587033  -3.980 2.836e+04   7.01    20.677701   1.0    26.265055   2.0 KP   
   222.1541    222.0850    5.581055  -4.370 1.922e+04   7.01    20.677701   1.0    26.259076   1.0 KP   
   222.3028    222.2336    5.577323  -4.500 4.268e+04   7.01    20.677701   1.0    26.255344   0.0 KP   
   223.0727    223.0034    5.558074  -2.290 2.291e+06   7.01    22.104573   0.0    27.662966   1.0 KP   
   223.1422    223.0729    5.556342  -4.680 9.329e+03   7.01    20.647451   1.0    26.204112   1.0 KP   
   224.6122    224.5425    5.519978  -4.110 1.466e+04   7.01    20.654985   2.0    26.175280   3.0 KP   
   224.8668    224.7971    5.513729  -2.640 1.007e+06   7.01    22.104573   0.0    27.618619   1.0 KP   
   225.9551    225.8852    5.487170  -3.960 4.775e+04   7.01    21.149735   2.0    26.637220   1.0 KP   
   226.0923    226.0223    5.483844  -4.960 4.769e+03   7.01    20.647451   1.0    26.131609   1.0 KP   
   226.1354    226.0654    5.482796  -3.430 1.615e+05   7.01    21.154109   1.0    26.637220   1.0 KP   
   226.4032    226.3332    5.476310  -4.850 6.127e+03   7.01    20.654985   2.0    26.131609   1.0 KP   
   226.4341    226.3641    5.475563  -3.570 1.167e+05   7.01    21.161343   0.0    26.637220   1.0 KP   
   226.6402    226.5701    5.470586  -4.350 1.160e+04   7.01    20.654985   2.0    26.125885   2.0 KP   
   227.1353    227.0651    5.458660  -3.890 3.331e+04   7.01    20.666911   3.0    26.125885   2.0 KP   
   228.2504    228.1800    5.431991  -1.100 2.034e+07   7.01    21.149735   2.0    26.582037   2.0 KP   
   228.4344    228.3639    5.427616  -1.490 8.272e+06   7.01    21.154109   1.0    26.582037   2.0 KP   
   228.6009    228.5304    5.423662  -3.060 2.223e+05   7.01    20.647451   1.0    26.071425   2.0 KP   
   228.7323    228.6618    5.420548  -3.060 1.586e+05   7.01    20.654985   2.0    26.075844   3.0 KP   
   228.7380    228.6675    5.420413  -2.690 8.676e+05   7.01    20.647451   1.0    26.068175   1.0 KP   
   228.9111    228.8405    5.416314  -1.630 9.947e+06   7.01    21.149735   2.0    26.566360   1.0 KP   
   228.9189    228.8483    5.416129  -2.460 8.827e+05   7.01    20.654985   2.0    26.071425   2.0 KP   
   229.0563    228.9857    5.412879  -3.130 3.141e+05   7.01    20.654985   2.0    26.068175   1.0 KP   
   229.0961    229.0255    5.411940  -1.910 5.212e+06   7.01    21.154109   1.0    26.566360   1.0 KP   
   229.2367    229.1660    5.408622  -2.170 1.226e+06   7.01    20.666911   3.0    26.075844   3.0 KP   
   229.3364    229.2657    5.406270  -1.770 2.154e+07   7.01    21.154109   1.0    26.560689   0.0 KP   
   229.4027    229.3320    5.404706  -1.690 8.626e+06   7.01    21.161343   0.0    26.566360   1.0 KP   
   229.4241    229.3534    5.404203  -3.040 2.311e+05   7.01    20.666911   3.0    26.071425   2.0 KP   
   230.3931    230.3222    5.381473  -1.280 1.319e+07   7.01    20.647451   1.0    26.029232   2.0 KP   
   230.5628    230.4919    5.377511  -1.140 1.010e+07   7.01    23.133414   3.0    28.511234   4.0 KP   
   230.7161    230.6451    5.373939  -2.030 2.339e+06   7.01    20.654985   2.0    26.029232   2.0 KP   
   230.7523    230.6813    5.373098  -1.570 3.746e+06   7.01    23.133414   3.0    28.506820   4.0 KP   
   230.9969    230.9259    5.367405  -2.260 7.633e+05   7.01    23.143520   4.0    28.511234   4.0 KP   
   231.0236    230.9526    5.366785  -0.610 2.789e+07   7.01    23.143520   4.0    28.510614   5.0 KP   
   231.1871    231.1160    5.362991  -1.590 3.564e+06   7.01    23.143520   4.0    28.506820   4.0 KP   
   231.2293    231.1582    5.362013  -3.570 6.715e+04   7.01    20.666911   3.0    26.029232   2.0 KP   
   231.2817    231.2106    5.360798  -2.020 1.701e+06   7.01    23.126048   2.0    28.487154   3.0 KP   
   231.5956    231.5244    5.353533  -1.040 1.260e+07   7.01    23.133414   3.0    28.487254   4.0 KP   
   231.5999    231.5287    5.353433  -2.160 1.229e+06   7.01    23.133414   3.0    28.487154   3.0 KP   
   231.7201    231.6489    5.350656  -0.560 4.888e+07   7.01    20.654985   2.0    26.005948   3.0 NBS  
   231.7392    231.6680    5.350215  -0.730 4.625e+07   7.01    20.647451   1.0    25.997973   2.0 NBS  
   231.7751    231.7039    5.349385  -0.400 5.492e+07   7.01    20.666911   3.0    26.016604   4.0 NBS  
   232.0336    231.9623    5.343427  -2.720 2.623e+05   7.01    23.143520   4.0    28.487254   4.0 KP   
   232.0379    231.9666    5.343327  -3.870 2.387e+04   7.01    23.143520   4.0    28.487154   3.0 KP   
   232.0660    231.9947    5.342681  -1.450 8.789e+06   7.01    20.654985   2.0    25.997973   2.0 NBS  
   232.2377    232.1664    5.338730  -1.450 6.268e+06   7.01    20.666911   3.0    26.005948   3.0 NBS  
   232.5851    232.5137    5.330755  -3.080 2.051e+05   7.01    20.666911   3.0    25.997973   2.0 NBS  
   232.7054    232.6340    5.328000  -1.390 1.673e+07   7.01    22.104573   0.0    27.432879   1.0 KP   
   234.4252    234.3534    5.288913  -1.340 7.925e+06   7.01    23.197938   2.0    28.487154   3.0 KP   
   235.5647    235.4926    5.263331  -2.560 3.678e+05   7.01    23.247601   3.0    28.511234   4.0 KP   
   235.7623    235.6902    5.258917  -1.010 1.303e+07   7.01    23.247601   3.0    28.506820   4.0 KP   
   236.4774    236.4051    5.243014  -1.200 1.075e+07   7.01    23.243839   2.0    28.487154   3.0 KP   
   236.6427    236.5704    5.239352  -1.170 8.947e+06   7.01    23.247601   3.0    28.487254   4.0 KP   
   236.6472    236.5749    5.239253  -3.510 5.258e+04   7.01    23.247601   3.0    28.487154   3.0 KP   
   238.7533    238.6805    5.193036  -2.760 2.033e+06   7.01    20.941378   1.0    26.134712   0.0 KP   
   238.8960    238.8232    5.189934  -2.210 2.402e+06   7.01    20.941378   1.0    26.131609   1.0 KP   
   239.1598    239.0869    5.184209  -1.790 3.783e+06   7.01    20.941378   1.0    26.125885   2.0 KP   
   241.6986    241.6252    5.129753  -2.990 2.337e+05   7.01    20.941378   1.0    26.071425   2.0 KP   
   241.8519    241.7784    5.126503  -3.470 1.288e+05   7.01    20.941378   1.0    26.068175   1.0 KP   
   244.5494    244.4753    5.069954  -1.710 3.107e+06   7.01    23.416909   2.0    28.487154   3.0 KP   
   245.8819    245.8075    5.042479  -4.470 1.246e+04   7.01    21.161343   0.0    26.204112   1.0 KP   
   246.2015    246.1270    5.035935  -1.017 3.527e+07   7.01    21.600996   2.0    26.637220   1.0 NBS  
   246.2573    246.1828    5.034793  -0.960 1.340e+07   7.01    23.476151   3.0    28.511234   4.0 KP   
   246.4733    246.3988    5.030379  -1.370 5.204e+06   7.01    23.476151   3.0    28.506820   4.0 KP   
   246.7246    246.6500    5.025256  -3.870 2.112e+04   7.01    21.149735   2.0    26.175280   3.0 KP   
   247.4358    247.3610    5.010815  -1.480 4.008e+06   7.01    23.476151   3.0    28.487254   4.0 KP   
   247.4406    247.3658    5.010715  -2.320 7.449e+05   7.01    23.476151   3.0    28.487154   3.0 KP   
   248.6991    248.6241    4.985358  -2.690 4.404e+05   7.01    23.126048   2.0    28.111692   2.0 KP   
   248.7127    248.6377    4.985085  -3.610 8.823e+04   7.01    23.126048   2.0    28.111420   1.0 KP   
   248.8874    248.8123    4.981589  -1.750 6.383e+06   7.01    21.149735   0.0    26.131609   1.0 NBS  
   248.9290    248.8539    4.980755  -4.460 7.465e+03   7.01    21.600996   2.0    26.582037   2.0 KP   
   248.9509    248.8758    4.980317  -1.750 1.914e+07   7.01    21.154109   1.0    26.134712   0.0 NBS  
   248.9617    248.8866    4.980101  -2.320 1.030e+06   7.01    23.126048   2.0    28.106435   2.0 KP   
   248.9766    248.9015    4.979802  -2.470 5.208e+05   7.01    23.126048   2.0    28.106136   3.0 KP   
   249.0671    248.9920    4.977993  -3.770 3.652e+04   7.01    23.133414   3.0    28.111692   2.0 KP   
   249.1060    249.0309    4.977214  -1.880 4.723e+06   7.01    21.154109   1.0    26.131609   1.0 NBS  
   249.1986    249.1234    4.975367  -0.910 1.888e+07   7.01    23.126048   2.0    28.101701   3.0 KP   
   249.2199    249.1447    4.974943  -0.890 1.537e+07   7.01    23.133414   3.0    28.108642   4.0 KP   
   249.3304    249.2552    4.972736  -2.920 2.580e+05   7.01    23.133414   3.0    28.106435   2.0 KP   
   249.3454    249.2702    4.972437  -3.150 1.085e+05   7.01    23.133414   3.0    28.106136   3.0 KP   
   249.3929    249.3177    4.971490  -1.660 4.692e+06   7.01    21.154109   1.0    26.125885   2.0 NBS  
   249.4686    249.3934    4.969981  -1.660 7.816e+06   7.01    21.161343   2.0    26.131609   1.0 NBS  
   249.5491    249.4739    4.968378  -1.230 7.008e+06   7.01    23.133414   3.0    28.102077   4.0 KP   
   249.5680    249.4928    4.968002  -1.540 4.412e+06   7.01    23.133414   3.0    28.101701   3.0 KP   
   249.7150    249.6397    4.965079  -2.890 4.593e+05   7.01    21.600996   2.0    26.566360   1.0 KP   
   249.7271    249.6518    4.964837  -2.100 9.440e+05   7.01    23.143520   4.0    28.108642   4.0 KP   
   249.7563    249.6810    4.964257  -1.180 1.413e+07   7.01    21.161343   2.0    26.125885   2.0 NBS  
   249.7727    249.6974    4.963932  -0.310 4.760e+07   7.01    23.143520   4.0    28.107737   5.0 KP   
   249.8532    249.7779    4.962331  -2.570 4.108e+05   7.01    23.143520   4.0    28.106136   3.0 KP   
   250.0578    249.9824    4.958272  -1.250 6.665e+06   7.01    23.143520   4.0    28.102077   4.0 KP   
   250.0768    250.0014    4.957896  -2.830 2.254e+05   7.01    23.143520   4.0    28.101701   3.0 KP   
   250.1425    250.0671    4.956592  -0.790 2.470e+07   7.01    23.126048   2.0    28.082925   3.0 KP   
   250.1685    250.0931    4.956077  -2.010 2.083e+06   7.01    23.126048   2.0    28.082410   2.0 KP   
   250.1808    250.1054    4.955834  -2.050 1.357e+06   7.01    23.126048   2.0    28.082167   3.0 KP   
   250.4941    250.4186    4.949636  -0.700 2.357e+07   7.01    23.133414   3.0    28.083334   4.0 KP   
   250.5148    250.4393    4.949227  -2.720 2.893e+05   7.01    23.133414   3.0    28.082925   3.0 KP   
   250.5408    250.4653    4.948713  -2.920 2.555e+05   7.01    23.133414   3.0    28.082410   2.0 KP   
   250.5531    250.4776    4.948470  -1.830 2.245e+06   7.01    23.133414   3.0    28.082167   3.0 KP   
   251.0066    250.9310    4.939530  -2.570 3.166e+05   7.01    23.143520   4.0    28.083334   4.0 KP   
   251.0273    250.9517    4.939121  -4.000 1.512e+04   7.01    23.143520   4.0    28.082925   3.0 KP   
   251.0658    250.9902    4.938364  -3.740 2.751e+04   7.01    23.143520   4.0    28.082167   3.0 KP   
