Number of lines in output :  171
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   254.4604    254.3840    4.872484  -3.590 6.620e+04  11.00     0.000000   0.5     4.872764   1.5 KP   
   254.4636    254.3872    4.872423  -3.890 6.635e+04  11.00     0.000000   0.5     4.872703   0.5 KP   
   259.4644    259.3868    4.778514  -3.320 1.186e+05  11.00     0.000000   0.5     4.778789   1.5 KP   
   259.4695    259.3919    4.778421  -3.620 1.188e+05  11.00     0.000000   0.5     4.778696   0.5 KP   
   268.1137    268.0341    4.624361  -2.970 2.486e+05  11.00     0.000000   0.5     4.624626   1.5 KP   
   268.1230    268.0434    4.624201  -3.270 2.491e+05  11.00     0.000000   0.5     4.624466   0.5 KP   
   285.3649    285.2811    4.344803  -2.480 6.781e+05  11.00     0.000000   0.5     4.345053   1.5 KP   
   285.3850    285.3012    4.344497  -2.790 6.641e+05  11.00     0.000000   0.5     4.344746   0.5 KP   
   330.3319    330.2368    3.753359  -1.700 3.049e+06  11.00     0.000000   0.5     3.753575   1.5 KP   
   330.3929    330.2978    3.752666  -2.000 3.055e+06  11.00     0.000000   0.5     3.752882   0.5 KP   
   421.4188    421.3001    2.942096  -2.650 2.102e+05  11.00     2.102439   0.5     5.044704   1.5 GUES 
   421.7245    421.6057    2.939963  -2.350 2.792e+05  11.00     2.104571   1.5     5.044704   2.5 GUES 
   424.0181    423.8987    2.924060  -2.510 2.866e+05  11.00     2.102439   0.5     5.026667   1.5 KP   
   424.3275    424.2081    2.921928  -3.210 5.710e+04  11.00     2.104571   1.5     5.026667   1.5 KP   
   424.3275    424.2081    2.921928  -2.250 3.472e+05  11.00     2.104571   1.5     5.026667   2.5 KP   
   425.0608    424.9412    2.916887  -3.330 8.634e+04  11.00     2.102439   0.5     5.019494   0.5 KP   
   425.3717    425.2520    2.914755  -3.030 1.720e+05  11.00     2.104571   1.5     5.019494   0.5 KP   
   427.4846    427.3643    2.900349  -2.370 3.892e+05  11.00     2.102439   0.5     5.002955   1.5 KP   
   427.7990    427.6786    2.898217  -2.110 4.715e+05  11.00     2.104571   1.5     5.002955   2.5 KP   
   427.7990    427.6786    2.898217  -3.070 7.755e+04  11.00     2.104571   1.5     5.002955   1.5 KP   
   428.9046    428.7840    2.890746  -3.190 1.171e+05  11.00     2.102439   0.5     4.993352   0.5 KP   
   429.2212    429.1005    2.888614  -2.890 2.332e+05  11.00     2.104571   1.5     4.993352   0.5 KP   
   432.2616    432.1401    2.868296  -2.210 5.503e+05  11.00     2.102439   0.5     4.970900   1.5 KP   
   432.5832    432.4616    2.866164  -2.910 1.096e+05  11.00     2.104571   1.5     4.970900   1.5 KP   
   432.5832    432.4616    2.866164  -1.960 6.514e+05  11.00     2.104571   1.5     4.970900   2.5 KP   
   434.2710    434.1489    2.855025  -3.040 1.613e+05  11.00     2.102439   0.5     4.957628   0.5 KP   
   434.5955    434.4734    2.852893  -2.740 3.213e+05  11.00     2.104571   1.5     4.957628   0.5 KP   
   439.1256    439.0023    2.823462  -2.030 8.070e+05  11.00     2.102439   0.5     4.926063   1.5 KP   
   439.4574    439.3340    2.821330  -1.780 9.553e+05  11.00     2.104571   1.5     4.926063   2.5 KP   
   439.4574    439.3340    2.821330  -2.730 1.608e+05  11.00     2.104571   1.5     4.926063   1.5 KP   
   442.1125    441.9884    2.804387  -2.860 2.355e+05  11.00     2.102439   0.5     4.906987   0.5 KP   
   442.4489    442.3247    2.802255  -2.560 4.692e+05  11.00     2.104571   1.5     4.906987   0.5 KP   
   449.5441    449.4180    2.758026  -1.820 1.249e+06  11.00     2.102439   0.5     4.860624   1.5 KP   
   449.8919    449.7657    2.755894  -2.520 2.488e+05  11.00     2.104571   1.5     4.860624   1.5 KP   
   449.8919    449.7657    2.755894  -1.560 1.513e+06  11.00     2.104571   1.5     4.860624   2.5 KP   
