Number of lines in output :  136
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   216.7458    216.6778    5.720316  -2.240 2.723e+06  11.01    38.296441   0.0    44.017086   1.0 KP   
   222.9232    222.8539    5.561801  -2.060 3.897e+06  11.01    38.296441   0.0    43.858562   1.0 KP   
   231.6360    231.5648    5.352598  -2.110 9.650e+06  11.01    32.943536   1.0    38.296441   0.0 KP   
   249.3900    249.3148    4.971548  -0.430 3.984e+08  11.01    33.324608   1.0    38.296441   0.0 KP   
   250.3592    250.2838    4.952302  -2.000 3.547e+06  11.01    36.357139   1.0    41.309726   1.0 KP   
   250.7057    250.6302    4.945458  -1.420 1.345e+07  11.01    36.357139   1.0    41.302882   1.0 KP   
   251.6214    251.5457    4.927459  -1.320 1.008e+07  11.01    36.357139   1.0    41.284882   2.0 KP   
   253.2301    253.1540    4.896158  -1.400 4.141e+07  11.01    36.357139   1.0    41.253578   0.0 KP   
   258.7081    258.6307    4.792484  -1.010 3.246e+07  11.01    36.357139   1.0    41.149898   1.0 KP   
   259.5735    259.4959    4.776506  -2.070 2.809e+06  11.01    36.357139   1.0    41.133919   1.0 KP   
   261.2591    261.1811    4.745689  -0.550 5.508e+07  11.01    36.357139   1.0    41.103101   2.0 KP   
   266.1789    266.0997    4.657974   0.210 3.054e+08  11.01    36.357139   1.0    41.015381   2.0 KP   
   267.2623    267.1829    4.639091   0.030 3.335e+08  11.01    36.357139   1.0    40.996497   1.0 KP   
   267.8881    267.8085    4.628255  -0.420 3.534e+08  11.01    36.357139   1.0    40.985660   0.0 KP   
   280.0042    279.9217    4.427985  -1.430 6.322e+06  11.01    36.856642   3.0    41.284882   2.0 KP   
   280.9532    280.8705    4.413027  -0.390 4.918e+07  11.01    36.856642   3.0    41.269923   3.0 KP   
   281.0348    280.9520    4.411748  -0.650 6.302e+07  11.01    32.848645   2.0    37.260646   1.0 KP   
   281.2671    281.1843    4.408103  -1.690 3.443e+06  11.01    36.856642   3.0    41.264998   2.0 KP   
   281.4735    281.3906    4.404872  -1.130 2.080e+07  11.01    36.904601   2.0    41.309726   1.0 KP   
   281.9115    281.8285    4.398028  -1.090 2.274e+07  11.01    36.904601   2.0    41.302882   1.0 KP   
   283.0700    282.9867    4.380029  -0.650 3.727e+07  11.01    36.904601   2.0    41.284882   2.0 KP   
   284.0399    283.9564    4.365071  -0.380 4.923e+07  11.01    36.904601   2.0    41.269923   3.0 KP   
   284.2557    284.1721    4.361758  -0.070 1.405e+08  11.01    32.848645   2.0    37.210653   2.0 KP   
   284.3608    284.2772    4.360146  -1.070 1.404e+07  11.01    36.904601   2.0    41.264998   2.0 KP   
   285.7347    285.6508    4.339180  -0.480 9.017e+07  11.01    36.970296   1.0    41.309726   1.0 KP   
   286.0326    285.9486    4.334661  -0.960 2.980e+07  11.01    32.848645   2.0    37.183555   1.0 KP   
   286.1861    286.1021    4.332336  -1.340 1.241e+07  11.01    36.970296   1.0    41.302882   1.0 KP   
   287.2120    287.1277    4.316862  -0.970 2.888e+07  11.01    32.943536   1.0    37.260646   1.0 KP   
   287.3800    287.2957    4.314337  -1.120 1.225e+07  11.01    36.970296   1.0    41.284882   2.0 KP   
   288.1994    288.1149    4.302072  -0.480 2.659e+08  11.01    32.943536   1.0    37.245855   0.0 KP   
   288.7105    288.6259    4.294455  -0.390 6.520e+07  11.01    36.970296   1.0    41.264998   2.0 KP   
   289.4802    289.3954    4.283036  -0.630 1.866e+08  11.01    36.970296   1.0    41.253578   0.0 KP   
   290.1993    290.1143    4.272424  -0.120 8.583e+07  11.01    36.856642   3.0    41.129312   3.0 KP   
   290.5560    290.4709    4.267178  -1.420 6.008e+06  11.01    36.856642   3.0    41.124066   2.0 KP   
   290.5769    290.4918    4.266872  -0.320 7.562e+07  11.01    32.943536   1.0    37.210653   2.0 KP   
   291.8375    291.7521    4.248440  -0.570 4.216e+07  11.01    32.848645   2.0    37.097329   2.0 KP   
   291.9905    291.9050    4.246215  -0.020 1.494e+08  11.01    36.856642   3.0    41.103101   2.0 KP   
   292.0704    291.9849    4.245053  -0.290 1.337e+08  11.01    36.904601   2.0    41.149898   1.0 KP   
   292.1799    292.0944    4.243462  -0.620 6.247e+07  11.01    33.016940   0.0    37.260646   1.0 KP   
   292.4340    292.3484    4.239775  -1.010 2.541e+07  11.01    32.943536   1.0    37.183555   1.0 KP   
   293.1738    293.0881    4.229075  -1.410 1.006e+07  11.01    36.904601   2.0    41.133919   1.0 KP   
   293.4936    293.4078    4.224468  -0.060 9.635e+07  11.01    36.904601   2.0    41.129312   3.0 KP   
   293.8585    293.7726    4.219222  -0.110 1.199e+08  11.01    36.904601   2.0    41.124066   2.0 KP   
   294.3515    294.2655    4.212155  -1.610 6.299e+06  11.01    37.097329   2.0    41.309726   1.0 KP   
   294.6560    294.5699    4.207803  -0.720 2.091e+07  11.01    36.856642   3.0    41.064687   3.0 KP   
   294.8307    294.7445    4.205311  -0.440 9.287e+07  11.01    37.097329   2.0    41.302882   1.0 KP   
   295.2098    295.1235    4.199910   0.710 4.361e+08  11.01    36.856642   3.0    41.056794   4.0 KP   
   295.3259    295.2396    4.198259  -0.580 4.023e+07  11.01    36.904601   2.0    41.103101   2.0 KP   
   296.0980    296.0115    4.187312  -0.320 7.283e+07  11.01    37.097329   2.0    41.284882   2.0 KP   
   296.6612    296.5746    4.179362  -0.680 5.278e+07  11.01    36.970296   1.0    41.149898   1.0 KP   
   297.1594    297.0727    4.172354  -1.820 1.633e+06  11.01    37.097329   2.0    41.269923   3.0 KP   
   297.5106    297.4238    4.167430  -0.890 1.942e+07  11.01    37.097329   2.0    41.264998   2.0 KP   
   297.5858    297.4990    4.166376  -0.670 5.368e+07  11.01    33.016940   0.0    37.183555   1.0 KP   
   297.7997    297.7128    4.163384  -0.910 3.084e+07  11.01    36.970296   1.0    41.133919   1.0 KP   
   298.0530    297.9660    4.159847   0.390 2.633e+08  11.01    36.904601   2.0    41.064687   3.0 KP   
   298.1494    298.0624    4.158500  -1.020 1.433e+07  11.01    36.856642   3.0    41.015381   2.0 KP   
   298.5045    298.4174    4.153554  -1.170 1.012e+07  11.01    32.943536   1.0    37.097329   2.0 KP   
   298.5062    298.4191    4.153531   0.310 3.057e+08  11.01    36.970296   1.0    41.124066   2.0 KP   
   300.0203    299.9329    4.132567  -1.570 3.989e+06  11.01    36.970296   1.0    41.103101   2.0 KP   
   300.5027    300.4151    4.125934  -3.510 7.609e+04  11.01    37.183555   1.0    41.309726   1.0 KP   
