Number of lines in output :  16182
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.1897    200.1249    6.193398  -3.389 6.796e+04  28.01     9.513622   5.5    15.707375   4.5 K88  
   200.2699    200.2050    6.190919  -3.155 1.940e+05  28.01     6.952915   2.5    13.144190   2.5 K88  
   200.2877    200.2228    6.190369  -3.148 2.956e+05  28.01     8.899049   2.5    15.089773   1.5 K88  
   200.3118    200.2469    6.189625  -2.859 1.150e+06  28.01     8.519499   0.5    14.709479   0.5 K88  
   200.3119    200.2470    6.189622  -2.998 1.670e+05  28.01     8.723985   4.5    14.913963   4.5 K88  
   200.3463    200.2814    6.188558  -2.670 3.553e+05  28.01     8.723985   4.5    14.912899   4.5 K88  
   200.3547    200.2898    6.188299  -2.533 4.058e+05  28.01     8.723985   4.5    14.912640   5.5 K88  
   200.3612    200.2963    6.188097  -3.553 5.813e+04  28.01     8.723985   4.5    14.912438   3.5 K88  
   200.4361    200.3712    6.185786  -3.793 3.343e+04  28.01     8.723985   4.5    14.910126   3.5 K88  
   200.4526    200.3877    6.185274  -2.865 2.831e+05  28.01     9.588651   2.5    15.774280   3.5 K88  
   200.4661    200.4012    6.184859  -2.372 1.762e+06  28.01     8.416635   2.5    14.601849   1.5 K88  
   200.4917    200.4268    6.184068  -0.929 4.885e+07  28.01     2.865255   2.5     9.049678   1.5 K88  
   200.5019    200.4370    6.183754  -2.741 5.020e+05  28.01     7.252723   2.5    13.436832   2.5 K88  
   200.5320    200.4671    6.182825  -4.032 2.568e+04  28.01     8.860228   3.5    15.043409   2.5 K88  
   200.5923    200.5274    6.180967  -3.024 1.307e+05  28.01     8.723985   4.5    14.905307   5.5 K88  
   200.6313    200.5664    6.179764  -2.732 7.678e+05  28.01     7.279101   1.5    13.459220   1.5 K88  
