Number of lines in output :  544
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   312.2984    312.2079    3.970095  -4.060 8.509e+03   8.00     9.146708   2.0    13.117031   3.0 KP   
   312.3009    312.2104    3.970063  -4.210 8.434e+03   8.00     9.146708   2.0    13.116999   2.0 KP   
   312.3025    312.2120    3.970042  -4.430 8.469e+03   8.00     9.146708   2.0    13.116978   1.0 KP   
   334.9141    334.8178    3.702008  -3.150 6.014e+04   8.00     9.146708   2.0    12.848929   3.0 KP   
   334.9197    334.8234    3.701946  -3.300 5.960e+04   8.00     9.146708   2.0    12.848867   2.0 KP   
   334.9237    334.8274    3.701902  -3.520 5.986e+04   8.00     9.146708   2.0    12.848823   1.0 KP   
   335.7113    335.6148    3.693216  -3.120 4.489e+05   8.00    12.542520   1.0    16.235948   0.0 KP   
   343.4413    343.3429    3.610091  -4.440 2.053e+04   8.00     9.522006   1.0    13.132304   0.0 KP   
   343.4413    343.3429    3.610091  -3.740 2.058e+04   8.00     9.522006   1.0    13.132304   2.0 KP   
   343.4413    343.3429    3.610091  -3.960 2.067e+04   8.00     9.522006   1.0    13.132304   1.0 KP   
   364.4382    364.3344    3.402098  -2.410 3.908e+05   8.00    12.542520   1.0    15.944813   2.0 KP   
   366.4675    366.3631    3.383260  -3.490 5.357e+04   8.00    10.989533   1.0    14.372987   1.0 KP   
   366.4750    366.3706    3.383190  -3.340 7.567e+04   8.00    10.989603   2.0    14.372987   1.0 KP   
   366.4771    366.3727    3.383171  -4.170 1.119e+04   8.00    10.989622   0.0    14.372987   1.0 KP   
   366.4991    366.3947    3.382968  -3.480 3.289e+04   8.00    10.740949   1.0    14.124111   2.0 KP   
   366.5262    366.4218    3.382717  -3.260 5.457e+04   8.00    10.741200   2.0    14.124111   2.0 KP   
   366.5756    366.4712    3.382261  -3.110 7.706e+04   8.00    10.741656   3.0    14.124111   2.0 KP   
   369.3407    369.2356    3.356940  -2.616 1.184e+06   8.00     9.522006   1.0    12.879138   0.0 BDEL 
   369.3437    369.2386    3.356912  -2.146 1.165e+06   8.00     9.522006   1.0    12.879111   1.0 BDEL 
   369.3446    369.2395    3.356905  -1.926 1.160e+06   8.00     9.522006   1.0    12.879103   2.0 BDEL 
   370.1469    370.0416    3.349628  -4.940 5.590e+03   8.00    12.767297   1.0    16.117118   0.0 KP   
   370.2190    370.1137    3.348976  -3.510 5.013e+04   8.00    12.767308   2.0    16.116477   1.0 KP   
   370.3477    370.2423    3.347812  -3.800 1.541e+04   8.00    12.767308   2.0    16.115313   2.0 KP   
   370.3477    370.2423    3.347812  -2.900 1.224e+05   8.00    12.767308   3.0    16.115313   2.0 KP   
   371.5755    371.4698    3.336750  -4.890 5.658e+02   8.00    12.754557   4.0    16.091499   5.0 KP   
   372.1003    371.9945    3.332044  -4.380 6.694e+03   8.00    13.073989   2.0    16.406224   1.0 KP   
   372.1698    372.0640    3.331421  -4.650 2.156e+03   8.00    13.073980   3.0    16.405592   2.0 KP   
   372.1709    372.0651    3.331411  -4.850 1.360e+03   8.00    13.073989   3.0    16.405592   2.0 KP   
   372.6221    372.5162    3.327377  -4.720 1.831e+03   8.00    13.240565   2.0    16.568134   2.0 KP   
   372.6221    372.5162    3.327377  -4.330 4.494e+03   8.00    13.240565   3.0    16.568134   2.0 KP   
   372.6226    372.5167    3.327372  -4.760 1.670e+03   8.00    13.240570   2.0    16.568134   2.0 KP   
   372.6226    372.5167    3.327372  -3.860 1.326e+04   8.00    13.240570   3.0    16.568134   2.0 KP   
   373.5705    373.4643    3.318930  -3.800 1.082e+04   8.00    12.767308   4.0    16.086429   3.0 KP   
   373.5705    373.4643    3.318930  -4.850 9.645e+02   8.00    12.767308   3.0    16.086429   3.0 KP   
   373.7423    373.6361    3.317404  -3.970 5.685e+03   8.00    13.073980   5.0    16.391574   4.0 KP   
   373.7423    373.6361    3.317404  -4.840 7.669e+02   8.00    13.073980   4.0    16.391574   4.0 KP   
   374.0937    373.9874    3.314289  -4.580 1.393e+03   8.00    12.767297   5.0    16.081776   4.0 KP   
   374.5506    374.4442    3.310245  -4.310 2.587e+03   8.00    12.767297   5.0    16.077732   4.0 KP   
   377.1829    377.0758    3.287143  -2.650 3.499e+05   8.00    12.542520   1.0    15.829852   1.0 KP   
   382.3662    382.2577    3.242584  -4.000 9.124e+03   8.00    12.540038   3.0    15.782808   2.0 KP   
   382.4499    382.3414    3.241874  -3.090 5.295e+04   8.00    12.540038   3.0    15.782099   3.0 KP   
   382.4953    382.3868    3.241489  -3.500 4.806e+04   8.00    12.541541   2.0    15.783216   1.0 KP   
   382.5434    382.4349    3.241081  -2.560 2.511e+05   8.00    12.541541   2.0    15.782808   2.0 KP   
   382.6108    382.5023    3.240510  -2.790 2.463e+05   8.00    12.542520   1.0    15.783216   1.0 KP   
   382.6272    382.5187    3.240372  -2.390 2.651e+05   8.00    12.541541   2.0    15.782099   3.0 KP   
   382.6591    382.5505    3.240102  -3.050 8.120e+04   8.00    12.542520   1.0    15.782808   2.0 KP   
   384.2186    384.1096    3.226951  -4.510 2.793e+03   8.00    13.340998   3.0    16.568134   2.0 KP   
   385.6107    385.5014    3.215301  -1.640 2.055e+06   8.00    12.729327   2.0    15.944813   2.0 KP   
   391.6807    391.5698    3.165472  -4.860 2.001e+03   8.00    13.240570   2.0    16.406224   1.0 KP   
   393.5012    393.3898    3.150828  -4.490 1.549e+03   8.00    13.240565   5.0    16.391574   4.0 KP   
   394.8412    394.7295    3.140134  -2.280 3.208e+05   8.00     9.146708   2.0    12.287023   3.0 NBS  
   394.8598    394.7481    3.139986  -2.430 3.179e+05   8.00     9.146708   2.0    12.286874   2.0 NBS  
   394.8703    394.7586    3.139903  -2.650 3.192e+05   8.00     9.146708   2.0    12.286791   1.0 NBS  
   395.3046    395.1928    3.136453  -4.020 4.076e+04   8.00    10.989533   1.0    14.126167   0.0 KP   
   395.4007    395.2888    3.135691  -4.760 2.471e+03   8.00    10.989533   1.0    14.125405   1.0 KP   
   395.4094    395.2975    3.135622  -3.180 9.395e+04   8.00    10.989603   2.0    14.125405   1.0 KP   
   395.4119    395.3000    3.135603  -4.780 2.360e+03   8.00    10.989622   0.0    14.125405   1.0 KP   
   395.5638    395.4519    3.134398  -3.770 1.448e+04   8.00    10.989533   1.0    14.124111   2.0 KP   
   395.5726    395.4607    3.134328  -3.510 2.635e+04   8.00    10.989603   2.0    14.124111   2.0 KP   
   399.9083    399.7953    3.100346  -2.700 2.774e+05   8.00    12.729327   2.0    15.829852   1.0 KP   
   405.7210    405.6064    3.055929  -4.080 6.741e+03   8.00    12.540038   3.0    15.596142   2.0 KP   
   405.8362    405.7216    3.055061  -4.100 1.072e+04   8.00    12.541541   2.0    15.596777   1.0 KP   
   405.8427    405.7281    3.055012  -3.320 2.769e+04   8.00    12.540038   3.0    15.595225   3.0 KP   
   405.9205    405.8059    3.054426  -3.430 3.008e+04   8.00    12.541541   2.0    15.596142   2.0 KP   
   405.9663    405.8517    3.054082  -3.620 3.236e+04   8.00    12.542520   1.0    15.596777   1.0 KP   
