Number of lines in output :  844
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   201.9625    201.8974    6.139033  -1.100 2.165e+07  15.00     2.324614   1.5     8.463999   2.5 KP   
   202.1817    202.1165    6.132379  -1.140 2.955e+07  15.00     2.321477   0.5     8.454208   1.5 KP   
   202.2851    202.2199    6.129242  -0.470 1.381e+08  15.00     2.324614   1.5     8.454208   1.5 KP   
   202.4132    202.3480    6.125364  -0.390 3.316e+08  15.00     2.321477   0.5     8.447192   0.5 KP   
   202.5169    202.4517    6.122227  -0.570 2.189e+08  15.00     2.324614   1.5     8.447192   0.5 KP   
   203.3081    203.2427    6.098401  -0.730 7.512e+07  15.00     2.321477   0.5     8.420228   1.5 KP   
   203.4128    203.3474    6.095264   0.000 4.030e+08  15.00     2.324614   1.5     8.420228   1.5 KP   
   206.3586    206.2926    6.008254  -3.710 1.527e+05  15.00     1.408682   1.5     7.417281   0.5 KP   
   206.8042    206.7382    5.995304  -4.070 3.319e+04  15.00     1.408682   1.5     7.404330   1.5 KP   
   206.8711    206.8050    5.993368  -3.910 4.794e+04  15.00     1.410617   2.5     7.404330   1.5 KP   
   207.5829    207.5167    5.972816  -4.540 7.440e+03  15.00     1.408682   1.5     7.381841   2.5 KP   
   207.6502    207.5840    5.970881  -3.570 6.939e+04  15.00     1.410617   2.5     7.381841   2.5 KP   
   213.6143    213.5469    5.804173  -1.240 2.103e+07  15.00     1.408682   1.5     7.213189   1.5 LAW  
   213.6856    213.6182    5.802238  -0.111 2.828e+08  15.00     1.410617   2.5     7.213189   1.5 LAW  
   214.9818    214.9142    5.767251  -0.357 3.172e+08  15.00     1.408682   1.5     7.176265   0.5 LAW  
   215.3616    215.2939    5.757082  -0.870 4.850e+07  15.00     2.321477   0.5     8.078889   1.5 LAW  
   215.4749    215.4072    5.754055  -0.610 5.877e+07  15.00     2.324614   1.5     8.078999   2.5 LAW  
   215.4790    215.4113    5.753945  -1.319 1.723e+07  15.00     2.324614   1.5     8.078889   1.5 LAW  
   222.3278    222.2586    5.576696  -4.620 5.395e+03  15.00     1.408682   1.5     6.985698   2.5 LAW  
   222.4050    222.3358    5.574761  -3.410 8.744e+04  15.00     1.410617   2.5     6.985698   2.5 LAW  
   223.5655    223.4961    5.545820  -3.410 1.298e+05  15.00     1.408682   1.5     6.954820   1.5 LAW  
   223.6436    223.5742    5.543884  -2.730 6.208e+05  15.00     1.410617   2.5     6.954820   1.5 LAW  
   224.3239    224.2543    5.527073  -3.220 3.993e+05  15.00     1.408682   1.5     6.936072   0.5 LAW  
   243.3228    243.2490    5.095512  -2.350 2.516e+06  15.00     2.321477   0.5     7.417281   0.5 KP   
   243.4727    243.3989    5.092375  -2.070 4.788e+06  15.00     2.324614   1.5     7.417281   0.5 KP   
   243.9429    243.8689    5.082561  -4.900 3.528e+03  15.00     2.321477   0.5     7.404330   1.5 KP   
   245.1789    245.1047    5.056937  -4.320 8.851e+03  15.00     2.324614   1.5     7.381841   2.5 KP   
   253.4748    253.3986    4.891431  -1.114 1.996e+07  15.00     2.321477   0.5     7.213189   1.5 LAW  
   253.6374    253.5612    4.888294  -0.434 9.542e+07  15.00     2.324614   1.5     7.213189   1.5 LAW  
   255.4026    255.3260    4.854509  -0.860 7.057e+07  15.00     2.321477   0.5     7.176265   0.5 LAW  
   255.5677    255.4911    4.851372  -1.231 3.000e+07  15.00     2.324614   1.5     7.176265   0.5 LAW  
   267.6092    267.5297    4.633078  -3.940 2.673e+04  15.00     2.321477   0.5     6.954820   1.5 LAW  
   267.7906    267.7110    4.629941  -3.250 1.308e+05  15.00     2.324614   1.5     6.954820   1.5 LAW  
   268.6965    268.6167    4.614330  -4.080 3.842e+04  15.00     2.321477   0.5     6.936072   0.5 LAW  
   268.8793    268.7995    4.611193  -4.060 4.018e+04  15.00     2.324614   1.5     6.936072   0.5 LAW  
   424.9748    424.8552    2.917477  -4.000 9.233e+03  15.00     6.954820   1.5     9.872465   1.5 GUES 
   428.1223    428.0019    2.896028  -2.500 2.877e+05  15.00     6.936072   0.5     9.832267   1.5 GUES 
   429.5205    429.3997    2.886601  -2.000 9.039e+05  15.00     6.985698   2.5     9.872465   1.5 GUES 
   430.6199    430.4988    2.879231  -2.300 3.005e+05  15.00     6.985698   2.5     9.865095   2.5 GUES 
