Number of lines in output :  402
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm        / eV              / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   208.3997    208.3334    5.949405  -3.960 5.613e+04  16.00     2.750149   0.0     8.699896   1.0 KP   
   216.9564    216.8884    5.714762  -3.980 4.946e+04  16.00     1.145519   2.0     6.860609   1.0 NBS  
   219.1234    219.0549    5.658249  -3.040 4.223e+05  16.00     2.750149   0.0     8.408723   1.0 NBS  
   301.6514    301.5635    4.110224  -4.310 1.197e+04  16.00     2.750149   0.0     6.860609   1.0 NBS  
   368.1644    368.0596    3.367665  -2.540 2.027e+05  16.00     6.524940   2.0     9.892799   3.0 KP   
   396.3095    396.1974    3.128501  -2.110 4.709e+05  16.00     6.524940   2.0     9.653620   3.0 KP   
   396.3599    396.2478    3.128102  -2.280 4.456e+05  16.00     6.524940   2.0     9.653222   2.0 KP   
   396.3991    396.2870    3.127793  -2.500 4.474e+05  16.00     6.524940   2.0     9.652913   1.0 KP   
   403.3388    403.2249    3.073977  -2.370 1.749e+06  16.00     6.860609   1.0     9.934763   0.0 KP   
   403.3983    403.2843    3.073525  -1.900 1.720e+06  16.00     6.860609   1.0     9.934310   1.0 KP   
   403.5168    403.4028    3.072622  -1.690 1.673e+06  16.00     6.860609   1.0     9.933407   2.0 KP   
   415.1582    415.0412    2.986462  -3.601 9.698e+04  16.00     6.860609   1.0     9.847242   0.0 FOS  
   415.3775    415.2604    2.984886  -3.131 9.531e+04  16.00     6.860609   1.0     9.845666   1.0 FOS  
   415.8870    415.7698    2.981229  -2.910 9.489e+04  16.00     6.860609   1.0     9.842009   2.0 FOS  
   442.8162    442.6919    2.799930  -2.000 1.134e+06  16.00     6.860609   1.0     9.660700   1.0 KP   
   443.0386    442.9142    2.798525  -1.900 4.278e+06  16.00     6.860609   1.0     9.659294   0.0 KP   
   443.2679    443.1435    2.797077  -1.900 8.547e+05  16.00     6.860609   1.0     9.657846   2.0 KP   
   469.5427    469.4113    2.640558  -1.770 7.340e+05  16.00     6.524940   2.0     9.165649   3.0 NBS  
   469.6757    469.5443    2.639810  -1.920 7.270e+05  16.00     6.524940   2.0     9.164901   2.0 NBS  
   469.7566    469.6252    2.639355  -2.140 7.299e+05  16.00     6.524940   2.0     9.164446   1.0 NBS  
   527.9597    527.8128    2.348388  -2.500 7.567e+05  16.00     6.860609   1.0     9.209132   0.0 NBS  
   528.0169    527.8700    2.348134  -2.100 6.334e+05  16.00     6.860609   1.0     9.208878   1.0 NBS  
   528.0462    527.8993    2.348004  -1.900 6.023e+05  16.00     6.860609   1.0     9.208747   2.0 NBS  
   549.9723    549.8195    2.254394  -1.460 1.529e+06  16.00     7.866840   1.0    10.121364   2.0 LW   
   550.3090    550.1562    2.253015  -1.260 1.729e+06  16.00     7.868214   2.0    10.121358   3.0 LW   
   550.8535    550.7005    2.250788  -1.110 1.896e+06  16.00     7.870434   3.0    10.121352   4.0 LW   
   560.6828    560.5272    2.211329  -2.310 2.078e+05  16.00     7.866840   1.0    10.078296   2.0 KP   
   561.0313    560.8756    2.209956  -2.080 3.525e+05  16.00     7.868214   2.0    10.078296   2.0 KP   
   561.5956    561.4397    2.207735  -1.940 4.856e+05  16.00     7.870434   3.0    10.078296   2.0 KP   
