Number of lines in output :  2063
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   200.2264    200.1616    6.192262  -3.114 1.828e+05  21.01     3.402816   2.0     9.595433   3.0 K88  
   200.7497    200.6848    6.176121  -1.822 4.987e+06  21.01     3.402816   2.0     9.579292   2.0 K88  
   200.7524    200.6875    6.176036  -2.538 9.590e+05  21.01     3.474431   2.0     9.650822   2.0 K88  
   200.8649    200.7999    6.172580  -1.704 4.669e+06  21.01     3.422498   3.0     9.595433   3.0 K88  
   200.9991    200.9341    6.168459  -1.146 3.932e+07  21.01     3.402816   2.0     9.571629   1.0 K88  
   201.2246    201.1596    6.161543  -1.802 8.662e+06  21.01     3.218252   0.0     9.380149   1.0 K88  
   201.3178    201.2528    6.158693  -3.772 5.564e+04  21.01     3.491776   3.0     9.650822   2.0 K88  
   201.3914    201.3264    6.156440  -0.986 3.397e+07  21.01     3.422498   3.0     9.579292   2.0 K88  
   201.6955    201.6304    6.147158  -0.873 4.393e+07  21.01     3.820918   1.0     9.968429   2.0 K88  
   201.8334    201.7683    6.142960  -0.797 3.733e+07  21.01     3.452120   4.0     9.595433   3.0 K88  
   202.2716    202.2064    6.129650  -1.762 9.400e+06  21.01     3.687076   0.0     9.817079   1.0 K88  
   202.2957    202.2305    6.128920  -1.321 2.594e+07  21.01     3.687807   1.0     9.817079   1.0 K88  
   202.5691    202.5038    6.120650  -1.802 3.663e+06  21.01     3.474431   2.0     9.595433   3.0 K88  
   202.6310    202.5657    6.118782  -1.138 3.941e+07  21.01     3.697945   2.0     9.817079   1.0 K88  
   202.6786    202.6133    6.117344  -1.840 4.694e+06  21.01     3.461597   1.0     9.579292   2.0 K88  
   202.9327    202.8674    6.109681  -1.436 1.978e+07  21.01     3.461597   1.0     9.571629   1.0 K88  
   203.1047    203.0393    6.104510  -1.299 1.624e+07  21.01     3.474431   2.0     9.579292   2.0 K88  
   203.1447    203.0793    6.103307  -1.004 2.288e+07  21.01     3.491776   3.0     9.595433   3.0 K88  
   203.3599    203.2945    6.096848  -1.808 8.365e+06  21.01     3.474431   2.0     9.571629   1.0 K88  
   203.4770    203.4116    6.093338  -3.436 1.181e+05  21.01     3.402816   2.0     9.496503   2.0 K88  
   203.6834    203.6179    6.087167  -1.675 6.796e+06  21.01     3.491776   3.0     9.579292   2.0 K88  
   203.9305    203.8650    6.079790  -3.801 5.072e+04  21.01     3.820918   1.0     9.901056   2.0 K88  
   203.9934    203.9279    6.077914  -2.648 1.202e+06  21.01     3.687076   0.0     9.765339   1.0 K88  
   204.0179    203.9524    6.077184  -2.624 1.270e+06  21.01     3.687807   1.0     9.765339   1.0 K88  
   204.1364    204.0709    6.073656  -2.384 1.322e+06  21.01     3.422498   3.0     9.496503   2.0 K88  
   204.3589    204.2933    6.067045  -2.763 9.188e+05  21.01     3.697945   2.0     9.765339   1.0 K88  
   204.4275    204.3619    6.065007  -2.973 5.661e+05  21.01     3.402816   2.0     9.468171   1.0 K88  
   204.8168    204.7511    6.053481  -2.546 6.461e+05  21.01     3.697945   2.0     9.751774   3.0 K88  
   204.9273    204.8616    6.050217  -1.661 6.934e+06  21.01     3.687807   1.0     9.738371   2.0 K88  
   204.9661    204.9004    6.049070  -1.469 7.703e+06  21.01     3.697945   2.0     9.747363   3.0 K88  
   205.1123    205.0466    6.044758  -3.089 2.583e+05  21.01     4.011157   3.0    10.056262   2.0 K88  
   205.1577    205.0920    6.043420  -2.108 4.119e+06  21.01     3.687076   0.0     9.730843   1.0 K88  
   205.1825    205.1168    6.042690  -2.160 3.654e+06  21.01     3.687807   1.0     9.730843   1.0 K88  
   205.2713    205.2055    6.040078  -2.373 1.341e+06  21.01     3.697945   2.0     9.738371   2.0 K88  
   205.4590    205.3932    6.034560  -2.098 2.522e+06  21.01     3.461597   1.0     9.496503   2.0 K88  
   205.5274    205.4616    6.032551  -4.566 1.430e+04  21.01     3.697945   2.0     9.730843   1.0 K88  
   205.8879    205.8220    6.021988  -2.792 3.629e+05  21.01     3.697945   2.0     9.720279   3.0 K88  
   205.8969    205.8310    6.021726  -0.931 3.689e+07  21.01     3.474431   2.0     9.496503   2.0 K88  
   206.0605    205.9946    6.016943  -1.927 6.195e+06  21.01     3.687076   0.0     9.704365   1.0 K88  
   206.0855    206.0196    6.016212  -1.479 1.737e+07  21.01     3.687807   1.0     9.704365   1.0 K88  
   206.4281    206.3621    6.006229  -0.918 6.302e+07  21.01     3.461597   1.0     9.468171   1.0 K88  
   206.4335    206.3675    6.006074  -1.241 2.995e+07  21.01     3.697945   2.0     9.704365   1.0 K88  
   206.4916    206.4256    6.004383  -0.150 2.215e+08  21.01     3.491776   3.0     9.496503   2.0 MFW  
   206.7750    206.7090    5.996150  -0.106 1.358e+08  21.01     4.011157   3.0    10.007652   4.0 K88  
   206.7865    206.7205    5.995817  -2.479 1.726e+06  21.01     3.820918   1.0     9.817079   1.0 K88  
   206.8168    206.7508    5.994939  -1.104 2.455e+07  21.01     3.233892   2.0     9.229175   2.0 K88  
   206.8702    206.8041    5.993395  -0.420 1.975e+08  21.01     3.474431   2.0     9.468171   1.0 MFW  
   206.9305    206.8644    5.991648  -0.783 2.567e+08  21.01     3.461597   1.0     9.453590   0.0 K88  
   207.9361    207.8698    5.962673  -3.853 4.328e+04  21.01     3.687807   1.0     9.650822   2.0 K88  
   208.1365    208.0702    5.956930  -1.640 7.054e+06  21.01     4.011157   3.0     9.968429   2.0 K88  
   208.2901    208.2238    5.952535  -3.109 2.392e+05  21.01     3.697945   2.0     9.650822   2.0 K88  
   208.5864    208.5200    5.944080  -1.496 1.631e+07  21.01     3.820918   1.0     9.765339   1.0 K88  
   208.8224    208.7560    5.937361  -3.047 1.961e+05  21.01     4.878552   2.0    10.816254   3.0 K88  
   209.5371    209.4705    5.917113  -3.527 9.029e+04  21.01     3.820918   1.0     9.738371   2.0 K88  
   209.8039    209.7373    5.909586  -3.144 3.626e+05  21.01     3.820918   1.0     9.730843   1.0 K88  
   209.8580    209.7914    5.908062  -3.160 1.164e+05  21.01     4.011157   3.0     9.919559   4.0 K88  
   210.2464    210.1797    5.897149  -0.821 3.255e+07  21.01     3.697945   2.0     9.595433   3.0 K88  
   210.2806    210.2139    5.896190  -1.353 2.231e+07  21.01     4.835983   0.0    10.732511   1.0 K88  
   210.4606    210.3939    5.891147  -1.096 2.414e+07  21.01     3.687807   1.0     9.579292   2.0 K88  
   210.5173    210.4505    5.889561  -3.487 9.808e+04  21.01     4.011157   3.0     9.901056   2.0 K88  
   210.5598    210.4930    5.888374  -1.260 1.654e+07  21.01     4.849974   1.0    10.738686   2.0 K88  
   210.7086    210.6418    5.884215  -1.435 1.839e+07  21.01     3.687076   0.0     9.571629   1.0 K88  
   210.7347    210.6679    5.883485  -1.539 1.447e+07  21.01     3.687807   1.0     9.571629   1.0 K88  
   210.7482    210.6814    5.883109  -2.948 5.643e+05  21.01     3.820918   1.0     9.704365   1.0 K88  
   210.7808    210.7140    5.882199  -1.479 1.661e+07  21.01     4.849974   1.0    10.732511   1.0 K88  
   210.8234    210.7566    5.881009  -1.538 8.696e+06  21.01     3.697945   2.0     9.579292   2.0 K88  
   210.9460    210.8792    5.877589  -0.778 3.570e+07  21.01     4.878552   2.0    10.756479   3.0 K88  
   211.0985    211.0316    5.873347  -2.686 1.028e+06  21.01     3.697945   2.0     9.571629   1.0 K88  
   211.5866    211.5196    5.859797  -1.716 5.730e+06  21.01     4.878552   2.0    10.738686   2.0 K88  
   211.8097    211.7427    5.853623  -2.658 1.089e+06  21.01     4.878552   2.0    10.732511   1.0 K88  
   212.6837    212.6165    5.829570  -1.014 2.856e+07  21.01     3.820918   1.0     9.650822   2.0 K88  
   212.8131    212.7459    5.826025  -3.109 2.292e+05  21.01     3.402816   2.0     9.229175   2.0 K88  
   213.1574    213.0901    5.816616  -2.961 5.353e+05  21.01     4.835983   0.0    10.652932   1.0 K88  
   213.4602    213.3929    5.808363  -3.000 2.928e+05  21.01     3.687807   1.0     9.496503   2.0 K88  
   213.6713    213.6039    5.802625  -3.089 3.967e+05  21.01     4.849974   1.0    10.652932   1.0 K88  
   213.6713    213.6039    5.802625  -2.680 6.105e+05  21.01     4.849974   1.0    10.652932   2.0 K88  
   213.8334    213.7660    5.798225  -3.164 2.000e+05  21.01     3.697945   2.0     9.496503   2.0 K88  
   213.8906    213.8232    5.796674  -3.551 8.199e+04  21.01     4.849974   1.0    10.646981   2.0 K88  
   214.4793    214.4118    5.780763  -3.248 2.730e+05  21.01     3.687076   0.0     9.468171   1.0 K88  
   214.5064    214.4389    5.780033  -4.338 2.219e+04  21.01     3.687807   1.0     9.468171   1.0 K88  
   214.7127    214.6451    5.774481  -3.121 2.190e+05  21.01     4.849974   1.0    10.624786   2.0 K88  
   214.7288    214.6612    5.774049  -3.141 2.091e+05  21.01     4.878552   2.0    10.652932   2.0 K88  
   214.7288    214.6612    5.774049  -4.271 2.584e+04  21.01     4.878552   2.0    10.652932   1.0 K88  
   214.8834    214.8158    5.769894  -3.035 4.442e+05  21.01     3.697945   2.0     9.468171   1.0 K88  
   214.9503    214.8827    5.768098  -4.105 2.267e+04  21.01     4.878552   2.0    10.646981   2.0 K88  
   214.9503    214.8827    5.768098  -2.410 8.023e+05  21.01     4.878552   2.0    10.646981   3.0 K88  
   215.0490    214.9813    5.765452  -3.078 1.205e+06  21.01     3.687807   1.0     9.453590   0.0 K88  
   215.3256    215.2579    5.758044  -3.763 4.966e+04  21.01     3.820918   1.0     9.579292   2.0 K88  
