Number of lines in output :  559
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   201.5575    201.4924    6.151370  -0.120 6.227e+08  14.01     9.505933   0.5    15.657657   0.5 KP   
   201.7306    201.6655    6.146088   0.190 6.346e+08  14.01     9.505933   0.5    15.652374   1.5 KP   
   204.8893    204.8236    6.051339  -1.780 4.395e+06  14.01     9.837384   1.5    15.889070   2.5 KP   
   204.9587    204.8930    6.049291  -1.630 4.653e+06  14.01     9.839432   2.5    15.889070   3.5 KP   
   204.9587    204.8930    6.049291  -2.930 3.109e+05  14.01     9.839432   2.5    15.889070   2.5 KP   
   205.8634    205.7975    6.022704  -2.400 1.566e+06  14.01     6.857948   1.5    12.880998   1.5 GUES 
   205.9305    205.8646    6.020742  -1.000 3.932e+07  14.01     6.859911   2.5    12.880998   1.5 GUES 
   205.9674    205.9015    6.019665  -1.000 7.861e+07  14.01     6.857948   1.5    12.877959   0.5 GUES 
   206.2865    206.2206    6.010349  -3.440 1.423e+05  14.01     8.121571   0.5    14.132265   1.5 KP   
   206.3490    206.2830    6.008534  -3.740 1.425e+05  14.01     8.121571   0.5    14.130450   0.5 KP   
   206.5570    206.4910    6.002482  -2.010 2.546e+06  14.01    13.487750   1.5    19.490577   2.5 KP   
   206.5779    206.5119    6.001875  -1.060 3.403e+07  14.01    13.487750   1.5    19.489969   1.5 KP   
   206.7358    206.6698    5.997287  -0.870 3.509e+07  14.01    13.492945   2.5    19.490577   2.5 KP   
   206.7568    206.6908    5.996680  -2.010 3.812e+06  14.01    13.492945   2.5    19.489969   1.5 KP   
   207.2676    207.2015    5.981902  -0.432 9.570e+07  14.01     6.857948   1.5    12.840193   2.5 BBCB 
   207.3356    207.2695    5.979939  -1.572 6.928e+06  14.01     6.859911   2.5    12.840193   2.5 BBCB 
   207.3361    207.2700    5.979923  -0.272 1.037e+08  14.01     6.859911   2.5    12.840177   3.5 BBCB 
   208.2249    208.1586    5.954401  -1.630 6.010e+06  14.01     9.837384   1.5    15.792126   2.5 KP   
   208.2965    208.2302    5.952353  -2.770 4.351e+05  14.01     9.839432   2.5    15.792126   2.5 KP   
   208.2965    208.2302    5.952353  -1.470 6.511e+06  14.01     9.839432   2.5    15.792126   3.5 KP   
   208.5495    208.4831    5.945133  -4.620 9.197e+03  14.01     9.505933   0.5    15.451407   1.5 KP   
   209.7630    209.6964    5.910738  -4.030 2.358e+04  14.01    10.415903   1.5    16.326981   2.5 KP   
   209.7670    209.7004    5.910628  -4.370 3.233e+04  14.01     9.505933   0.5    15.416900   0.5 KP   
   209.8198    209.7532    5.909140  -4.370 1.616e+04  14.01     9.505933   0.5    15.415412   1.5 KP   
   211.8334    211.7664    5.852968  -4.420 2.826e+04  14.01     9.837384   1.5    15.690688   0.5 KP   
   211.9956    211.9286    5.848490  -4.500 1.173e+04  14.01     9.839432   2.5    15.688258   1.5 KP   
   212.9185    212.8513    5.823140  -1.450 8.701e+06  14.01     9.837384   1.5    15.660858   2.5 KP   
   212.9934    212.9262    5.821092  -1.290 9.425e+06  14.01     9.839432   2.5    15.660858   3.5 KP   
   212.9934    212.9262    5.821092  -2.600 6.155e+05  14.01     9.839432   2.5    15.660858   2.5 KP   
   213.4686    213.4013    5.808135  -0.400 7.284e+07  14.01    13.492945   2.5    19.301414   3.5 GUES 
   213.7072    213.6398    5.801651   0.050 2.731e+08  14.01    13.487750   1.5    19.289733   2.5 KP   
   213.7241    213.6567    5.801192   0.200 2.893e+08  14.01    13.492945   2.5    19.294470   3.5 KP   
   213.8987    213.8313    5.796456  -1.100 1.930e+07  14.01    13.492945   2.5    19.289733   2.5 KP   
   218.8835    218.8151    5.664448  -4.760 1.210e+04  14.01     9.837384   1.5    15.502157   0.5 KP   
   218.9206    218.8521    5.663491  -4.680 7.269e+03  14.01     9.839432   2.5    15.503249   1.5 KP   
   219.8593    219.7906    5.639309  -1.240 1.323e+07  14.01     9.837384   1.5    15.477017   2.5 KP   
   219.9392    219.8705    5.637261  -2.390 9.362e+05  14.01     9.839432   2.5    15.477017   2.5 KP   
   219.9395    219.8708    5.637253  -1.090 1.401e+07  14.01     9.839432   2.5    15.477009   3.5 KP   
   222.5940    222.5248    5.570026  -0.570 9.058e+07  14.01     9.505933   0.5    15.076279   1.5 KP   
   223.3201    223.2507    5.551916  -0.850 9.446e+07  14.01     9.505933   0.5    15.058167   0.5 KP   
   228.3097    228.2392    5.430583  -4.800 5.070e+03  14.01     9.837384   1.5    15.268279   1.5 KP   
   228.3958    228.3253    5.428535  -3.850 4.515e+04  14.01     9.839432   2.5    15.268279   1.5 KP   
   228.5237    228.4532    5.425495  -4.480 2.115e+04  14.01     9.837384   1.5    15.263190   0.5 KP   
   230.8569    230.7859    5.370661  -0.990 2.134e+07  14.01     9.837384   1.5    15.208353   2.5 KP   
   230.9236    230.8526    5.369110  -1.770 5.310e+06  14.01    10.067122   0.5    15.436541   1.5 KP   
   230.9450    230.8740    5.368613  -2.130 1.545e+06  14.01     9.839432   2.5    15.208353   2.5 KP   
   230.9456    230.8746    5.368598  -0.830 2.312e+07  14.01     9.839432   2.5    15.208338   3.5 KP   
   231.2439    231.1728    5.361673  -2.470 1.057e+06  14.01    10.074559   1.5    15.436541   1.5 KP   
   231.2439    231.1728    5.361673  -1.520 6.278e+06  14.01    10.074559   1.5    15.436541   2.5 KP   
   231.3842    231.3131    5.358423  -2.780 1.034e+06  14.01    14.168089   1.5    19.526820   0.5 KP   
   231.5059    231.4347    5.355608  -3.180 2.056e+05  14.01    14.168089   1.5    19.524005   1.5 KP   
   231.7736    231.7024    5.349421  -4.310 1.014e+04  14.01    14.168089   1.5    19.517818   2.5 KP   
   231.8359    231.7647    5.347982  -2.580 8.160e+05  14.01    14.175716   2.5    19.524005   1.5 KP   
   232.0974    232.0261    5.341957  -2.280 3.249e+06  14.01    10.067122   0.5    15.409386   0.5 KP   
   232.1045    232.0332    5.341795  -3.050 1.839e+05  14.01    14.175716   2.5    19.517818   2.5 KP   
   232.4210    232.3496    5.334521  -1.980 6.465e+06  14.01    10.074559   1.5    15.409386   0.5 KP   
   232.5764    232.5050    5.330955  -2.380 8.567e+05  14.01    14.186557   3.5    19.517818   2.5 KP   
