Number of lines in output :  8973
--------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air    E_Photon   log_gf   A-Value   Elem. E_lower_lev.   J   E_upper_lev.   J   Ref.
     / nm        / nm       / eV               / 1/s   (Code)     / eV     lower     / eV     upper     
--------------------------------------------------------------------------------------------------------
   203.4575    203.3921    6.093924  -3.514 7.048e+04  22.00     0.000000   2.0     6.094274   3.0 K88  
   203.6682    203.6027    6.087619  -2.262 1.759e+06  22.00     0.000000   2.0     6.087969   2.0 K88  
   203.7475    203.6820    6.085251  -1.691 1.091e+07  22.00     0.000000   2.0     6.085601   1.0 K88  
   204.1641    204.0986    6.072830  -2.251 1.283e+06  22.00     0.021095   3.0     6.094274   3.0 K88  
   204.3764    204.3108    6.066526  -1.451 1.131e+07  22.00     0.021095   3.0     6.087969   2.0 K88  
   205.0716    205.0059    6.045957  -1.307 1.117e+07  22.00     0.047969   4.0     6.094274   3.0 K88  
   205.6358    205.5700    6.029371  -2.293 1.148e+06  22.00     0.000000   2.0     6.029717   3.0 K88  
   205.7411    205.6753    6.026282  -2.370 7.469e+05  22.00     0.021095   3.0     6.047723   4.0 K88  
   206.0059    205.9400    6.018538  -2.233 1.313e+06  22.00     0.000000   2.0     6.018884   3.0 K88  
   206.1251    206.0592    6.015057  -1.997 1.756e+06  22.00     0.021095   3.0     6.036497   4.0 K88  
   206.2365    206.1706    6.011808  -1.800 2.259e+06  22.00     0.047969   4.0     6.060123   5.0 K88  
   206.3533    206.2873    6.008406  -2.157 2.182e+06  22.00     0.000000   2.0     6.008751   2.0 K88  
   206.3578    206.2918    6.008277  -2.259 1.232e+06  22.00     0.021095   3.0     6.029717   3.0 K88  
   206.6627    206.5967    5.999409  -2.076 1.457e+06  22.00     0.047969   4.0     6.047723   4.0 K88  
   206.7304    206.6644    5.997445  -2.235 1.298e+06  22.00     0.021095   3.0     6.018884   3.0 K88  
   207.0502    206.9841    5.988184  -2.289 8.887e+05  22.00     0.047969   4.0     6.036497   4.0 K88  
   207.0803    207.0142    5.987312  -2.971 3.326e+05  22.00     0.021095   3.0     6.008751   2.0 K88  
   207.2848    207.2187    5.981404  -4.239 1.279e+04  22.00     0.047969   4.0     6.029717   3.0 K88  
   211.4481    211.3812    5.863634  -2.320 7.934e+05  22.00     0.021095   3.0     5.885066   4.0 K88  
   211.4974    211.4305    5.862267  -2.431 7.896e+05  22.00     0.000000   2.0     5.862604   3.0 K88  
   211.9203    211.8533    5.850568  -1.175 1.985e+07  22.00     0.000000   2.0     5.850904   2.0 K88  
   212.2612    212.1941    5.841173  -1.041 1.924e+07  22.00     0.021095   3.0     5.862604   3.0 K88  
   212.4216    212.3545    5.836762  -0.895 2.092e+07  22.00     0.047969   4.0     5.885066   4.0 K88  
   212.6872    212.6200    5.829474  -2.191 1.900e+06  22.00     0.021095   3.0     5.850904   2.0 K88  
   213.2422    213.1749    5.814300  -2.366 9.022e+05  22.00     0.047969   4.0     5.862604   3.0 K88  
   214.0163    213.9488    5.793272  -4.201 1.310e+04  22.00     0.000000   2.0     5.793604   3.0 K88  
   214.2798    214.2123    5.786147  -2.986 1.667e+05  22.00     0.021095   3.0     5.807575   4.0 K88  
   214.4292    214.3617    5.782115  -1.777 2.204e+06  22.00     0.047969   4.0     5.830417   5.0 K88  
   214.7984    214.7308    5.772178  -2.072 1.750e+06  22.00     0.021095   3.0     5.793604   3.0 K88  
   215.2796    215.2119    5.759274  -2.117 1.221e+06  22.00     0.047969   4.0     5.807575   4.0 K88  
   215.8031    215.7353    5.745305  -4.154 1.435e+04  22.00     0.047969   4.0     5.793604   3.0 K88  
   216.9784    216.9103    5.714184  -2.616 3.811e+05  22.00     0.021095   3.0     5.735607   4.0 K88  
   218.0037    217.9354    5.687311  -2.175 1.042e+06  22.00     0.047969   4.0     5.735607   4.0 K88  
   221.2082    221.1393    5.604919  -2.843 2.795e+05  22.00     0.000000   2.0     5.605241   3.0 K88  
   221.3464    221.2774    5.601422  -4.831 4.018e+03  22.00     0.000000   2.0     5.601743   2.0 K88  
   221.9076    221.8385    5.587255  -1.378 1.135e+07  22.00     0.000000   2.0     5.587576   2.0 K88  
   222.0439    221.9748    5.583825  -1.440 7.017e+06  22.00     0.021095   3.0     5.605241   3.0 K88  
   222.1830    222.1139    5.580328  -4.126 2.022e+04  22.00     0.021095   3.0     5.601743   2.0 K88  
   222.2139    222.1448    5.579553  -1.555 5.376e+06  22.00     0.000000   2.0     5.579874   3.0 K88  
   222.3883    222.3191    5.575178  -0.766 7.705e+07  22.00     0.000000   2.0     5.575498   1.0 K88  
   222.5804    222.5112    5.570367  -1.564 4.082e+06  22.00     0.021095   3.0     5.591782   4.0 K88  
   222.6044    222.5352    5.569764  -1.066 1.652e+07  22.00     0.000000   2.0     5.570084   3.0 K88  
   222.7486    222.6793    5.566161  -0.643 6.117e+07  22.00     0.021095   3.0     5.587576   2.0 K88  
   222.8627    222.7934    5.563311  -0.945 1.694e+07  22.00     0.021095   3.0     5.584725   4.0 K88  
   222.9255    222.8562    5.561743  -3.475 1.499e+05  22.00     0.000000   2.0     5.562062   1.0 K88  
   223.0418    222.9725    5.558843  -1.005 2.651e+07  22.00     0.000000   2.0     5.559162   2.0 K88  
   223.0572    222.9879    5.558459  -0.939 2.204e+07  22.00     0.021095   3.0     5.579874   3.0 K88  
   223.0911    223.0218    5.557613  -0.780 2.022e+07  22.00     0.047969   4.0     5.605902   5.0 K88  
   223.1177    223.0484    5.556953  -0.485 6.266e+07  22.00     0.047969   4.0     5.605241   3.0 K88  
   223.4507    223.3813    5.548671  -1.515 5.830e+06  22.00     0.021095   3.0     5.570084   3.0 K88  
   223.6594    223.5899    5.543494  -0.717 2.843e+07  22.00     0.047969   4.0     5.591782   4.0 K88  
   223.8914    223.8219    5.537749  -1.403 1.052e+07  22.00     0.021095   3.0     5.559162   2.0 K88  
   223.9444    223.8749    5.536438  -1.484 4.848e+06  22.00     0.047969   4.0     5.584725   4.0 K88  
   224.1409    224.0713    5.531586  -1.413 7.328e+06  22.00     0.047969   4.0     5.579874   3.0 K88  
   224.5381    224.4685    5.521798  -2.596 4.791e+05  22.00     0.047969   4.0     5.570084   3.0 K88  
   225.8140    225.7441    5.490600  -2.875 2.492e+05  22.00     0.000000   2.0     5.490915   3.0 K88  
   226.0723    226.0023    5.484329  -3.026 1.756e+05  22.00     0.000000   2.0     5.484644   3.0 K88  
   226.2481    226.1781    5.480066  -2.043 1.311e+06  22.00     0.021095   3.0     5.501476   4.0 K88  
   226.4719    226.4018    5.474650  -0.940 2.133e+07  22.00     0.000000   2.0     5.474965   3.0 SK   
   226.6849    226.6148    5.469506  -3.393 7.502e+04  22.00     0.021095   3.0     5.490915   3.0 K88  
   226.8068    226.7367    5.466565  -1.395 4.747e+06  22.00     0.047969   4.0     5.514848   5.0 K88  
   226.8244    226.7543    5.466142  -0.833 2.116e+07  22.00     0.021095   3.0     5.487551   4.0 K88  
   226.8610    226.7909    5.465258  -1.675 5.478e+06  22.00     0.000000   2.0     5.465572   2.0 K88  
   226.9452    226.8750    5.463235  -1.368 7.928e+06  22.00     0.021095   3.0     5.484644   3.0 K88  
   227.3311    227.2609    5.453958  -0.787 1.916e+07  22.00     0.047969   4.0     5.502241   5.0 K88  
   227.3478    227.2776    5.453556  -2.041 1.677e+06  22.00     0.021095   3.0     5.474965   3.0 K88  
   227.3630    227.2928    5.453193  -2.372 6.088e+05  22.00     0.047969   4.0     5.501476   4.0 K88  
   227.3983    227.3280    5.452348  -0.870 5.800e+07  22.00     0.000000   2.0     5.452661   1.0 SK   
   227.7400    227.6697    5.444164  -0.310 1.260e+08  22.00     0.021095   3.0     5.465572   2.0 MFW  
   227.8041    227.7338    5.442633  -2.104 1.445e+06  22.00     0.047969   4.0     5.490915   3.0 K88  
   227.9451    227.8747    5.439269  -2.106 1.117e+06  22.00     0.047969   4.0     5.487551   4.0 K88  
   228.0669    227.9965    5.436362  -0.290 9.395e+07  22.00     0.047969   4.0     5.484644   3.0 MFW  
   228.3134    228.2429    5.430495  -3.336 1.181e+05  22.00     0.000000   2.0     5.430807   2.0 K88  
   228.4338    228.3633    5.427632  -4.511 3.583e+03  22.00     0.047969   4.0     5.475913   5.0 K88  
   228.4737    228.4032    5.426684  -4.038 1.672e+04  22.00     0.047969   4.0     5.474965   3.0 K88  
   228.7792    228.7086    5.419438  -3.616 6.171e+04  22.00     0.000000   2.0     5.419750   2.0 K88  
   229.2036    229.1330    5.409401  -2.539 7.340e+05  22.00     0.021095   3.0     5.430807   2.0 K88  
   229.4465    229.3758    5.403675  -1.659 3.969e+06  22.00     0.000000   2.0     5.403985   3.0 K88  
   229.4924    229.4217    5.402593  -1.688 2.886e+06  22.00     0.021095   3.0     5.423999   4.0 K88  
   229.6731    229.6023    5.398344  -3.481 8.355e+04  22.00     0.021095   3.0     5.419750   2.0 K88  
   229.8639    229.7931    5.393862  -2.518 4.255e+05  22.00     0.021095   3.0     5.415267   4.0 K88  
   230.0566    229.9858    5.389343  -0.560 6.942e+07  22.00     0.000000   2.0     5.389653   2.0 MFW  
   230.3457    230.2748    5.382581  -0.500 5.679e+07  22.00     0.021095   3.0     5.403985   3.0 MFW  
   230.6397    230.5687    5.375721  -0.430 5.176e+07  22.00     0.047969   4.0     5.423999   4.0 MFW  
   230.9606    230.8896    5.368249  -2.051 2.224e+06  22.00     0.021095   3.0     5.389653   2.0 K88  
   231.0148    230.9438    5.366989  -1.487 4.525e+06  22.00     0.047969   4.0     5.415267   4.0 K88  
   231.5015    231.4303    5.355708  -2.188 1.153e+06  22.00     0.047969   4.0     5.403985   3.0 K88  
   232.9507    232.8792    5.322391  -2.681 8.540e+05  22.00     0.000000   2.0     5.322697   1.0 K88  
   235.0089    234.9370    5.275775  -2.787 2.817e+05  22.00     0.818196   2.0     6.094274   3.0 K88  
   235.0582    234.9863    5.274668  -4.770 4.100e+03  22.00     0.812998   1.0     6.087969   2.0 K88  
   235.2901    235.2181    5.269471  -4.691 4.908e+03  22.00     0.818196   2.0     6.087969   2.0 K88  
   235.3533    235.2813    5.268057  -3.549 4.859e+04  22.00     0.825915   3.0     6.094274   3.0 K88  
   235.3959    235.3239    5.267102  -4.242 2.298e+04  22.00     0.818196   2.0     6.085601   1.0 K88  
   235.6353    235.5632    5.261752  -3.914 2.929e+04  22.00     0.825915   3.0     6.087969   2.0 K88  
   235.8070    235.7349    5.257920  -3.949 1.927e+04  22.00     0.836052   4.0     6.094274   3.0 K88  
   235.9801    235.9080    5.254063  -3.957 1.889e+04  22.00     0.000000   2.0     5.254365   3.0 K88  
   236.3436    236.2714    5.245981  -3.680 3.564e+04  22.00     0.000000   2.0     5.246283   3.0 K88  
   236.5757    236.5034    5.240837  -2.493 7.660e+05  22.00     0.000000   2.0     5.241138   2.0 K88  
   236.9282    236.8558    5.233039  -2.099 1.892e+06  22.00     0.000000   2.0     5.233339   2.0 K88  
   236.9314    236.8590    5.232969  -2.474 5.699e+05  22.00     0.021095   3.0     5.254365   3.0 K88  
   237.0003    236.9279    5.231447  -1.851 5.578e+06  22.00     0.000000   2.0     5.231747   1.0 K88  
   237.2682    237.1958    5.225539  -1.316 1.908e+07  22.00     0.000000   2.0     5.225839   1.0 K88  
   237.2978    237.2254    5.224887  -2.029 1.583e+06  22.00     0.021095   3.0     5.246283   3.0 K88  
   237.5317    237.4592    5.219743  -1.589 6.091e+06  22.00     0.021095   3.0     5.241138   2.0 K88  
   237.8871    237.8145    5.211945  -1.099 1.877e+07  22.00     0.021095   3.0     5.233339   2.0 K88  
   237.9630    237.8904    5.210283  -4.713 2.534e+03  22.00     0.825915   3.0     6.036497   4.0 K88  
   238.1543    238.0817    5.206096  -1.523 5.039e+06  22.00     0.047969   4.0     5.254365   3.0 K88  
   238.1756    238.1030    5.205632  -3.736 3.085e+04  22.00     0.000000   2.0     5.205931   3.0 K88  
   238.4134    238.3407    5.200439  -3.033 3.625e+05  22.00     0.000000   2.0     5.200738   1.0 K88  
   238.4157    238.3430    5.200390  -4.909 2.067e+03  22.00     0.818196   2.0     6.018884   3.0 K88  
   238.5011    238.4284    5.198527  -3.723 4.438e+04  22.00     0.000000   2.0     5.198826   2.0 K88  
   238.5246    238.4519    5.198015  -1.270 8.994e+06  22.00     0.047969   4.0     5.246283   3.0 MFW  
   238.5366    238.4639    5.197753  -3.526 3.879e+04  22.00     0.021095   3.0     5.219147   4.0 K88  
   238.6264    238.5537    5.195797  -3.265 1.273e+05  22.00     0.000000   2.0     5.196095   2.0 K88  
   238.6421    238.5694    5.195455  -4.700 4.674e+03  22.00     0.812998   1.0     6.008751   2.0 K88  
   238.6923    238.6195    5.194364  -3.106 1.310e+05  22.00     0.899612   2.0     6.094274   3.0 K88  
   238.7701    238.6973    5.192671  -2.886 2.173e+05  22.00     0.825915   3.0     6.018884   3.0 K88  
   238.9823    238.9095    5.188059  -4.780 3.876e+03  22.00     0.899612   2.0     6.087969   2.0 K88  
   239.0914    239.0186    5.185691  -4.700 7.760e+03  22.00     0.899612   2.0     6.085601   1.0 K88  
   239.1447    239.0718    5.184538  -2.878 2.207e+05  22.00     0.021095   3.0     5.205931   3.0 K88  
   239.2369    239.1640    5.182539  -4.037 2.140e+04  22.00     0.825915   3.0     6.008751   2.0 K88  
   239.2371    239.1642    5.182535  -3.237 9.647e+04  22.00     0.836052   4.0     6.018884   3.0 K88  
   239.4272    239.3543    5.178418  -3.521 5.008e+04  22.00     0.818196   2.0     5.996911   3.0 K88  
   239.4728    239.3999    5.177433  -2.961 2.545e+05  22.00     0.021095   3.0     5.198826   2.0 K88  
   239.5992    239.5262    5.174703  -4.100 1.846e+04  22.00     0.021095   3.0     5.196095   2.0 K88  
   239.7763    239.7033    5.170880  -2.750 2.292e+05  22.00     0.047969   4.0     5.219147   4.0 K88  
   239.7847    239.7117    5.170700  -4.410 6.447e+03  22.00     0.825915   3.0     5.996911   3.0 K88  
   240.2556    240.1825    5.160563  -4.486 5.391e+03  22.00     0.836052   4.0     5.996911   3.0 K88  
   240.3221    240.2490    5.159136  -3.583 3.352e+04  22.00     0.021095   3.0     5.180527   4.0 K88  
   240.3906    240.3175    5.157665  -3.942 1.884e+04  22.00     0.047969   4.0     5.205931   3.0 K88  
   240.4700    240.3968    5.155964  -2.312 8.034e+05  22.00     0.000000   2.0     5.156260   3.0 K88  
   240.9159    240.8426    5.146422  -3.302 5.212e+04  22.00     0.047969   4.0     5.194687   5.0 K88  
   241.2100    241.1367    5.140145  -1.822 2.467e+06  22.00     0.000000   2.0     5.140441   3.0 K88  
   241.2308    241.1575    5.139702  -1.800 2.018e+06  22.00     0.021095   3.0     5.161092   4.0 K88  
   241.4578    241.3844    5.134870  -2.460 5.667e+05  22.00     0.021095   3.0     5.156260   3.0 K88  
   241.5805    241.5071    5.132263  -3.454 4.464e+04  22.00     0.047969   4.0     5.180527   4.0 K88  
   241.6959    241.6225    5.129811  -4.706 3.210e+03  22.00     0.899612   2.0     6.029717   3.0 K88  
   241.9115    241.8380    5.125239  -1.290 1.169e+07  22.00     0.000000   2.0     5.125534   2.0 MFW  
